bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2034096,2215,HB1,4,Passed,2025-06-04,"Appropriation; Archives and History, Department of.","An Act Making An Appropriation For The Purpose Of Defraying The Expenses Of The Department Of Archives And History, For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB1/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0001.xml
2034097,2215,HB2,4,Passed,2025-06-04,"Appropriation; Engineers and Land Surveyors, Board of Registration for Professional.","An Act Approving The Expenditure Of Special Funds For The Purpose Of Defraying The Expenses Of The State Board Of Registration For Professional Engineers And Land Surveyors For Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB2/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0002.xml
2034116,2215,HB3,4,Passed,2025-06-04,"Appropriation; Environmental Quality, Department of.","An Act Making An Appropriation For The Support And Maintenance Of The Department Of Environmental Quality; And For Related Purposes, For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB3/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0003.xml
2034200,2215,HB4,4,Passed,2025-06-04,"Appropriation; Foresters, Board of Registration for.","An Act Making An Appropriation From Special Funds In The State Treasury For The Purpose Of Defraying The Expenses Of The State Board Of Registration For Foresters For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB4/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0004.xml
2034102,2215,HB5,4,Passed,2025-06-04,"Appropriation; Forestry Commission.","An Act Making An Appropriation For The Support And Maintenance Of The State Forestry Commission For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB5/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0005.xml
2034175,2215,HB6,4,Passed,2025-06-04,"Appropriation; Grand Gulf Military Monument Commission.","An Act Making An Appropriation For The Purpose Of Defraying The Expenses Of The Grand Gulf Military Monument Commission For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB6/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0006.xml
2034162,2215,HB7,4,Passed,2025-06-04,"Appropriation; Port Authority, State.","An Act Making An Appropriation For The Purpose Of Defraying The Expenses Of The Mississippi State Port Authority At Gulfport For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB7/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0007.xml
2034182,2215,HB8,4,Passed,2025-06-04,"Appropriation; Marine Resources, Department of.","An Act Making An Appropriation For The Support And Maintenance Of The Department Of Marine Resources For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB8/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0008.xml
2034146,2215,HB9,4,Passed,2025-06-04,"Appropriation; Oil and Gas Board.","An Act Approving The Expenditure Of Special Funds For The Purpose Of Defraying The Expenses Of The State Oil And Gas Board For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB9/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0009.xml
2034183,2215,HB10,4,Passed,2025-06-04,"Appropriation; Pat Harrison Waterway District.","An Act Approving The Expenditure Of Special Funds For The Purpose Of Defraying The Expenses Of The Pat Harrison Waterway District For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB10/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0010.xml
2034189,2215,HB11,4,Passed,2025-06-04,"Appropriation; Pearl River Valley Water Supply District.","An Act Approving The Expenditure Of Special Funds For The Purpose Of Defraying The Expenses Of The Pearl River Valley Water Supply District For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB11/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0011.xml
2034174,2215,HB12,4,Passed,2025-06-04,"Appropriation; Public Service Commission.","An Act Making An Appropriation For The Purpose Of Defraying The Expenses Of The Public Service Commission For The Fiscal Year 2026.",0,,2025-06-04,"Approved by Governor",https://legiscan.com/MS/bill/HB12/2025/X1,https://billstatus.ls.state.ms.us/20251E/pdf/history/HB/HB0012.xml
