bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2034096,3246853,text,20315,text/html,Introduced,https://legiscan.com/MS/text/HB1/id/3246853,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0001IN.htm
2034096,3247276,text,20535,text/html,Engrossed,https://legiscan.com/MS/text/HB1/id/3247276,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0001PS.htm
2034096,3248866,text,20535,text/html,Enrolled,https://legiscan.com/MS/text/HB1/id/3248866,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0001SG.htm
2034097,3246854,text,14517,text/html,Introduced,https://legiscan.com/MS/text/HB2/id/3246854,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0002IN.htm
2034097,3247469,text,14737,text/html,Engrossed,https://legiscan.com/MS/text/HB2/id/3247469,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0002PS.htm
2034097,3248885,text,14737,text/html,Enrolled,https://legiscan.com/MS/text/HB2/id/3248885,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0002SG.htm
2034116,3246873,text,35148,text/html,Introduced,https://legiscan.com/MS/text/HB3/id/3246873,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0003IN.htm
2034116,3247328,text,35368,text/html,Engrossed,https://legiscan.com/MS/text/HB3/id/3247328,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0003PS.htm
2034116,3250067,text,35368,text/html,Enrolled,https://legiscan.com/MS/text/HB3/id/3250067,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0003SG.htm
2034200,3246961,text,5082,text/html,Introduced,https://legiscan.com/MS/text/HB4/id/3246961,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0004IN.htm
2034200,3247275,text,5302,text/html,Engrossed,https://legiscan.com/MS/text/HB4/id/3247275,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0004PS.htm
2034200,3249915,text,5302,text/html,Enrolled,https://legiscan.com/MS/text/HB4/id/3249915,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0004SG.htm
2034102,3246859,text,19915,text/html,Introduced,https://legiscan.com/MS/text/HB5/id/3246859,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0005IN.htm
2034102,3247464,text,20135,text/html,Engrossed,https://legiscan.com/MS/text/HB5/id/3247464,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0005PS.htm
2034102,3248691,text,20135,text/html,Enrolled,https://legiscan.com/MS/text/HB5/id/3248691,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0005SG.htm
2034175,3246933,text,16617,text/html,Introduced,https://legiscan.com/MS/text/HB6/id/3246933,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0006IN.htm
2034175,3247827,text,16837,text/html,Engrossed,https://legiscan.com/MS/text/HB6/id/3247827,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0006PS.htm
2034175,3248862,text,16837,text/html,Enrolled,https://legiscan.com/MS/text/HB6/id/3248862,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0006SG.htm
2034162,3246919,text,6506,text/html,Introduced,https://legiscan.com/MS/text/HB7/id/3246919,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0007IN.htm
2034162,3247765,text,6726,text/html,Engrossed,https://legiscan.com/MS/text/HB7/id/3247765,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0007PS.htm
2034162,3248852,text,6726,text/html,Enrolled,https://legiscan.com/MS/text/HB7/id/3248852,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0007SG.htm
2034182,3246940,text,53964,text/html,Introduced,https://legiscan.com/MS/text/HB8/id/3246940,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0008IN.htm
2034182,3247890,text,54184,text/html,Engrossed,https://legiscan.com/MS/text/HB8/id/3247890,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0008PS.htm
2034182,3248660,text,54183,text/html,Enrolled,https://legiscan.com/MS/text/HB8/id/3248660,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0008SG.htm
2034146,3246903,text,14225,text/html,Introduced,https://legiscan.com/MS/text/HB9/id/3246903,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0009IN.htm
2034146,3247675,text,14445,text/html,Engrossed,https://legiscan.com/MS/text/HB9/id/3247675,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0009PS.htm
2034146,3248856,text,14445,text/html,Enrolled,https://legiscan.com/MS/text/HB9/id/3248856,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0009SG.htm
2034183,3246941,text,8223,text/html,Introduced,https://legiscan.com/MS/text/HB10/id/3246941,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0010IN.htm
2034183,3247886,text,8443,text/html,Engrossed,https://legiscan.com/MS/text/HB10/id/3247886,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0010PS.htm
2034183,3248663,text,8418,text/html,Enrolled,https://legiscan.com/MS/text/HB10/id/3248663,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0010SG.htm
2034189,3246947,text,10874,text/html,Introduced,https://legiscan.com/MS/text/HB11/id/3246947,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0011IN.htm
2034189,3247587,text,11094,text/html,Engrossed,https://legiscan.com/MS/text/HB11/id/3247587,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0011PS.htm
2034189,3248640,text,11094,text/html,Enrolled,https://legiscan.com/MS/text/HB11/id/3248640,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0011SG.htm
2034174,3246932,text,23155,text/html,Introduced,https://legiscan.com/MS/text/HB12/id/3246932,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0012IN.htm
2034174,3247797,text,23375,text/html,Engrossed,https://legiscan.com/MS/text/HB12/id/3247797,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0012PS.htm
2034174,3248875,text,23375,text/html,Enrolled,https://legiscan.com/MS/text/HB12/id/3248875,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0012SG.htm
2034170,3246928,text,14769,text/html,Introduced,https://legiscan.com/MS/text/HB13/id/3246928,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0013IN.htm
2034170,3247673,text,14989,text/html,Engrossed,https://legiscan.com/MS/text/HB13/id/3247673,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0013PS.htm
2034170,3248726,text,14989,text/html,Enrolled,https://legiscan.com/MS/text/HB13/id/3248726,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0013SG.htm
2034107,3246864,text,15260,text/html,Introduced,https://legiscan.com/MS/text/HB14/id/3246864,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0014IN.htm
2034107,3247773,text,15480,text/html,Engrossed,https://legiscan.com/MS/text/HB14/id/3247773,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0014PS.htm
2034107,3248995,text,15480,text/html,Enrolled,https://legiscan.com/MS/text/HB14/id/3248995,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0014SG.htm
2034151,3246908,text,42826,text/html,Introduced,https://legiscan.com/MS/text/HB15/id/3246908,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0015IN.htm
2034151,3247820,text,43046,text/html,Engrossed,https://legiscan.com/MS/text/HB15/id/3247820,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0015PS.htm
2034151,3250011,text,43047,text/html,Enrolled,https://legiscan.com/MS/text/HB15/id/3250011,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0015SG.htm
2034157,3246914,text,6443,text/html,Introduced,https://legiscan.com/MS/text/HB16/id/3246914,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0016IN.htm
2034157,3248059,text,6663,text/html,Engrossed,https://legiscan.com/MS/text/HB16/id/3248059,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0016PS.htm
2034157,3248821,text,6663,text/html,Enrolled,https://legiscan.com/MS/text/HB16/id/3248821,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0016SG.htm
2034099,3246856,text,18072,text/html,Introduced,https://legiscan.com/MS/text/HB17/id/3246856,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0017IN.htm
2034099,3247680,text,18292,text/html,Engrossed,https://legiscan.com/MS/text/HB17/id/3247680,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0017PS.htm
2034099,3250041,text,18292,text/html,Enrolled,https://legiscan.com/MS/text/HB17/id/3250041,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0017SG.htm
2034156,3246913,text,22131,text/html,Introduced,https://legiscan.com/MS/text/HB18/id/3246913,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0018IN.htm
2034156,3247684,text,22351,text/html,Engrossed,https://legiscan.com/MS/text/HB18/id/3247684,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0018PS.htm
2034156,3249933,text,22351,text/html,Enrolled,https://legiscan.com/MS/text/HB18/id/3249933,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0018SG.htm
2034105,3246862,text,69786,text/html,Introduced,https://legiscan.com/MS/text/HB19/id/3246862,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0019IN.htm
2034105,3247681,text,70006,text/html,Engrossed,https://legiscan.com/MS/text/HB19/id/3247681,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0019PS.htm
2034105,3249929,text,69960,text/html,Enrolled,https://legiscan.com/MS/text/HB19/id/3249929,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0019SG.htm
2034195,3246953,text,41052,text/html,Introduced,https://legiscan.com/MS/text/HB20/id/3246953,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0020IN.htm
2034195,3247762,text,41272,text/html,Engrossed,https://legiscan.com/MS/text/HB20/id/3247762,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0020PS.htm
2034195,3249960,text,41272,text/html,Enrolled,https://legiscan.com/MS/text/HB20/id/3249960,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0020SG.htm
2034186,3246944,text,18978,text/html,Introduced,https://legiscan.com/MS/text/HB21/id/3246944,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0021IN.htm
2034186,3247683,text,19198,text/html,Engrossed,https://legiscan.com/MS/text/HB21/id/3247683,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0021PS.htm
2034186,3250155,text,19198,text/html,Enrolled,https://legiscan.com/MS/text/HB21/id/3250155,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0021SG.htm
2034120,3246877,text,25662,text/html,Introduced,https://legiscan.com/MS/text/HB22/id/3246877,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0022IN.htm
2034120,3247783,text,25882,text/html,Engrossed,https://legiscan.com/MS/text/HB22/id/3247783,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0022PS.htm
2034120,3248497,text,25882,text/html,Enrolled,https://legiscan.com/MS/text/HB22/id/3248497,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0022SG.htm
2034176,3246934,text,38738,text/html,Introduced,https://legiscan.com/MS/text/HB23/id/3246934,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0023IN.htm
2034176,3247679,text,38958,text/html,Engrossed,https://legiscan.com/MS/text/HB23/id/3247679,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0023PS.htm
2034176,3249936,text,38958,text/html,Enrolled,https://legiscan.com/MS/text/HB23/id/3249936,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0023SG.htm
2034166,3246924,text,19695,text/html,Introduced,https://legiscan.com/MS/text/HB24/id/3246924,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0024IN.htm
2034166,3247672,text,19915,text/html,Engrossed,https://legiscan.com/MS/text/HB24/id/3247672,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0024PS.htm
2034166,3250009,text,19915,text/html,Enrolled,https://legiscan.com/MS/text/HB24/id/3250009,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0024SG.htm
2034142,3246899,text,14897,text/html,Introduced,https://legiscan.com/MS/text/HB25/id/3246899,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0025IN.htm
2034142,3247794,text,15117,text/html,Engrossed,https://legiscan.com/MS/text/HB25/id/3247794,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0025PS.htm
2034142,3249011,text,15117,text/html,Enrolled,https://legiscan.com/MS/text/HB25/id/3249011,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0025SG.htm
2034202,3246963,text,5016,text/html,Introduced,https://legiscan.com/MS/text/HB26/id/3246963,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0026IN.htm
2034202,3247829,text,5236,text/html,Engrossed,https://legiscan.com/MS/text/HB26/id/3247829,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0026PS.htm
2034202,3249961,text,5236,text/html,Enrolled,https://legiscan.com/MS/text/HB26/id/3249961,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0026SG.htm
2034133,3246890,text,13515,text/html,Introduced,https://legiscan.com/MS/text/HB27/id/3246890,https://billstatus.ls.state.ms.us/documents/20251E/html/HB/0001-0099/HB0027IN.htm
