people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6493,"Percy Watson",Percy,W.,Watson,,,1,D,1,Rep,HD-103,13003544,3733,,Percy_Watson,196337,0
6499,"Donnie Bell",Donnie,,Bell,,,2,R,1,Rep,HD-021,13003464,69899,,Donnie_Bell,260619,0
6500,"Lester Carpenter",Lester,,Carpenter,,Bubba,2,R,1,Rep,HD-001,13003437,69848,,Lester_Carpenter,260611,0
6503,"Karl Gibbs",Karl,,Gibbs,,,1,D,1,Rep,HD-036,16501214,144426,,Karl_Gibbs,456327,0
6509,"Jerry Turner",Jerry,R.,Turner,,,2,R,1,Rep,HD-018,6611903,40284,,Jerry_Turner_(Mississippi),219720,0
6513,"Henry Zuber",Henry,B.,Zuber,III,Hank,2,R,1,Rep,HD-113,6611995,20796,,Hank_Zuber_III,196317,0
6514,"Jeffrey Guice",Jeffrey,S.,Guice,,Jeff,2,R,1,Rep,HD-114,6680467,114211,,Jeffrey_S._Guice,267510,0
6520,"Stephen Horne",Stephen,A.,Horne,,Steve,2,R,1,Rep,HD-081,6611472,40296,,Steve_Horne,221486,0
6524,"Omeria Scott",Omeria,,Scott,,,1,D,1,Rep,HD-080,6408576,20822,,Omeria_Scott,196312,0
6525,"Bryant Clark",Bryant,Wandrick,Clark,,,1,D,1,Rep,HD-047,6407548,40102,,Bryant_Clark,221683,0
6526,"Richard Bennett",Richard,,Bennett,,,2,R,1,Rep,HD-120,6673113,69948,,Richard_Bennett_(Mississippi),260712,0
6527,"Larry Byrd",Larry,,Byrd,,,2,R,1,Rep,HD-104,13003546,69934,,Larry_Byrd,260710,0
6530,"Sam Mims",Sam,C.,Mims,V,,2,R,1,Rep,HD-097,6611663,40027,,Sam_Mims_V,219770,0
6535,"Bill Pigott",Bill,,Pigott,,,2,R,1,Rep,HD-099,6408463,40147,,Bill_Pigott,260701,0
6537,"Ken Morgan",Ken,,Morgan,,,2,R,1,Rep,HD-100,6408331,20648,,Ken_Morgan,251736,0
6549,"Bob Evans",Robert,,Evans,,Bob,1,D,1,Rep,HD-091,6483933,69908,,Bob_Evans,260695,0
6554,"Becky Currie",Becky,,Currie,,,2,R,1,Rep,HD-092,6673513,69911,,Becky_Currie,260698,0
