bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
2034096,1580732,2025-05-28,House,"House Passed",103,10,7,0,120
2034096,1581869,2025-05-29,Senate,"Senate Passed",33,6,13,0,52
2034097,1580739,2025-05-28,House,"House Passed",104,7,9,0,120
2034097,1581622,2025-05-29,Senate,"Senate Passed",38,5,9,0,52
2034098,1580783,2025-05-28,Senate,"Senate Passed",38,8,6,0,52
2034098,1580784,2025-05-28,House,"House Passed",97,0,23,0,120
2034099,1580849,2025-05-28,House,"House Passed",86,8,26,0,120
2034099,1581619,2025-05-29,Senate,"Senate Passed",35,7,10,0,52
2034100,1580778,2025-05-28,Senate,"Senate Passed",37,8,7,0,52
2034100,1580779,2025-05-28,House,"House Passed",99,0,21,0,120
2034101,1580776,2025-05-28,Senate,"Senate Passed",37,8,7,0,52
2034101,1580777,2025-05-28,House,"House Passed",96,0,24,0,120
2034102,1580727,2025-05-28,House,"House Passed",94,8,18,0,120
2034102,1581924,2025-05-29,Senate,"Senate Passed",35,5,12,0,52
2034103,1580726,2025-05-28,House,"House Passed",96,0,24,0,120
2034103,1580796,2025-05-28,Senate,"Senate Passed",36,9,7,0,52
2034104,1580760,2025-05-28,Senate,"Senate Passed",37,9,6,0,52
2034105,1580851,2025-05-28,House,"House Passed",88,6,26,0,120
2034105,1581634,2025-05-29,Senate,"Senate Passed",31,10,11,0,52
2034106,1580801,2025-05-28,Senate,"Senate Passed",36,9,7,0,52
2034106,1580949,2025-05-28,House,"House Passed",97,0,23,0,120
2034107,1580937,2025-05-28,House,"House Passed",95,7,18,0,120
2034107,1581815,2025-05-29,Senate,"Senate Passed",35,7,10,0,52
2034108,1580938,2025-05-28,House,"House Passed",90,6,24,0,120
2034108,1581809,2025-05-29,Senate,"Senate Passed",35,4,13,0,52
2034109,1580947,2025-05-28,House,"House Passed",90,2,28,0,120
2034109,1581811,2025-05-29,Senate,"Senate Passed",35,7,10,0,52
2034110,1580743,2025-05-28,House,"House Passed",90,6,24,0,120
2034110,1581871,2025-05-29,Senate,"Senate Passed",38,5,9,0,52
2034111,1580781,2025-05-28,Senate,"Senate Passed",38,8,6,0,52
2034111,1580954,2025-05-28,House,"House Passed",89,0,31,0,120
2034112,1580866,2025-05-28,House,"House Passed",99,2,19,0,120
2034112,1581655,2025-05-29,Senate,"Senate Passed",41,1,10,0,52
2034113,1580751,2025-05-28,House,"House Passed",92,1,27,0,120
2034113,1581679,2025-05-29,Senate,"Senate Passed",34,8,10,0,52
2034114,1580788,2025-05-28,Senate,"Senate Passed",38,8,6,0,52
2034114,1580789,2025-05-28,House,"House Passed",96,0,24,0,120
2034115,1580974,2025-05-28,House,"House Passed",95,1,24,0,120
2034115,1581848,2025-05-29,Senate,"Senate Passed",38,5,9,0,52
2034116,1580850,2025-05-28,House,"House Passed",104,8,8,0,120
2034116,1581974,2025-05-29,Senate,"Senate Passed",36,5,11,0,52
2034117,1580811,2025-05-28,Senate,"Senate Passed",36,9,7,0,52
2034117,1580812,2025-05-28,House,"House Passed",93,0,27,0,120
2034118,1580775,2025-05-28,Senate,"Senate Passed",37,8,7,0,52
2034118,1580848,2025-05-28,House,"House Passed",95,1,24,0,120
2034119,1580960,2025-05-28,House,"House Passed",92,5,23,0,120
2034119,1581818,2025-05-29,Senate,"Senate Passed",38,5,9,0,52
2034120,1580968,2025-05-28,House,"House Passed",88,6,26,0,120
2034120,1581844,2025-05-29,Senate,"Senate Passed",36,5,11,0,52
2034121,1580834,2025-05-28,Senate,"Senate Passed",41,1,10,0,52
2034122,1580761,2025-05-28,Senate,"Senate Passed",38,7,7,0,52
2034123,1580810,2025-05-28,Senate,"Senate Passed",36,7,9,0,52
2034123,1580967,2025-05-28,House,"House Passed",92,0,28,0,120
