bill_id,people_id,position
2034096,6525,3
2034096,6535,8
2034096,6593,9
2034096,6611,1
2034096,12068,4
2034096,16044,6
2034096,17761,5
2034096,17771,7
2034096,21469,2
2034097,6525,3
2034097,6535,8
2034097,6593,9
2034097,6611,1
2034097,12068,4
2034097,16044,6
2034097,17761,5
2034097,17771,7
2034097,21469,2
2034098,6660,1
2034098,13670,2
2034098,21459,3
2034098,21464,5
2034098,21466,6
2034098,25004,4
2034099,6509,9
2034099,6524,8
2034099,6526,2
2034099,6554,4
2034099,6593,7
2034099,17769,6
2034099,19634,5
2034099,21474,3
2034099,21476,1
2034100,6660,1
2034100,13670,2
2034100,17749,4
2034100,17783,6
2034100,18245,3
2034100,25180,5
2034101,6660,1
2034101,13670,2
2034101,13675,3
2034101,13769,4
2034101,15953,6
2034101,23036,5
2034102,6525,3
2034102,6535,8
2034102,6593,9
2034102,6611,1
2034102,12068,4
2034102,16044,6
2034102,17761,5
2034102,17771,7
2034102,21469,2
2034103,6660,1
2034103,13669,5
2034103,13670,2
2034103,15953,4
2034103,17779,3
2034103,21461,6
2034104,6580,6
2034104,6660,1
2034104,6665,4
2034104,13669,3
2034104,13670,2
2034104,13769,5
2034105,6509,9
2034105,6524,8
2034105,6526,2
2034105,6554,4
2034105,6593,7
2034105,17769,6
2034105,19634,5
2034105,21474,3
2034105,21476,1
2034106,6660,1
2034106,13669,5
2034106,13670,2
2034106,15953,4
2034106,17779,3
2034106,21461,6
2034107,6525,3
2034107,6535,8
2034107,6593,9
2034107,6611,1
2034107,12068,4
2034107,16044,6
2034107,17761,5
2034107,17771,7
2034107,21469,2
2034108,6509,9
2034108,6524,8
2034108,6526,2
2034108,6554,4
2034108,6593,7
2034108,17769,6
2034108,19634,5
2034108,21474,3
2034108,21476,1
2034109,6509,9
2034109,6524,8
2034109,6526,2
2034109,6554,4
2034109,6593,7
2034109,17769,6
2034109,19634,5
2034109,21474,3
2034109,21476,1
2034110,6509,9
2034110,6524,8
2034110,6526,2
2034110,6554,4
2034110,6593,7
2034110,17769,6
2034110,19634,5
2034110,21474,3
2034110,21476,1
2034111,6660,1
2034111,13670,2
2034111,21459,3
2034111,21464,5
2034111,21466,6
2034111,25004,4
2034112,6493,9
2034112,6530,1
2034112,6593,7
2034112,6602,3
2034112,13773,5
2034112,13790,2
2034112,13801,8
2034112,16105,4
2034112,21483,6
2034113,6584,4
2034113,6593,7
2034113,13679,2
2034113,13791,3
2034113,13797,6
2034113,17767,5
2034113,17770,1
2034113,17772,8
2034113,18368,9
2034114,6660,1
2034114,13670,2
2034114,21459,3
2034114,21464,5
2034114,21466,6
2034114,25004,4
2034115,6493,9
2034115,6530,1
2034115,6593,7
2034115,6602,3
2034115,13773,5
2034115,13790,2
2034115,13801,8
2034115,16105,4
2034115,21483,6
2034116,6525,3
2034116,6535,8
2034116,6593,9
2034116,6611,1
2034116,12068,4
2034116,16044,6
2034116,16103,2
2034116,17761,5
2034116,17771,7
2034117,6660,1
2034117,13670,2
2034117,21466,3
2034117,22112,6
2034117,25004,4
2034117,25180,5
2034118,6658,5
2034118,6660,1
2034118,6665,4
2034118,13663,3
2034118,13670,2
2034119,6493,9
2034119,6530,1
2034119,6593,7
2034119,6602,3
2034119,13773,5
2034119,13790,2
2034119,13801,8
2034119,16105,4
2034119,21483,6
2034120,6509,9
2034120,6524,8
2034120,6526,2
2034120,6554,4
2034120,6593,7
2034120,17769,6
2034120,19634,5
2034120,21474,3
2034120,21476,1
2034121,6660,1
2034122,6580,6
2034122,6660,1
2034122,6665,4
2034122,13669,3
2034122,13670,2
2034122,13769,5
2034123,6660,1
2034123,13669,5
2034123,13670,2
2034123,15953,4
2034123,17779,3
2034123,21461,6
2034124,6658,3
2034124,6660,1
2034124,13670,2
2034124,14359,4
2034124,21671,5
2034124,22112,6
2034125,6660,1
2034125,13670,2
2034125,17779,3
2034125,21460,4
2034125,21461,5
2034126,14359,1
2034127,6580,6
2034127,6660,1
2034127,6665,4
2034127,13669,3
2034127,13670,2
2034127,13769,5
2034128,6660,1
2034128,13670,2
2034128,21459,3
2034128,21464,5
2034128,21466,6
2034128,25004,4
2034129,21473,1
2034130,6660,1
2034130,13670,2
2034130,21466,3
2034130,22112,6
2034130,25004,4
2034130,25180,5
2034132,6660,1
2034132,13670,2
2034132,17779,3
2034132,21460,4
2034132,21461,5
2034133,6509,9
2034133,6524,8
2034133,6526,2
2034133,6554,4
2034133,6593,7
2034133,17769,6
2034133,19634,5
2034133,21474,3
2034133,21476,1
2034134,6660,1
2034134,13670,2
2034134,13675,3
2034134,13769,4
2034134,15953,6
2034134,23036,5
2034135,6580,6
2034135,6660,1
2034135,6665,4
2034135,13669,3
2034135,13670,2
2034135,13769,5
2034136,6658,3
2034136,6660,1
2034136,13670,2
2034136,14359,4
2034136,21671,5
2034136,22112,6
2034137,6660,1
2034137,13670,2
2034137,17779,3
2034137,21460,4
2034137,21461,5
2034138,6593,1
2034139,6619,3
2034139,6660,1
2034139,13670,2
2034139,13675,5
2034139,18245,4
2034140,6493,9
2034140,6530,1
2034140,6593,7
2034140,6602,3
2034140,13773,5
2034140,13790,2
2034140,13801,8
2034140,16105,4
2034140,21483,6
2034141,6660,1
2034142,6509,9
2034142,6524,8
2034142,6526,2
2034142,6554,4
2034142,6593,7
2034142,17769,6
2034142,19634,5
2034142,21474,3
2034142,21476,1
2034143,6619,1
2034144,6580,6
2034144,6660,1
2034144,6665,4
2034144,13669,3
2034144,13670,2
2034144,13769,5
2034145,6584,1
2034146,6525,3
2034146,6535,8
2034146,6593,9
2034146,6611,1
2034146,12068,4
2034146,16044,6
2034146,17761,5
2034146,17771,7
2034146,21469,2
2034147,6593,1
2034148,6580,6
2034148,6660,1
2034148,6665,4
2034148,13669,3
2034148,13670,2
2034148,13769,5
2034149,6493,9
2034149,6530,1
2034149,6593,7
2034149,6602,3
2034149,13773,5
2034149,13790,2
2034149,13801,8
2034149,16105,4
2034149,21483,6
2034150,6493,9
2034150,6530,1
2034150,6593,7
2034150,6602,3
2034150,13773,5
2034150,13790,2
2034150,13801,8
2034150,16105,4
2034150,21483,6
2034151,6525,3
2034151,6535,8
2034151,6593,9
2034151,6611,1
2034151,12068,4
2034151,16044,6
2034151,17761,5
2034151,17771,7
2034151,21469,2
2034152,6593,1
2034152,6602,2
2034153,6660,1
2034153,13670,2
2034153,17779,3
2034153,21460,4
2034153,21461,5
2034154,6660,1
2034154,13670,2
2034154,21466,3
2034154,22112,6
2034154,25004,4
2034154,25180,5
