bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1895956,2159,HB1,4,Passed,2025-01-28,"Feed bill to fund 69th legislative session and prepare for 2027","Feed bill to fund 69th legislative session and prepare for 2027",0,,2025-01-30,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB1/2025,https://bills.legmt.gov/#/laws/bill/2/LC1374
1948948,2159,HB2,4,Passed,2025-06-20,"General Appropriations Act","General Appropriations Act",0,,2025-06-20,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB2/2025,https://bills.legmt.gov/#/laws/bill/2/LC0708
1895963,2159,HB3,4,Passed,2025-04-07,"Supplemental Appropriations Bill","Supplemental Appropriations Bill",0,,2025-04-07,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB3/2025,https://bills.legmt.gov/#/laws/bill/2/LC0707
1895967,2159,HB4,4,Passed,2025-06-20,"Appropriations by budget amendment","Appropriations by budget amendment",0,,2025-06-20,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB4/2025,https://bills.legmt.gov/#/laws/bill/2/LC0709
1896137,2159,HB5,4,Passed,2025-06-19,"Long-range building appropriations","Long-range building appropriations",0,,2025-06-20,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB5/2025,https://bills.legmt.gov/#/laws/bill/2/LC0710
1896062,2159,HB6,4,Passed,2025-05-12,"Renewable resource grants","Renewable resource grants",0,,2025-05-16,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB6/2025,https://bills.legmt.gov/#/laws/bill/2/LC0711
1896210,2159,HB7,4,Passed,2025-05-12,"Reclamation and development grants","Reclamation and development grants",0,,2025-05-16,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB7/2025,https://bills.legmt.gov/#/laws/bill/2/LC0712
1896050,2159,HB8,4,Passed,2025-05-05,"Renewable resource bonds and loans","Renewable resource bonds and loans",0,,2025-05-08,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB8/2025,https://bills.legmt.gov/#/laws/bill/2/LC0713
1896185,2159,HB9,4,Passed,2025-05-13,"Cultural and aesthetic grants","Cultural and aesthetic grants",0,,2025-05-19,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB9/2025,https://bills.legmt.gov/#/laws/bill/2/LC0714
1896111,2159,HB10,4,Passed,2025-05-13,"Long-range information technology appropriations","Long-range information technology appropriations",0,,2025-05-19,"Chapter Number Assigned",https://legiscan.com/MT/bill/HB10/2025,https://bills.legmt.gov/#/laws/bill/2/LC0715
