bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1895956,3032288,text,54422,application/pdf,Introduced,https://legiscan.com/MT/text/HB1/id/3032288,https://docs.legmt.gov/download-ticket?ticketId=844ca469-9ead-4bb7-a07c-621abc37be06
1895956,3130372,text,105794,application/pdf,Amended,https://legiscan.com/MT/text/HB1/id/3130372,https://docs.legmt.gov/download-ticket?ticketId=0f846339-8232-4f80-97a0-75e1c9845256
1948948,3091727,text,141725,application/pdf,Introduced,https://legiscan.com/MT/text/HB2/id/3091727,https://docs.legmt.gov/download-ticket?ticketId=ac567ac8-ab03-48fe-a132-c5ba44564372
1948948,3091728,text,141724,application/pdf,Amended,https://legiscan.com/MT/text/HB2/id/3091728,https://docs.legmt.gov/download-ticket?ticketId=cb7176e1-4a6b-45e1-8fb9-2f327328554f
1948948,3149879,text,141724,application/pdf,Amended,https://legiscan.com/MT/text/HB2/id/3149879,https://docs.legmt.gov/download-ticket?ticketId=757cd93c-e510-4dee-808b-d94870cd5e9a
1948948,3204073,text,141724,application/pdf,Amended,https://legiscan.com/MT/text/HB2/id/3204073,https://docs.legmt.gov/download-ticket?ticketId=b7b0a699-8c6d-4ad0-ac99-8b0b3c0f86ea
1948948,3220189,text,141724,application/pdf,Amended,https://legiscan.com/MT/text/HB2/id/3220189,https://docs.legmt.gov/download-ticket?ticketId=47d57574-7992-4196-bec6-f4c5ab698fdf
1948948,3233025,text,494720,application/pdf,Enrolled,https://legiscan.com/MT/text/HB2/id/3233025,https://docs.legmt.gov/download-ticket?ticketId=8b908f95-fbaa-428f-a353-a8f79b905f1d
1948948,3262061,text,463009,application/pdf,Enrolled,https://legiscan.com/MT/text/HB2/id/3262061,https://docs.legmt.gov/download-ticket?ticketId=227c7b90-b1a9-4639-bfa6-98accce100bb
1948948,3264042,text,462972,application/pdf,Enrolled,https://legiscan.com/MT/text/HB2/id/3264042,https://docs.legmt.gov/download-ticket?ticketId=86dc9621-2621-4267-bb56-98dcccae9129
1895963,3032295,text,60008,application/pdf,Introduced,https://legiscan.com/MT/text/HB3/id/3032295,https://docs.legmt.gov/download-ticket?ticketId=a9dcdc46-975a-4421-b33d-4f1dd6c517aa
1895963,3072635,text,61278,application/pdf,Amended,https://legiscan.com/MT/text/HB3/id/3072635,https://docs.legmt.gov/download-ticket?ticketId=82517dfa-44fe-4325-a8c5-5b720eb10a87
1895963,3086536,text,61326,application/pdf,Amended,https://legiscan.com/MT/text/HB3/id/3086536,https://docs.legmt.gov/download-ticket?ticketId=188445ca-2dbd-4999-9032-8833779552f0
1895963,3149372,text,61562,application/pdf,Amended,https://legiscan.com/MT/text/HB3/id/3149372,https://docs.legmt.gov/download-ticket?ticketId=510361c3-dcf2-4084-a4c4-be78cf0200d5
1895963,3185797,text,112548,application/pdf,Amended,https://legiscan.com/MT/text/HB3/id/3185797,https://docs.legmt.gov/download-ticket?ticketId=2af09c55-c3fb-47a0-bd43-44951213ecfa
1895963,3185796,text,112548,application/pdf,Enrolled,https://legiscan.com/MT/text/HB3/id/3185796,https://docs.legmt.gov/download-ticket?ticketId=7840c65e-4185-4ba7-aae7-f25a9fdc98ea
1895967,3032299,text,90752,application/pdf,Introduced,https://legiscan.com/MT/text/HB4/id/3032299,https://docs.legmt.gov/download-ticket?ticketId=4404dd51-7971-4785-98ed-6ebec63bf98e
1895967,3197466,text,118846,application/pdf,Amended,https://legiscan.com/MT/text/HB4/id/3197466,https://docs.legmt.gov/download-ticket?ticketId=255301ff-d1b2-4828-936c-89c924b3483d
1895967,3215500,text,123326,application/pdf,Amended,https://legiscan.com/MT/text/HB4/id/3215500,https://docs.legmt.gov/download-ticket?ticketId=c30050f6-f24f-492e-bd35-a8ecf1e91ccb
1895967,3224739,text,162591,application/pdf,Enrolled,https://legiscan.com/MT/text/HB4/id/3224739,https://docs.legmt.gov/download-ticket?ticketId=e882109c-89d2-40df-8a9b-5db6f1afbdee
1896137,3032489,text,124394,application/pdf,Introduced,https://legiscan.com/MT/text/HB5/id/3032489,https://docs.legmt.gov/download-ticket?ticketId=8afd8cc5-52ef-4c34-ae9a-5b426e0e3133
1896137,3183246,text,146636,application/pdf,Amended,https://legiscan.com/MT/text/HB5/id/3183246,https://docs.legmt.gov/download-ticket?ticketId=1e54072f-3f78-4650-acda-daf9dbf60750
1896137,3215464,text,149142,application/pdf,Amended,https://legiscan.com/MT/text/HB5/id/3215464,https://docs.legmt.gov/download-ticket?ticketId=3a411130-2bac-4de6-bf8c-1a66a61827af
1896137,3219647,text,153725,application/pdf,Amended,https://legiscan.com/MT/text/HB5/id/3219647,https://docs.legmt.gov/download-ticket?ticketId=bf2bde30-899c-4ad3-a716-374dacec118a
1896137,3224752,text,191605,application/pdf,Enrolled,https://legiscan.com/MT/text/HB5/id/3224752,https://docs.legmt.gov/download-ticket?ticketId=66781f37-3fdc-4877-955b-2199c585042b
1896062,3032412,text,79874,application/pdf,Introduced,https://legiscan.com/MT/text/HB6/id/3032412,https://docs.legmt.gov/download-ticket?ticketId=710c34d8-dda7-439a-a4a0-e920a00053b3
1896062,3141144,text,90719,application/pdf,Amended,https://legiscan.com/MT/text/HB6/id/3141144,https://docs.legmt.gov/download-ticket?ticketId=0833cdda-ca7c-4e7f-87be-3d58e400196d
1896062,3178578,text,93803,application/pdf,Amended,https://legiscan.com/MT/text/HB6/id/3178578,https://docs.legmt.gov/download-ticket?ticketId=60786427-cb36-4a44-bc3d-c4507df3d328
1896062,3197875,text,101136,application/pdf,Amended,https://legiscan.com/MT/text/HB6/id/3197875,https://docs.legmt.gov/download-ticket?ticketId=effeb026-3b08-4614-b0fe-77c8f5af3d7e
1896062,3218164,text,135851,application/pdf,Enrolled,https://legiscan.com/MT/text/HB6/id/3218164,https://docs.legmt.gov/download-ticket?ticketId=983ed035-bee5-4b92-9b2c-8495e943a9c5
1896210,3032563,text,70804,application/pdf,Introduced,https://legiscan.com/MT/text/HB7/id/3032563,https://docs.legmt.gov/download-ticket?ticketId=bb3eb544-635d-4b12-a075-a091bb5da184
1896210,3141143,text,74074,application/pdf,Amended,https://legiscan.com/MT/text/HB7/id/3141143,https://docs.legmt.gov/download-ticket?ticketId=f0c2590b-7077-4ac2-addf-c88add923281
1896210,3197811,text,74245,application/pdf,Amended,https://legiscan.com/MT/text/HB7/id/3197811,https://docs.legmt.gov/download-ticket?ticketId=d09b1668-fe12-4686-baf1-b4491ef9b314
1896210,3218101,text,124067,application/pdf,Enrolled,https://legiscan.com/MT/text/HB7/id/3218101,https://docs.legmt.gov/download-ticket?ticketId=d1bc8881-d3d3-4781-b25d-10d8718158f7
1896050,3032402,text,73874,application/pdf,Introduced,https://legiscan.com/MT/text/HB8/id/3032402,https://docs.legmt.gov/download-ticket?ticketId=23d2aec9-0ea0-48c3-b5a1-0607427f56a0
1896050,3212825,text,123850,application/pdf,Enrolled,https://legiscan.com/MT/text/HB8/id/3212825,https://docs.legmt.gov/download-ticket?ticketId=d9fe7084-9eeb-4c4a-bf29-022368db45d5
1896185,3032540,text,68328,application/pdf,Introduced,https://legiscan.com/MT/text/HB9/id/3032540,https://docs.legmt.gov/download-ticket?ticketId=dca706da-ccda-4bdf-9a73-4f0146d8bdce
1896185,3201060,text,70661,application/pdf,Amended,https://legiscan.com/MT/text/HB9/id/3201060,https://docs.legmt.gov/download-ticket?ticketId=31811586-5b5c-48ff-859b-7c3243379066
1896185,3215383,text,70664,application/pdf,Amended,https://legiscan.com/MT/text/HB9/id/3215383,https://docs.legmt.gov/download-ticket?ticketId=57a7257f-7759-448d-88cb-912b20db181d
1896185,3223313,text,120859,application/pdf,Enrolled,https://legiscan.com/MT/text/HB9/id/3223313,https://docs.legmt.gov/download-ticket?ticketId=9c8f5af6-92b6-43b5-b403-f20203195538
1896111,3032459,text,66209,application/pdf,Introduced,https://legiscan.com/MT/text/HB10/id/3032459,https://docs.legmt.gov/download-ticket?ticketId=3724dac5-d321-4d6d-a417-e60beffb9c6b
1896111,3147874,text,66694,application/pdf,Amended,https://legiscan.com/MT/text/HB10/id/3147874,https://docs.legmt.gov/download-ticket?ticketId=38e3e0fd-37b7-4a7f-bb47-bc4f792764af
1896111,3215654,text,66752,application/pdf,Amended,https://legiscan.com/MT/text/HB10/id/3215654,https://docs.legmt.gov/download-ticket?ticketId=9c9cf096-d04e-4b9c-88a1-dee01c7f61a1
