bill_id,date,chamber,sequence,action
1895895,2024-09-23,House,1,"(LC) Drafter Assigned"
1895895,2024-10-03,House,2,"(LC) Draft in Legal Review"
1895895,2024-10-07,House,3,"(LC) Draft in Edit"
1895895,2024-10-26,House,4,"(LC) Draft in Input/Proofing"
1895895,2024-11-10,House,5,"(LC) Draft in Final Drafter Review"
1895895,2024-11-17,House,6,"(LC) Draft in Assembly"
1895895,2024-11-18,House,7,"(LC) Draft Ready for Delivery"
1895895,2024-12-06,House,8,"(LC) Draft Delivered to Requester"
1895895,2024-12-06,House,9,"(H) Introduced"
1895895,2024-12-18,House,10,"(H) Fiscal Note Requested"
1895895,2024-12-20,House,11,"(H) Referred to Committee (H) Education"
1895895,2025-01-06,House,12,"(H) First Reading"
1895895,2025-01-06,House,13,"(H) Hearing (H) Education"
1895895,2025-01-07,House,14,"(H) Fiscal Note Received"
1895895,2025-01-08,House,15,"(H) Fiscal Note Signed"
1895895,2025-01-09,House,16,"(H) Fiscal Note Printed"
1895895,2025-01-15,House,17,"(H) Committee Executive Action--Bill Passed (H) Education"
1895895,2025-01-16,House,18,"(H) Committee Executive Action--Bill Passed (H) Education"
1895895,2025-01-16,House,19,"(H) Committee Report--Bill Passed (H) Education"
1895895,2025-01-20,House,20,"(H) Scheduled for 2nd Reading"
1895895,2025-01-20,House,21,"(H) 2nd Reading Passed"
1895895,2025-01-21,House,22,"(H) Scheduled for 3rd Reading"
1895895,2025-01-21,House,23,"(H) 3rd Reading Passed"
1895895,2025-01-21,House,24,"(H) Transmitted to Senate"
1895895,2025-01-22,Senate,25,"(S) First Reading"
1895895,2025-02-18,Senate,26,"(S) Referred to Committee (S) Education and Cultural Resources"
1895895,2025-02-20,Senate,27,"(S) Hearing (S) Education and Cultural Resources"
1895895,2025-03-18,Senate,28,"(S) Committee Executive Action--Bill Concurred (S) Education and Cultural Resources"
1895895,2025-03-19,Senate,29,"(S) Committee Report--Bill Concurred (S) Education and Cultural Resources"
1895895,2025-03-20,Senate,30,"(S) Scheduled for 2nd Reading"
1895895,2025-03-20,Senate,31,"(S) 2nd Reading Concurred"
1895895,2025-03-21,Senate,32,"(S) Scheduled for 3rd Reading"
1895895,2025-03-21,Senate,33,"(S) 3rd Reading Concurred"
1895895,2025-03-21,House,34,"(H) Sent to Enrolling"
1895895,2025-03-25,House,35,"(H) Returned from Enrolling"
1895895,2025-03-28,House,36,"(H) Signed by Speaker"
1895895,2025-04-01,Senate,37,"(S) Signed by President"
1895895,2025-04-01,House,38,"(H) Transmitted to Governor"
1895895,2025-04-07,House,39,"(H) Signed by Governor"
1895895,2025-04-07,House,40,"Chapter Number Assigned"
1895896,2024-10-09,House,1,"(LC) Drafter Assigned"
1895896,2024-10-28,House,2,"(LC) Draft in Legal Review"
1895896,2024-11-12,House,3,"(LC) Drafter Assigned"
1895896,2024-11-12,House,4,"(LC) Draft in Legal Review"
1895896,2024-11-12,House,5,"(LC) Draft in Edit"
1895896,2024-11-15,House,6,"(LC) Draft in Input/Proofing"
1895896,2024-11-18,House,7,"(LC) Draft in Final Drafter Review"
1895896,2024-11-19,House,8,"(LC) Draft in Assembly"
1895896,2024-11-19,House,9,"(LC) Draft Ready for Delivery"
1895896,2024-12-09,House,10,"(LC) Draft Delivered to Requester"
1895896,2024-12-09,House,11,"(H) Introduced"
1895896,2024-12-18,House,12,"(H) Fiscal Note Requested"
1895896,2024-12-20,House,13,"(H) Referred to Committee (H) State Administration"
1895896,2025-01-06,House,14,"(H) First Reading"
1895896,2025-01-06,House,15,"(H) Hearing (H) State Administration"
1895896,2025-01-07,House,16,"(H) Fiscal Note Received"
1895896,2025-01-07,House,17,"(H) Fiscal Note Signed"
1895896,2025-01-07,House,18,"(H) Fiscal Note Printed"
1895896,2025-01-10,House,19,"(H) Committee Executive Action--Bill Passed (H) State Administration"
1895896,2025-01-10,House,20,"(H) Committee Report--Bill Passed (H) State Administration"
1895896,2025-01-13,House,21,"(H) Scheduled for 2nd Reading"
1895896,2025-01-13,House,22,"(H) 2nd Reading Passed"
1895896,2025-01-14,House,23,"(H) Scheduled for 3rd Reading"
1895896,2025-01-14,House,24,"(H) 3rd Reading Passed"
1895896,2025-01-14,House,25,"(H) Transmitted to Senate"
1895896,2025-01-15,Senate,26,"(S) First Reading"
1895896,2025-01-16,Senate,27,"(S) Referred to Committee (S) State Administration"
1895896,2025-02-04,Senate,28,"(S) Hearing (S) State Administration"
1895896,2025-03-26,Senate,29,"(S) Committee Executive Action--Bill Concurred (S) State Administration"
1895896,2025-03-27,Senate,30,"(S) Committee Report--Bill Concurred (S) State Administration"
1895896,2025-04-12,Senate,31,"(S) Scheduled for 2nd Reading"
1895896,2025-04-12,Senate,32,"(S) 2nd Reading Concurred"
