people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
7855,"Llew Jones",Llewelyn,E.,Jones,,Llew,2,R,1,Rep,HD-018,6659937,40745,,Llew_Jones,228320,0
7872,"Jill Cohenour",Jill,,Cohenour,,,1,D,1,Rep,HD-084,6432848,40669,,Jill_Cohenour,214337,0
7923,"Mary Caferro",Mary,M.,Caferro,,,1,D,1,Rep,HD-082,6456145,40429,,Mary_Caferro,228343,0
7926,"Tom McGillvray",Tom,,McGillvray,,,2,R,2,Sen,SD-023,6659992,40706,,Tom_McGillvray,228329,0
7986,"John Esp",John,,Esp,,,2,R,2,Sen,SD-030,6635093,40362,,John_Esp,206081,0
7994,"Jonathan Windy Boy",Jonathan,,"Windy Boy",,,1,D,1,Rep,HD-032,6396521,40464,,Jonathan_Windy_Boy,214354,0
10396,"Steve Fitzpatrick",Steve,,Fitzpatrick,,,2,R,1,Rep,HD-024,6682824,120787,,Steve_Fitzpatrick,292135,0
10405,"Frank Smith",Frank,J.,Smith,,,1,D,1,Rep,HD-031,6396467,20922,,Frank_Smith_(Montana),196493,0
11953,"Mike Cuffe",Mike,,Cuffe,,,2,R,2,Sen,SD-001,7680513,120755,,Mike_Cuffe,292125,0
11962,"Edward Buttrey",Edward,,Buttrey,,,2,R,1,Rep,HD-021,6683094,120725,,Edward_Buttrey,311686,0
12051,"Ellie Boldman",Ellie,,Boldman,,,1,D,2,Sen,SD-045,6501162,120886,,Ellie_Boldman,292177,0
14173,"Greg Hertz",Greg,,Hertz,,,2,R,2,Sen,SD-006,7666841,136849,,Greg_Hertz,389745,0
14259,"Wylie Galt",Wylie,,Galt,,,2,R,2,Sen,SD-039,7661766,136947,,Wylie_Galt,389785,0
14331,"Carl Glimm",Carl,,Glimm,,,2,R,2,Sen,SD-002,6682800,120772,,Carl_Glimm,290208,0
14338,"Dennis Lenz",Dennis,Robert,Lenz,,,2,R,2,Sen,SD-027,7662465,120830,,Dennis_Lenz,290218,0
14351,"Daniel Zolnikov",Daniel,,Zolnikov,,,2,R,2,Sen,SD-022,10885857,136897,,Daniel_Zolnikov,389755,0
16313,"Denise Hayman",Denise,,Hayman,,,1,D,2,Sen,SD-033,7648770,149252,,Denise_Hayman,484092,0
16341,"Mary Dunwell",Mary,Ann,Dunwell,,,1,D,2,Sen,SD-042,23315663,149265,,Mary_Ann_Dunwell,484105,0
16342,"Willis Curdy",Willis,,Curdy,,,1,D,2,Sen,SD-049,6489164,109827,,Willis_Curdy,290231,0
16353,"Susan Webber",Susan,A,Webber,,,1,D,2,Sen,SD-008,7815331,150032,,Susan_Webber,486983,0
16355,"Janet Ellis",Janet,H.,Ellis,,,1,D,2,Sen,SD-041,7679276,149262,,Janet_Ellis,484102,0
16356,"Andrea Olsen",Andrea,,Olsen,,,1,D,2,Sen,SD-050,7862502,150515,,Andrea_Olsen,490650,0
16375,"Wendy McKamey",Wendy,,McKamey,,,2,R,2,Sen,SD-012,8099840,136817,,Wendy_McKamey,484053,0
16445,"Vince Ricci",Vince,,Ricci,,,2,R,2,Sen,SD-027,7774300,149242,,Vince_Ricci,484073,0
16562,"Forrest Mandeville",Forrest,J.,Mandeville,,,2,R,2,Sen,SD-029,7698549,149244,,Forrest_Mandeville,484078,0
16563,"Theresa Manzella",Theresa,,Manzella,,,2,R,2,Sen,SD-044,23405228,149266,,Theresa_Manzella,484106,0
16656,"Mark Noland",Mark,R.,Noland,,,2,R,2,Sen,SD-005,7733314,149218,,Mark_Noland,484031,0
16658,"Christopher Pope",Christopher,,Pope,,,1,D,2,Sen,SD-031,7704680,149250,,Christopher_Pope,484091,0
