bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1895895,1480870,2025-01-15,House,"(H) Education--Do Pass",15,0,0,0,15
1895895,1480871,2025-01-20,House,"(H) 2nd Reading Passed",91,8,0,1,100
1895895,1480872,2025-01-21,House,"(H) 3rd Reading Passed",79,20,0,1,100
1895895,1520245,2025-03-18,Senate,"(S) Education and Cultural Resources--Be Concurred In",14,0,0,0,14
1895895,1523215,2025-03-20,Senate,"(S) 2nd Reading Concurred",49,1,0,0,50
1895895,1524155,2025-03-21,Senate,"(S) 3rd Reading Concurred",49,1,0,0,50
1895895,1569472,2025-01-15,House,"(H) Education--Do Pass",15,0,0,0,15
1895896,1480873,2025-01-10,House,"(H) State Administration--Do Pass",19,0,0,0,19
1895896,1480874,2025-01-13,House,"(H) 2nd Reading Passed",99,0,0,1,100
1895896,1480875,2025-01-14,House,"(H) 3rd Reading Passed",100,0,0,0,100
1895896,1527728,2025-03-26,Senate,"(S) State Administration--Be Concurred In",9,0,0,0,9
1895896,1546548,2025-04-12,Senate,"(S) 2nd Reading Concurred",49,0,0,1,50
1895896,1546898,2025-04-14,Senate,"(S) 3rd Reading Concurred",48,0,0,2,50
1895897,1480877,2025-01-14,House,"(H) Taxation--Do Pass",21,0,0,0,21
1895897,1480878,2025-01-17,House,"(H) 2nd Reading Passed",100,0,0,0,100
1895897,1480879,2025-01-20,House,"(H) 3rd Reading Passed",98,0,0,2,100
1895897,1488094,2025-01-29,Senate,"(S) Taxation--Be Concurred In",8,0,0,0,8
1895897,1490688,2025-02-15,Senate,"(S) 2nd Reading Concurred",46,4,0,0,50
1895897,1492428,2025-02-18,Senate,"(S) 3rd Reading Concurred",48,2,0,0,50
1895898,1480881,2025-01-15,Senate,"(S) Highways and Transportation--Do Pass",16,0,0,0,16
1895898,1480883,2025-01-17,Senate,"(S) 2nd Reading Passed",48,2,0,0,50
1895898,1480884,2025-01-29,Senate,"(S) Highways and Transportation--Do Pass As Amended",8,0,0,0,8
1895898,1480885,2025-02-05,Senate,"(S) 2nd Reading Passed",50,0,0,0,50
1895898,1483397,2025-02-06,Senate,"(S) 3rd Reading Passed",48,1,0,1,50
1895898,1496228,2025-02-21,House,"(H) Legislative Administration--Be Concurred In",12,0,0,2,14
1895898,1519319,2025-03-17,House,"(H) 2nd Reading Concurred",97,3,0,0,100
1895898,1519668,2025-03-18,House,"(H) 3rd Reading Concurred",96,2,0,2,100
1895899,1488756,2025-02-13,Senate,"(S) Taxation--To Table",8,0,0,0,8
1895900,1484736,2025-01-10,Senate,"(S) Rules--Resolution Adopted",12,6,0,0,18
1895900,1539673,2025-04-08,Senate,"(S) 2nd Reading Passed",50,0,0,0,50
1895900,1542098,2025-04-09,Senate,"(S) 3rd Reading Passed",44,5,0,1,50
1895900,1550004,2025-04-16,House,"(H) Rules--Resolution Adopted",15,1,6,0,22
1895900,1551210,2025-04-16,House,"(H) Rules--Resolution Adopted",15,1,6,0,22
1895900,1555638,2025-04-23,House,"(H) 2nd Reading Concurred",77,23,0,0,100
1895900,1556947,2025-04-24,House,"(H) 3rd Reading Concurred",80,20,0,0,100
1895901,1480887,2025-01-10,House,"(H) State Administration--Do Pass As Amended",19,0,0,0,19
1895901,1480888,2025-01-14,House,"(H) 2nd Reading Passed",99,1,0,0,100
1895901,1480889,2025-01-15,House,"(H) 3rd Reading Passed",100,0,0,0,100
1895901,1527819,2025-03-26,Senate,"(S) State Administration--To Table",9,0,0,0,9
1895901,1529961,2025-03-26,Senate,"(S) State Administration--To Table",9,0,0,0,9
1895902,1480890,2025-01-15,House,"(H) Natural Resources--Do Pass",14,0,0,0,14
1895902,1480891,2025-01-20,House,"(H) 2nd Reading Passed",99,0,0,1,100
1895902,1480892,2025-01-21,House,"(H) 3rd Reading Passed",99,0,0,1,100
1895902,1524220,2025-03-21,Senate,"(S) Natural Resources--Be Concurred In",11,0,0,0,11
1895902,1527431,2025-03-26,Senate,"(S) 2nd Reading Concurred",47,3,0,0,50
1895902,1528980,2025-03-27,Senate,"(S) 3rd Reading Concurred",45,5,0,0,50
1895903,1480901,2025-01-10,House,"(H) Education--Do Pass As Amended",11,4,0,0,15
1895903,1480902,2025-01-16,House,"(H) 2nd Reading Passed",74,26,0,0,100
1895903,1480903,2025-01-17,House,"(H) 3rd Reading Passed",73,25,0,2,100
1895903,1488215,2025-02-04,Senate,"(S) Education and Cultural Resources--Be Concurred In",9,5,0,0,14
1895903,1493801,2025-02-19,Senate,"(S) 2nd Reading Concurred",28,21,0,1,50
1895903,1523037,2025-03-20,Senate,"(S) Finance and Claims--Be Concurred In",22,0,0,0,22
1895903,1524102,2025-03-21,Senate,"(S) 3rd Reading Concurred",42,8,0,0,50
1895904,1480904,2025-01-15,House,"(H) Energy, Technology and Federal Relations--Do Pass",13,1,0,0,14
1895904,1480905,2025-01-20,House,"(H) 2nd Reading Passed",89,10,0,1,100
1895904,1480906,2025-01-21,House,"(H) 3rd Reading Passed",85,14,0,1,100
1895904,1538130,2025-04-01,Senate,"(S) Energy, Technology & Federal Relations--Be Concurred In As Amended",13,0,0,0,13
1895904,1542219,2025-04-09,Senate,"(S) 2nd Reading Concurred",50,0,0,0,50
1895904,1543782,2025-04-10,Senate,"(S) 3rd Reading Concurred",48,0,0,2,50
1895904,1548444,2025-04-15,House,"(H) 2nd Reading Senate Amendments Concurred",100,0,0,0,100
1895904,1550149,2025-04-16,House,"(H) 3rd Reading Passed as Amended by Senate",97,1,0,2,100
1895904,1561581,2025-01-15,House,"(H) Energy, Technology and Federal Relations--Do Pass",13,1,0,0,14
1895905,1480908,2025-02-05,Senate,"(S) 2nd Reading Passed",32,18,0,0,50
1895905,1499242,2025-02-25,Senate,"(S) Finance and Claims--Do Pass",14,8,0,0,22
1895905,1501654,2025-02-27,Senate,"(S) 3rd Reading Passed",34,16,0,0,50
1895905,1539967,2025-04-08,House,"(H) Judiciary--Be Concurred In As Amended",13,7,0,0,20
1895905,1542405,2025-04-09,House,"(H) Appropriations--Be Concurred In",15,8,0,0,23
1895905,1545497,2025-04-11,House,"(H) 2nd Reading Concurred",63,37,0,0,100
1895905,1546102,2025-04-11,House,"(H) 3rd Reading Concurred",61,38,0,1,100
1895905,1549680,2025-04-16,Senate,"(S) 2nd Reading House Amendments Concurred",47,2,0,1,50
1895905,1551478,2025-04-17,Senate,"(S) 3rd Reading Passed as Amended by House",37,13,0,0,50
1895906,1480909,2025-01-22,Senate,"(S) State Administration--Do Pass",5,4,0,0,9
1895906,1480910,2025-01-30,Senate,"(S) 2nd Reading Passed",29,21,0,0,50
1895906,1480911,2025-01-31,Senate,"(S) 3rd Reading Passed",31,19,0,0,50
1895906,1522412,2025-03-20,House,"(H) State Administration--Be Concurred In",19,0,0,0,19
1895906,1525333,2025-03-24,House,"(H) 2nd Reading Concurred",76,22,0,2,100
1895906,1526353,2025-03-25,House,"(H) 3rd Reading Concurred",63,36,0,1,100
1895907,1480912,2025-01-15,House,"(H) Energy, Technology and Federal Relations--Do Pass",14,0,0,0,14
1895907,1480913,2025-01-20,House,"(H) 2nd Reading Motion to Amend Carried",99,0,0,1,100
1895907,1480914,2025-01-20,House,"(H) 2nd Reading Passed as Amended",97,2,0,1,100
1895907,1480915,2025-01-22,House,"(H) 3rd Reading Passed",99,1,0,0,100
1895907,1522059,2025-03-19,Senate,"(S) State Administration--Be Concurred In",9,0,0,0,9
1895907,1524716,2025-03-24,Senate,"(S) 2nd Reading Concurred",50,0,0,0,50
1895907,1526226,2025-03-25,Senate,"(S) 3rd Reading Concurred",47,3,0,0,50
1895907,1553872,2025-01-15,House,"(H) Energy, Technology and Federal Relations--Do Pass",14,0,0,0,14
1895908,1480917,2025-01-20,House,"(H) 2nd Reading Passed",96,3,0,1,100
1895908,1480918,2025-01-21,House,"(H) 3rd Reading Passed",94,5,0,1,100
1895908,1480919,2025-01-15,House,"(H) Energy, Technology and Federal Relations--",11,3,0,0,14
1895908,1529516,2025-03-27,Senate,"(S) Energy, Technology & Federal Relations--Resolution Adopted",8,0,0,5,13
1895908,1552072,2025-04-18,Senate,"(S) 2nd Reading Concurred",48,1,0,1,50
1895908,1553923,2025-04-22,Senate,"(S) 3rd Reading Concurred",47,3,0,0,50
1895908,1553924,2025-01-15,House,"(H) Energy, Technology and Federal Relations--Do Pass",11,3,0,0,14
1895909,1480930,2025-01-14,House,"(H) Local Government--Do Pass",119,0,0,0,119
1895909,1480937,2025-01-24,House,"(H) 2nd Reading Passed",100,0,0,0,100
1895909,1480938,2025-01-27,House,"(H) Appropriations--Do Pass",20,0,0,3,23
1895909,1480939,2025-01-30,House,"(H) 3rd Reading Passed",100,0,0,0,100
1895909,1524179,2025-03-21,Senate,"(S) Natural Resources--Be Concurred In",11,0,0,0,11
1895909,1534358,2025-04-02,Senate,"(S) 2nd Reading Concurred",50,0,0,0,50
1895909,1546842,2025-04-14,Senate,"(S) Finance and Claims--Be Concurred In",22,0,0,0,22
1895909,1548957,2025-04-15,Senate,"(S) 3rd Reading Concurred",49,0,0,1,50
1895910,1480945,2025-01-16,House,"(H) Judiciary--Do Pass",79,0,0,0,79
1895910,1480949,2025-01-20,House,"(H) 2nd Reading Passed",90,9,0,1,100
1895910,1480950,2025-01-21,House,"(H) 3rd Reading Passed",77,22,0,1,100
1895910,1493156,2025-02-19,Senate,"(S) Judiciary--Be Concurred In",8,0,0,1,9
1895910,1523090,2025-03-20,Senate,"(S) 2nd Reading Concurred",48,1,0,1,50
1895910,1524123,2025-03-21,Senate,"(S) 3rd Reading Concurred",49,1,0,0,50
1895911,1480951,2025-01-10,House,"(H) Judiciary--Do Pass",15,5,0,0,20
1895911,1480952,2025-01-17,House,"(H) 2nd Reading Passed",87,13,0,0,100
