bill_id,people_id,position
1895895,23634,1
1895896,22201,1
1895897,22943,1
1895898,20760,1
1895899,18373,1
1895900,7926,1
1895901,20372,1
1895902,21897,1
1895903,19742,1
1895904,22201,1
1895905,18388,1
1895906,16375,1
1895907,23191,1
1895908,20502,1
1895909,23326,1
1895910,25417,1
1895911,25419,1
1895912,22184,1
1895913,23631,1
1895914,22198,1
1895915,22021,1
1895916,22198,1
1895917,23629,1
1895918,23370,1
1895919,18373,1
1895920,22184,1
1895921,22021,1
1895922,16562,1
1895923,18373,1
1895924,20372,1
1895925,14338,1
1895926,22196,1
1895927,14351,1
1895928,25411,1
1895929,25398,1
1895930,23292,1
1895931,23634,1
1895932,7926,1
1895933,7986,1
1895934,18388,1
1895935,22184,1
1895936,14351,1
1895937,20760,1
1895938,20677,1
1895939,18387,1
1895940,7926,1
1895941,23629,1
1895942,22177,1
1895943,14351,1
1895944,16375,1
1895945,19742,1
1895946,14338,1
1895947,23634,1
1895948,22184,1
1895949,22184,1
1895950,16562,1
1895951,23296,1
1895952,23292,1
1895953,18388,1
1895954,16355,1
1895955,23631,1
1895956,7855,1
1895957,14173,1
1895958,23629,1
1895959,22177,1
1895960,16656,1
1895961,23637,1
1895962,18387,1
1895963,7855,1
1895964,22943,1
1895965,22943,1
1895966,14173,1
1895967,7855,1
1895968,22196,1
1895969,16375,1
1895970,18388,1
1895974,11962,1
1895988,23296,1
1896002,22186,1
1896038,19909,1
1896050,23326,1
1896062,23326,1
1896076,22178,1
1896087,23296,1
1896099,23326,1
1896111,23326,1
1896126,11962,1
1896137,23326,1
1896150,23326,1
1896160,19909,1
1896173,25427,1
1896185,23326,1
1896198,23326,1
1896210,23326,1
1896220,19909,1
1896230,14173,1
1896233,25399,1
1896238,21770,1
1896241,23370,1
1896247,14173,1
1896255,14173,1
1896259,23370,1
1896264,23334,1
1896269,18388,1
1896276,25404,1
1896282,21762,1
1896286,25410,1
1896292,14173,1
1896298,23631,1
1896303,18387,1
1896307,21762,1
1896313,23370,1
1896321,23370,1
1896324,21762,1
1896329,23370,1
1896370,16375,1
1896377,23370,1
1896387,7926,1
1896395,14331,1
1896406,23370,1
1896413,23370,1
1896420,7986,1
1896430,21762,1
1896439,21897,1
1896465,23632,1
1896479,21770,1
1896493,20502,1
1896506,7926,1
1896519,22184,1
1896534,25416,1
1896546,25402,1
1896559,21762,1
1896574,25394,1
1896588,25409,1
1896599,23632,1
1896795,14351,1
1896807,23370,1
1896819,18388,1
1896832,18388,1
1896880,19734,1
1896884,11953,1
1896891,19734,1
1896897,16342,1
1896900,14259,1
1896907,11953,1
1896914,23607,1
1896918,7926,1
1896923,16656,1
1896926,11953,1
1896932,16656,1
1896939,19916,1
1896942,21770,1
1896947,11962,1
1896953,14331,1
1896957,14173,1
1896961,11953,1
1896970,22186,1
1896972,23336,1
1896975,21770,1
1896981,23639,1
1896985,11962,1
1896989,21774,1
1896995,21770,1
1897000,22943,1
1897004,22198,1
1897013,25406,1
1897017,25404,1
1897021,20501,1
1897027,23296,1
1897032,22186,1
1897036,25423,1
1897043,23629,1
1897047,22201,1
1897063,16656,1
1897218,25390,1
1897241,25390,1
1897264,25390,1
1897292,25390,1
1898312,25426,1
1899691,10396,1
1899703,10396,1
1899705,10396,1
1899706,10396,1
1899707,10396,1
1899709,10396,1
1899710,10396,1
1899712,10396,1
1899723,20371,1
1899726,20496,1
1899729,14331,1
1899732,18389,1
1899735,25407,1
1899738,18389,1
1899740,20371,1
1899744,23146,1
1899746,23146,1
1899749,23635,1
1899753,25412,1
1899755,20371,1
1899758,25407,1
1899761,18044,1
1899764,25412,1
1899769,20371,1
1899772,16563,1
1899774,20496,1
1899777,20371,1
1899780,18389,1
1899784,23635,1
1899786,23146,1
1899789,22196,1
1899791,25407,1
1899794,20371,1
1899797,14173,1
1899801,20371,1
1899803,18044,1
1899807,18028,1
1902004,20370,1
1902082,20370,1
1902172,20370,1
1902255,11962,1
1902941,20370,1
1902972,23146,1
1903008,22193,1
1903041,20370,1
1903081,19909,1
1903111,18373,1
1903149,21774,1
1903182,18373,1
1903221,18373,1
1903255,18373,1
1903289,18373,1
1903353,25390,1
1903434,18552,1
1903521,22201,1
1903608,22184,1
1903768,19742,1
1904353,25407,1
1904404,7855,1
1904453,7994,1
1904503,23315,1
1904554,20370,1
1904601,21774,1
1904649,19742,1
1904695,7855,1
1904744,7855,1
1904789,7855,1
1905406,10396,1
1905491,25394,1
1905580,10396,1
1905667,10396,1
1905752,18044,1
1905840,16353,1
1905926,25394,1
1906009,19742,1
1907234,25420,1
1907261,14173,1
1907295,25419,1
1907327,16375,1
1907367,11962,1
1907402,23335,1
1907438,16672,1
1907471,14173,1
1907505,14173,1
1907609,18044,1
1907676,23146,1
1907746,16672,1
1907814,23296,1
1907883,23146,1
1907951,25426,1
1908015,23296,1
1908241,22021,1
1908316,20497,1
1908397,22178,1
1908479,10396,1
1908560,19742,1
1908634,22021,1
1908731,22195,1
1908842,22192,1
1908961,19742,1
1909080,16375,1
1909204,23633,1
1909327,22198,1
1909520,7926,1
1909553,25412,1
1909598,14259,1
1909633,14351,1
1909675,21982,1
1909714,25432,1
1909755,25403,1
1909795,25415,1
1909839,14351,1
1910267,16562,1
1910294,19909,1
1910323,23639,1
1910352,21897,1
1910381,25426,1
1910409,21897,1
1910436,23633,1
1910469,16562,1
1910497,16562,1
1910527,23639,1
1910554,21897,1
1910584,19909,1
1910612,21897,1
1910638,25411,1
1910663,25411,1
1910869,20372,1
1911065,16341,1
1911267,16341,1
1911460,20760,1
1911657,20372,1
1911851,16563,1
1911957,22084,1
1912007,20760,1
1912057,18387,1
1912107,22084,1
1912154,18387,1
1912204,25410,1
1912254,10405,1
1912304,18387,1
1912350,25410,1
1915388,23337,1
1915514,23335,1
1915643,22201,1
1915769,7926,1
1915893,23326,1
1915904,20497,1
1915984,23630,1
1916074,21982,1
1916163,14173,1
1916250,23296,1
1916341,23146,1
1916430,22196,1
1916520,14173,1
1917012,14331,1
1917161,21770,1
1917322,25416,1
1917486,21982,1
1917699,23146,1
1917746,19909,1
1917796,20498,1
1917845,16562,1
1917898,18373,1
1917946,7926,1
1917995,22196,1
1918045,18387,1
1918094,20501,1
1918144,16562,1
1918192,18552,1
1918241,22084,1
1918293,19909,1
1918342,16341,1
1918391,18373,1
1918438,25419,1
1918480,25414,1
1918537,14259,1
1918579,18044,1
1918626,25419,1
1918668,18044,1
1918714,23335,1
1918757,23335,1
1918803,21774,1
1918845,14338,1
1918889,7994,1
1918933,14259,1
1918980,23337,1
1919022,22084,1
1919058,18028,1
1919420,22192,1
1919506,10396,1
1919588,25427,1
1919677,25416,1
1919758,25410,1
1919848,23335,1
1919926,25416,1
1920036,25392,1
1920084,25406,1
1920137,25422,1
1920185,23370,1
1920246,23326,1
1920296,25392,1
1920350,23370,1
1920402,22190,1
1920452,23370,1
1920510,23370,1
1920563,22195,1
1920616,23370,1
1920670,22201,1
1920722,22190,1
1920768,23370,1
1920850,25420,1
1920925,25420,1
1921007,23335,1
1921088,25426,1
1921170,18388,1
1921253,11962,1
1921333,22178,1
1921418,7923,1
1921496,25420,1
1921583,14351,1
1921668,18388,1
1921748,14173,1
1921829,20501,1
1921914,21433,1
1921995,23337,1
1922077,21982,1
1922857,7855,1
1923218,7923,1
1923783,20370,1
1924336,14173,1
1924464,23335,1
1924584,23315,1
1924703,18388,1
1924825,20372,1
1924944,25425,1
1925068,23372,1
1925188,25417,1
1925309,25402,1
1925429,23335,1
1925548,25403,1
1925668,23335,1
1925786,25417,1
1926902,21762,1
1926993,21762,1
1927086,25411,1
1927188,20501,1
1927297,19742,1
1927410,25415,1
1927528,22084,1
1927641,22084,1
1927753,11962,1
1927875,7855,1
1927988,19742,1
1928105,22084,1
1928219,11962,1
1928343,18028,1
1928390,14173,1
1928439,7994,1
1928488,14173,1
1928541,21897,1
1928589,22186,1
1928639,23312,1
1928697,22186,1
1928743,18028,1
1928792,18028,1
1928841,14173,1
1928895,23630,1
1928947,25413,1
1928999,16341,1
1929964,20760,1
1929991,16562,1
1930020,16562,1
1930050,25393,1
1930081,22118,1
1930133,18389,1
1930185,18389,1
1930234,16562,1
1930330,19910,1
1930428,7994,1
1930526,7994,1
1930624,16353,1
1930881,25413,1
1930947,25413,1
1931015,18515,1
1931081,14173,1
1931144,23633,1
1931155,16563,1
1931263,22084,1
1931374,25419,1
1931486,18388,1
1931598,22190,1
1931720,18387,1
1931770,25393,1
1931824,21982,1
1931877,18387,1
1931932,25391,1
1931988,25391,1
1932042,20496,1
1932098,18387,1
1932152,18387,1
1932210,23313,1
1932264,18387,1
1932320,21982,1
1932372,18387,1
1932432,7994,1
1932484,25402,1
1932540,18387,1
1932594,11953,1
1932652,21982,1
1932706,16658,1
1932762,16341,1
1932815,18387,1
1932873,21982,1
1932928,25426,1
1932981,22201,1
1933035,21982,1
1934798,16445,1
1935067,19916,1
1935327,21897,1
1935335,22190,1
1935412,25411,1
1935492,22193,1
1935572,20502,1
1935652,23337,1
1935734,20502,1
1935815,23292,1
1935892,25411,1
1935974,23337,1
1936055,23146,1
1936136,23635,1
1936216,23629,1
1936297,21982,1
1936376,19742,1
1936819,22186,1
1936989,19742,1
1937294,14173,1
1937425,23632,1
1937559,25426,1
1937695,14338,1
1937826,16672,1
1937960,14173,1
1938092,22021,1
1938185,22084,1
1938275,25414,1
1938363,23633,1
1938453,23629,1
1938544,23635,1
1938631,21774,1
1938719,25414,1
1938809,23633,1
1938897,21774,1
1938978,23370,1
1939569,25398,1
1939738,23334,1
1940150,14351,1
1940386,22943,1
