bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1945804,2189,H2,2,Engrossed,2025-03-06,"Entry Fees for Interscholastic Sports Events","Entry Fees for Interscholastic Sports Events",698,"Senate Rules and Operations of the Senate",2025-03-06,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H2/2025,https://www.ncleg.gov/BillLookUp/2025/H2
1945932,2189,H3,4,Passed,2025-06-25,"Various Local Election Changes II","Various Local Election Changes II",0,,2025-06-25,"Ch. SL 2025-13",https://legiscan.com/NC/bill/H3/2025,https://www.ncleg.gov/BillLookUp/2025/H3
1945482,2189,H4,2,Engrossed,2025-05-07,"Sam&#x27;s Law","Sam&#x27;s Law",698,"Senate Rules and Operations of the Senate",2025-05-07,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H4/2025,https://www.ncleg.gov/BillLookUp/2025/H4
1945854,2189,H5,1,Introduced,2025-01-29,"NC Constitutional Carry Act","NC Constitutional Carry Act",673,"House Rules, Calendar, and Operations of the House",2025-03-19,"Re-ref Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H5/2025,https://www.ncleg.gov/BillLookUp/2025/H5
1945897,2189,H6,2,Engrossed,2025-03-06,"Pamlico Co. Muni. Even-Yr. Elect","Pamlico Co. Muni. Even-Yr. Elect",698,"Senate Rules and Operations of the Senate",2025-03-06,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H6/2025,https://www.ncleg.gov/BillLookUp/2025/H6
1945511,2189,H7,1,Introduced,2025-01-29,"NC REACH Act","NC REACH Act",639,"House Appropriations",2025-04-02,"Re-ref Com On Appropriations",https://legiscan.com/NC/bill/H7/2025,https://www.ncleg.gov/BillLookUp/2025/H7
1945945,2189,H8,2,Engrossed,2025-07-31,"NC Managing Environmental Waste Act of 2025","NC Managing Environmental Waste Act of 2025",698,"Senate Rules and Operations of the Senate",2025-07-31,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H8/2025,https://www.ncleg.gov/BillLookUp/2025/H8
1945975,2189,H9,1,Introduced,2025-01-29,"Firearm Discharge/Preempt Local Ordinance","Firearm Discharge/Preempt Local Ordinance",673,"House Rules, Calendar, and Operations of the House",2025-01-30,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H9/2025,https://www.ncleg.gov/BillLookUp/2025/H9
1945698,2189,H10,1,Introduced,2025-01-29,"Study State Travel Allowance Reimbursements","Study State Travel Allowance Reimbursements",673,"House Rules, Calendar, and Operations of the House",2025-01-30,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H10/2025,https://www.ncleg.gov/BillLookUp/2025/H10
1945962,2189,H11,1,Introduced,2025-01-29,"No Tax on Tips, Overtime, Bonus Pay","No Tax on Tips, Overtime, Bonus Pay",657,"House Finance",2025-03-11,"Re-ref Com On Finance",https://legiscan.com/NC/bill/H11/2025,https://www.ncleg.gov/BillLookUp/2025/H11
1945459,2189,H12,1,Introduced,2025-01-29,"Observe Standard Time All Year","Observe Standard Time All Year",3971,"House State and Local Government",2025-02-03,"Re-ref to the Com on State and Local Government, if favorable, Judiciary 1, if favorable, Commerce and Economic Development, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H12/2025,https://www.ncleg.gov/BillLookUp/2025/H12
1945680,2189,H13,1,Introduced,2025-01-29,"Charges for Credit &amp; Charge Cards","Charges for Credit &amp; Charge Cards",657,"House Finance",2025-07-17,"Re-ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H13/2025,https://www.ncleg.gov/BillLookUp/2025/H13
1945666,2189,H14,1,Introduced,2025-01-29,"Gambling Loss Tax Deduct, NC Sound Money Act","Gambling Loss Tax Deduct, NC Sound Money Act",657,"House Finance",2025-06-25,"Re-ref Com On Finance",https://legiscan.com/NC/bill/H14/2025,https://www.ncleg.gov/BillLookUp/2025/H14
1945912,2189,H15,2,Engrossed,2025-04-03,"Support Private Property Rights","Support Private Property Rights",698,"Senate Rules and Operations of the Senate",2025-04-03,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H15/2025,https://www.ncleg.gov/BillLookUp/2025/H15
1945469,2189,H16,2,Engrossed,2025-03-26,"General Assembly: In God We Trust - Display","General Assembly: In God We Trust - Display",698,"Senate Rules and Operations of the Senate",2025-03-26,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H16/2025,https://www.ncleg.gov/BillLookUp/2025/H16
1945530,2189,H17,4,Passed,2025-06-04,"Various Local Election Changes","Various Local Election Changes",0,,2025-06-04,"Ch. SL 2025-5",https://legiscan.com/NC/bill/H17/2025,https://www.ncleg.gov/BillLookUp/2025/H17
1946321,2189,H20,1,Introduced,2025-01-29,"Fair Maps Act","Fair Maps Act",673,"House Rules, Calendar, and Operations of the House",2025-01-30,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H20/2025,https://www.ncleg.gov/BillLookUp/2025/H20
1946158,2189,H21,2,Engrossed,2025-03-19,"Drivers License Designation/Autism","Drivers License Designation/Autism",698,"Senate Rules and Operations of the Senate",2025-03-19,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H21/2025,https://www.ncleg.gov/BillLookUp/2025/H21
1946442,2189,H22,1,Introduced,2025-01-29,"Fire Investigation Law Revisions","Fire Investigation Law Revisions",661,"House Insurance",2025-03-11,"Re-ref Com On Insurance",https://legiscan.com/NC/bill/H22/2025,https://www.ncleg.gov/BillLookUp/2025/H22
1946281,2189,H23,4,Passed,2025-07-07,"Various State and Local Gov&#x27;t Provisions","Various State and Local Gov&#x27;t Provisions",0,,2025-07-07,"Ch. SL 2025-67",https://legiscan.com/NC/bill/H23/2025,https://www.ncleg.gov/BillLookUp/2025/H23
1946401,2189,H24,1,Introduced,2025-01-29,"Restore Down-Zoning Authority","Restore Down-Zoning Authority",673,"House Rules, Calendar, and Operations of the House",2025-05-05,"Re-ref Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H24/2025,https://www.ncleg.gov/BillLookUp/2025/H24
1946199,2189,H25,1,Introduced,2025-01-29,"Restore Down-Zoning Auth./Stanly &amp; Catawba","Restore Down-Zoning Auth./Stanly &amp; Catawba",664,"House Judiciary III",2025-02-03,"Re-ref to the Com on Judiciary 3, if favorable, Housing and Development, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H25/2025,https://www.ncleg.gov/BillLookUp/2025/H25
1947196,2189,H26,4,Passed,2025-06-25,"Various Local Provisions I","Various Local Provisions I",0,,2025-06-25,"Ch. SL 2025-14",https://legiscan.com/NC/bill/H26/2025,https://www.ncleg.gov/BillLookUp/2025/H26
1946726,2189,H27,1,Introduced,2025-01-29,"SchCalFlex/Alamance/Open Cal","SchCalFlex/Alamance/Open Cal",3263,"House Education - K-12",2025-02-24,"Re-ref to the Com on Education - K-12, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H27/2025,https://www.ncleg.gov/BillLookUp/2025/H27
1947919,2189,H28,2,Engrossed,2025-03-19,"Gun Violence Prevention Act","Gun Violence Prevention Act",698,"Senate Rules and Operations of the Senate",2025-03-19,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H28/2025,https://www.ncleg.gov/BillLookUp/2025/H28
1948554,2189,H29,1,Introduced,2025-01-30,"Use Tribal ID for Alcohol &amp; Tobacco Purchase","Use Tribal ID for Alcohol &amp; Tobacco Purchase",673,"House Rules, Calendar, and Operations of the House",2025-03-04,"Re-ref Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H29/2025,https://www.ncleg.gov/BillLookUp/2025/H29
1951728,2189,H30,1,Introduced,2025-02-03,"SchCalFlex/WS-F,Stokes,Davdsn/Aug11 &amp; Assmnts","SchCalFlex/WS-F,Stokes,Davdsn/Aug11 &amp; Assmnts",3263,"House Education - K-12",2025-02-24,"Re-ref to the Com on Education - K-12, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H30/2025,https://www.ncleg.gov/BillLookUp/2025/H30
1951553,2189,H31,1,Introduced,2025-02-03,"Make Election Day A State Holiday","Make Election Day A State Holiday",5097,"House Election Law",2025-02-24,"Re-ref to the Com on Election Law, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H31/2025,https://www.ncleg.gov/BillLookUp/2025/H31
1951752,2189,H32,2,Engrossed,2025-03-06,"China Grove Even Year Elections","China Grove Even Year Elections",5102,"Senate Elections",2025-05-19,"Re-ref to Elections. If fav, re-ref to Rules and Operations of the Senate",https://legiscan.com/NC/bill/H32/2025,https://www.ncleg.gov/BillLookUp/2025/H32
1951451,2189,H33,1,Introduced,2025-02-03,"SchCalFlex/Yadkin, Davie/CC","SchCalFlex/Yadkin, Davie/CC",3263,"House Education - K-12",2025-02-24,"Re-ref to the Com on Education - K-12, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H33/2025,https://www.ncleg.gov/BillLookUp/2025/H33
1951526,2189,H34,2,Engrossed,2025-03-05,"Establish Larceny of Mail Offense","Establish Larceny of Mail Offense",698,"Senate Rules and Operations of the Senate",2025-03-05,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H34/2025,https://www.ncleg.gov/BillLookUp/2025/H34
1951407,2189,H35,2,Engrossed,2025-03-19,"Establish Military Appreciation Month","Establish Military Appreciation Month",698,"Senate Rules and Operations of the Senate",2025-03-19,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H35/2025,https://www.ncleg.gov/BillLookUp/2025/H35
1951604,2189,H36,1,Introduced,2025-02-03,"Maintenance of State Veterans Cemeteries","Maintenance of State Veterans Cemeteries",673,"House Rules, Calendar, and Operations of the House",2025-02-04,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H36/2025,https://www.ncleg.gov/BillLookUp/2025/H36
1951426,2189,H37,2,Engrossed,2025-03-19,"Enhance Firefighter Benefits &amp; Representation","Enhance Firefighter Benefits &amp; Representation",698,"Senate Rules and Operations of the Senate",2025-03-19,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H37/2025,https://www.ncleg.gov/BillLookUp/2025/H37
1951476,2189,H38,2,Engrossed,2025-04-29,"Second Amendment Financial Privacy Act","Second Amendment Financial Privacy Act",698,"Senate Rules and Operations of the Senate",2025-04-30,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H38/2025,https://www.ncleg.gov/BillLookUp/2025/H38
1952098,2189,H39,1,Introduced,2025-02-03,"Disabled Veteran Motor Vehicle Tax Exclusion","Disabled Veteran Motor Vehicle Tax Exclusion",657,"House Finance",2025-02-05,"Ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H39/2025,https://www.ncleg.gov/BillLookUp/2025/H39
1951781,2189,H40,4,Passed,2025-06-26,"Various GSC Recommendations","Various GSC Recommendations",0,,2025-06-26,"Ch. SL 2025-25",https://legiscan.com/NC/bill/H40/2025,https://www.ncleg.gov/BillLookUp/2025/H40
1951940,2189,H41,1,Introduced,2025-02-03,"Lincoln/Catawba Common Boundary Line","Lincoln/Catawba Common Boundary Line",662,"House Judiciary I",2025-02-05,"Ref to the Com on Judiciary 1, if favorable, State and Local Government, if favorable, Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H41/2025,https://www.ncleg.gov/BillLookUp/2025/H41
1952255,2189,H42,2,Engrossed,2025-03-05,"Burglary &amp; B&amp;E/Sentence Enhancement","Burglary &amp; B&amp;E/Sentence Enhancement",698,"Senate Rules and Operations of the Senate",2025-03-05,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H42/2025,https://www.ncleg.gov/BillLookUp/2025/H42
1953764,2189,H43,2,Engrossed,2025-03-12,"Designate State Balloon Rally","Designate State Balloon Rally",698,"Senate Rules and Operations of the Senate",2025-03-12,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H43/2025,https://www.ncleg.gov/BillLookUp/2025/H43
1953970,2189,H44,2,Engrossed,2025-02-27,"GSC Electronic Signatures","GSC Electronic Signatures",698,"Senate Rules and Operations of the Senate",2025-02-27,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H44/2025,https://www.ncleg.gov/BillLookUp/2025/H44
1953698,2189,H45,1,Introduced,2025-02-04,"GSC Moral Turpitude/Occupational Licensure","GSC Moral Turpitude/Occupational Licensure",673,"House Rules, Calendar, and Operations of the House",2025-02-26,"Re-ref Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H45/2025,https://www.ncleg.gov/BillLookUp/2025/H45
1953556,2189,H46,1,Introduced,2025-02-04,"Make Healthcare Affordable","Make Healthcare Affordable",673,"House Rules, Calendar, and Operations of the House",2025-02-05,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H46/2025,https://www.ncleg.gov/BillLookUp/2025/H46
1953835,2189,H47,4,Passed,2025-03-20,"Disaster Recovery Act of 2025 - Part I","Disaster Recovery Act of 2025 - Part I",0,,2025-03-20,"Ch. SL 2025-2",https://legiscan.com/NC/bill/H47/2025,https://www.ncleg.gov/BillLookUp/2025/H47
1953425,2189,H48,2,Engrossed,2025-02-27,"Increase UI Max Benefit/2025 UI Tax Credit","Increase UI Max Benefit/2025 UI Tax Credit",698,"Senate Rules and Operations of the Senate",2025-02-27,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H48/2025,https://www.ncleg.gov/BillLookUp/2025/H48
1954770,2189,H49,1,Introduced,2025-02-04,"Filial Debt Fairness Act","Filial Debt Fairness Act",663,"House Judiciary II",2025-03-06,"Re-ref to the Com on Judiciary 2, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H49/2025,https://www.ncleg.gov/BillLookUp/2025/H49
1955027,2189,H50,4,Passed,2025-06-13,"LEO Special Separation Allowance Options","LEO Special Separation Allowance Options",0,,2025-06-13,"Ch. SL 2025-8",https://legiscan.com/NC/bill/H50/2025,https://www.ncleg.gov/BillLookUp/2025/H50
1954066,2189,H51,1,Introduced,2025-02-04,"SchCalFlex/Orange,CH-Car,Caswell/CC &amp; Assmnts","SchCalFlex/Orange,CH-Car,Caswell/CC &amp; Assmnts",3263,"House Education - K-12",2025-02-24,"Re-ref to the Com on Education - K-12, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H51/2025,https://www.ncleg.gov/BillLookUp/2025/H51
1954942,2189,H52,2,Engrossed,2025-03-12,"Protect Those Who Serve &amp; Protect Act of 2025","Protect Those Who Serve &amp; Protect Act of 2025",698,"Senate Rules and Operations of the Senate",2025-03-12,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H52/2025,https://www.ncleg.gov/BillLookUp/2025/H52
1954238,2189,H53,2,Engrossed,2025-04-10,"Increase Accident Thresholds/Safe Driver Plan","Increase Accident Thresholds/Safe Driver Plan",698,"Senate Rules and Operations of the Senate",2025-04-10,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H53/2025,https://www.ncleg.gov/BillLookUp/2025/H53
1954412,2189,H54,1,Introduced,2025-02-04,"Funds for NC APSE","Funds for NC APSE",639,"House Appropriations",2025-02-05,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H54/2025,https://www.ncleg.gov/BillLookUp/2025/H54
1954151,2189,H55,1,Introduced,2025-02-04,"Funds for the IGNITE Program","Funds for the IGNITE Program",639,"House Appropriations",2025-02-05,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H55/2025,https://www.ncleg.gov/BillLookUp/2025/H55
1954328,2189,H56,2,Engrossed,2025-05-05,"Publish Central Office Employment Information","Publish Central Office Employment Information",698,"Senate Rules and Operations of the Senate",2025-05-05,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H56/2025,https://www.ncleg.gov/BillLookUp/2025/H56
1954593,2189,H57,2,Engrossed,2025-05-05,"Adopt State Veterans Museum","Adopt State Veterans Museum",698,"Senate Rules and Operations of the Senate",2025-05-05,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H57/2025,https://www.ncleg.gov/BillLookUp/2025/H57
1954857,2189,H58,4,Passed,2025-03-27,"Various Local Elections","Various Local Elections",0,,2025-03-27,"Ch. SL 2025-3",https://legiscan.com/NC/bill/H58/2025,https://www.ncleg.gov/BillLookUp/2025/H58
1955169,2189,H59,1,Introduced,2025-02-04,"Modify Homestead Exclusions","Modify Homestead Exclusions",657,"House Finance",2025-06-25,"Re-ref Com On Finance",https://legiscan.com/NC/bill/H59/2025,https://www.ncleg.gov/BillLookUp/2025/H59
1955445,2189,H60,1,Introduced,2025-02-04,"Modernize Medicaid Dental Rates","Modernize Medicaid Dental Rates",639,"House Appropriations",2025-02-06,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H60/2025,https://www.ncleg.gov/BillLookUp/2025/H60
1955309,2189,H61,1,Introduced,2025-02-04,"Assaults on First Responders","Assaults on First Responders",663,"House Judiciary II",2025-02-06,"Ref to the Com on Judiciary 2, if favorable, Emergency Management and Disaster Recovery, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H61/2025,https://www.ncleg.gov/BillLookUp/2025/H61
1956373,2189,H62,1,Introduced,2025-02-05,"Farmers Protection Act","Farmers Protection Act",5098,"House Commerce and Economic Development",2025-03-17,"Re-ref to the Com on Commerce and Economic Development, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H62/2025,https://www.ncleg.gov/BillLookUp/2025/H62
1956515,2189,H63,2,Engrossed,2025-04-10,"Town of Andrews/Deannexation","Town of Andrews/Deannexation",698,"Senate Rules and Operations of the Senate",2025-04-10,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H63/2025,https://www.ncleg.gov/BillLookUp/2025/H63
1956241,2189,H64,1,Introduced,2025-02-05,"Const. Amend. &#x2013; Gubernatorial Clemency","Const. Amend. &#x2013; Gubernatorial Clemency",673,"House Rules, Calendar, and Operations of the House",2025-02-06,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H64/2025,https://www.ncleg.gov/BillLookUp/2025/H64
1957149,2189,H65,1,Introduced,2025-02-05,"Sigma Gamma Rho Special Registration Plate","Sigma Gamma Rho Special Registration Plate",673,"House Rules, Calendar, and Operations of the House",2025-02-06,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H65/2025,https://www.ncleg.gov/BillLookUp/2025/H65
1957038,2189,H66,1,Introduced,2025-02-05,"Reduce Early Voting Period","Reduce Early Voting Period",673,"House Rules, Calendar, and Operations of the House",2025-02-06,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H66/2025,https://www.ncleg.gov/BillLookUp/2025/H66
