bill_id,date,chamber,sequence,action
1906014,2025-01-08,House,1,Filed
1906014,2025-01-08,House,2,"Passed 1st Reading"
1906014,2025-01-08,House,3,"Added to Calendar"
1906014,2025-01-08,House,4,Adopted
1906017,2025-01-08,Senate,1,Filed
1906017,2025-01-08,Senate,2,"Passed 1st Reading"
1906017,2025-01-08,Senate,3,Adopted
1906020,2025-01-08,Senate,1,Filed
1906020,2025-01-08,Senate,2,"Passed 1st Reading"
1906020,2025-01-08,Senate,3,"Passed 2nd Reading"
1906020,2025-01-08,Senate,4,"Passed 3rd Reading"
1906020,2025-01-08,Senate,5,"Special Message Sent To House"
1906020,2025-01-08,House,6,"Special Message Received From Senate"
1906020,2025-01-08,House,7,"Passed 1st Reading"
1906020,2025-01-08,House,8,"Added to Calendar"
1906020,2025-01-08,House,9,"Passed 2nd Reading"
1906020,2025-01-08,House,10,"Passed 3rd Reading"
1906020,2025-01-08,House,11,"Ordered Enrolled"
1906020,2025-01-08,,12,Ratified
1906020,2025-01-08,Senate,13,"Ch. Res 2025-1"
1945459,2025-01-29,House,1,Filed
1945459,2025-01-30,House,2,"Passed 1st Reading"
1945459,2025-01-30,House,3,"Ref To Com On Rules, Calendar, and Operations of the House"
1945459,2025-02-03,House,4,"Withdrawn From Com"
1945459,2025-02-03,House,5,"Re-ref to the Com on State and Local Government, if favorable, Judiciary 1, if favorable, Commerce and Economic Development, if favorable, Rules, Calendar, and Operations of the House"
1945469,2025-01-29,House,1,Filed
1945469,2025-01-30,House,2,"Passed 1st Reading"
1945469,2025-01-30,House,3,"Ref To Com On Rules, Calendar, and Operations of the House"
1945469,2025-02-03,House,4,"Withdrawn From Com"
1945469,2025-02-03,House,5,"Re-ref to the Com on Judiciary 3, if favorable, State and Local Government, if favorable, Rules, Calendar, and Operations of the House"
1945469,2025-03-04,House,6,"Reptd Fav"
1945469,2025-03-04,House,7,"Re-ref Com On State and Local Government"
1945469,2025-03-18,House,8,"Reptd Fav"
1945469,2025-03-18,House,9,"Re-ref Com On Rules, Calendar, and Operations of the House"
1945469,2025-03-24,House,10,"Reptd Fav"
1945469,2025-03-24,House,11,"Cal Pursuant Rule 36(b)"
1945469,2025-03-24,House,12,"Placed On Cal For 03/25/2025"
1945469,2025-03-25,House,13,"Passed 2nd Reading"
1945469,2025-03-25,House,14,"Passed 3rd Reading"
1945469,2025-03-26,House,15,"Regular Message Sent To Senate"
1945469,2025-03-26,Senate,16,"Regular Message Received From House"
1945469,2025-03-26,Senate,17,"Passed 1st Reading"
1945469,2025-03-26,Senate,18,"Ref To Com On Rules and Operations of the Senate"
1945482,2025-01-29,House,1,Filed
1945482,2025-01-30,House,2,"Passed 1st Reading"
1945482,2025-01-30,House,3,"Ref To Com On Rules, Calendar, and Operations of the House"
1945482,2025-02-03,House,4,"Withdrawn From Com"
1945482,2025-02-03,House,5,"Re-ref to the Com on Education - K-12, if favorable, Health, if favorable, Rules, Calendar, and Operations of the House"
1945482,2025-04-01,House,6,"Serial Referral To Rules, Calendar, and Operations of the House Stricken"
1945482,2025-04-01,House,7,"Serial Referral To Appropriations Added"
1945482,2025-04-01,House,8,"Serial Referral To Rules, Calendar, and Operations of the House Added"
1945482,2025-04-01,House,9,"Reptd Fav Com Substitute"
1945482,2025-04-01,House,10,"Re-ref Com On Health"
1945482,2025-04-15,House,11,"Reptd Fav Com Sub 2"
