bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1906014,1471274,2025-01-08,House,"R2 For Adoption",103,11,1,4,119
1906017,1471162,2025-01-08,Senate,"Motion 8 To Adopt",50,0,0,0,50
1906020,1471163,2025-01-08,Senate,"Second Reading",50,0,0,0,50
1906020,1471209,2025-01-08,House,"Second Reading",103,0,12,4,119
1945469,1526534,2025-03-25,House,"Second Reading",100,17,0,3,120
1945482,1567686,2025-05-07,House,"Second Reading",112,0,0,8,120
1945530,1584449,2025-06-03,House,"M11 Concur",111,1,2,6,120
1945639,1488334,2025-02-12,Senate,"Second Reading",45,0,1,4,50
1945804,1506733,2025-03-05,House,"Second Reading",111,1,0,8,120
1945912,1534219,2025-04-02,House,"Second Reading",93,24,0,3,120
1945932,1592538,2025-06-18,Senate,"Amendment 1",35,10,0,5,50
1945932,1592539,2025-06-18,Senate,"Amendment 2 Motion 1 To Table",28,17,0,5,50
1945932,1592540,2025-06-18,Senate,"Second Reading",28,17,0,5,50
1945932,1594523,2025-06-24,House,"M11 Concur",62,47,5,6,120
1945945,1599105,2025-07-29,House,"Second Reading",117,0,1,2,120
1946116,1476289,2025-01-29,House,"R2 For Adoption",94,21,1,3,119
1946158,1520428,2025-03-18,House,"Second Reading",118,0,0,2,120
1946237,1487560,2025-02-12,Senate,"Amendment 1",45,0,0,5,50
1946237,1487561,2025-02-12,Senate,"Amendment 2",18,27,0,5,50
1946237,1487562,2025-02-12,Senate,"Second Reading",30,15,0,5,50
1946281,1527676,2025-03-26,House,"Second Reading",112,0,1,7,120
1946281,1584937,2025-06-04,Senate,"Amendment 1",45,0,0,5,50
1946281,1584938,2025-06-04,Senate,"Third Reading",45,0,0,5,50
1946281,1591959,2025-06-17,House,"M11 Not Concur",111,0,2,7,120
1946281,1595446,2025-06-26,House,"C RPT Adoption",105,2,3,10,120
1946281,1595447,2025-06-26,Senate,"Conference Report Motion 8 To Adopt",42,0,0,8,50
1947196,1540257,2025-04-08,House,"Second Reading",109,5,0,6,120
1947196,1541643,2025-04-09,House,"Third Reading",108,4,2,6,120
1947196,1588724,2025-06-11,Senate,"Second Reading",42,2,0,6,50
1947196,1591791,2025-06-17,Senate,"Third Reading",45,1,0,4,50
1947196,1592405,2025-06-18,House,"R2 Ruled Mat&#x27;l M11 Concur",106,3,3,8,120
1947196,1594520,2025-06-24,House,"R3 Ruled Mat&#x27;l M11 Concur",107,3,5,5,120
1947919,1519878,2025-03-18,House,"Second Reading",111,7,0,2,120
1951407,1519914,2025-03-18,House,"Second Reading",118,0,0,2,120
1951426,1519932,2025-03-18,House,"Second Reading",118,0,0,2,120
1951476,1560540,2025-04-29,House,"A1 Pyrtle Second Reading",105,7,3,5,120
1951476,1560541,2025-04-29,House,"Second Reading",77,38,0,5,120
1951526,1504978,2025-03-04,House,"Second Reading",114,0,0,6,120
1951781,1500414,2025-02-26,House,"A1 Davis Second Reading",113,0,1,5,119
1951781,1500415,2025-02-26,House,"Second Reading",114,0,0,5,119
1951781,1591721,2025-06-17,Senate,"Second Reading",46,0,0,4,50
1951781,1592268,2025-06-18,House,"M11 Concur",111,0,0,9,120
1952255,1504636,2025-03-04,House,"Second Reading",114,0,0,6,120
1953425,1499374,2025-02-25,House,"A1 Longest Second Reading",47,68,0,4,119
1953425,1499375,2025-02-25,House,"Second Reading",114,1,0,4,119
1953425,1500467,2025-02-26,House,"Third Reading",113,1,0,5,119
1953764,1514656,2025-03-11,House,"Second Reading",115,0,0,5,120
1953835,1499226,2025-02-25,House,"A1 Bell Second Reading",114,0,1,4,119
1953835,1499227,2025-02-25,House,"Second Reading",115,0,0,4,119
1953835,1506191,2025-03-05,Senate,"Amendment 1",45,0,1,4,50
