bill_id,people_id,position
1906014,14604,1
1906017,12031,1
1906017,22424,2
1906020,12031,1
1906020,22424,2
1945459,2077,14
1945459,2122,26
1945459,11850,1
1945459,14604,2
1945459,17149,27
1945459,17876,13
1945459,18451,8
1945459,18460,18
1945459,18461,23
1945459,18495,29
1945459,20509,10
1945459,20512,12
1945459,20516,15
1945459,21375,20
1945459,21377,17
1945459,22599,7
1945459,22608,28
1945459,22609,4
1945459,22610,30
1945459,22612,21
1945459,22613,22
1945459,22946,24
1945459,22965,19
1945459,24197,9
1945459,24207,16
1945459,24890,5
1945459,25222,11
1945459,25841,6
1945459,25845,3
1945459,25856,25
1945469,2049,12
1945469,2083,20
1945469,2122,32
1945469,11850,33
1945469,11852,19
1945469,14602,6
1945469,14606,9
1945469,14633,30
1945469,18453,11
1945469,18461,27
1945469,18495,35
1945469,20512,17
1945469,20516,21
1945469,20519,2
1945469,21375,26
1945469,21377,24
1945469,22602,16
1945469,22603,18
1945469,22608,34
1945469,22609,36
1945469,22610,37
1945469,22611,38
1945469,22613,1
1945469,22946,28
1945469,22965,25
1945469,24196,7
1945469,24197,8
1945469,24201,10
1945469,24207,23
1945469,24212,4
1945469,24219,3
1945469,25214,29
1945469,25222,14
1945469,25841,5
1945469,25843,13
1945469,25848,22
1945469,25852,15
1945469,25856,31
1945482,2049,10
1945482,2077,13
1945482,2122,22
1945482,14633,21
1945482,18453,8
1945482,18461,18
1945482,18495,24
1945482,20519,1
1945482,21375,16
1945482,22599,6
1945482,22603,12
1945482,22609,25
1945482,22611,26
1945482,22613,17
1945482,22614,4
1945482,22946,19
1945482,24196,7
1945482,24197,3
1945482,24201,2
1945482,24207,14
1945482,24209,15
1945482,24215,20
1945482,24216,23
1945482,25841,5
1945482,25842,9
1945482,25843,11
1945499,24224,1
1945511,2086,7
1945511,18453,5
1945511,18495,10
1945511,20519,1
1945511,21375,8
1945511,22608,9
1945511,22609,4
1945511,22613,2
1945511,24201,3
1945511,25843,6
1945530,20516,2
1945530,22946,1
1945546,22423,1
1945557,11858,1
1945575,17147,2
1945575,20513,1
1945575,25860,3
1945588,18465,2
1945588,21663,1
1945603,11862,2
1945603,20513,1
1945620,25250,1
1945639,20222,1
1945653,18497,1
1945666,20512,10
1945666,20516,11
1945666,20519,3
1945666,21375,14
1945666,21377,12
1945666,22600,5
1945666,22607,2
1945666,22610,4
1945666,22614,1
1945666,24201,6
1945666,24211,13
1945666,25842,8
1945666,25852,9
1945666,25857,7
1945680,2077,18
1945680,11850,1
1945680,14634,2
1945680,17149,27
1945680,18451,7
1945680,18462,26
1945680,18495,29
1945680,19238,10
1945680,21375,23
1945680,22422,15
1945680,22599,6
1945680,22600,9
1945680,22607,3
1945680,22608,28
1945680,22609,30
1945680,22946,25
1945680,22965,21
1945680,24198,8
1945680,24206,19
1945680,24209,20
1945680,24890,4
1945680,25213,12
1945680,25841,5
1945680,25842,13
1945680,25843,16
1945680,25844,17
1945680,25845,11
1945680,25846,14
1945680,25850,22
1945680,25853,24
1945698,2044,9
1945698,2077,14
1945698,11850,1
1945698,17149,23
1945698,18451,3
1945698,19238,7
1945698,20512,12
1945698,20519,16
1945698,21375,20
1945698,22599,2
1945698,22600,6
1945698,22602,11
1945698,22609,24
1945698,22613,21
1945698,22965,18
