bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1899439,2140,HB1001,4,Passed,2025-04-11,"Salaries of the governor and lieutenant governor; to provide an exemption; and to provide for a report.","AN ACT to provide an appropriation for defraying the expenses of the office of the governor; to amend and reenact sections 54-07-04 and 54-08-03 of the North Dakota Century Code, relating to salaries of the governor and lieutenant governor; to provide an exemption; and to provide for a report.",0,,2025-04-14,"Filed with Secretary Of State 04/11",https://legiscan.com/ND/bill/HB1001/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1001.html
1899661,2140,HB1002,4,Passed,2025-03-28,"Public printing and the salary of the secretary of state; to provide for a transfer; and to provide an exemption.","AN ACT to provide an appropriation for defraying the expenses of the office of the secretary of state; to amend and reenact sections 46-03-11, 46-04-01, 46-04-03, 46-04-04, 46-04-10, 46-04-14, 46-04-18, 46-04-19, and 54-09-05 of the North Dakota Century Code, relating to public printing and the salary of the secretary of state; to provide for a transfer; and to provide an exemption.",0,,2025-03-31,"Filed with Secretary Of State 03/27",https://legiscan.com/ND/bill/HB1002/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1002.html
1899311,2140,HB1003,4,Passed,2025-05-17,"Compensation and mileage and travel expenses for witnesses, the salary of the attorney general, twenty-four seven sobriety program fees, and the tobacco settlement trust fund; to provide for a report; to provide for a transfer; and to provide an exemption.","AN ACT to provide an appropriation for defraying the expenses of the attorney general; to amend and reenact sections 31-01-16, 54-12-11, 54-12-30, and 54-27-25 of the North Dakota Century Code, relating to compensation and mileage and travel expenses for witnesses, the salary of the attorney general, twenty-four seven sobriety program fees, and the tobacco settlement trust fund; to provide for a report; to provide for a transfer; and to provide an exemption.",0,,2025-06-11,"Filed with Secretary Of State 05/19",https://legiscan.com/ND/bill/HB1003/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1003.html
1899125,2140,HB1004,4,Passed,2025-04-23,"The salary of the state auditor.","AN ACT to provide an appropriation for defraying the expenses of the state auditor; and to amend and reenact section 54-10-10 of the North Dakota Century Code, relating to the salary of the state auditor.",0,,2025-04-24,"Filed with Secretary Of State 04/22",https://legiscan.com/ND/bill/HB1004/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1004.html
1899546,2140,HB1005,4,Passed,2025-05-17,"The salary of the state treasurer; and to declare an emergency.","AN ACT to provide an appropriation for defraying the expenses of the state treasurer; to amend and reenact section 54-11-13 of the North Dakota Century Code, relating to the salary of the state treasurer; and to declare an emergency.",0,,2025-06-11,"Filed with Secretary Of State 05/12",https://legiscan.com/ND/bill/HB1005/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1005.html
1899047,2140,HB1006,4,Passed,2025-05-17,"The salary of the state tax commissioner; to provide an exemption; and to provide for a transfer.","AN ACT to provide an appropriation for defraying the expenses of the office of the tax commissioner and for payment of state reimbursement under the homestead tax credit, disabled veterans' tax credit, and primary residence credit; to amend and reenact section 57-01-04 of the North Dakota Century Code, relating to the salary of the state tax commissioner; to provide an exemption; and to provide for a transfer.",0,,2025-06-11,"Filed with Secretary Of State 05/12",https://legiscan.com/ND/bill/HB1006/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1006.html
1899633,2140,HB1007,4,Passed,2025-03-28,"AN ACT to provide an appropriation for defraying the expenses of the department of labor and human rights.","AN ACT to provide an appropriation for defraying the expenses of the department of labor and human rights.",0,,2025-03-31,"Filed with Secretary Of State 03/27",https://legiscan.com/ND/bill/HB1007/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1007.html
1899327,2140,HB1008,4,Passed,2025-04-23,"The salaries of the public service commissioners and deposits of special fuels excise taxes; and to provide loan authorization.","AN ACT to provide an appropriation for defraying the expenses of the public service commission; to amend and reenact sections 49-01-05 and 57-43.2-19 of the North Dakota Century Code, relating to the salaries of the public service commissioners and deposits of special fuels excise taxes; and to provide loan authorization.",0,,2025-04-24,"Filed with Secretary Of State 04/23",https://legiscan.com/ND/bill/HB1008/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1008.html
1899257,2140,HB1009,4,Passed,2025-05-02,"The salary of the agriculture commissioner; to provide for a transfer; to provide for a report; to provide an exemption; and to declare an emergency.","AN ACT to provide an appropriation for defraying the expenses of the agriculture commissioner; to amend and reenact section 4.1-01-02 of the North Dakota Century Code, relating to the salary of the agriculture commissioner; to provide for a transfer; to provide for a report; to provide an exemption; and to declare an emergency.",0,,2025-06-11,"Filed with Secretary Of State 05/02",https://legiscan.com/ND/bill/HB1009/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1009.html
1899121,2140,HB1010,4,Passed,2025-05-02,"Fees charged by the securities division and the salary of the insurance commissioner; and to provide for a legislative management report.","AN ACT to provide an appropriation for defraying the expenses of the insurance commissioner; to create and enact a new section to chapter 26.1-23.1 of the North Dakota Century Code, relating to a government self-insurance pool report; to amend and reenact subsection 8 of section 10-04-10 and section 26.1-01-09 of the North Dakota Century Code, relating to fees charged by the securities division and the salary of the insurance commissioner; and to provide for a legislative management report.",0,,2025-06-11,"Filed with Secretary Of State 05/02",https://legiscan.com/ND/bill/HB1010/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1010.html
1899451,2140,HB1011,2,Engrossed,2025-02-07,"Fees charged by the securities department.","A BILL for an Act to provide an appropriation for defraying the expenses of the securities department; and to amend and reenact subsection 8 of section 10-04-10 of the North Dakota Century Code, relating to fees charged by the securities department.",0,,2025-04-16,"Second reading, failed to pass, yeas 0 nays 47",https://legiscan.com/ND/bill/HB1011/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1011.html
1899501,2140,HB1012,4,Passed,2025-05-17,"Leases of department of health and human services property, substance use disorder treatment program, basic care payment rates, state of residence for child care assistance, opioid settlement advisory committee, and children's cabinet; to provide for a transfer; to authorize a line of credit; to provide legislative intent; to provide for a legislative management study; to provide an application; to provide an exemption; to provide for a report; and to provide an effective date.","AN ACT to provide an appropriation for defraying the expenses of various divisions of the department of health and human services; to create and enact a new section to chapter 6-09 of the North Dakota Century Code, relating to an extraordinary medical needs housing loan fund; to amend and reenact sections 50-06-06.6, 50-06-42, 50-24.5-02.3, and 50-33-05, and subsection 1 of 50-36-03 of the North Dakota Century Code and subsection 6 of the new section to chapter 54-07 of the North Dakota Century Code created in section 1 of Senate Bill No. 2176, as approved by the sixty-ninth legislative assembly, relating to leases of department of health and human services property, substance use disorder treatment program, basic care payment rates, state of residence for child care assistance, opioid settlement advisory committee, and children's cabinet; to provide for a transfer; to authorize a line of credit; to provide legislative intent; to provide for a legislative management study; to provide an application; to provide an exemption; to provide for a report; and to provide an effective date.",0,,2025-06-11,"Filed with Secretary Of State 05/19",https://legiscan.com/ND/bill/HB1012/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1012.html
1899653,2140,HB1013,4,Passed,2025-05-17,"The salary of the superintendent of public instruction and administrative cost-sharing; to provide for a transfer; to provide a report; to provide an exemption; and to provide an effective date.","AN ACT to provide an appropriation for defraying the expenses of the department of public instruction, the center for distance education, the state library, the school for the deaf, and North Dakota vision services - school for the blind; to create and enact a new section to chapter 15.1-07 of the North Dakota Century Code, relating to the collection of free or reduced-price meal eligibility information; to amend and reenact sections 15.1-02-02 and 15.1-27-16 of the North Dakota Century Code, relating to the salary of the superintendent of public instruction and administrative cost-sharing; to provide for a transfer; to provide a report; to provide an exemption; and to provide an effective date.",0,,2025-06-11,"Filed with Secretary Of State 05/12",https://legiscan.com/ND/bill/HB1013/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1013.html
1899356,2140,HB1014,4,Passed,2025-03-28,"AN ACT to provide an appropriation for defraying the expenses of the protection and advocacy project.","AN ACT to provide an appropriation for defraying the expenses of the protection and advocacy project.",0,,2025-03-31,"Filed with Secretary Of State 03/27",https://legiscan.com/ND/bill/HB1014/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1014.html
1898989,2140,HB1015,4,Passed,2025-05-17,"County achievement days; to provide for a transfer; to authorize a line of credit; to provide an exemption; to provide for a report; and to declare an emergency.","AN ACT to provide an appropriation for defraying the expenses of the various divisions under the supervision of the director of the office of management and budget; to create and enact a new section to chapter 54-44 of the North Dakota Century Code, relating to a state facility maintenance fund; to amend and reenact subsection 1 of section 10-30.5-02 of the North Dakota Century Code and section 9 of House Bill No. 1012, as approved by the sixty-ninth Legislative Assembly, relating to the North Dakota development fund and infant and toddler care provider support payments; to repeal section 11-38-08 of the North Dakota Century Code, relating to county achievement days; to provide for a transfer; to authorize a line of credit; to provide an exemption; to provide for a report; and to declare an emergency.",0,,2025-06-11,"Filed with Secretary Of State 05/12",https://legiscan.com/ND/bill/HB1015/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1015.html
1899587,2140,HB1016,4,Passed,2025-04-24,"AN ACT to provide an appropriation for defraying the expenses of the office of the adjutant general; to provide a statement of legislative intent; to provide an exemption; and to declare an emergency.","AN ACT to provide an appropriation for defraying the expenses of the office of the adjutant general; to provide a statement of legislative intent; to provide an exemption; and to declare an emergency.",0,,2025-04-25,"Filed with Secretary Of State 04/23",https://legiscan.com/ND/bill/HB1016/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1016.html
1899323,2140,HB1017,4,Passed,2025-04-23,"AN ACT to provide an appropriation for defraying the expenses of the game and fish department; and to provide an exemption.","AN ACT to provide an appropriation for defraying the expenses of the game and fish department; and to provide an exemption.",0,,2025-04-24,"Filed with Secretary Of State 04/23",https://legiscan.com/ND/bill/HB1017/2025,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1017.html
