bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1899439,3035957,text,52664,application/pdf,Prefiled,https://legiscan.com/ND/text/HB1001/id/3035957,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0145-01000.pdf
1899439,3180105,text,65820,application/pdf,Amended,https://legiscan.com/ND/text/HB1001/id/3180105,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0145-03000.pdf
1899439,3128951,text,63187,application/pdf,Engrossed,https://legiscan.com/ND/text/HB1001/id/3128951,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0145-02000.pdf
1899439,3203922,text,68855,application/pdf,Enrolled,https://legiscan.com/ND/text/HB1001/id/3203922,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0145-04000.pdf
1899661,3036011,text,52032,application/pdf,Prefiled,https://legiscan.com/ND/text/HB1002/id/3036011,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0146-01000.pdf
1899661,3113896,text,80349,application/pdf,Engrossed,https://legiscan.com/ND/text/HB1002/id/3113896,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0146-02000.pdf
1899661,3187086,text,80897,application/pdf,Enrolled,https://legiscan.com/ND/text/HB1002/id/3187086,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0146-03000.pdf
1899311,3035926,text,55441,application/pdf,Prefiled,https://legiscan.com/ND/text/HB1003/id/3035926,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-01000.pdf
1899311,3204137,text,90627,application/pdf,Amended,https://legiscan.com/ND/text/HB1003/id/3204137,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-03000.pdf
1899311,3220996,text,94400,application/pdf,Amended,https://legiscan.com/ND/text/HB1003/id/3220996,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-04000.pdf
1899311,3224179,text,85379,application/pdf,Amended,https://legiscan.com/ND/text/HB1003/id/3224179,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-05000.pdf
1899311,3121878,text,86230,application/pdf,Engrossed,https://legiscan.com/ND/text/HB1003/id/3121878,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-02000.pdf
1899311,3234569,text,87055,application/pdf,Enrolled,https://legiscan.com/ND/text/HB1003/id/3234569,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0147-06000.pdf
1899125,3035881,text,48781,application/pdf,Prefiled,https://legiscan.com/ND/text/HB1004/id/3035881,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0148-01000.pdf
1899125,3193458,text,60078,application/pdf,Amended,https://legiscan.com/ND/text/HB1004/id/3193458,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0148-03000.pdf
1899125,3112728,text,58947,application/pdf,Engrossed,https://legiscan.com/ND/text/HB1004/id/3112728,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0148-02000.pdf
1899125,3214243,text,64310,application/pdf,Enrolled,https://legiscan.com/ND/text/HB1004/id/3214243,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0148-04000.pdf
1899546,3035983,text,48660,application/pdf,Prefiled,https://legiscan.com/ND/text/HB1005/id/3035983,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0149-01000.pdf
1899546,3222394,text,60509,application/pdf,Amended,https://legiscan.com/ND/text/HB1005/id/3222394,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0149-03000.pdf
1899546,3128449,text,111732,application/pdf,Engrossed,https://legiscan.com/ND/text/HB1005/id/3128449,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0149-02000.pdf
