bill_id,date,chamber,sequence,action
1898924,2025-01-07,House,1,"Introduced, first reading, referred to Industry, Business and Labor"
1898924,2025-01-08,House,2,"Committee Hearing 02:00 (Industry, Business and Labor)"
1898924,2025-01-10,House,3,"Reported back, do pass, place on calendar 13 0 1"
1898924,2025-01-10,House,4,"Second reading, passed, yeas 91 nays 0"
1898924,2025-01-13,Senate,5,"Received from House"
1898924,2025-02-05,Senate,6,"Introduced, first reading, referred to Industry and Business"
1898924,2025-02-17,Senate,7,"Committee Hearing 03:00 (Industry and Business)"
1898924,2025-02-21,Senate,8,"Reported back, do pass, place on calendar 5 0 0"
1898924,2025-03-07,Senate,9,"Second reading, passed, yeas 46 nays 1"
1898924,2025-03-10,House,10,"Returned to House"
1898924,2025-03-12,Senate,11,"Signed by President"
1898924,2025-03-13,House,12,"Signed by Speaker"
1898924,2025-03-13,House,13,"Sent to Governor"
1898924,2025-03-18,House,14,"Signed by Governor 03/14"
1898924,2025-03-19,House,15,"Filed with Secretary Of State 03/14"
1898928,2025-01-07,Senate,1,"Introduced, first reading, referred to Agriculture and Veterans Affairs"
1898928,2025-01-09,Senate,2,"Committee Hearing 10:35 (Agriculture and Veterans Affairs)"
1898928,2025-01-13,Senate,3,"Reported back amended, do pass, amendment placed on calendar 6 0 0"
1898928,2025-01-14,Senate,4,"Amendment adopted, placed on calendar"
1898928,2025-01-15,Senate,5,"Second reading, passed, yeas 47 nays 0"
1898928,2025-01-16,House,6,"Received from Senate"
1898928,2025-02-13,House,7,"Introduced, first reading, referred to Agriculture"
1898928,2025-03-06,House,8,"Committee Hearing 10:00 (Agriculture)"
1898928,2025-03-07,House,9,"Reported back, do pass, place on calendar 13 0 1"
1898928,2025-03-10,House,10,"Second reading, passed, yeas 93 nays 0"
1898928,2025-03-11,Senate,11,"Returned to Senate"
1898928,2025-03-14,House,12,"Signed by Speaker"
1898928,2025-03-14,Senate,13,"Signed by President"
1898928,2025-03-14,Senate,14,"Sent to Governor"
1898928,2025-03-18,Senate,15,"Signed by Governor 03/17"
1898928,2025-03-20,Senate,16,"Filed with Secretary Of State 03/18"
1898932,2025-01-07,Senate,1,"Introduced, first reading, referred to Appropriations"
1898932,2025-01-13,Senate,2,"Committee Hearing 03:00 (Appropriations - Education and Environment Division)"
1898932,2025-01-23,Senate,3,"Committee Hearing 09:00 (Appropriations - Education and Environment Division)"
1898932,2025-02-17,Senate,4,"Reported back amended, do pass, amendment placed on calendar 15 0 1"
1898932,2025-02-18,Senate,5,"Amendment adopted, placed on calendar"
1898932,2025-02-20,Senate,6,"Second reading, passed, yeas 47 nays 0"
1898932,2025-02-21,House,7,"Received from Senate"
1898932,2025-02-25,House,8,"Introduced, first reading, referred to Appropriations"
1898932,2025-03-12,House,9,"Committee Hearing 02:00 (Appropriations - Education and Environment Division)"
1898932,2025-03-21,House,10,"Committee Hearing 09:00 (Appropriations - Education and Environment Division)"
1898932,2025-04-11,House,11,"Reported back amended, do pass, amendment placed on calendar 22 0 1"
1898932,2025-04-14,House,12,"Amendment adopted, placed on calendar"
1898932,2025-04-15,House,13,"Second reading, passed as amended, yeas 82 nays 10"
1898932,2025-04-15,House,14,"Emergency clause carried"
1898932,2025-04-15,Senate,15,"Returned to Senate (12)"
1898932,2025-04-17,Senate,16,"Refused to concur"
1898932,2025-04-17,Senate,17,"Conference committee appointed Schaible Conley Meyer"
1898932,2025-04-21,House,18,"Conference committee appointed Richter Sanford Martinson"
1898932,2025-04-29,Senate,19,"Reported back from conference committee, in place of, placed on calendar"
1898932,2025-04-29,Senate,20,"Conference committee report adopted"
1898932,2025-04-29,Senate,21,"Second reading, passed, yeas 47 nays 0, Emergency clause carried"
1898932,2025-04-29,House,22,"Reported back from conference committee, in place of, placed on calendar"
1898932,2025-04-29,House,23,"Conference committee report adopted"
1898932,2025-04-29,House,24,"Second reading, passed as amended, yeas 82 nays 8"
1898932,2025-04-29,House,25,"Emergency clause carried"
1898932,2025-05-01,House,26,"Signed by Speaker"
1898932,2025-05-01,Senate,27,"Signed by President"
1898932,2025-05-01,Senate,28,"Sent to Governor"
1898932,2025-05-02,Senate,29,"Signed by Governor 05/02"
1898932,2025-06-11,Senate,30,"Filed with Secretary Of State 05/02"
1898936,2025-01-07,House,1,"Introduced, first reading, referred to Judiciary"
1898936,2025-01-08,House,2,"Committee Hearing 02:20 (Judiciary)"
