people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
7707,"Dan Ruby",Dan,,Ruby,,,2,R,1,Rep,HD-038,6636464,41879,,Dan_Ruby,205810,0
7736,"Keith Kempenich",Keith,,Kempenich,,,2,R,1,Rep,HD-039,6605333,7735,,Keith_Kempenich,196804,0
7737,"Karen Karls",Karen,,Karls,,,2,R,1,Rep,HD-035,6670078,58774,,Karen_Karls,249527,0
7738,"Lisa Meier",Lisa,M.,Meier,,,2,R,1,Rep,HD-032,6636429,41722,,Lisa_Meier,205808,0
7741,"Lawrence Klemin",Lawrence,R.,Klemin,,,2,R,1,Rep,HD-047,6605354,21155,,Lawrence_Klemin,196820,0
7747,"Bob Martinson",Bob,,Martinson,,,2,R,1,Rep,HD-035,6605439,54863,,Bob_Martinson,196824,0
7749,"Robin Weisz",Robin,,Weisz,,,2,R,1,Rep,HD-014,6636314,11376,,Robin_Weisz,196754,0
7754,"Todd Porter",Todd,,Porter,,,2,R,1,Rep,HD-034,13004159,21198,,Todd_Porter,196794,0
7758,"Craig Headland",Craig,,Headland,,,2,R,1,Rep,HD-029,6605296,41708,,Craig_Headland,213186,0
7762,"Mike Schatz",Mike,,Schatz,,,2,R,1,Rep,HD-039,6676162,104876,,Mike_Schatz,271797,0
7764,"Donald Vigesaa",Donald,W.,Vigesaa,,Don,2,R,1,Rep,HD-029,6659812,41782,,Don_Vigesaa,222791,0
7769,"Mary Schneider",Mary,,Schneider,,,1,D,1,Rep,HD-021,10009409,152060,,Mary_Schneider,494974,0
7776,"Mike Nathe",Mike,,Nathe,,,2,R,1,Rep,HD-030,6676152,104865,,Mike_Nathe,271796,0
7780,"Patrick Hatlestad",Patrick,R.,Hatlestad,,,2,R,1,Rep,HD-001,6670066,59288,,Patrick_Hatlestad,249507,0
7785,"James Kasper",James,M.,Kasper,,Jim,2,R,1,Rep,HD-046,6636403,41759,,James_Kasper,205812,0
7795,"David Monson",David,,Monson,,,2,R,1,Rep,HD-019,6636209,7748,,David_Monson,196745,0
7798,"Michael Brandenburg",Michael,Don,Brandenburg,,Mike,2,R,1,Rep,HD-028,6636020,11418,,Michael_Don_Brandenburg,227956,0
7806,"Judy Lee",Judy,E.,Lee,,,2,R,2,Sen,SD-013,13012779,7660,,Judy_Lee,196690,0
7812,"Jerry Klein",Jerry,,Klein,,,2,R,2,Sen,SD-014,6636416,11289,,Jerry_Klein,196691,0
