bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1898924,1471262,2025-01-10,House,"House Second reading",91,0,0,3,94
1898924,1508860,2025-03-07,Senate,"Senate Second reading",46,1,0,0,47
1898928,1471806,2025-01-15,Senate,"Senate Second reading",47,0,0,0,47
1898928,1511738,2025-03-10,House,"House Second reading",93,0,0,1,94
1898932,1495370,2025-02-20,Senate,"Senate Second reading",47,0,0,0,47
1898932,1548977,2025-04-15,House,"House Second reading",82,10,0,2,94
1898932,1560399,2025-04-29,Senate,"Senate Second reading",47,0,0,0,47
1898932,1560400,2025-04-29,House,"House Second reading",82,8,0,4,94
1898936,1471243,2025-01-10,House,"House Reported back, do pass, place on calendar 14 0 0",91,0,0,3,94
1898936,1471244,2025-01-10,House,"House Second reading",91,0,0,3,94
1898936,1508792,2025-03-07,Senate,"Senate Second reading",47,0,0,0,47
1898940,1472161,2025-01-17,House,"House Second reading",89,0,0,5,94
1898940,1508933,2025-03-07,Senate,"Senate Second reading",46,1,0,0,47
1898944,1498424,2025-02-24,House,"House Second reading",86,5,0,2,93
1898944,1524142,2025-03-21,Senate,"Senate Second reading",44,0,0,3,47
1898948,1498109,2025-02-24,Senate,"Senate Second reading",47,0,0,0,47
1898948,1558301,2025-04-25,House,"House Second reading",61,31,0,2,94
1898948,1569625,2025-05-02,Senate,"Senate Second reading",46,0,0,1,47
1898948,1569626,2025-05-02,House,"House Second reading",86,2,0,6,94
1898952,1472486,2025-01-20,Senate,"Senate Second reading",47,0,0,0,47
1898952,1508922,2025-03-07,House,"House Second reading",88,0,0,5,93
1898956,1475130,2025-01-27,Senate,"Senate Second reading",46,1,0,0,47
1898956,1516657,2025-03-12,House,"House Second reading",87,5,0,2,94
1898961,1472522,2025-01-20,Senate,"Senate Second reading",47,0,0,0,47
1898961,1508930,2025-03-07,House,"House Second reading",90,0,0,3,93
1898965,1498337,2025-02-24,Senate,"Senate Second reading",46,0,0,1,47
1898965,1557864,2025-04-24,House,"House Second reading",71,19,0,4,94
1898965,1569553,2025-05-02,Senate,"Senate Second reading",42,3,0,2,47
1898965,1569554,2025-05-02,House,"House Second reading",74,15,0,5,94
1898969,1475929,2025-01-28,Senate,"Senate Second reading",47,0,0,0,47
1898969,1525034,2025-03-24,House,"House Second reading",83,9,0,2,94
1898973,1471335,2025-01-10,Senate,"Senate Reported back, do pass, place on calendar 6 0 0",46,0,0,1,47
1898973,1471336,2025-01-13,Senate,"Senate Second reading",47,0,0,0,47
1898973,1511830,2025-03-10,House,"House Second reading",93,0,0,1,94
1898977,1479068,2025-02-03,Senate,"Senate Second reading",3,43,0,1,47
1898981,1472018,2025-01-16,Senate,"Senate Second reading",47,0,0,0,47
1898981,1508927,2025-03-07,House,"House Second reading",89,0,0,4,93
1898985,1484448,2025-02-07,Senate,"Senate Second reading",47,0,0,0,47
1898985,1528034,2025-03-26,House,"House Second reading",92,0,0,2,94
1898989,1499643,2025-02-25,House,"House Second reading",83,6,0,4,93
1898989,1554225,2025-04-22,Senate,"Senate Second reading",31,16,0,0,47
1898989,1569546,2025-05-02,House,"House Second reading",76,9,0,9,94
1898989,1569547,2025-05-02,Senate,"Senate Second reading",40,6,0,1,47
1898994,1471253,2025-01-10,Senate,"Senate Reported back, do pass, place on calendar 7 0 0",46,0,0,1,47
1898994,1471254,2025-01-10,Senate,"Senate Second reading",46,0,0,1,47
1898994,1511962,2025-03-10,House,"House Second reading",25,67,0,2,94
1898998,1487100,2025-02-11,Senate,"Senate Second reading",46,0,0,1,47
1898998,1537582,2025-04-04,House,"House Second reading",88,3,0,3,94
1898998,1555391,2025-04-23,Senate,"Senate Second reading",47,0,0,0,47
1898998,1557742,2025-04-24,House,"House Second reading",92,1,0,1,94
1899002,1471827,2025-01-15,House,"House Second reading",93,0,0,1,94
1899002,1509234,2025-03-10,Senate,"Senate Second reading",44,1,0,2,47
1899006,1478964,2025-02-03,Senate,"Senate Second reading",46,0,0,1,47
1899006,1529674,2025-03-27,House,"House Second reading",86,6,0,2,94
1899010,1471234,2025-01-10,Senate,"Senate Reported back, do pass, place on calendar 6 0 0",46,0,0,1,47
1899010,1471235,2025-01-10,Senate,"Senate Second reading",46,0,0,1,47
1899010,1508877,2025-03-07,House,"House Second reading",87,3,0,3,93
1899014,1471258,2025-01-10,Senate,"Senate Reported back, do pass, place on calendar 6 0 0",46,0,0,1,47
1899014,1471259,2025-01-10,Senate,"Senate Second reading",46,0,0,1,47
1899014,1511318,2025-03-10,House,"House Second reading",91,1,0,2,94
1899018,1472191,2025-01-17,House,"House Second reading",90,0,0,4,94
1899018,1508915,2025-03-07,Senate,"Senate Second reading",46,1,0,0,47
1899022,1480164,2025-02-04,Senate,"Senate Second reading",46,0,0,1,47
1899022,1518789,2025-03-17,House,"House Second reading",92,0,0,2,94
1899022,1526677,2025-03-25,Senate,"Senate Second reading",44,0,0,3,47
1899027,1472156,2025-01-17,House,"House Second reading",90,0,0,4,94
1899027,1509765,2025-03-10,Senate,"Senate Second reading",45,0,0,2,47
1899031,1471588,2025-01-13,House,"House Reported back, do pass, place on calendar 14 0 0",91,0,0,3,94
1899031,1471589,2025-01-14,House,"House Second reading",93,0,0,1,94
1899031,1508838,2025-03-07,Senate,"Senate Second reading",47,0,0,0,47
1899035,1494338,2025-02-19,Senate,"Senate Second reading",46,1,0,0,47
1899035,1544780,2025-04-10,House,"House Second reading",82,10,0,2,94
1899039,1499620,2025-02-25,Senate,"Senate Second reading",46,0,0,1,47
1899039,1549461,2025-04-15,House,"House Second reading",75,17,0,2,94
1899039,1552329,2025-04-18,Senate,"Senate Second reading",45,1,0,1,47
1899043,1472509,2025-01-20,House,"House Second reading",88,0,0,6,94
1899043,1538380,2025-04-07,Senate,"Senate Second reading",46,1,0,0,47
1899043,1551794,2025-04-17,House,"House Second reading",92,0,0,2,94
1899047,1499673,2025-02-25,House,"House Second reading",89,1,0,3,93
1899047,1552786,2025-04-21,Senate,"Senate Second reading",47,0,0,0,47
1899047,1570040,2025-05-02,House,"House Second reading",87,3,0,4,94
1899047,1570041,2025-05-02,Senate,"Senate Second reading",46,0,0,1,47
1899051,1472496,2025-01-20,Senate,"Senate Second reading",43,4,0,0,47
1899051,1526789,2025-03-25,House,"House Second reading",64,24,0,6,94
1899051,1534839,2025-04-02,Senate,"Senate Second reading",44,3,0,0,47
1899055,1478972,2025-02-03,House,"House Second reading",87,5,0,2,94
1899055,1537334,2025-04-04,Senate,"Senate Second reading",41,4,0,2,47
1899055,1548758,2025-04-15,House,"House Second reading",84,6,0,4,94
1899060,1486852,2025-02-11,Senate,"Senate Second reading",46,0,0,1,47
