bill_id,people_id,position
1898924,23539,1
1898928,23543,1
1898932,23544,1
1898936,14225,1
1898940,23535,1
1898944,23539,1
1898948,23544,1
1898952,23549,1
1898956,23549,1
1898961,23550,1
1898965,23544,1
1898969,14225,1
1898973,23552,1
1898977,14225,1
1898981,23715,1
1898985,23551,1
1898989,23533,1
1898994,23550,1
1898998,23544,1
1899002,23540,1
1899006,23544,1
1899010,23551,1
1899014,23547,1
1899018,23538,1
1899022,23551,1
1899027,23535,1
1899031,23537,1
1899035,14225,1
1899039,23544,1
1899043,14225,1
1899047,23533,1
1899051,23550,1
1899055,14225,1
1899060,23544,1
1899064,23533,1
1899068,23540,1
1899072,23533,1
1899076,23551,1
1899080,14225,1
1899084,23544,1
1899088,23544,1
1899093,23546,1
1899097,23540,1
1899101,23549,1
1899105,23538,1
1899109,14225,1
1899113,23539,1
1899117,23537,1
1899121,23533,1
1899125,23533,1
1899130,23546,1
1899134,23532,1
1899138,14225,1
1899142,23533,1
1899146,23544,1
1899150,23551,1
1899154,23542,1
1899158,23540,1
1899163,23538,1
1899167,23546,1
1899171,23538,1
1899175,23538,1
1899179,23550,1
1899183,23539,1
1899187,23550,1
1899191,14225,1
1899196,14225,1
1899200,23532,1
1899204,23550,1
1899208,14225,1
1899212,23546,1
1899216,23537,1
1899220,14225,1
1899224,23542,1
1899229,23551,1
1899233,23538,1
1899237,23537,1
1899241,23537,1
1899245,23533,1
1899249,23537,1
1899253,23544,1
1899257,23533,1
1899262,23540,1
1899266,23535,1
1899270,14225,1
1899274,23550,1
1899278,14225,1
1899282,23548,1
1899286,23541,1
1899290,23551,1
1899295,23537,1
1899299,14225,1
1899303,14225,1
1899307,23539,1
1899311,23533,1
1899315,23534,1
1899319,23533,1
1899323,23533,1
1899327,23533,1
1899332,23552,1
1899336,14225,1
1899340,23544,1
1899344,23550,1
1899348,23542,1
1899352,23542,1
1899356,23533,1
1899360,23533,1
1899365,23544,1
1899369,14225,1
1899373,14225,1
1899377,23544,1
1899381,14225,1
1899385,23548,1
1899389,23544,1
1899393,23548,1
1899398,23537,1
1899402,23532,1
1899406,23548,1
1899410,23551,1
1899414,23549,1
1899418,7764,9
1899418,7776,1
1899418,7826,12
1899418,16369,5
1899418,16371,7
1899418,16372,11
1899418,16382,4
1899418,18111,2
1899418,18121,6
1899418,22174,3
1899418,22216,8
1899418,23715,10
1899422,23552,1
1899426,23544,1
1899431,23532,1
1899435,23544,1
1899439,23533,1
1899443,23549,1
1899447,23538,1
1899451,23533,1
1899455,23542,1
1899459,14225,1
1899464,23547,1
1899468,23535,1
1899472,23538,1
1899476,23550,1
1899480,23540,1
1899484,23537,1
1899488,14225,1
1899492,23542,1
1899496,23549,1
1899501,23533,1
1899505,23544,1
1899509,23553,1
1899513,23553,1
1899517,23548,1
1899521,23544,1
1899525,23544,1
1899529,23544,1
1899534,23548,1
1899538,14225,1
1899542,23550,1
1899546,23533,1
1899550,23539,1
1899554,23542,1
1899558,23537,1
1899562,23549,1
1899567,23533,1
1899571,23551,1
1899575,23549,1
1899579,14225,1
1899583,14225,1
1899587,23533,1
1899591,23544,1
1899595,23549,1
1899600,14225,1
1899604,23544,1
1899608,23543,1
1899612,23550,1
1899616,23544,1
1899620,14225,1
1899624,23532,1
1899628,23552,1
1899633,23533,1
1899637,23543,1
1899641,23535,1
1899645,23553,1
1899649,23538,1
1899653,23533,1
1899657,23544,1
1899661,23533,1
1899986,7737,4
1899986,7806,8
1899986,14804,1
1899986,16369,6
1899986,18408,2
1899986,23704,5
1899986,23709,7
1899986,23799,3
1899993,18121,5
1899993,22121,4
1899993,22174,3
1899993,23158,8
1899993,23706,1
1899993,23716,7
1899993,25684,2
1899993,25691,6
1899999,23538,1
1900006,18112,4
1900006,18409,2
1900006,19947,6
1900006,20163,5
1900006,23703,1
1900006,23706,3
1900011,7844,3
1900011,20174,1
1900011,23706,2
1900018,23540,1
1900024,7758,5
1900024,7798,3
1900024,10428,11
1900024,16371,7
1900024,18414,8
1900024,21344,10
1900024,21919,2
1900024,22122,12
1900024,22174,4
1900024,22213,9
1900024,23792,1
1900024,25628,6
1900029,18417,5
1900029,19949,1
1900029,23711,4
1900029,25628,3
1900029,25689,2
1900033,7795,1
1900033,7840,6
1900033,18474,7
1900033,21344,5
1900033,21919,3
1900033,23792,2
1900033,23799,4
1900041,7754,4
1900041,18112,5
1900041,18118,6
1900041,19947,8
1900041,19958,7
1900041,23707,3
1900041,23708,1
1900041,23799,2
1900052,16597,6
1900052,18409,4
1900052,20174,3
1900052,23703,1
1900052,23706,5
1900052,23794,2
1900059,7736,3
1900059,10902,2
1900059,18112,6
1900059,19950,7
1900059,19958,10
1900059,22122,11
1900059,23707,5
1900059,23708,1
1900059,23712,8
1900059,23806,9
1900059,25628,4
1900065,7754,1
1900065,16371,4
1900065,16597,5
1900065,18111,2
1900065,18472,3
1900065,19958,6
1900065,22123,7
1900071,23700,1
1900076,7707,7
1900076,7795,5
1900076,18414,9
1900076,18474,10
1900076,18477,4
1900076,18483,8
1900076,21919,2
1900076,22174,3
1900076,23792,1
1900076,23807,11
1900076,25691,6
1900082,10893,7
1900082,16371,4
1900082,18472,2
1900082,23703,1
1900082,23706,3
1900082,23712,5
1900082,23714,6
1900085,10902,2
1900085,18415,4
1900085,18474,8
1900085,21344,7
1900085,23708,3
1900085,23713,5
1900085,23716,6
1900085,23792,1
1900091,7738,4
1900091,7747,3
1900091,7795,1
1900091,7844,6
1900091,10887,8
1900091,19947,7
1900091,19950,5
1900091,23703,2
1900099,7795,1
1900099,7844,6
1900099,19949,3
1900099,20163,4
1900099,23712,5
1900099,23792,2
1900105,23799,1
1900108,7758,2
1900108,7764,1
1900108,7813,3
1900191,7754,6
1900191,14243,1
1900191,18477,4
1900191,19952,8
1900191,23701,2
1900191,23709,5
1900191,23716,7
1900191,25688,3
1900195,20035,2
1900195,20163,3
1900195,23717,1
1900198,14240,1
1900198,18472,2
1900200,23537,1
1900204,10885,1
1900207,23538,1
1900210,23538,1
1900216,23535,1
1900218,23717,1
1900221,23537,1
1900225,23537,1
1900229,23550,1
1900232,23549,1
1900235,23542,1
1900239,14240,1
1900243,23536,1
1900246,23543,1
1900249,23553,1
1900251,23540,1
1900254,20163,2
1900254,23717,1
1900257,23537,1
1900260,10905,7
1900260,14804,4
1900260,18408,2
1900260,20037,6
1900260,21344,8
1900260,21919,1
1900260,22123,9
1900260,22174,3
1900260,25628,5
1900263,14240,1
1900263,23720,2
1900266,14240,1
1900266,18472,2
1900271,7844,1
1900274,20037,2
1900274,23717,1
1900277,7844,1
1900280,7738,5
1900280,7813,3
1900280,7844,1
1900280,23716,2
1900280,23801,4
