bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1908242,2185,LB1,4,Passed,2025-02-26,"Eliminate an incorrect reference in provisions of the medical cannabis initiative petition language adopted by the voters","Eliminate an incorrect reference in provisions of the medical cannabis initiative petition language adopted by the voters",0,,2025-02-26,"Approved by Governor on February 25, 2025",https://legiscan.com/NE/bill/LB1/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58014
1908470,2185,LB2,4,Passed,2025-02-26,"Repeal provisions that have terminated related to an advisory group, funds, a pilot study, emergency assistance, and a task force","Repeal provisions that have terminated related to an advisory group, funds, a pilot study, emergency assistance, and a task force",0,,2025-02-26,"Approved by Governor on February 25, 2025",https://legiscan.com/NE/bill/LB2/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58015
1908449,2185,LB3,1,Introduced,2025-01-09,"Change provisions relating to selection of presidential electors","Change provisions relating to selection of presidential electors",0,,2025-04-08,"Conrad MO1 pending",https://legiscan.com/NE/bill/LB3/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58830
1908612,2185,LB4,1,Introduced,2025-01-09,"Adopt the Telecommunications Exchange Deregulation Act","Adopt the Telecommunications Exchange Deregulation Act",0,,2025-06-06,"Provisions/portions of LB4 amended into LB311 by AM1111",https://legiscan.com/NE/bill/LB4/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58808
1908275,2185,LB5,1,Introduced,2025-01-09,"Provide immunity for administration of naloxone or other federally approved opioid antagonists","Provide immunity for administration of naloxone or other federally approved opioid antagonists",1444,"Legislature Judiciary",2025-01-16,"Notice of hearing for January 23, 2025",https://legiscan.com/NE/bill/LB5/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58827
1908655,2185,LB6,6,Failed,2025-06-02,"Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death","Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death",0,,2025-06-06,"Provisions/portions of LB6 amended into LB530 by AM1219",https://legiscan.com/NE/bill/LB6/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58017
1908696,2185,LB7,4,Passed,2025-04-08,"Change provisions relating to real estate and the Foreign-owned Real Estate National Security Act","Change provisions relating to real estate and the Foreign-owned Real Estate National Security Act",0,,2025-04-08,"Approved by Governor on April 7, 2025",https://legiscan.com/NE/bill/LB7/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58785
1908361,2185,LB8,1,Introduced,2025-01-09,"Change provisions relating to the tax credits under the Sustainable Aviation Fuel Tax Credit Act","Change provisions relating to the tax credits under the Sustainable Aviation Fuel Tax Credit Act",1447,"Legislature Revenue",2025-01-15,"Notice of hearing for January 22, 2025",https://legiscan.com/NE/bill/LB8/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59343
1908551,2185,LB9,4,Passed,2025-05-01,"Change provisions relating to cigarette taxes and the Tobacco Products Tax Act and provide for regulation of products containing nicotine analogues","Change provisions relating to cigarette taxes and the Tobacco Products Tax Act and provide for regulation of products containing nicotine analogues",0,,2025-06-06,"Provisions/portions of LB125 amended into LB9 by AM549",https://legiscan.com/NE/bill/LB9/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59013
1908493,2185,LB10,4,Passed,2025-03-12,"Change requirements relating to wholesale drug distributors and dispensing of certain prescription drugs","Change requirements relating to wholesale drug distributors and dispensing of certain prescription drugs",0,,2025-03-12,"Approved by Governor on March 11, 2025",https://legiscan.com/NE/bill/LB10/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58924
1908383,2185,LB11,1,Introduced,2025-01-09,"Appropriate funds for the Nebraska Statewide Workforce and Education Reporting System Act","Appropriate funds for the Nebraska Statewide Workforce and Education Reporting System Act",1437,"Legislature Appropriations",2025-02-05,"Notice of hearing for February 25, 2025",https://legiscan.com/NE/bill/LB11/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58925
1908512,2185,LB12,1,Introduced,2025-01-09,"Change the statute of limitations on certain civil actions for sexual assault of a child","Change the statute of limitations on certain civil actions for sexual assault of a child",1444,"Legislature Judiciary",2025-02-06,"Notice of hearing for March 26, 2025",https://legiscan.com/NE/bill/LB12/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58858
2032407,2185,LB13A,1,Introduced,2025-05-19,"Appropriation Bill","Appropriation Bill",0,,2025-05-19,"Placed on General File",https://legiscan.com/NE/bill/LB13A/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=62208
1908297,2185,LB13,2,Engrossed,2025-03-05,"Require the Department of Health and Human Services to file a state plan amendment relating to child care","Require the Department of Health and Human Services to file a state plan amendment relating to child care",0,,2025-03-14,"Cavanaugh, M. priority bill",https://legiscan.com/NE/bill/LB13/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59107
1908337,2185,LB14,1,Introduced,2025-01-09,"Adopt the Hunger-Free Schools Act","Adopt the Hunger-Free Schools Act",1440,"Legislature Education",2025-03-11,"Cavanaugh, M. AM483 filed",https://legiscan.com/NE/bill/LB14/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58857
1908574,2185,LB15,1,Introduced,2025-01-09,"State intent regarding appropriations for interpreter services for the Supreme Court","State intent regarding appropriations for interpreter services for the Supreme Court",1437,"Legislature Appropriations",2025-02-05,"Notice of hearing for March 19, 2025",https://legiscan.com/NE/bill/LB15/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58888
1908405,2185,LB16,1,Introduced,2025-01-09,"Adopt the Nebraska Consumable Hemp Control Act","Adopt the Nebraska Consumable Hemp Control Act",1444,"Legislature Judiciary",2025-01-22,"Notice of hearing for January 29, 2025",https://legiscan.com/NE/bill/LB16/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58832
1908531,2185,LB17,1,Introduced,2025-01-09,"Prohibit certain fees by residential landlords and require notices and disclosures of consumer reports","Prohibit certain fees by residential landlords and require notices and disclosures of consumer reports",1444,"Legislature Judiciary",2025-02-06,"Notice of hearing for February 20, 2025",https://legiscan.com/NE/bill/LB17/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59238
1908429,2185,LB18,1,Introduced,2025-01-09,"Require certain determinations prior to utility pole installations under the Small Wireless Facilities Deployment Act","Require certain determinations prior to utility pole installations under the Small Wireless Facilities Deployment Act",1448,"Legislature Transportation and Telecommunications",2025-01-31,"Notice of hearing for February 11, 2025",https://legiscan.com/NE/bill/LB18/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59396
1908257,2185,LB19,1,Introduced,2025-01-09,"Change provisions relating to elections for cities of the metropolitan class","Change provisions relating to elections for cities of the metropolitan class",0,,2025-06-06,"Provisions/portions of LB19 amended into LB521 by AM1152",https://legiscan.com/NE/bill/LB19/2025,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=59167
