bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1908242,3045110,text,60168,application/pdf,Introduced,https://legiscan.com/NE/text/LB1/id/3045110,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB1.pdf
1908242,3119487,text,60189,application/pdf,Engrossed,https://legiscan.com/NE/text/LB1/id/3119487,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB1.pdf
1908242,3119486,text,60189,application/pdf,Enrolled,https://legiscan.com/NE/text/LB1/id/3119486,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB1.pdf
1908242,3142485,text,56574,application/pdf,Chaptered,https://legiscan.com/NE/text/LB1/id/3142485,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB1.pdf
1908470,3045306,text,51196,application/pdf,Introduced,https://legiscan.com/NE/text/LB2/id/3045306,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB2.pdf
1908470,3119761,text,52166,application/pdf,Engrossed,https://legiscan.com/NE/text/LB2/id/3119761,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB2.pdf
1908470,3119760,text,51220,application/pdf,Enrolled,https://legiscan.com/NE/text/LB2/id/3119760,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB2.pdf
1908470,3142469,text,50176,application/pdf,Chaptered,https://legiscan.com/NE/text/LB2/id/3142469,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB2.pdf
1908449,3045288,text,61835,application/pdf,Introduced,https://legiscan.com/NE/text/LB3/id/3045288,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB3.pdf
1908612,3045433,text,74514,application/pdf,Introduced,https://legiscan.com/NE/text/LB4/id/3045433,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB4.pdf
1908275,3045140,text,58431,application/pdf,Introduced,https://legiscan.com/NE/text/LB5/id/3045140,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB5.pdf
1908655,3045469,text,69684,application/pdf,Introduced,https://legiscan.com/NE/text/LB6/id/3045469,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB6.pdf
1908696,3045505,text,86955,application/pdf,Introduced,https://legiscan.com/NE/text/LB7/id/3045505,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB7.pdf
1908696,3181618,text,77056,application/pdf,Engrossed,https://legiscan.com/NE/text/LB7/id/3181618,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB7.pdf
1908696,3181617,text,88947,application/pdf,Enrolled,https://legiscan.com/NE/text/LB7/id/3181617,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB7.pdf
1908696,3205476,text,79133,application/pdf,Chaptered,https://legiscan.com/NE/text/LB7/id/3205476,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB7.pdf
1908361,3045213,text,91878,application/pdf,Introduced,https://legiscan.com/NE/text/LB8/id/3045213,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB8.pdf
1908551,3045384,text,110860,application/pdf,Introduced,https://legiscan.com/NE/text/LB9/id/3045384,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB9.pdf
1908551,3218023,text,103911,application/pdf,Engrossed,https://legiscan.com/NE/text/LB9/id/3218023,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB9.pdf
1908551,3218022,text,118273,application/pdf,Enrolled,https://legiscan.com/NE/text/LB9/id/3218022,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB9.pdf
1908551,3227249,text,99739,application/pdf,Chaptered,https://legiscan.com/NE/text/LB9/id/3227249,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB9.pdf
1908493,3045333,text,55124,application/pdf,Introduced,https://legiscan.com/NE/text/LB10/id/3045333,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB10.pdf
1908493,3132840,text,55148,application/pdf,Engrossed,https://legiscan.com/NE/text/LB10/id/3132840,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB10.pdf
1908493,3132839,text,55556,application/pdf,Enrolled,https://legiscan.com/NE/text/LB10/id/3132839,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB10.pdf
1908493,3167716,text,53220,application/pdf,Chaptered,https://legiscan.com/NE/text/LB10/id/3167716,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB10.pdf
1908383,3045230,text,53808,application/pdf,Introduced,https://legiscan.com/NE/text/LB11/id/3045230,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB11.pdf
1908512,3045350,text,53080,application/pdf,Introduced,https://legiscan.com/NE/text/LB12/id/3045350,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB12.pdf
1908297,3045157,text,60261,application/pdf,Introduced,https://legiscan.com/NE/text/LB13/id/3045157,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB13.pdf
2032407,3240053,text,52082,application/pdf,Introduced,https://legiscan.com/NE/text/LB13A/id/3240053,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB13A.pdf
1908337,3045192,text,64491,application/pdf,Introduced,https://legiscan.com/NE/text/LB14/id/3045192,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB14.pdf
1908574,3045401,text,51570,application/pdf,Introduced,https://legiscan.com/NE/text/LB15/id/3045401,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB15.pdf
1908405,3045250,text,193998,application/pdf,Introduced,https://legiscan.com/NE/text/LB16/id/3045250,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB16.pdf
1908531,3045366,text,64672,application/pdf,Introduced,https://legiscan.com/NE/text/LB17/id/3045366,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB17.pdf
1908429,3045270,text,58400,application/pdf,Introduced,https://legiscan.com/NE/text/LB18/id/3045270,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB18.pdf
1908257,3045124,text,102455,application/pdf,Introduced,https://legiscan.com/NE/text/LB19/id/3045124,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB19.pdf
1908629,3045448,text,54432,application/pdf,Introduced,https://legiscan.com/NE/text/LB20/id/3045448,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB20.pdf
1908629,3118172,text,53639,application/pdf,Engrossed,https://legiscan.com/NE/text/LB20/id/3118172,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB20.pdf
1908629,3118114,text,54807,application/pdf,Enrolled,https://legiscan.com/NE/text/LB20/id/3118114,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB20.pdf
1908629,3142546,text,52333,application/pdf,Chaptered,https://legiscan.com/NE/text/LB20/id/3142546,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB20.pdf
1908676,3045486,text,66238,application/pdf,Introduced,https://legiscan.com/NE/text/LB21/id/3045486,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB21.pdf
1908676,3134308,text,61442,application/pdf,Engrossed,https://legiscan.com/NE/text/LB21/id/3134308,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB21.pdf
1908676,3134307,text,66302,application/pdf,Enrolled,https://legiscan.com/NE/text/LB21/id/3134307,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB21.pdf
1908676,3177093,text,61914,application/pdf,Chaptered,https://legiscan.com/NE/text/LB21/id/3177093,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB21.pdf
1908593,3045418,text,66255,application/pdf,Introduced,https://legiscan.com/NE/text/LB22/id/3045418,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB22.pdf
2001157,3167139,text,53373,application/pdf,Introduced,https://legiscan.com/NE/text/LB22A/id/3167139,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB22A.pdf
1908593,3178431,text,71172,application/pdf,Engrossed,https://legiscan.com/NE/text/LB22/id/3178431,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB22.pdf
2001157,3198050,text,52590,application/pdf,Engrossed,https://legiscan.com/NE/text/LB22A/id/3198050,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB22A.pdf
1908593,3178430,text,76247,application/pdf,Enrolled,https://legiscan.com/NE/text/LB22/id/3178430,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB22.pdf
2001157,3198049,text,52324,application/pdf,Enrolled,https://legiscan.com/NE/text/LB22A/id/3198049,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB22A.pdf
2001157,3210692,text,51183,application/pdf,Chaptered,https://legiscan.com/NE/text/LB22A/id/3210692,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB22A.pdf
1908593,3210697,text,69095,application/pdf,Chaptered,https://legiscan.com/NE/text/LB22/id/3210697,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB22.pdf
1908319,3045175,text,51424,application/pdf,Introduced,https://legiscan.com/NE/text/LB23/id/3045175,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB23.pdf
1909294,3046231,text,61563,application/pdf,Introduced,https://legiscan.com/NE/text/LB24/id/3046231,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB24.pdf
1908909,3045873,text,52205,application/pdf,Introduced,https://legiscan.com/NE/text/LB25/id/3045873,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB25.pdf
1909307,3046244,text,52047,application/pdf,Introduced,https://legiscan.com/NE/text/LB26/id/3046244,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB26.pdf
1909137,3046080,text,75727,application/pdf,Introduced,https://legiscan.com/NE/text/LB27/id/3046080,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB27.pdf
1908971,3045931,text,80397,application/pdf,Introduced,https://legiscan.com/NE/text/LB28/id/3045931,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB28.pdf
1908730,3045705,text,55663,application/pdf,Introduced,https://legiscan.com/NE/text/LB29/id/3045705,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB29.pdf
1909076,3046025,text,80765,application/pdf,Introduced,https://legiscan.com/NE/text/LB30/id/3046025,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB30.pdf
1908849,3045818,text,60127,application/pdf,Introduced,https://legiscan.com/NE/text/LB31/id/3045818,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB31.pdf
1909197,3046136,text,52570,application/pdf,Introduced,https://legiscan.com/NE/text/LB32/id/3046136,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB32.pdf
1909197,3235043,text,54194,application/pdf,Engrossed,https://legiscan.com/NE/text/LB32/id/3235043,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB32.pdf
1909197,3235042,text,54948,application/pdf,Enrolled,https://legiscan.com/NE/text/LB32/id/3235042,https://nebraskalegislature.gov/FloorDocs/109/PDF/Final/LB32.pdf
1909197,3240201,text,52705,application/pdf,Chaptered,https://legiscan.com/NE/text/LB32/id/3240201,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB32.pdf
