bill_id,date,chamber,sequence,action
1905314,2025-01-08,Legislature,1,"Date of introduction"
1905314,2025-01-08,Legislature,2,"Laid over"
1905314,2025-01-15,Legislature,3,Adopted
1905314,2025-01-15,Legislature,4,"President/Speaker signed"
1908242,2025-01-09,Legislature,1,"Date of introduction"
1908242,2025-01-13,Legislature,2,"Placed on General File"
1908242,2025-01-29,Legislature,3,"Advanced to Enrollment and Review Initial"
1908242,2025-01-31,Legislature,4,"Placed on Select File"
1908242,2025-02-07,Legislature,5,"Advanced to Enrollment and Review for Engrossment"
1908242,2025-02-13,Legislature,6,"Placed on Final Reading"
1908242,2025-02-21,Legislature,7,"Passed on Final Reading with Emergency Clause 48-0-1"
1908242,2025-02-21,Legislature,8,"President/Speaker signed"
1908242,2025-02-21,Legislature,9,"Presented to Governor on February 21, 2025"
1908242,2025-02-26,Legislature,10,"Approved by Governor on February 25, 2025"
1908257,2025-01-09,Legislature,1,"Date of introduction"
1908257,2025-01-13,Legislature,2,"Referred to Government, Military and Veterans Affairs Committee"
1908257,2025-01-27,Legislature,3,"Cavanaugh, J. AM46 filed"
1908257,2025-01-29,Legislature,4,"Notice of hearing for February 06, 2025"
1908257,2025-06-06,Legislature,5,"Provisions/portions of LB19 amended into LB521 by AM1152"
1908275,2025-01-09,Legislature,1,"Date of introduction"
1908275,2025-01-13,Legislature,2,"Referred to Judiciary Committee"
1908275,2025-01-14,Legislature,3,"Notice of hearing for January 22, 2025"
1908275,2025-01-14,Legislature,4,"Raybould name added"
1908275,2025-01-15,Legislature,5,"Notice of hearing for January 22, 2025 (cancel)"
1908275,2025-01-16,Legislature,6,"Notice of hearing for January 23, 2025"
1908297,2025-01-09,Legislature,1,"Date of introduction"
1908297,2025-01-13,Legislature,2,"Referred to Health and Human Services Committee"
1908297,2025-01-13,Legislature,3,"Notice of hearing for January 22, 2025"
1908297,2025-01-14,Legislature,4,"Conrad name added"
1908297,2025-01-22,Legislature,5,"Hallstrom name added"
1908297,2025-01-24,Legislature,6,"Cavanaugh, M. AM34 filed"
1908297,2025-02-13,Legislature,7,"Placed on General File with AM249"
1908297,2025-02-13,Legislature,8,"Health and Human Services AM249 filed"
1908297,2025-03-04,Legislature,9,"Cavanaugh, M. AM516 to AM249 filed"
1908297,2025-03-05,Legislature,10,"Health and Human Services AM249 pending"
1908297,2025-03-05,Legislature,11,"Cavanaugh, M. AM516 pending"
1908297,2025-03-05,Legislature,12,"Cavanaugh, M. AM516 adopted"
1908297,2025-03-05,Legislature,13,"Health and Human Services AM249 adopted"
1908297,2025-03-05,Legislature,14,"Cavanaugh, M. AM34 withdrawn"
1908297,2025-03-05,Legislature,15,"Advanced to Enrollment and Review Initial"
1908297,2025-03-11,Legislature,16,"Placed on Select File"
1908297,2025-03-14,Legislature,17,"Cavanaugh, M. priority bill"
1908319,2025-01-09,Legislature,1,"Date of introduction"
1908319,2025-01-13,Legislature,2,"Referred to Transportation and Telecommunications Committee"
1908319,2025-01-13,Legislature,3,"Raybould name added"
1908319,2025-01-21,Legislature,4,"Notice of hearing for January 28, 2025"
1908337,2025-01-09,Legislature,1,"Date of introduction"
1908337,2025-01-10,Legislature,2,"Hunt name added"
1908337,2025-01-13,Legislature,3,"Referred to Education Committee"
