people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6947,"Nebraska Retirement Systems Committee",,,,,,0,,2,Sen,,0,0,,,0,1446
6952,"Danielle Conrad",Danielle,,Conrad,,,6,N,2,Sen,SD-046,6561877,56695,,Danielle_Conrad,248942,0
6954,"Urban Affairs Committee",,,,,,0,,2,Sen,,0,0,,,0,1449
6956,"Revenue Committee",,,,,,0,,2,Sen,,0,0,,,0,1447
6957,"Judiciary Committee",,,,,,0,,2,Sen,,0,0,,,0,1444
6959,"Agriculture Committee",,,,,,0,,2,Sen,,0,0,,,0,1436
6963,"General Affairs Committee",,,,,,0,,2,Sen,,0,0,,,0,1441
6964,"Natural Resources Committee",,,,,,0,,2,Sen,,0,0,,,0,1445
6965,"Business and Labor Committee",,,,,,0,,2,Sen,,0,0,,,0,1439
10907,"Executive Board",Executive,,Board,,,0,,2,Sen,,0,0,,,0,2196
10908,"Education Committee",,,,,,0,,2,Sen,,0,0,,,0,1440
10980,"Health and Human Services Committee",,,,,,0,,2,Sen,,0,0,,,0,1443
16896,"Merv Riepe",Merv,,Riepe,,,6,N,2,Sen,SD-012,23353757,148457,,Merv_Riepe,478190,0
18557,"Dan Quick",Dan,,Quick,,,6,N,2,Sen,SD-035,33031722,167692,,Dan_Quick,565340,0
19004,"Government, Military and Veterans Affairs",,,,,,0,,2,Sen,,0,0,,,0,1442
19282,"Robert Clements",Robert,,Clements,,,6,N,2,Sen,SD-002,6757500,176142,,Robert_Clements,615180,0
19477,"Executive Board Committee",,,,,,0,,2,Sen,,0,0,,,0,2196
20431,"John Arch",John,,Arch,,,6,N,2,Sen,SD-014,44178150,179840,,John_Arch,654589,0
20432,"Machaela Cavanaugh",Machaela,,Cavanaugh,,,6,N,2,Sen,SD-006,44893463,179833,,Machaela_Cavanaugh,654582,0
20433,"Wendy DeBoer",Wendy,,DeBoer,,,6,N,2,Sen,SD-010,44893471,179837,,Wendy_DeBoer,654585,0
20434,"Myron Dorn",Myron,,Dorn,,,6,N,2,Sen,SD-030,29205887,133023,,Myron_Dorn,651073,0
20435,"Ben Hansen",Ben,,Hansen,,,6,N,2,Sen,SD-016,44893474,179841,,Ben_Hansen,656526,0
20537,"Megan Hunt",Megan,,Hunt,,,6,N,2,Sen,SD-008,44893467,179835,,Megan_Hunt,647310,0
20799,"Mike Moser",Mike,,Moser,,,6,N,2,Sen,SD-022,6566835,119308,,Mike_Moser,292336,0
