bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1908242,1476106,2025-01-29,Legislature,"Advanced to Enrollment and Review Initial",47,0,1,1,49
1908242,1496208,2025-02-21,Legislature,"Passed on Final Reading with Emergency Clause 48-0-1",48,0,0,1,49
1908297,1505941,2025-03-05,Legislature,"Cavanaugh, M. AM516 adopted",35,11,3,0,49
1908297,1505942,2025-03-05,Legislature,"Health and Human Services AM249 adopted",40,5,4,0,49
1908297,1506914,2025-03-05,Legislature,"Advanced to Enrollment and Review Initial",25,14,10,0,49
1908449,1540474,2025-04-08,Legislature,"Lippincott MO158 failed",31,18,0,0,49
1908470,1477080,2025-01-29,Legislature,"Advanced to Enrollment and Review Initial",47,0,1,1,49
1908470,1496191,2025-02-21,Legislature,"Passed on Final Reading 48-0-1",48,0,0,1,49
1908493,1480482,2025-02-05,Legislature,"Health and Human Services AM12 adopted",39,0,3,7,49
1908493,1480483,2025-02-05,Legislature,"Advanced to Enrollment and Review Initial",39,0,3,7,49
1908493,1507007,2025-03-06,Legislature,"Passed on Final Reading with Emergency Clause 46-0-3",46,0,0,3,49
1908551,1520760,2025-03-19,Legislature,"Raybould AM646 lost",5,24,17,3,49
1908551,1520761,2025-03-19,Legislature,"General Affairs AM549 adopted",39,0,7,3,49
1908551,1520762,2025-03-19,Legislature,"Advanced to Enrollment and Review Initial",41,0,5,3,49
1908551,1558108,2025-04-25,Legislature,"Passed on Final Reading 34-10-5",34,10,0,5,49
1908593,1484550,2025-02-10,Legislature,"Health and Human Services AM102 adopted",43,0,3,3,49
1908593,1484551,2025-02-10,Legislature,"Advanced to Enrollment and Review Initial",43,0,3,3,49
1908593,1514341,2025-03-11,Legislature,"Dungan AM258 adopted",44,0,3,2,49
1908593,1514342,2025-03-11,Legislature,"Raybould AM348 adopted",38,0,10,1,49
1908593,1536663,2025-04-03,Legislature,"Passed on Final Reading 47-0-2",47,0,0,2,49
1908629,1476753,2025-01-29,Legislature,"Cavanaugh, J. AM69 adopted",44,0,2,3,49
1908629,1476754,2025-01-29,Legislature,"Advanced to Enrollment and Review Initial",41,0,5,3,49
1908629,1496236,2025-02-21,Legislature,"Passed on Final Reading 48-0-1",48,0,0,1,49
1908676,1478329,2025-01-31,Legislature,"Advanced to Enrollment and Review Initial",36,0,8,5,49
1908676,1507006,2025-03-06,Legislature,"Passed on Final Reading 47-0-2",47,0,0,2,49
1908696,1501018,2025-02-27,Legislature,"DeKay AM310 adopted",43,0,3,3,49
1908696,1501019,2025-02-27,Legislature,"Agriculture AM77 adopted",44,0,4,1,49
1908696,1501020,2025-02-27,Legislature,"Advanced to Enrollment and Review Initial",43,0,5,1,49
1908696,1535715,2025-04-03,Legislature,"Passed on Final Reading 47-0-2",47,0,0,2,49
1908740,1476112,2025-01-29,Legislature,"Natural Resources AM48 adopted",41,0,5,3,49
1908740,1476113,2025-01-29,Legislature,"Advanced to Enrollment and Review Initial",41,0,5,3,49
1908760,1546868,2025-04-14,Legislature,"Judiciary AM801 adopted",38,0,6,5,49
1908760,1547558,2025-04-14,Legislature,"Advanced to Enrollment and Review Initial",35,1,8,5,49
1908760,1571341,2025-05-14,Legislature,"Passed on Final Reading 46-3-0",46,3,0,0,49
1908794,1477287,2025-01-30,Legislature,"Advanced to Enrollment and Review Initial",41,0,4,4,49
1908794,1496199,2025-02-21,Legislature,"Passed on Final Reading 48-0-1",48,0,0,1,49
1908849,1497385,2025-02-24,Legislature,"Conrad AM358 lost",16,27,4,2,49
1908876,1521117,2025-03-19,Legislature,"Guereca AM737 adopted",33,2,8,6,49
1908876,1521118,2025-03-19,Legislature,"Advanced to Enrollment and Review Initial",43,0,3,3,49
1908876,1541649,2025-04-09,Legislature,"Bostar AM784 adopted",39,0,9,1,49
1908876,1571304,2025-05-14,Legislature,"Passed on Final Reading 49-0-0",49,0,0,0,49
1908945,1568867,2025-05-09,Legislature,"Bostar AM1261 adopted",31,0,18,0,49
1908945,1568868,2025-05-09,Legislature,"Banking, Commerce and Insurance AM1187 adopted",32,0,17,0,49
1908945,1568869,2025-05-09,Legislature,"Advanced to Enrollment and Review Initial",37,0,12,0,49
1908945,1582030,2025-05-30,Legislature,"Passed on Final Reading 46-2-1",46,2,0,1,49
1908957,1477096,2025-01-30,Legislature,"Natural Resources AM17 adopted",39,0,7,3,49
1908957,1477097,2025-01-30,Legislature,"Advanced to Enrollment and Review Initial",42,0,4,3,49
