bill_id,people_id,position
1905314,20431,1
1908242,10907,1
1908257,22137,1
1908275,24932,1
1908297,20432,1
1908319,22137,1
1908337,20432,1
1908361,23684,1
1908383,24682,1
1908405,22137,1
1908429,22137,1
1908449,23685,1
1908470,10907,1
1908493,24682,1
1908512,23684,1
1908531,22137,1
1908551,24682,1
1908574,23684,1
1908593,23684,1
1908612,24932,1
1908629,22137,1
1908655,24932,1
1908676,22137,1
1908696,23763,1
1908730,6952,1
1908740,20936,1
1908750,20433,1
1908760,26038,1
1908772,26047,1
1908782,23765,1
1908794,23980,1
1908805,26038,1
1908816,23101,1
1908824,20433,1
1908839,23763,1
1908849,6952,1
1908862,20434,1
1908876,22282,1
1908886,22138,1
1908897,20434,1
1908909,24114,1
1908922,24301,1
1908934,23101,1
1908945,22282,1
1908957,23101,1
1908971,6952,1
1908980,20432,1
1908995,22138,1
1909004,26038,1
1909017,20936,1
1909029,16896,1
1909040,23101,1
1909052,16896,1
1909065,23764,1
1909076,6952,1
1909090,23763,1
1909101,26046,1
1909114,23763,1
1909127,23763,1
1909137,24114,1
1909149,23763,1
1909162,20537,1
1909173,20537,1
1909187,20433,1
1909197,20537,1
1909212,22138,1
1909225,20537,1
1909235,20434,1
1909246,22355,1
1909259,22138,1
1909271,20434,1
1909281,18557,1
1909294,22137,1
1909307,24114,1
1909320,22355,1
1909330,23763,1
1909343,23980,1
1909354,22138,1
1909366,22138,1
1909377,20936,1
1909386,20537,1
1909396,20433,1
1909407,22282,1
1909417,20936,1
1909429,23765,1
1910260,23764,1
1910282,20434,1
1910305,26044,1
1910328,20433,1
1910349,19282,1
1910371,26046,1
1910395,23160,1
1910417,20799,1
1910440,20434,1
1910465,22138,1
1910488,23763,1
1910510,20434,1
1910534,23684,1
1910557,22138,1
1910578,23764,1
1910601,26044,1
1910623,26046,1
1910645,23684,1
1910665,26044,1
1910677,18557,1
1910707,24682,1
1910740,20799,1
1910774,24301,1
1910808,20432,1
1910843,24682,1
1910881,20434,1
1910916,20432,1
1910949,23876,1
1910983,23876,1
1911018,23876,1
1911053,24301,1
1911089,23763,1
1911124,20433,1
1911159,26042,1
1911192,24114,1
1911227,24682,1
1911259,23765,1
1911301,24301,1
1911335,24114,1
1911368,22355,1
1911402,24301,1
1911437,26041,1
1911473,18557,1
1911508,23684,1
1911543,26046,1
1911577,23763,1
1911610,26041,1
1911644,22282,1
1911682,18557,1
1911717,24682,1
1911751,20432,1
1911785,26041,1
1911817,23101,1
1915269,26046,1
1915272,22355,1
1915280,6952,1
1915289,26037,1
1915297,20432,1
1915310,26036,1
1915319,23684,1
1915325,26036,1
1915338,24932,1
1915344,26036,1
1915354,6952,1
1915364,20435,1
1915372,24682,1
1915380,23763,1
1915391,26039,1
1915403,22282,1
1915415,16896,1
1915423,26043,1
1915429,23167,1
1915439,23160,1
1915446,26045,1
1915459,22137,1
1915466,23684,1
1915477,20432,1
1915488,23167,1
1915496,26037,1
1915506,23167,1
1915515,20432,1
1915523,26050,1
1915534,24301,1
1915545,23980,1
1915554,20537,1
1915561,23980,1
1915571,16896,1
1915584,22137,1
1915593,26036,1
1915599,26043,1
1915609,26036,1
1915620,23876,1
1915629,24301,1
1915639,26044,1
1915650,24682,1
1915660,23684,1
1915668,26035,1
1915678,23876,1
1915688,24301,1
1915696,23167,1
1915707,23763,1
1915713,26039,1
1915724,20936,1
1915733,20435,1
1915741,26046,1
1915753,26044,1
1915765,26044,1
1915776,26038,1
1915782,24682,1
1915790,24301,1
1915797,20435,1
1915810,23876,1
1915818,20936,1
1915827,23876,1
1915837,20936,1
1915845,26045,1
1915859,18557,1
1915866,24301,1
1915874,24301,1
1915881,24932,1
1917027,23877,1
1917038,23877,1
1917053,23876,1
1917063,26037,1
1917075,26045,1
1917091,26048,1
1917100,23764,1
1917111,20432,1
1917125,23101,1
1917134,23160,1
1917145,16896,1
1917158,23876,1
1917175,26050,1
1917189,26042,1
1917202,23160,1
1917218,26037,1
1917232,6952,1
1917245,20434,1
1917256,26045,1
1917268,6952,1
1917283,23684,1
1917295,26038,1
1917310,26038,1
1917326,23160,1
1917341,26045,1
1917353,23876,1
1917366,16896,1
1917381,26048,1
1917393,24932,1
1917404,22138,1
1917417,26039,1
1917430,20433,1
1917445,20432,1
1917460,23877,1
1917473,20432,1
1917489,23160,1
1917501,26038,1
1917514,6952,1
1917525,20432,1
1917540,26038,1
1917554,26038,1
1917565,23764,1
1917576,20432,1
1917590,23877,1
1917600,16896,1
1917616,6952,1
1917626,23876,1
1917636,26037,1
1917694,23101,1
1917742,22355,1
1917786,22282,1
1917836,26038,1
1917882,23765,1
1917930,22355,1
1917973,18557,1
1918024,23763,1
1918068,23160,1
1918116,18557,1
1918166,22282,1
1918212,23101,1
1918256,23763,1
1918302,23763,1
1918352,22355,1
1918396,18557,1
1918443,22355,1
1918485,26038,1
1919361,20537,1
1919385,23685,1
1919408,20537,1
1919434,26044,1
1919456,26045,1
1919484,26047,1
1919509,20537,1
1919534,20431,1
1919559,26043,1
1919579,23684,1
1919608,22138,1
1919636,23877,1
1919656,20431,1
1919685,26044,1
1919705,23877,1
1919734,23167,1
1919754,20431,1
1919783,22138,1
1919807,23877,1
1919832,20431,1
1919856,20431,1
1919881,18557,1
1919905,26044,1
1919923,26044,1
1919994,20820,1
1920009,6954,1
1920030,23980,1
1920052,23980,1
1920076,22138,1
1920098,6954,1
1920119,6947,1
1920141,23685,1
1920166,26037,1
1920189,10908,1
1920216,26047,1
1920235,23980,1
1920265,24114,1
1920290,26039,1
1920313,20433,1
1920341,6954,1
1920362,6954,1
1920388,6954,1
1920409,20433,1
1920435,20820,1
1920456,24682,1
1920478,23980,1
1920499,23980,1
1920530,20435,1
1920556,6954,1
1920581,20431,1
1920608,24682,1
1920630,20431,1
1920653,6954,1
1920678,18557,1
1920703,26040,1
1920727,6954,1
1920748,26046,1
1922537,23101,1
1922560,26039,1
1922589,22355,1
1922614,23980,1
1922641,22355,1
1922669,20799,1
1922695,23876,1
1922722,23876,1
1922750,23160,1
1922777,26045,1
1922803,26044,1
1922831,24301,1
1922863,26050,1
1922887,26049,1
1922914,6952,1
1922940,23877,1
1922968,20936,1
1922997,26044,1
1923024,24682,1
1923051,23101,1
1923079,20799,1
1923109,6952,1
1923135,26036,1
1923164,24301,1
1923189,24301,1
1923214,26045,1
1923253,23764,1
1923273,23980,1
1923297,19004,1
1923317,26035,1
1923342,20432,1
1923366,20537,1
1923386,6952,1
