bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1989930,3151178,text,26595,text/html,Introduced,https://legiscan.com/NH/text/HB1/id/3151178,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=1183&txtFormat=html
1989930,3253105,text,36320,text/html,Amended,https://legiscan.com/NH/text/HB1/id/3253105,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=1183
1989593,3151168,text,430619,text/html,Introduced,https://legiscan.com/NH/text/HB2/id/3151168,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=1188&txtFormat=html
1989593,3254745,text,1184260,text/html,Amended,https://legiscan.com/NH/text/HB2/id/3254745,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=1188
1898478,3035749,text,44357,text/html,Introduced,https://legiscan.com/NH/text/HB10/id/3035749,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=49&txtFormat=html
1898478,3252950,text,38894,text/html,Amended,https://legiscan.com/NH/text/HB10/id/3252950,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=49
1989760,3150845,text,105765,text/html,Introduced,https://legiscan.com/NH/text/HB25/id/3150845,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=1178&txtFormat=html
1989760,3253040,text,128345,text/html,Amended,https://legiscan.com/NH/text/HB25/id/3253040,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=1178
1898487,3038800,text,8573,text/html,Introduced,https://legiscan.com/NH/text/HB50/id/3038800,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=7&txtFormat=html
1898553,3035826,text,10613,text/html,Introduced,https://legiscan.com/NH/text/HB51/id/3035826,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=8&txtFormat=html
1898707,3038819,text,9695,text/html,Introduced,https://legiscan.com/NH/text/HB52/id/3038819,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=9&txtFormat=html
1898575,3035827,text,34419,text/html,Introduced,https://legiscan.com/NH/text/HB53/id/3035827,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=11&txtFormat=html
1898820,3035721,text,31808,text/html,Introduced,https://legiscan.com/NH/text/HB54/id/3035721,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=15&txtFormat=html
1898685,3035606,text,8041,text/html,Introduced,https://legiscan.com/NH/text/HB55/id/3035606,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=22&txtFormat=html
1898806,3038828,text,38921,text/html,Introduced,https://legiscan.com/NH/text/HB56/id/3038828,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=25&txtFormat=html
1898533,3038806,text,11040,text/html,Introduced,https://legiscan.com/NH/text/HB57/id/3038806,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=26&txtFormat=html
1898533,3243928,text,12541,text/html,Amended,https://legiscan.com/NH/text/HB57/id/3243928,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=26
1898839,3035736,text,11906,text/html,Introduced,https://legiscan.com/NH/text/HB58/id/3035736,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=30&txtFormat=html
1898767,3035675,text,29730,text/html,Introduced,https://legiscan.com/NH/text/HB59/id/3035675,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=31&txtFormat=html
1898815,3035717,text,7810,text/html,Introduced,https://legiscan.com/NH/text/HB60/id/3035717,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=38&txtFormat=html
1898815,3254840,text,13086,text/html,Amended,https://legiscan.com/NH/text/HB60/id/3254840,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=38
1898457,3038843,text,9762,text/html,Introduced,https://legiscan.com/NH/text/HB61/id/3038843,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=43&txtFormat=html
1898492,3037696,text,41218,text/html,Introduced,https://legiscan.com/NH/text/HB62/id/3037696,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=45&txtFormat=html
1898492,3228229,text,19963,text/html,Enrolled,https://legiscan.com/NH/text/HB62/id/3228229,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=SP&id=45
1898789,3038826,text,52338,text/html,Introduced,https://legiscan.com/NH/text/HB63/id/3038826,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=46&txtFormat=html
1898736,3036823,text,18000,text/html,Introduced,https://legiscan.com/NH/text/HB64/id/3036823,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=50&txtFormat=html
1898736,3216292,text,18130,text/html,Introduced,https://legiscan.com/NH/text/HB64/id/3216292,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=HP&id=50
1898736,3216293,text,19477,text/html,Amended,https://legiscan.com/NH/text/HB64/id/3216293,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=50
1898777,3038825,text,16988,text/html,Introduced,https://legiscan.com/NH/text/HB65/id/3038825,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=51&txtFormat=html
1898602,3038813,text,29822,text/html,Introduced,https://legiscan.com/NH/text/HB66/id/3038813,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=56&txtFormat=html
1898610,3038814,text,32389,text/html,Introduced,https://legiscan.com/NH/text/HB67/id/3038814,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=57&txtFormat=html
1898610,3239925,text,25691,text/html,Amended,https://legiscan.com/NH/text/HB67/id/3239925,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=57
1898615,3038815,text,9772,text/html,Introduced,https://legiscan.com/NH/text/HB68/id/3038815,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=59&txtFormat=html
1898582,3038810,text,8052,text/html,Introduced,https://legiscan.com/NH/text/HB69/id/3038810,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=60&txtFormat=html
1898847,3035743,text,22874,text/html,Introduced,https://legiscan.com/NH/text/HB70/id/3035743,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=63&txtFormat=html
1898809,3035712,text,19693,text/html,Introduced,https://legiscan.com/NH/text/HB71/id/3035712,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=70&txtFormat=html
1898809,3253110,text,30253,text/html,Amended,https://legiscan.com/NH/text/HB71/id/3253110,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&txtFormat=html&v=SA&id=70
1898567,3038809,text,9935,text/html,Introduced,https://legiscan.com/NH/text/HB72/id/3038809,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=82&txtFormat=html
1898567,3216236,text,9946,text/html,Enrolled,https://legiscan.com/NH/text/HB72/id/3216236,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=SP&id=82
1898526,3038805,text,55671,text/html,Introduced,https://legiscan.com/NH/text/HB73/id/3038805,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=84&txtFormat=html
1898526,3216303,text,55593,text/html,Enrolled,https://legiscan.com/NH/text/HB73/id/3216303,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=SP&id=84
1898796,3038827,text,9238,text/html,Introduced,https://legiscan.com/NH/text/HB74/id/3038827,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=88&txtFormat=html
1898827,3035727,text,47283,text/html,Introduced,https://legiscan.com/NH/text/HB75/id/3035727,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=93&txtFormat=html
1898518,3038804,text,15245,text/html,Introduced,https://legiscan.com/NH/text/HB76/id/3038804,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=95&txtFormat=html
1898518,3228305,text,15262,text/html,Enrolled,https://legiscan.com/NH/text/HB76/id/3228305,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=SP&id=95
1898560,3036047,text,27982,text/html,Introduced,https://legiscan.com/NH/text/HB77/id/3036047,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=99&txtFormat=html
1898560,3239003,text,10959,text/html,Enrolled,https://legiscan.com/NH/text/HB77/id/3239003,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&v=SP&id=99
1898620,3038816,text,9188,text/html,Introduced,https://legiscan.com/NH/text/HB78/id/3038816,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2025&id=104&txtFormat=html
