bill_id,date,chamber,sequence,action
1897821,2024-12-04,House,1,"Introduced and Adopted Voice Vote 12/04/2024 House Journal  1"
1897841,2024-12-04,Senate,1,"Introduced and Adopted, Voice Vote; 12/04/2024; Senate Journal 1"
1897862,2024-12-19,Senate,1,"Introduced 01/08/2025 and Referred to Election Law and Municipal Affairs; Senate Journal 2"
1897862,2025-01-09,Senate,2,"Hearing: 01/14/2025, Room 103, Legislative Office Building, 09:30 am; Senate Calendar  5"
1897862,2025-02-05,Senate,3,"Committee Report: Inexpedient to Legislate; Vote 5-0; Consent Calendar; 02/13/2025; Senate Calendar  9"
1897862,2025-02-13,Senate,4,"Inexpedient to Legislate, Motion Adopted, Voice Vote === BILL KILLED ===; 02/13/2025; Senate Journal 5"
1897878,2024-12-19,Senate,1,"Introduced 01/08/2025 and Referred to Transportation; Senate Journal 2"
1897878,2025-01-22,Senate,2,"Hearing: 01/28/2025, Room 101, Legislative Office Building, 01:45 pm; Senate Calendar  7"
1897878,2025-02-05,Senate,3,"Committee Report: Ought to Pass, 02/13/2025; Vote 5-0; Consent Calendar; Senate Calendar  9"
1897878,2025-02-13,Senate,4,"Ought to Pass: Motion Adopted, Voice Vote; OT3rdg; 02/13/2025; Senate Journal 5"
1897878,2025-03-28,House,5,"Introduced (in recess of) 03/27/2025 and referred to Transportation House Journal  11 P. 109"
1897878,2025-04-16,House,6,"Public Hearing: 04/22/2025 09:30 am Legislative Office Building 203"
1897878,2025-04-23,House,7,"Executive Session: 05/06/2025 01:00 pm Legislative Office Building 203"
1897878,2025-05-09,House,8,"Committee Report: Ought to Pass 05/06/2025 (Vote 15-0; Consent Calendar)"
1897878,2025-05-22,House,9,"Ought to Pass: Motion Adopted Voice Vote 05/22/2025 House Journal  15 P. 8"
1897878,2025-06-30,Senate,10,"Enrolled Adopted, Voice Vote, (In recess 06/26/2025); Senate Journal 17"
1897878,2025-06-30,House,11,"Enrolled (in recess of) 06/26/2025"
1897878,2025-07-22,Senate,12,"Signed by the Governor on 07/15/2025; Chapter 0213; Effective 09/13/2025"
1897899,2024-12-04,Senate,1,"Introduced and Adopted, Voice Vote; 12/04/2024; Senate Journal 1"
1897918,2024-12-04,House,1,"Introduced and Adopted Voice Vote 12/04/2024 House Journal  1"
1897939,2024-12-19,Senate,1,"Introduced 01/08/2025 and Referred to Judiciary; Senate Journal 2"
1897939,2025-01-09,Senate,2,"Hearing: 01/14/2025, Room 100, State House, 01:15 pm; Senate Calendar  5"
1897939,2025-01-28,Senate,3,"Committee Report: Ought to Pass with Amendment # 2025-0142s, 01/30/2025, Vote 3-2; Senate Calendar  7A"
1897939,2025-01-30,Senate,4,"Committee Amendment # 2025-0142s, Amendment Failed, Voice Vote; 01/30/2025; Senate Journal 4"
1897939,2025-01-30,Senate,5,"Sen. Rochefort Floor Amendment # 2025-0165s, Amendment Adopted, Voice Vote; 01/30/2025; Senate Journal 4"
1897939,2025-01-30,Senate,6,"Ought to Pass with Amendment #2025-0165s, Regular Calendar 14Y-9N, Motion Adopted; OT3rdg; 01/30/2025; Senate Journal 4"
1897939,2025-03-28,House,7,"Introduced (in recess of) 03/27/2025 and referred to Criminal Justice and Public Safety House Journal  11 P. 109"
1897939,2025-04-01,House,8,"Public Hearing: 04/09/2025 10:30 am Legislative Office Building 202-204"
1897939,2025-04-14,House,9,"==RECESSED== Executive Session: 04/23/2025 11:00 am Legislative Office Building 202-204"
1897939,2025-04-14,House,10,"==CANCELLED== Executive Session: 04/25/2025 10:00 am Legislative Office Building 202-204"
1897939,2025-04-30,House,11,"==CONTINUED== Executive Session: 05/09/2025 11:01 am Legislative Office Building 202-204"
1897939,2025-05-12,House,12,"Retained in Committee"
1897960,2024-12-04,Senate,1,"Introduced and Adopted, Voice Vote; 12/04/2024; Senate Journal 1"
1897978,2024-12-04,House,1,"Introduced and Adopted Voice Vote 12/04/2024 House Journal  1"
