people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4747,"Jordan Ulery",Jordan,G.,Ulery,,,2,R,1,Rep,HD-13-HIL,6596249,42373,,Jordan_Ulery,228818,0
4750,"Timothy Horrigan",Timothy,,Horrigan,,,1,D,1,Rep,HD-10-STR,6494379,110051,,Timothy_Horrigan,269497,0
4754,"Carol McGuire",Carol,,McGuire,,,2,R,1,Rep,HD-27-MER,6677888,109938,,Carol_McGuire,222865,0
4775,"Sharon Carson",Sharon,,Carson,,,2,R,2,Sen,SD-014,6593753,42537,,Sharon_Carson,208650,0
4809,"Patrick Long",Patrick,T.,Long,,,1,D,2,Sen,SD-20,6478714,66257,,Patrick_Long_(New_Hampshire_state_senator),250010,0
4810,"Thomas Buco",Thomas,,Buco,,Tom,1,D,1,Rep,HD-01-CAR,6463029,42231,,Tom_Buco,228700,0
4823,"Lucy Weber",Lucy,McVitty,Weber,,,1,D,1,Rep,HD-05-CHE,6478956,65198,,Lucy_McVitty_Weber,249884,0
4829,"Susan Almy",Susan,W.,Almy,,,1,D,1,Rep,HD-17-GRA,199534,15165,,Susan_Almy,197099,0
4843,"Tara Reardon",Tara,G.,Reardon,,,1,D,2,Sen,SD-015,6395100,14666,,Tara_Reardon,197187,0
4845,"Marjorie Smith",Marjorie,,Smith,,,1,D,1,Rep,HD-10-STR,6395309,14725,,Marjorie_Smith,197019,0
4889,"Peter Leishman",Peter,R.,Leishman,,,1,D,1,Rep,HD-33-HIL,6466019,14252,,Peter_Leishman,249975,0
4896,"John Hunt",John,B.,Hunt,,,2,R,1,Rep,HD-14-CHE,6594796,8051,,John_Hunt_(New_Hampshire),197041,0
4898,"Phyllis Katsakiores",Phyllis,M.,Katsakiores,,,2,R,1,Rep,HD-13-ROC,6594932,8198,,Phyllis_Katsakiores,197087,0
4910,"Timothy Soucy",Timothy,A.,Soucy,,,1,D,1,Rep,HD-21-MER,6494676,109848,,Timothy_Soucy,269330,0
4924,"Cindy Rosenwald",Lucinda,,Rosenwald,,Cindy,1,D,2,Sen,SD-013,6463841,42204,,Lucinda_Rosenwald,228804,0
4953,"Gary Daniels",Gary,L.,Daniels,,,2,R,1,Rep,HD-43-HIL,6593963,5006,,Gary_Daniels,249979,0
4957,"Shannon Chandley",Shannon,E.,Chandley,,,1,D,2,Sen,SD-011,6494258,110116,,Shannon_Chandley,269234,0
4958,"David Watters",David,H.,Watters,,,1,D,2,Sen,SD-004,6494743,110047,,David_Watters,269494,0
4962,"Roderick Ladd",Roderick,M.,Ladd,,Rick,2,R,1,Rep,HD-05-GRA,6677856,109958,,Rick_Ladd,269203,0
4972,"Ralph Boehm",Ralph,G.,Boehm,,,2,R,1,Rep,HD-14-HIL,6593575,42443,,Ralph_Boehm,228819,0
5002,"Peter Schmidt",Peter,B.,Schmidt,,,1,D,1,Rep,HD-14-STR,6395255,42754,,Peter_Schmidt,213131,0
5006,"Sherman Packard",Sherman,A.,Packard,,,2,R,1,Rep,HD-16-ROC,6595575,8443,,Sherman_Packard,197234,0
5024,"John Cloutier",John,R.,Cloutier,,,1,D,1,Rep,HD-06-SUL,6394097,4985,,John_Cloutier,197011,0
5051,"Charles McMahon",Charles,E.,McMahon,,,2,R,1,Rep,HD-17-ROC,6595318,42541,,Charles_McMahon,213097,0
5070,"Mark McConkey",Mark,E.,McConkey,,,2,R,1,Rep,HD-08-CAR,6595291,42599,,Mark_McConkey,213001,0
5090,"Jean Jeudy",Jean,Leniol,Jeudy,,,1,D,1,Rep,HD-23-HIL,6463435,42077,,Jean_Jeudy,241434,0
5091,"Mary Wallner",Mary,Jane,Wallner,,,1,D,1,Rep,HD-19-MER,6395453,8597,,Mary_Jane_Wallner,197197,0
5099,"Kenneth Weyler",Kenneth,,Weyler,,,2,R,1,Rep,HD-14-ROC,13004260,8607,,Ken_Weyler,283733,0
10468,"Steven Smith",Steven,,Smith,,,2,R,1,Rep,HD-03-SUL,6680106,110851,,"Steven_Smith,_New_Hampshire_Politician",297099,0
