bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1897939,1478335,2025-01-30,Senate,"Ought to Pass w/Amendment",14,9,0,1,24
1897939,1478620,2025-01-30,Senate,"Ought to Pass w/Amendment",14,9,0,1,24
1897999,1478333,2025-01-30,Senate,"Ought to Pass w/Amendment",15,8,0,1,24
1897999,1478619,2025-01-30,Senate,"Ought to Pass w/Amendment",15,8,0,1,24
1897999,1585386,2025-06-05,House,Table,176,203,7,12,398
1897999,1585387,2025-06-05,House,"Adopt Amendment",217,164,6,11,398
1897999,1585388,2025-06-05,House,"Adopt Floor Amendment",169,211,7,11,398
1897999,1585389,2025-06-05,House,OTPA,214,167,6,11,398
1897999,1593363,2025-06-05,House,Table,176,203,7,12,398
1897999,1593364,2025-06-05,House,"Adopt Amendment",217,164,6,11,398
1897999,1593365,2025-06-05,House,"Adopt Floor Amendment",169,211,7,11,398
1897999,1593366,2025-06-05,House,OTPA,214,167,6,11,398
1897999,1595365,2025-06-26,House,"Adopt CofC Report",183,186,11,17,397
1897999,1595556,2025-06-26,House,Reconsider,184,182,12,19,397
1897999,1595557,2025-06-26,House,"Adopt CofC Report",185,182,11,19,397
1898039,1478195,2025-01-30,Senate,"Ought to Pass w/Amendment",15,8,0,1,24
1898039,1478559,2025-01-30,Senate,"Ought to Pass w/Amendment",15,8,0,1,24
1898039,1576209,2025-05-22,House,OTPA,192,164,12,30,398
1898039,1593384,2025-05-22,House,OTPA,192,164,12,30,398
1898478,1522304,2025-03-20,House,Table,162,211,9,16,398
1898478,1522305,2025-03-20,House,OTPA,212,161,9,16,398
1898478,1523758,2025-03-20,House,Table,162,211,9,16,398
1898478,1523759,2025-03-20,House,OTPA,212,161,9,16,398
1898478,1585611,2025-06-05,House,Concur,210,160,15,13,398
1898478,1593372,2025-06-05,House,Concur,210,160,13,15,398
1898487,1527804,2025-03-26,House,OTPA,183,157,20,38,398
1898487,1537473,2025-03-26,House,OTPA,183,157,19,39,398
1898497,1523000,2025-03-20,House,OTPA,211,155,12,20,398
1898497,1523731,2025-03-20,House,OTPA,211,155,12,20,398
1898512,1495653,2025-02-20,House,ITL,179,190,10,20,399
1898512,1523428,2025-02-20,House,ITL,179,190,10,20,399
1898533,1576576,2025-05-22,Senate,"Committee Amendment",16,8,0,0,24
1898533,1576577,2025-05-22,Senate,"Ought to Pass w/Amendment",16,8,0,0,24
1898533,1593342,2025-05-22,Senate,"Committee Amendment",16,8,0,0,24
1898533,1593343,2025-05-22,Senate,"Ought to Pass w/Amendment",16,8,0,0,24
1898540,1507850,2025-03-06,House,OTP,184,183,16,16,399
1898540,1523504,2025-03-06,House,OTP,184,183,16,16,399
1898546,1572908,2025-05-15,Senate,"Committee Amendment",9,14,0,1,24
1898546,1593377,2025-05-15,Senate,"Committee Amendment",9,14,0,1,24
1898575,1495772,2025-02-20,House,OTPA,328,42,10,19,399
1898575,1537508,2025-02-20,House,OTPA,328,42,10,19,399
1898575,1552068,2025-04-17,Senate,"Inexpedient to Legislate",12,12,0,0,24
1898575,1552069,2025-04-17,Senate,"Laid on Table",16,8,0,0,24
1898575,1593331,2025-04-17,Senate,"Inexpedient to Legislate",12,12,0,0,24
1898575,1593332,2025-04-17,Senate,"Laid on Table",16,8,0,0,24
1898602,1543329,2025-04-10,House,Table,179,191,12,16,398
1898602,1543330,2025-04-10,House,OTPA,207,164,11,16,398
1898615,1522522,2025-03-20,House,OTPA,217,156,10,15,398
1898615,1536966,2025-03-20,House,OTPA,217,156,8,17,398
1898630,1528200,2025-03-26,House,Table,199,135,27,37,398
1898630,1537880,2025-03-26,House,Table,199,135,20,44,398
1898692,1483241,2025-02-06,House,"Indefinitely Postpone",215,140,9,35,399
1898692,1537875,2025-02-06,House,"Indefinitely Postpone",215,140,9,35,399
1898728,1508106,2025-03-06,House,OTP,197,156,28,18,399
1898728,1537524,2025-03-06,House,OTP,197,156,25,21,399
1898767,1516917,2025-03-13,House,OTPA,196,179,10,13,398
1898767,1523614,2025-03-13,House,OTPA,196,179,10,13,398
1898806,1494969,2025-02-20,House,ITL,216,154,10,19,399
1898806,1536885,2025-02-20,House,ITL,216,154,9,20,399
1898809,1483043,2025-02-06,House,OTP,211,146,10,32,399
1898809,1536954,2025-02-06,House,OTP,211,146,10,32,399
1898809,1544020,2025-04-10,House,OTPA,209,162,11,16,398
1898809,1572845,2025-05-15,Senate,"Ought to Pass",15,8,0,1,24
1898809,1586751,2025-06-05,Senate,"Ought to Pass w/Amendment",16,7,0,1,24
1898809,1595822,2025-06-26,Senate,"Conference Committee Report",16,8,0,0,24
1898815,1483080,2025-02-06,House,"Adopt Floor Amendment",140,217,8,34,399
1898815,1483081,2025-02-06,House,"Adopt Floor Amendment",145,212,8,34,399
1898815,1483082,2025-02-06,House,OTP,217,139,9,34,399
1898815,1536743,2025-02-06,House,"Adopt Floor Amendment",140,217,8,34,399
1898815,1536744,2025-02-06,House,"Adopt Floor Amendment",145,212,8,34,399
1898815,1536745,2025-02-06,House,OTP,217,139,9,34,399
1898815,1595816,2025-06-26,Senate,"Conference Committee Report",16,8,0,0,24
1898820,1507159,2025-03-06,House,OTP,358,14,11,16,399
