bill_id,people_id,position
1897862,11579,4
1897862,11989,5
1897862,16403,3
1897862,17477,1
1897862,19166,6
1897862,23498,7
1897862,23515,8
1897862,23613,2
1897878,4958,1
1897878,10468,5
1897878,11989,3
1897878,18809,4
1897878,19156,2
1897939,11579,5
1897939,11989,4
1897939,15117,8
1897939,15558,2
1897939,17477,1
1897939,17495,9
1897939,19166,3
1897939,19846,6
1897939,21794,11
1897939,21839,7
1897939,23515,10
1897999,5099,9
1897999,11569,8
1897999,11579,6
1897999,11989,4
1897999,17477,1
1897999,18158,10
1897999,18169,3
1897999,19166,2
1897999,19846,5
1897999,21794,11
1897999,23498,7
1898039,5099,10
1898039,11569,9
1898039,11579,6
1898039,11989,7
1898039,16403,5
1898039,17477,1
1898039,17495,11
1898039,18169,3
1898039,18170,4
1898039,19166,2
1898039,23498,8
1898039,23515,12
1898440,18809,1
1898445,14478,2
1898445,19889,1
1898445,23487,3
1898450,4910,4
1898450,19432,1
1898450,23420,3
1898450,23504,2
1898457,4958,6
1898457,18127,2
1898457,21788,1
1898457,23458,4
1898457,25186,3
1898457,25604,5
1898465,15580,3
1898465,18152,6
1898465,18153,2
1898465,18809,1
1898465,19877,4
1898465,23502,5
1898472,19154,1
1898472,19156,2
1898478,5006,1
1898478,10924,6
1898478,14478,5
1898478,17302,2
1898478,17486,9
1898478,21834,3
1898478,21860,7
1898478,21874,4
1898478,23502,8
1898487,19835,1
1898487,19866,7
1898487,19874,4
1898487,19891,2
1898487,21880,3
1898487,23441,5
1898487,23481,6
1898487,23520,8
1898492,18153,3
1898492,18809,4
1898492,19877,1
1898492,21802,2
1898492,21863,5
1898497,4896,2
1898497,10918,1
1898497,17101,4
1898497,21841,3
1898504,11569,9
1898504,18169,8
1898504,18812,4
1898504,19758,5
1898504,19871,2
1898504,19889,1
1898504,23467,3
1898504,23502,6
1898504,23504,7
1898512,17493,1
1898512,21788,2
1898512,21790,6
1898512,23417,3
1898512,23444,5
1898512,23492,4
1898518,14478,3
1898518,18170,8
1898518,21788,4
1898518,21861,6
1898518,21864,7
1898518,23407,2
1898518,23458,1
1898518,25604,5
1898526,4958,4
1898526,18153,3
1898526,23475,1
1898526,25186,2
1898533,19876,1
1898540,11569,8
1898540,17486,4
1898540,18127,3
1898540,21871,1
1898540,23490,2
1898540,23492,5
1898540,25580,7
1898540,25604,6
1898546,4962,1
1898546,18170,6
1898546,19166,7
1898546,21874,5
1898546,23469,2
1898546,23477,3
1898546,23487,4
1898553,15601,2
1898553,19872,1
1898553,23449,3
1898560,17101,2
1898560,18157,1
1898567,18153,1
1898567,23482,2
1898567,25186,3
1898575,19872,1
1898575,21834,3
1898575,23449,2
1898582,21788,1
1898582,25604,2
1898589,4754,1
1898589,4775,2
1898589,11569,3
1898596,4910,3
1898596,19432,1
1898596,23504,2
1898602,4845,4
1898602,18153,2
1898602,21841,1
1898602,23458,3
1898610,21853,1
1898610,23517,2
1898615,10918,2
1898615,11569,7
1898615,14478,5
1898615,16403,9
1898615,16696,3
1898615,18170,8
1898615,19819,4
1898615,21838,1
1898615,25618,6
1898620,15558,6
1898620,17493,1
1898620,21788,2
1898620,23417,3
1898620,23444,4
1898620,23492,5
1898630,19752,2
1898630,19872,1
1898630,23428,3
1898685,18127,3
1898685,23403,4
1898685,23449,6
1898685,23465,1
1898685,23477,2
1898685,25604,5
1898692,15540,2
1898692,18170,3
1898692,19745,1
1898692,21861,4
1898700,21874,2
1898700,23410,1
1898700,23505,3
1898707,18127,1
1898714,19752,2
1898714,19872,1
1898722,19797,1
1898728,10918,3
1898728,10920,2
1898728,18809,1
1898728,21871,4
1898736,17477,6
1898736,18153,3
1898736,18809,4
1898736,19877,1
1898736,21802,2
1898736,21863,5
1898743,4754,1
1898743,19873,2
1898751,11569,7
1898751,19889,1
1898751,21795,5
1898751,23467,2
1898751,23502,3
1898751,25550,4
1898751,25602,6
1898758,23521,1
1898767,11564,3
1898767,19842,2
1898767,19846,6
1898767,19877,4
1898767,23464,1
1898767,23502,5
1898773,4845,4
1898773,4889,1
1898773,19159,2
1898773,19873,3
1898777,15535,4
1898777,21857,7
1898777,23451,2
1898777,23462,5
1898777,23474,3
1898777,23503,1
1898777,25186,6
1898785,17101,2
1898785,18127,6
1898785,19754,3
1898785,21838,4
1898785,23465,5
1898785,23512,1
1898785,23516,7
1898785,23520,8
1898789,18152,9
1898789,19752,7
1898789,19871,6
1898789,19873,4
1898789,21834,5
1898789,21838,1
1898789,21861,10
1898789,22916,2
1898789,23475,3
1898789,23482,8
1898796,18153,1
1898796,21841,2
1898806,4845,6
1898806,15601,7
1898806,18126,10
1898806,19835,4
1898806,19873,3
1898806,19876,1
1898806,23445,2
1898806,23503,5
1898806,23520,9
1898806,25186,8
1898809,11569,9
1898809,11747,2
1898809,15597,5
1898809,18808,6
1898809,21821,1
1898809,21855,3
1898809,23487,4
1898809,25604,7
1898809,25618,8
1898815,21841,1
1898815,23502,2
1898820,15601,2
1898820,19872,1
1898827,18157,1
1898835,4810,1
1898835,19866,2
1898835,21864,4
1898835,23524,3
1898839,15601,4
1898839,19799,2
1898839,19872,1
1898839,23520,3
1898847,21834,2
1898847,23475,1
1899672,11564,3
1899672,19842,2
1899672,19877,4
1899672,23464,1
1899672,23511,5
1899675,18152,5
1899675,19166,4
1899675,21797,2
1899675,21877,1
1899675,23420,3
1899678,21800,3
1899678,21871,6
1899678,23433,4
1899678,23458,2
1899678,23486,1
1899678,23614,5
1899681,4962,8
1899681,14478,7
1899681,18169,9
1899681,21800,2
1899681,23433,3
1899681,23458,4
1899681,23469,1
1899681,23483,5
1899681,23486,6
1899683,18153,3
1899683,21788,1
1899683,21795,4
1899683,21838,2
1899686,23410,1
1899686,23465,2
1899687,4775,5
1899687,4845,4
1899687,19871,3
1899687,21841,1
1899687,23458,2
1899692,4958,6
1899692,15544,2
1899692,19758,4
1899692,19868,1
1899692,21880,5
1899692,23428,3
1899694,4958,7
1899694,15423,2
1899694,19752,5
1899694,19872,4
1899694,21801,1
1899694,23425,3
1899694,23520,6
