bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1933030,3070619,text,78038,application/pdf,Introduced,https://legiscan.com/NM/text/HB1/id/3070619,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0001.pdf
1933030,3145076,text,61296,application/pdf,Enrolled,https://legiscan.com/NM/text/HB1/id/3145076,https://www.nmlegis.gov/Sessions/25%20Regular/final/HB0001.pdf
1933085,3070673,text,683384,application/pdf,Introduced,https://legiscan.com/NM/text/HB2/id/3070673,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0002.pdf
1933085,3210251,text,533012,application/pdf,Enrolled,https://legiscan.com/NM/text/HB2/id/3210251,https://www.nmlegis.gov/Sessions/25%20Regular/final/HB0002.pdf
1964378,3111480,text,72672,application/pdf,Introduced,https://legiscan.com/NM/text/HB3/id/3111480,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0003.pdf
1933245,3070889,text,148652,application/pdf,Introduced,https://legiscan.com/NM/text/HB4/id/3070889,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0004.pdf
1967957,3116718,text,176885,application/pdf,Introduced,https://legiscan.com/NM/text/HB5/id/3116718,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0005.pdf
1967957,3185458,text,89261,application/pdf,Enrolled,https://legiscan.com/NM/text/HB5/id/3185458,https://www.nmlegis.gov/Sessions/25%20Regular/final/HB0005.pdf
1931954,3069570,text,61528,application/pdf,Introduced,https://legiscan.com/NM/text/HB6/id/3069570,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0006.pdf
1931954,3209394,text,39958,application/pdf,Enrolled,https://legiscan.com/NM/text/HB6/id/3209394,https://www.nmlegis.gov/Sessions/25%20Regular/final/HB0006.pdf
1962917,3109373,text,131392,application/pdf,Introduced,https://legiscan.com/NM/text/HB7/id/3109373,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0007.pdf
