bill_id,date,chamber,sequence,action
1901126,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901126,2025-01-22,House,2,"Sent to HGEIC - Referrals: HGEIC/HJC"
1901126,2025-01-30,House,3,"HGEIC: Reported by committee with Do Pass recommendation"
1901126,2025-02-15,House,4,"HJC: Reported by committee with Do Pass recommendation with amendment(s)"
1901126,2025-02-27,House,5,"Passed in the House of Representatives - Y:66 N:0"
1901126,2025-03-01,Senate,6,"Sent to SRC - Referrals: SRC/SJC"
1901126,2025-03-03,Senate,7,"SRC: Reported by committee with Do Pass recommendation"
1901126,2025-03-13,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1901126,2025-03-13,Senate,9,"Passed in the Senate - Y:38 N:0"
1901126,2025-03-13,House,10,"Signed by one or both houses (for legislation not requiring Governor's signature)"
1901127,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901127,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1901127,2025-02-03,House,3,"HCPAC: Reported by committee without a recommendation"
1901128,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901128,2025-01-21,House,2,"Sent to HRDLC - Referrals: HRDLC/HAFC"
1901129,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901129,2025-01-21,House,2,"Sent to HCPAC - Referrals: HCPAC/HEC"
1901129,2025-01-29,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1901129,2025-02-18,House,4,"HEC: Reported by committee with Do Pass recommendation"
1901130,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901130,2025-01-21,House,2,"Sent to HTPWC - Referrals: HTPWC/HJC"
1901130,2025-02-19,House,3,"HTPWC: Reported by committee with Do Pass recommendation"
1901131,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901131,2025-01-21,House,2,"Sent to HRDLC - Referrals: HRDLC/HAFC"
1901131,2025-01-29,House,3,"HRDLC: Reported by committee with Do Pass recommendation"
1901131,2025-03-11,House,4,"HAFC: Reported by committee with Do Pass recommendation"
1901131,2025-03-13,House,5,"Passed in the House of Representatives - Y:54 N:10"
1901131,2025-03-13,Senate,6,"Sent to SFC - Referrals: SFC"
1901131,2025-03-21,Senate,7,"Withdrawn from committee or daily calendar for subsequent action"
1901132,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901132,2025-01-21,House,2,"Sent to HENRC - Referrals: HENRC/HJC"
1901133,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901133,2025-01-21,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1901133,2025-01-29,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1901133,2025-02-10,House,4,"HJC: Reported by committee with Do Pass recommendation"
1901133,2025-02-18,House,5,"Passed in the House of Representatives - Y:41 N:26"
1901133,2025-02-19,Senate,6,"Sent to STBTC - Referrals: STBTC/SJC"
1901133,2025-03-14,Senate,7,"STBTC: Reported by committee with Do Pass recommendation"
1901134,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901134,2025-01-22,House,2,"Sent to HTPWC - Referrals: HTPWC/HEC"
1901134,2025-02-07,House,3,"HTPWC: Reported by committee with Do Pass recommendation"
1901134,2025-02-18,House,4,"HEC: Reported by committee with Do Pass recommendation"
1901135,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901135,2025-01-22,House,2,"Sent to HTPWC - Referrals: HTPWC/HCEDC/HJC"
1901136,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901136,2025-01-21,House,2,"Sent to HAAWC - Referrals: HAAWC/HENRC"
1901137,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901137,2025-01-21,House,2,"Sent to HLVMC - Referrals: HLVMC/HCEDC"
1901137,2025-02-05,House,3,"HLVMC: Reported by committee with Do Pass recommendation"
1901137,2025-02-13,House,4,"HCEDC: Reported by committee with Do Pass recommendation"
1901137,2025-02-18,House,5,"Passed in the House of Representatives - Y:62 N:5"
1901137,2025-02-19,Senate,6,"Sent to SHPAC - Referrals: SHPAC/STBTC"
1901137,2025-03-15,Senate,7,"SHPAC: Reported by committee with Do Pass recommendation"
1901137,2025-03-18,Senate,8,"STBTC: Reported by committee with Do Pass recommendation"
1901138,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901138,2025-01-21,House,2,"Sent to HRDLC - Referrals: HRDLC/HJC"
1901138,2025-01-29,House,3,"HRDLC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1901138,2025-02-18,House,4,"HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1901138,2025-02-22,House,5,"Passed in the House of Representatives - Y:61 N:1"
1901138,2025-02-22,Senate,6,"Sent to SEC - Referrals: SEC/SJC"
1901138,2025-02-26,Senate,7,"SEC: Reported by committee with Do Pass recommendation"
1901138,2025-03-20,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1901138,2025-03-21,Senate,9,"Passed in the Senate - Y:42 N:0"
1901138,2025-04-08,House,10,"Signed by Governor - Chapter 87 - Apr. 8"
1901139,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901139,2025-01-22,House,2,"Sent to HGEIC - Referrals: HGEIC/HJC"
1901139,2025-01-30,House,3,"HGEIC: Reported by committee with Do Pass recommendation"
1901139,2025-02-15,House,4,"HJC: Reported by committee with Do Pass recommendation with amendment(s)"
1901139,2025-02-27,House,5,"Passed in the House of Representatives - Y:59 N:4"
1901139,2025-02-28,Senate,6,"Sent to SRC - Referrals: SRC/SJC"
1901503,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901503,2025-01-22,House,2,"Sent to HEC - Referrals: HEC/HAFC"
1901503,2025-02-13,House,3,"Referred to: HRDLC/HAFC"
1901530,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901530,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HJC"
1901530,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation with amendment(s)"
1901530,2025-02-10,House,4,"HJC: Reported by committee with Do Pass recommendation"
1901530,2025-02-22,House,5,"Passed in the House of Representatives - Y:56 N:7"
1901530,2025-02-22,Senate,6,"Sent to STBTC - Referrals: STBTC/SJC"
1901530,2025-03-12,Senate,7,"STBTC: Reported by committee with Do Pass recommendation"
1901530,2025-03-21,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1901530,2025-03-22,Senate,9,"Passed in the Senate - Y:26 N:12"
1901530,2025-03-22,House,10,"Vetoed by Governor"
1901559,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901559,2025-01-22,House,2,"Sent to HAAWC - Referrals: HAAWC/HENRC"
1901559,2025-02-03,House,3,"HAAWC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1901589,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1901589,2025-01-22,House,2,"Sent to HENRC - Referrals: HENRC/HHHC/HJC"
1901589,2025-02-05,House,3,"HENRC: Reported by committee with Do Not Pass but without recommendation on Committee Substitution"
1901589,2025-02-13,House,4,"HHHC: Reported by committee with Do Pass recommendation"
1902942,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1902942,2025-01-22,House,2,"Sent to HEC - Referrals: HEC/HAFC"
1902965,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1902965,2025-01-22,House,2,"Sent to HCEDC - Referrals: HCEDC/HJC"
1902989,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1902989,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HGEIC"
1903015,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903015,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1903015,2025-02-03,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1903065,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903065,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HTRC"
1903065,2025-02-03,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1903092,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903092,2025-01-22,House,2,"Sent to HCEDC - Referrals: HCEDC/HJC"
1903092,2025-01-30,House,3,"HCEDC: Reported by committee with Do Pass recommendation with amendment(s)"
1903092,2025-02-10,House,4,"HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1903092,2025-02-19,House,5,"Passed in the House of Representatives - Y:41 N:19"
1903092,2025-02-19,Senate,6,"Sent to SHPAC - Referrals: SHPAC/SJC"
1903092,2025-03-15,Senate,7,"SHPAC: Reported by committee with Do Pass recommendation"
1903116,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903116,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1903116,2025-02-03,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1903144,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903144,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HCEDC"
1903144,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1903144,2025-02-19,House,4,"HCEDC: Reported by committee with Do Pass recommendation with amendment(s)"
1903169,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903169,2025-01-22,House,2,"Sent to HGEIC - Referrals: HGEIC/HTRC"
1903169,2025-01-30,House,3,"HGEIC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1903169,2025-02-12,House,4,"HTRC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1903169,2025-02-15,House,5,"Passed in the House of Representatives - Y:62 N:0"
1903169,2025-02-17,Senate,6,"Sent to STBTC - Referrals: STBTC/SJC"
1903169,2025-03-06,Senate,7,"STBTC: Reported by committee with Do Pass recommendation"
1903169,2025-03-11,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1903169,2025-03-12,Senate,9,"Passed in the Senate - Y:39 N:0"
1903169,2025-03-20,House,10,"Signed by Governor - Chapter 10 - Mar. 20"
1903195,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903195,2025-01-21,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1903195,2025-01-29,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1903195,2025-02-06,House,4,"HJC: Reported by committee with Do Pass recommendation"
1903195,2025-02-25,House,5,"Passed in the House of Representatives - Y:41 N:27"
1903195,2025-02-26,Senate,6,"Sent to SHPAC - Referrals: SHPAC/SJC"
1903195,2025-03-10,Senate,7,"SHPAC: Reported by committee with Do Pass recommendation"
1903195,2025-03-16,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1903195,2025-03-17,Senate,9,"Passed in the Senate - Y:23 N:15"
1903195,2025-03-21,House,10,"Signed by Governor - Chapter 17 - Mar. 21"
1903223,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903223,2025-01-22,House,2,"Sent to HRDLC - Referrals: HRDLC/HAFC"
1903223,2025-01-29,House,3,"HRDLC: Reported by committee with Do Pass recommendation"
1903223,2025-02-25,House,4,"HAFC: Reported by committee with Do Pass recommendation"
1903223,2025-03-03,House,5,"Passed in the House of Representatives - Y:64 N:0"
1903223,2025-03-03,Senate,6,"Sent to SCONC - Referrals: SCONC/SFC"
1903223,2025-03-06,Senate,7,"SCONC: Reported by committee with Do Pass recommendation"
1903223,2025-03-18,Senate,8,"SFC: Reported by committee with Do Pass recommendation"
1903223,2025-03-21,Senate,9,"Passed in the Senate - Y:38 N:0"
1903223,2025-04-07,House,10,"Signed by Governor - Chapter 25 - Apr. 7"
1903248,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903248,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1903248,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1903273,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903273,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1903273,2025-02-03,House,3,"HCPAC: Reported by committee with Do Pass recommendation with amendment(s)"
1903299,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903299,2025-01-22,House,2,"Sent to HENRC - Referrals: HENRC/HCEDC/HTRC"
1903696,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1903696,2025-01-22,House,2,"Sent to HENRC - Referrals: HENRC/HCEDC"
1904551,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1904551,2025-01-21,House,2,"Sent to HHHC - Referrals: HHHC/HCEDC"
1904551,2025-01-28,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1904551,2025-02-20,House,4,"HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1904551,2025-02-28,House,5,"Passed in the House of Representatives - Y:38 N:31"
1904551,2025-03-01,Senate,6,"Sent to STBTC - Referrals: STBTC/SFC"
1904551,2025-03-11,Senate,7,"STBTC: Reported by committee with Do Pass recommendation with amendment(s)"
1904792,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1904792,2025-01-21,House,2,"Sent to HCEDC - Referrals: HCEDC/HTRC"
1904792,2025-01-30,House,3,"HCEDC: Reported by committee with Do Pass recommendation with amendment(s)"
1904792,2025-02-28,House,4,"HTRC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1904792,2025-03-03,House,5,"Passed in the House of Representatives - Y:56 N:4"
1904792,2025-03-03,Senate,6,"Sent to STBTC - Referrals: STBTC/SFC"
1904792,2025-03-16,Senate,7,"STBTC: Reported by committee with Do Pass recommendation with amendment(s)"
1904792,2025-03-22,Senate,8,"SFC: Reported by committee with Do Pass recommendation with amendment(s)"
1904792,2025-03-22,Senate,9,"Passed in the Senate - Y:28 N:9"
1904792,2025-03-22,House,10,"House has concurred with Senate Amendments"
1904792,2025-04-08,House,11,"Signed by Governor - Chapter 86 - Apr. 8"
1907543,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907543,2025-01-22,House,2,"Sent to HCEDC - Referrals: HCEDC/HJC"
1907594,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907594,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1907594,2025-02-04,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1907648,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907648,2025-01-22,House,2,"Sent to HENRC - Referrals: HENRC/HTRC"
1907648,2025-01-28,House,3,"HENRC: Reported by committee with Do Pass recommendation with amendment(s)"
1907697,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907697,2025-01-22,House,2,"Sent to HGEIC - Referrals: HGEIC/HJC/HAFC"
1907754,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907754,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1907754,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1907806,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907806,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HCEDC"
1907806,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1907806,2025-02-11,House,4,"HCEDC: Reported by committee with Do Pass recommendation with amendment(s)"
1907806,2025-02-21,House,5,"Passed in the House of Representatives - Y:62 N:1"
1907806,2025-02-21,Senate,6,"Sent to STBTC - Referrals: STBTC/SFC"
1907806,2025-03-14,Senate,7,"STBTC: Reported by committee with Do Pass recommendation"
1907806,2025-03-18,Senate,8,"SFC: Reported by committee with Do Pass recommendation"
1907806,2025-03-21,Senate,9,"Passed in the Senate - Y:37 N:0"
1907806,2025-04-08,House,10,"Signed by Governor - Chapter 88 - Apr. 8"
1907857,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907857,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HTRC"
1907857,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1907913,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907913,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HEC"
1907913,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1907913,2025-02-27,House,4,"HEC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1907913,2025-03-07,House,5,"Passed in the House of Representatives - Y:62 N:0"
1907913,2025-03-07,Senate,6,"Sent to SEC - Referrals: SEC/SFC"
1907913,2025-03-12,Senate,7,"SEC: Reported by committee with Do Pass recommendation with amendment(s)"
1907913,2025-03-16,Senate,8,"SFC: Reported by committee with Do Pass recommendation"
1907913,2025-03-18,Senate,9,"Passed in the Senate - Y:25 N:0"
1907913,2025-03-19,House,10,"House has concurred with Senate Amendments"
1907913,2025-04-09,House,11,"Signed by Governor - Chapter 129 - Apr. 9"
1907967,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1907967,2025-01-22,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1907967,2025-01-30,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1908238,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1908238,2025-01-22,House,2,"Sent to HCPAC - Referrals: HCPAC/HJC"
1908238,2025-02-03,House,3,"HCPAC: Reported by committee with Do Pass recommendation"
1908238,2025-02-25,House,4,"HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1908355,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1908355,2025-01-22,House,2,"Sent to HEC - Referrals: HEC/HAFC"
1908355,2025-02-04,House,3,"HEC: Reported by committee with Do Pass recommendation with amendment(s)"
1908355,2025-03-01,House,4,"HAFC: Reported by committee with Do Pass recommendation with amendment(s)"
1908355,2025-03-04,House,5,"Passed in the House of Representatives - Y:61 N:0"
1908355,2025-03-05,Senate,6,"Sent to SEC - Referrals: SEC/SFC"
1908355,2025-03-10,Senate,7,"SEC: Reported by committee with Do Pass recommendation"
1908355,2025-03-20,Senate,8,"SFC: Reported by committee with Do Pass recommendation with amendment(s)"
1908355,2025-03-21,Senate,9,"Passed in the Senate - Y:38 N:0"
1908355,2025-03-22,House,10,"House has concurred with Senate Amendments"
1908355,2025-04-08,House,11,"Signed by Governor - Chapter 89 - Apr. 8"
1908481,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1908481,2025-01-22,House,2,"Sent to HCEDC - Referrals: HCEDC/HJC"
1908481,2025-02-26,House,3,"HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1908481,2025-03-06,House,4,"HJC: Reported by committee with Do Pass recommendation"
1908597,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1908597,2025-01-22,House,2,"Sent to HGEIC - Referrals: HGEIC/HJC"
1908597,2025-02-19,House,3,"HGEIC: Reported by committee with Do Pass recommendation with amendment(s)"
1908597,2025-03-04,House,4,"HJC: Reported by committee with Do Pass recommendation"
1909516,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1909516,2025-01-23,House,2,"Sent to HLVMC - Referrals: HLVMC/HJC"
1909516,2025-01-29,House,3,"HLVMC: Reported by committee with Do Pass recommendation"
1909516,2025-02-11,House,4,"HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1909516,2025-02-19,House,5,"Passed in the House of Representatives - Y:36 N:22"
1909516,2025-02-19,Senate,6,"Sent to STBTC - Referrals: STBTC/SJC"
1909516,2025-03-08,Senate,7,"STBTC: Reported by committee with Do Pass recommendation"
1909516,2025-03-13,Senate,8,"SJC: Reported by committee with Do Pass recommendation"
1909516,2025-03-16,Senate,9,"Passed in the Senate - Y:25 N:14"
1909516,2025-03-21,House,10,"Signed by Governor - Chapter 18 - Mar. 21"
1909587,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1909587,2025-01-23,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1909587,2025-02-06,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1909587,2025-03-08,House,4,"HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1909658,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1909658,2025-01-23,House,2,"Sent to HLVMC - Referrals: HLVMC/HEC"
1909658,2025-01-29,House,3,"HLVMC: Reported by committee with Do Pass recommendation"
1909658,2025-02-24,House,4,"HEC: Reported by committee with Do Pass recommendation"
1909658,2025-03-11,House,5,"Passed in the House of Representatives - Y:47 N:18"
1909658,2025-03-12,Senate,6,"Sent to SEC - Referrals: SEC/STBTC"
1909658,2025-03-14,Senate,7,"SEC: Reported by committee with Do Pass recommendation"
1909658,2025-03-18,Senate,8,"STBTC: Reported by committee with Do Pass recommendation"
1909733,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1909733,2025-01-23,House,2,"Sent to HLVMC - Referrals: HLVMC/HJC"
1909733,2025-01-29,House,3,"HLVMC: Reported by committee with Do Pass recommendation"
1909805,2025-01-21,House,1,"Sent to HPREF - Referrals: HPREF"
1909805,2025-01-23,House,2,"Sent to HGEIC - Referrals: HGEIC/HEC"
1909805,2025-02-03,House,3,"HGEIC: Reported by committee with Do Pass recommendation"
1909805,2025-02-19,House,4,"HEC: Reported by committee with Do Pass recommendation"
