people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6100,"Roberto Gonzales",Roberto,J.,Gonzales,,Bobby,1,D,2,Sen,SD-006,9030052,5837,,Roberto_Gonzales,197490,0
6101,"Mimi Stewart",Mimi,,Stewart,,,1,D,2,Sen,SD-017,6435530,8357,,Mimi_Stewart,197467,0
6115,"Miguel Garcia",Miguel,P.,Garcia,,,1,D,1,Rep,HD-014,6382942,12346,,Miguel_Garcia,197460,0
6117,"Patricia Lundstrom",Patricia,A.,Lundstrom,,Patty,1,D,1,Rep,HD-009,6383082,22716,,Patricia_Lundstrom,205814,0
6120,"Eleanor Chavez",Eleanor,,Chavez,,,1,D,1,Rep,HD-026,6488304,104038,,Eleanor_Chavez,271973,0
6133,"Antonio Maestas",Antonio,,Maestas,,Moe,1,D,2,Sen,SD-026,6475626,57834,,Antonio_Maestas,249460,0
6141,"Jeff Steinborn",Jeff,,Steinborn,,,1,D,2,Sen,SD-036,6466473,43591,,Jeff_Steinborn,249462,0
6142,"William O'Neill",William,Baldwin,O'Neill,,Bill,1,D,2,Sen,SD-013,6436050,43452,,William_O%27Neill_(New_Mexico),405566,0
6144,"Joseph Cervantes",Joseph,,Cervantes,,,1,D,2,Sen,SD-031,6382885,55143,,Joseph_Cervantes,209534,0
6150,"Candy Ezzell",Candy,Spence,Ezzell,,,2,R,2,Sen,SD-032,9059133,43577,,Candy_Spence_Ezzell,227746,0
6157,"Peter Wirth",Peter,,Wirth,,,1,D,2,Sen,SD-025,6453946,43559,,Peter_Wirth,227744,0
6158,"William Sharer",William,E.,Sharer,,,2,R,2,Sen,SD-001,6579566,43442,,William_Sharer,208707,0
6164,"Gerald Ortiz Y Pino",Gerald,P.,"Ortiz Y Pino",,,1,D,2,Sen,SD-012,6453887,43495,,Jerry_Ortiz_y_Pino,227727,0
6167,"George Munoz",George,K.,Munoz,,,1,D,2,Sen,SD-004,8981195,103938,,George_Munoz,271964,0
6169,"Linda Lopez",Linda,Marie,Lopez,,,1,D,2,Sen,SD-011,6435748,10302,,"Linda_Lopez,_New_Mexico_Senator",196529,0
6177,"Pete Campos",Pete,,Campos,,,1,D,2,Sen,SD-008,6382876,5789,,Pete_Campos,196527,0
6179,"Steven Neville",Steven,P.,Neville,,,2,R,2,Sen,SD-002,6657448,43432,,Steven_Neville,227723,0
6193,"Nancy Rodriguez",Nancy,,Rodriguez,,,1,D,2,Sen,SD-024,6383324,10334,,Nancy_Rodriguez_(New_Mexico),197428,0
