bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1901126,1502172,2025-02-27,House,"House Final Passage",66,0,0,4,70
1901126,1517782,2025-03-13,Senate,"Senate Final Passage",38,0,0,4,42
1901131,1517469,2025-03-13,House,"House Final Passage",54,10,0,6,70
1901133,1492404,2025-02-18,House,"House Final Passage",41,26,0,2,69
1901137,1492493,2025-02-18,House,"House Final Passage",62,5,0,2,69
1901138,1497165,2025-02-22,House,"House Final Passage",61,1,0,7,69
1901138,1524386,2025-03-21,Senate,"Senate Final Passage",42,0,0,0,42
1901139,1502171,2025-02-27,House,"House Final Passage",59,4,0,7,70
1901530,1497142,2025-02-22,House,"House Final Passage",56,7,0,6,69
1901530,1524483,2025-03-21,Senate,"Senate Final Passage",26,12,4,0,42
1903092,1494419,2025-02-19,House,"House Final Passage",41,19,0,9,69
1903169,1490728,2025-02-15,House,"House Final Passage",61,0,0,8,69
1903169,1516365,2025-03-12,Senate,"Senate Final Passage",39,0,0,3,42
1903195,1499308,2025-02-25,House,"House Final Passage",41,27,0,1,69
1903195,1519228,2025-03-17,Senate,"Senate Final Passage",23,15,3,1,42
1903223,1503523,2025-03-03,House,"House Final Passage",64,0,0,6,70
1903223,1524426,2025-03-21,Senate,"Senate Final Passage",38,0,3,1,42
1904551,1502671,2025-02-28,House,"House Final Passage",38,31,0,1,70
1904792,1503300,2025-03-03,House,"House Final Passage",56,4,0,10,70
1904792,1524501,2025-03-22,Senate,"Senate Final Passage",28,9,5,0,42
1907806,1496747,2025-02-21,House,"House Final Passage",62,1,0,6,69
1907806,1524446,2025-03-21,Senate,"Senate Final Passage",37,0,4,1,42
1907913,1508901,2025-03-07,House,"House Final Passage",62,0,0,8,70
1907913,1519979,2025-03-18,Senate,"Senate Final Passage",25,0,5,12,42
1908355,1505044,2025-03-04,House,"House Final Passage",61,0,0,9,70
1908355,1524456,2025-03-21,Senate,"Senate Final Passage",38,0,3,1,42
1909516,1493841,2025-02-19,House,"House Final Passage",36,22,0,11,69
1909516,1518297,2025-03-16,Senate,"Senate Final Passage",25,14,2,1,42
1909658,1516000,2025-03-11,House,"House Final Passage",47,18,0,5,70
1909805,1500247,2025-02-26,House,"House Final Passage",58,0,0,11,69
1909805,1523953,2025-03-20,Senate,"Senate Final Passage",40,0,0,2,42
1911911,1508980,2025-03-08,House,"House Final Passage",37,19,0,14,70
1911911,1523954,2025-03-20,Senate,"Senate Final Passage",23,14,4,1,42
1911945,1500250,2025-02-26,House,"House Final Passage",62,0,0,7,69
1911983,1497835,2025-02-24,House,"House Final Passage",68,0,0,1,69
1912019,1518278,2025-03-15,House,"House Final Passage",36,28,0,6,70
1912019,1524233,2025-03-21,Senate,"Senate Final Passage",26,14,1,1,42
1912092,1515404,2025-03-11,House,"House Final Passage",64,0,0,6,70
1912092,1520576,2025-03-18,Senate,"Senate Final Passage",38,0,3,1,42
1912168,1515313,2025-03-11,House,"House Final Passage",65,0,0,5,70
1912203,1497166,2025-02-22,House,"House Final Passage",64,0,0,5,69
1912277,1496709,2025-02-21,House,"House Final Passage",62,0,0,7,69
1912277,1524403,2025-03-21,Senate,"Senate Final Passage",36,0,5,1,42
1912315,1496892,2025-02-21,House,"House Final Passage",64,0,0,5,69
1915578,1507880,2025-03-06,House,"House Final Passage",37,27,0,6,70
1916101,1516420,2025-03-12,House,"House Final Passage",66,3,0,1,70
1916101,1523047,2025-03-20,Senate,"Senate Final Passage",35,0,2,5,42
1916304,1517261,2025-03-11,House,"House Final Passage",66,0,0,4,70
1916602,1503003,2025-03-01,House,"House Final Passage",40,25,0,5,70
1916602,1524477,2025-03-21,Senate,"Senate Final Passage",27,11,4,0,42
1918722,1506371,2025-03-05,House,"House Final Passage",52,7,0,11,70
1918722,1523882,2025-03-20,Senate,"Senate Final Passage",37,4,1,0,42
1918835,1499171,2025-02-25,House,"House Final Passage",42,25,0,2,69
1918835,1523409,2025-03-20,Senate,"Senate Final Passage",26,16,0,0,42
1922294,1503040,2025-03-01,House,"House Final Passage",65,0,0,5,70
1922294,1523535,2025-03-20,Senate,"Senate Final Passage",41,0,1,0,42
1922304,1508969,2025-03-06,House,"House Final Passage",63,0,0,7,70
1922304,1523862,2025-03-20,Senate,"Senate Final Passage",34,7,0,1,42
1922630,1499385,2025-02-25,House,"House Final Passage",66,1,0,2,69
1922824,1519174,2025-03-17,House,"House Final Passage",60,4,0,6,70
1922824,1524395,2025-03-21,Senate,"Senate Final Passage",40,0,2,0,42
1923019,1502166,2025-02-27,House,"House Final Passage",57,6,0,7,70
1923778,1502167,2025-02-27,House,"House Final Passage",59,8,0,3,70
1924342,1520329,2025-03-18,House,"House Final Passage",66,1,0,3,70
1925065,1508983,2025-03-08,House,"House Final Passage",58,0,0,12,70
1925065,1524499,2025-03-22,Senate,"Senate Final Passage",38,1,3,0,42
1928344,1503058,2025-03-01,House,"House Final Passage",43,22,0,5,70
1928344,1523918,2025-03-20,Senate,"Senate Final Passage",24,16,1,1,42
1928366,1508833,2025-03-07,House,"House Final Passage",57,4,0,9,70
1928366,1524169,2025-03-21,Senate,"Senate Final Passage",33,6,3,0,42
1928414,1518022,2025-03-14,House,"House Final Passage",64,2,0,4,70
1928519,1477608,2025-01-29,House,"House Final Passage",69,0,0,0,69
1928547,1497185,2025-02-22,House,"House Final Passage",64,0,0,5,69
1928547,1524392,2025-03-21,Senate,"Senate Final Passage",40,0,2,0,42
1928600,1520475,2025-03-18,House,"House Final Passage",60,3,0,7,70
1928600,1523782,2025-03-20,Senate,"Senate Final Passage",40,0,1,1,42
1928758,1500231,2025-02-26,House,"House Final Passage",50,9,0,10,69
1928997,1517550,2025-03-13,House,"House Final Passage",48,7,0,15,70
1928997,1524444,2025-03-21,Senate,"Senate Final Passage",39,0,2,1,42
