bill_id,people_id,position
1901126,6144,1
1901126,15116,5
1901126,17351,2
1901126,17352,3
1901126,24693,4
1901127,20869,2
1901127,23054,1
1901127,24692,3
1901128,6115,1
1901129,15027,6
1901129,17348,3
1901129,22545,5
1901129,24782,2
1901129,25067,4
1901129,26361,1
1901130,21692,1
1901130,22648,2
1901131,17351,1
1901131,19020,2
1901132,24782,1
1901133,24693,2
1901133,24782,1
1901134,6101,6
1901134,15027,3
1901134,15114,5
1901134,18999,4
1901134,21693,2
1901134,24822,1
1901135,20922,2
1901135,22545,3
1901135,24782,1
1901136,24782,1
1901137,15027,6
1901137,17350,5
1901137,20922,4
1901137,21692,1
1901137,22547,3
1901137,24822,2
1901138,6115,1
1901138,22543,2
1901139,6144,2
1901139,12054,1
1901139,15116,6
1901139,17351,3
1901139,17352,4
1901139,24693,5
1901503,15116,5
1901503,20922,3
1901503,20926,2
1901503,21694,4
1901503,26364,1
1901530,17350,4
1901530,20922,2
1901530,22646,5
1901530,22648,3
1901530,24684,1
1901559,18999,2
1901559,21693,1
1901589,15027,2
1901589,18995,1
1901589,18999,3
1902942,6117,2
1902942,17348,1
1902965,24684,1
1902989,24782,1
1903015,17348,3
1903015,20839,4
1903015,21692,2
1903015,24685,1
1903065,6120,1
1903092,15027,3
1903092,21693,2
1903092,24685,1
1903116,15027,3
1903116,24688,2
1903116,24782,1
1903144,6120,2
1903144,15019,4
1903144,24688,3
1903144,24782,1
1903169,20917,2
1903169,21692,1
1903169,22646,4
1903169,24689,3
1903195,20840,2
1903195,20869,4
1903195,22536,3
1903195,26371,1
1903223,24782,1
1903248,24782,1
1903273,21511,3
1903273,24688,2
1903273,24782,1
1903299,15027,2
1903299,24684,1
1903696,18999,1
1904551,6101,5
1904551,15027,3
1904551,17350,2
1904551,20840,1
1904551,21694,4
1904792,6117,10
1904792,15018,3
1904792,15027,11
1904792,17348,7
1904792,20869,4
1904792,20922,6
1904792,20925,8
1904792,21692,1
1904792,21693,9
1904792,22657,2
1904792,26382,5
1907543,20922,2
1907543,20999,1
1907543,21693,3
1907594,20919,3
1907594,22984,1
1907594,24687,2
1907648,18999,1
1907697,22984,1
1907754,22984,2
1907754,24822,1
1907806,20922,3
1907806,22984,2
1907806,24689,4
1907806,26371,1
1907857,6115,2
1907857,22547,4
1907857,22646,6
1907857,24687,5
1907857,24821,1
1907857,26364,3
1907913,6177,1
1907913,15027,4
1907913,20919,5
1907913,22984,3
1907913,24822,2
1907967,20919,2
1907967,22984,1
1908238,18999,4
1908238,19002,5
1908238,20840,2
1908238,20916,3
1908238,26371,1
1908355,6101,2
1908355,17353,1
1908481,20840,2
1908481,21511,3
1908481,24683,1
1908481,26369,4
1908597,20840,1
1909516,22984,1
1909587,20922,2
1909587,21511,4
1909587,21693,3
1909587,22657,1
1909587,24693,5
1909658,20869,1
1909658,22543,2
1909733,20869,2
1909733,24782,1
1909805,20869,1
1909805,22543,2
1911911,6120,1
1911911,15027,3
1911911,19002,4
