bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1889861,2144,AB1,4,Passed,2025-05-28,"Voids certain regulations relating to the development and disposal of land in the Fort Mohave Valley. (BDR S-299)","AN ACT relating to public lands; declaring void certain regulations relating to the development and disposal of land in the Fort Mohave Valley; and providing other matters properly relating thereto.",0,,2025-05-28,"Chapter 60. (Effective May 28, 2025)",https://legiscan.com/NV/bill/AB1/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11742/Overview
1889867,2144,AB2,6,Failed,2025-04-12,"Revises provisions relating to state purchasing. (BDR 27-414)","AN ACT relating to state purchasing; providing for the disposition of rebates for purchases made with procurement cards; and providing other matters properly relating thereto.",0,,2025-04-12,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",https://legiscan.com/NV/bill/AB2/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11745/Overview
1889869,2144,AB3,4,Passed,2025-06-03,"Revises provisions relating to alternative dispute resolution. (BDR 3-472)","AN ACT relating to civil actions; revising provisions relating to alternate dispute resolution for certain civil actions; and providing other matters properly relating thereto.",0,,2025-06-03,"Chapter 215.",https://legiscan.com/NV/bill/AB3/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11748/Overview
1889879,2144,AB4,6,Failed,2025-04-12,"Revises provisions relating to probation and lifetime supervision. (BDR 14-246)","AN ACT relating to offenders; authorizing the Division of Parole and Probation of the Department of Public Safety to petition the sentencing court or the State Board of Parole Commissioners for the release of a person sentenced to lifetime supervision; authorizing the sentencing court or Board to grant such a petition under certain circumstances; clarifying provisions relating to certain allowable deductions from the period of probation of certain offenders; and providing other matters properly relating thereto.",0,,2025-04-12,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",https://legiscan.com/NV/bill/AB4/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11740/Overview
1889865,2144,AB5,6,Failed,2025-04-12,"Revises provisions governing contractors who perform work on residential photovoltaic systems used to produce electricity. (BDR 54-253)","AN ACT relating to contractors; requiring, rather than authorizing the State Contractors&#39; Board to require, a contractor who performs work concerning a residential photovoltaic system used to produce electricity to obtain a performance bond and payment bond before commencing the work; revising requirements for such bonds; and providing other matters properly relating thereto.",0,,2025-04-12,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",https://legiscan.com/NV/bill/AB5/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11751/Overview
1889856,2144,AB6,4,Passed,2025-06-06,"Establishes the Fetal Alcohol Spectrum Disorder Treatment Assistance Program within the Aging and Disability Services Division of the Department of Health and Human Services. (BDR 38-287)","AN ACT relating to fetal alcohol spectrum disorders; establishing the Fetal Alcohol Spectrum Disorder Treatment Assistance Program within the Aging and Disability Services Division of the Department of Health and Human Services; and providing other matters properly relating thereto.",0,,2025-06-06,"Chapter 324. (Effective June 5, 2025)",https://legiscan.com/NV/bill/AB6/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11753/Overview
1889880,2144,AB7,6,Failed,2025-04-12,"Revises provisions relating to the Juvenile Justice Oversight Commission. (BDR 5-295)","AN ACT relating to juvenile justice; revising the term length and membership of the Juvenile Justice Oversight Commission; and providing other matters properly relating thereto.",0,,2025-04-12,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",https://legiscan.com/NV/bill/AB7/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11761/Overview
1889857,2144,AB8,4,Passed,2025-05-28,"Revises provisions relating to state financial administration. (BDR 31-378)","AN ACT relating to state financial administration; revising provisions governing deposits of public money under certain circumstances; and providing other matters properly relating thereto.",0,,2025-05-28,"Chapter 61. (Effective May 28, 2025)",https://legiscan.com/NV/bill/AB8/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11758/Overview
1889872,2144,AB9,6,Failed,2025-06-03,"Revises provisions relating to water. (BDR 48-391)","AN ACT relating to water; revising the duration of time in which agricultural water rights may be temporarily converted for certain purposes; providing an exception to provisions relating to the forfeiture and abandonment of a water right; and providing other matters properly relating thereto.",0,,2025-06-03,"(No further action taken.)",https://legiscan.com/NV/bill/AB9/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11759/Overview
1889873,2144,AB10,4,Passed,2025-05-28,"Revises provisions relating to local improvement projects. (BDR 22-407)","AN ACT relating to local improvement projects; authorizing any county, city or town to repair a private water or sewer system that is owned by a common-interest community as part of a neighborhood improvement project; and providing other matters properly relating thereto.",0,,2025-05-28,"Chapter 62. (Effective May 28, 2025)",https://legiscan.com/NV/bill/AB10/2025,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11760/Overview
