bill_id,date,chamber,sequence,action
1889852,2024-10-30,Senate,1,"Prefiled. Referred to Committee on Government Affairs. To printer."
1889852,2024-11-04,Senate,2,"From printer."
1889852,2025-02-03,Senate,3,"Read first time. To committee."
1889852,2025-03-10,Senate,4,"Notice of eligibility for exemption."
1889852,2025-04-15,Senate,5,"From committee: Do pass."
1889852,2025-04-15,Senate,6,"Placed on Second Reading File."
1889852,2025-04-15,Senate,7,"Read second time."
1889852,2025-04-15,Senate,8,"Taken from General File. Re-referred to Committee on Finance. Exemption effective. To committee."
1889852,2025-05-19,Senate,9,"From committee: Do pass."
1889852,2025-05-20,Senate,10,"Taken from General File. Placed on General File for next legislative day."
1889852,2025-05-21,Senate,11,"Read third time. Passed. Title approved. (Yeas: 21, Nays: None.) To Assembly."
1889852,2025-05-22,Assembly,12,"In Assembly."
1889852,2025-05-22,Assembly,13,"Read first time. Referred to Committee on Government Affairs. To committee."
1889852,2025-05-27,Assembly,14,"From committee: Do pass."
1889852,2025-05-27,Assembly,15,"Placed on Second Reading File."
1889852,2025-05-27,Assembly,16,"Read second time."
1889852,2025-05-28,Assembly,17,"Read third time. Passed. Title approved. (Yeas: 42, Nays: None.) To Senate."
1889852,2025-05-29,Senate,18,"In Senate. To enrollment."
1889852,2025-05-31,Senate,19,"Enrolled and delivered to Governor."
1889852,2025-06-05,Senate,20,"Approved by the Governor."
1889852,2025-06-06,Senate,21,"Chapter 294. (Effective July 1, 2025)"
1889853,2024-09-26,Senate,1,Prefiled.
1889853,2024-10-07,Senate,2,"To printer."
1889853,2024-10-23,Senate,3,"From printer."
1889853,2025-02-03,Senate,4,"Read first time."
1889853,2025-02-03,Senate,5,"Declared an emergency measure under the Constitution."
1889853,2025-02-03,Senate,6,"Read third time. Passed. Title approved. (Yeas: 20, Nays: None, Excused: 1.) To Assembly."
1889853,2025-02-03,Assembly,7,"In Assembly."
1889853,2025-02-03,Assembly,8,"Read first time."
1889853,2025-02-03,Assembly,9,"Declared an emergency measure under the Constitution."
1889853,2025-02-03,Assembly,10,"Read third time. Passed. Title approved. (Yeas: 42, Nays: None.) To Senate."
1889853,2025-02-03,Senate,11,"In Senate. To enrollment."
1889853,2025-02-05,Senate,12,"Enrolled and delivered to Governor."
1889853,2025-02-06,Senate,13,"Approved by the Governor. Chapter 1. (Effective February 6, 2025)"
1889854,2024-10-16,Senate,1,"Prefiled. Referred to Committee on Natural Resources. To printer."
1889854,2024-10-23,Senate,2,"From printer."
1889854,2025-02-03,Senate,3,"Read first time. To committee."
1889854,2025-03-10,Senate,4,"Notice of eligibility for exemption."
1889854,2025-04-03,Senate,5,"From committee: Do pass."
1889854,2025-04-07,Senate,6,"Read second time."
1889854,2025-04-07,Senate,7,"Taken from General File. Re-referred to Committee on Finance. Exemption effective. To committee."
1889854,2025-05-27,Senate,8,"From committee: Do pass."
1889854,2025-05-27,Senate,9,"Placed on General File."
1889854,2025-05-27,Senate,10,"Read third time. Passed. Title approved. (Yeas: 21, Nays: None.) To Assembly."
1889854,2025-05-27,Assembly,11,"In Assembly."
1889854,2025-05-27,Assembly,12,"Read first time. Referred to Committee on Ways and Means. To committee."
1889854,2025-06-01,Assembly,13,"From committee: Do pass."
1889854,2025-06-01,Assembly,14,"Placed on Second Reading File."
1889854,2025-06-01,Assembly,15,"Read second time."
1889854,2025-06-02,Assembly,16,"Read third time. Passed. Title approved. (Yeas: 39, Nays: 3.) To Senate."
1889854,2025-06-03,Senate,17,"In Senate."
1889854,2025-06-04,Senate,18,"To enrollment."
1889854,2025-06-05,Senate,19,"Enrolled and delivered to Governor."
1889854,2025-06-09,Senate,20,"Approved by the Governor. Chapter 434. (Effective July 1, 2025)"
1889855,2024-10-31,Senate,1,"Prefiled. Referred to Committee on Judiciary. To printer."
1889855,2024-11-06,Senate,2,"From printer."
1889855,2025-02-03,Senate,3,"Read first time. To committee."
1889855,2025-04-12,Senate,4,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)"
1889856,2024-10-29,Assembly,1,"Prefiled. Referred to Committee on Health and Human Services. To printer."
1889856,2024-11-01,Assembly,2,"From printer."
1889856,2025-02-04,Assembly,3,"Read first time. To committee."
1889856,2025-02-12,Assembly,4,"Notice of eligibility for exemption."
1889856,2025-03-25,Assembly,5,"From committee: Do pass."
1889856,2025-03-26,Assembly,6,"Read second time."
1889856,2025-03-26,Assembly,7,"Taken from General File."
1889856,2025-03-26,Assembly,8,"Rereferred to Committee on Ways and Means. Exemption effective. To committee."
1889856,2025-05-27,Assembly,9,"From committee: Do pass."
1889856,2025-05-27,Assembly,10,"Placed on General File."
1889856,2025-05-27,Assembly,11,"Read third time. Passed. Title approved. (Yeas: 42, Nays: None.) To Senate."
1889856,2025-05-28,Senate,12,"In Senate."
1889856,2025-05-28,Senate,13,"Read first time. Referred to Committee on Finance. To committee."
1889856,2025-05-29,Senate,14,"From committee: Do pass."
1889856,2025-05-29,Senate,15,"Placed on Second Reading File."
1889856,2025-05-29,Senate,16,"Read second time."
1889856,2025-05-30,Senate,17,"Read third time. Passed. Title approved. (Yeas: 21, Nays: None.) To Assembly."
1889856,2025-05-31,Assembly,18,"In Assembly. To enrollment."
