people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8476,Education,,,,,,0,,1,Rep,,0,0,,,0,1573
8477,"Health and Human Services",,,,,,0,,1,Rep,,0,0,,,0,1576
8478,"Ways and Means",,,,,,0,,1,Rep,,0,0,,,0,1581
8480,"Commerce and Labor",,,,,,0,,1,Rep,,0,0,,,0,1570
8484,Judiciary,,,,,,0,,1,Rep,,0,0,,,0,1577
8486,"Government Affairs",,,,,,0,,1,Rep,,0,0,,,0,1575
8496,"Marilyn Dondero Loop",Marilyn,,"Dondero Loop",,,1,D,2,Sen,SD-008,6491157,106888,,Marilyn_Dondero_Loop,407374,0
8500,"James Ohrenschall",James,,Ohrenschall,,,1,D,2,Sen,SD-021,6476751,66853,,James_Ohrenschall,249423,0
8518,"Pete Goicoechea",Pete,,Goicoechea,,,2,R,2,Sen,SD-019,6596444,43974,,Peter_Goicoechea,211801,0
8539,Finance,,,,,,0,,2,Sen,,0,0,,,0,1585
8543,"Legislative Operations and Elections",,,,,,0,,2,Sen,,0,0,,,0,1589
8545,Judiciary,,,,,,0,,2,Sen,,0,0,,,0,1588
8548,"Commerce and Labor",,,,,,0,,2,Sen,,0,0,,,0,1582
8554,"Government Affairs",,,,,,0,,2,Sen,,0,0,,,0,1586
8555,"Natural Resources",,,,,,0,,2,Sen,,0,0,,,0,1590
12182,"Health and Human Services",,,,,,0,,2,Sen,,0,0,,,0,2068
12183,Education,,,,,,0,,2,Sen,,0,0,,,0,2067
12184,"Legislative Operations and Elections",,,,,,0,,1,Rep,,0,0,,,0,2103
12199,"John Ellison",John,,Ellison,,,2,R,2,Sen,SD-019,13009106,90566,,John_Ellison,294536,0
12200,"Ira Hansen",Ira,,Hansen,,,2,R,2,Sen,SD-014,6686502,121908,,Ira_Hansen,292353,0
12203,"Richard Daly",Richard,,Daly,,Skip,1,D,2,Sen,SD-013,6508393,121904,,Skip_Daly,310124,0
12213,"Dina Neal",Dina,,Neal,,,1,D,2,Sen,SD-004,13009010,121828,,Dina_Neal,309643,0
15869,"Lesley Cohen",Lesley,E.,Cohen,,,1,D,1,Rep,HD-029,9714575,144671,,Lesley_Cohen,446921,0
15881,"Patricia Spearman",Patricia,,Spearman,,Pat,1,D,2,Sen,SD-001,13789978,137684,,Patricia_Spearman,407281,0
17444,"Robin Titus",Robin,L.,Titus,,,2,R,2,Sen,SD-017,9686236,151015,,Robin_Titus,285979,0
17446,"Jill Dickman",Jill,,Dickman,,,2,R,1,Rep,HD-031,23594371,152682,,Jill_Dickman,490323,0
17518,"Edgar Flores",Edgar,,Flores,,,1,D,2,Sen,SD-002,23594326,152832,,Edgar_Flores,491441,0
17522,"Philip O'Neill",Philip,,O'Neill,,"P. K.",2,R,1,Rep,HD-040,23594352,151021,,Philip_O%27Neill,490331,0
19220,"Nicole Cannizzaro",Nicole,,Cannizzaro,,,1,D,2,Sen,SD-006,39827448,169489,,Nicole_Cannizzaro,574111,0
19221,"Shannon Bilbray-Axelrod",Shannon,,Bilbray-Axelrod,,,1,D,1,Rep,HD-034,39827435,169567,,Shannon_Bilbray-Axelrod,279961,0
19224,"Sandra Jauregui",Sandra,,Jauregui,,,1,D,1,Rep,HD-041,39827532,169582,,Sandra_Jauregui,338681,0
19226,"Lisa Krasner",Lisa,,Krasner,,,2,R,2,Sen,SD-016,23594320,155017,,Lisa_Krasner,490319,0
19229,"Brittney Miller",Brittney,,Miller,,,1,D,1,Rep,HD-005,39827574,169513,,Brittney_Miller,574124,0
