bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1889852,1575507,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889852,1580701,2025-05-28,Assembly,"Assembly Final Passage",42,0,0,0,42
1889853,1479104,2025-02-03,Senate,"Senate Final Passage",20,0,0,1,21
1889853,1479156,2025-02-03,Assembly,"Assembly Final Passage",42,0,0,0,42
1889854,1578806,2025-05-27,Senate,"Senate Final Passage",21,0,0,0,21
1889854,1584528,2025-06-02,Assembly,"Assembly Final Passage",39,3,0,0,42
1889856,1579480,2025-05-27,Assembly,"Assembly Final Passage",42,0,0,0,42
1889856,1582311,2025-05-30,Senate,"Senate Final Passage",21,0,0,0,21
1889857,1549331,2025-04-15,Assembly,"Assembly Final Passage",42,0,0,0,42
1889857,1575695,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889858,1544695,2025-04-10,Assembly,"Assembly Final Passage",41,0,0,1,42
1889858,1575657,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889859,1523133,2025-03-20,Senate,"Senate Final Passage",20,0,0,1,21
1889859,1573084,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889861,1548832,2025-04-15,Assembly,"Assembly Final Passage",35,7,0,0,42
1889861,1575673,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889862,1548713,2025-04-15,Senate,"Senate Final Passage",20,1,0,0,21
1889862,1573247,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889863,1548298,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889863,1573186,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889864,1567227,2025-05-02,Senate,"Senate Final Passage",0,0,0,21,21
1889866,1544700,2025-04-10,Assembly,"Assembly Final Passage",41,0,0,1,42
1889866,1575604,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889869,1554012,2025-04-22,Assembly,"Assembly Final Passage",41,1,0,0,42
1889869,1576536,2025-05-22,Senate,"Senate Final Passage",20,1,0,0,21
1889870,1553200,2025-04-21,Senate,"Senate Final Passage",21,0,0,0,21
1889870,1573241,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889871,1549320,2025-04-15,Assembly,"Assembly Final Passage",42,0,0,0,42
1889871,1575710,2025-05-21,Senate,"Senate Final Passage",21,0,0,0,21
1889873,1549096,2025-04-15,Assembly,"Assembly Final Passage",37,5,0,0,42
1889873,1575545,2025-05-21,Senate,"Senate Final Passage",20,1,0,0,21
1889874,1548705,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889874,1573642,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889875,1548479,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889875,1573090,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889876,1548476,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889876,1573104,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889878,1553763,2025-04-22,Senate,"Senate Final Passage",21,0,0,0,21
1889878,1573126,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889881,1551597,2025-04-17,Senate,"Senate Final Passage",21,0,0,0,21
1889881,1573178,2025-05-19,Assembly,"Assembly Final Passage",41,1,0,0,42
1889930,1548725,2025-04-15,Assembly,"Assembly Final Passage",31,11,0,0,42
1889930,1576921,2025-05-23,Senate,"Senate Final Passage",15,6,0,0,21
1889938,1551329,2025-04-17,Senate,"Senate Final Passage",21,0,0,0,21
1889938,1573466,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889947,1548264,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889947,1573632,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889962,1548772,2025-04-15,Assembly,"Assembly Final Passage",42,0,0,0,42
1889962,1573255,2025-05-19,Senate,"Senate Final Passage",20,0,0,1,21
1889974,1548961,2025-04-15,Senate,"Senate Final Passage",21,0,0,0,21
1889974,1573141,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1889988,1548779,2025-04-15,Assembly,"Assembly Final Passage",42,0,0,0,42
1889988,1573404,2025-05-19,Senate,"Senate Final Passage",20,0,0,1,21
1890003,1549009,2025-04-15,Assembly,"Assembly Final Passage",32,10,0,0,42
1890003,1575552,2025-05-21,Senate,"Senate Final Passage",16,5,0,0,21
1890016,1553084,2025-04-21,Senate,"Senate Final Passage",21,0,0,0,21
1890016,1573205,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
1890045,1551458,2025-04-17,Assembly,"Assembly Final Passage",42,0,0,0,42
1890045,1573332,2025-05-19,Senate,"Senate Final Passage",20,0,0,1,21
1890066,1543930,2025-04-10,Assembly,"Assembly Final Passage",41,0,0,1,42
1890066,1573456,2025-05-19,Senate,"Senate Final Passage",20,0,0,1,21
1890102,1554783,2025-04-22,Senate,"Senate Final Passage",17,4,0,0,21
1890102,1573087,2025-05-19,Assembly,"Assembly Final Passage",42,0,0,0,42
