bill_id,people_id,position
1889852,8554,1
1889853,17444,2
1889853,19220,1
1889854,8555,1
1889855,8545,1
1889856,8477,1
1889857,8486,1
1889858,8480,1
1889859,8545,1
1889860,8554,1
1889861,8486,1
1889862,8545,1
1889863,12182,1
1889864,8554,1
1889865,8480,1
1889866,21681,1
1889867,8486,1
1889868,8554,1
1889869,8484,1
1889870,8554,1
1889871,8486,1
1889872,21682,1
1889873,8486,1
1889874,8555,1
1889875,8548,1
1889876,8548,1
1889877,8484,1
1889878,8545,1
1889879,8484,1
1889880,8484,1
1889881,8548,1
1889930,8486,1
1889938,8545,1
1889941,8486,1
1889947,8555,1
1889948,8554,1
1889962,8484,1
1889974,8555,1
1889988,8484,1
1890003,8477,1
1890016,8545,1
1890045,19695,1
1890054,19691,1
1890066,8480,1
1890077,19696,1
1890089,8486,1
1890102,12182,1
1890145,8554,1
1890146,8545,1
1890153,8476,1
1890155,8484,1
1890161,8486,1
1890170,21682,1
1890198,8554,1
1891817,12182,1
1891832,8486,1
1891850,8554,1
1891867,8486,1
1892061,8484,1
1892069,8554,1
1892076,8554,1
1892087,8477,1
1892095,8545,1
1892103,21682,1
1892110,8555,1
1892171,8486,1
1892187,19695,1
1892205,8484,1
1892225,8554,1
1892229,19691,1
1892233,8545,1
1892238,8555,1
1892241,8548,1
1892246,8484,1
1892250,12183,1
1892260,12182,1
1892266,8477,1
1892320,8486,1
1892322,8554,1
1892332,12182,1
1892339,19696,1
1892346,8548,1
1892356,8480,1
1892383,8548,1
1892387,8548,1
1892391,8476,1
1892397,21682,1
1892401,8554,1
1892407,8545,1
1892413,12183,1
1892417,8545,1
1892425,19695,1
1892429,8486,1
1892436,8486,1
1892442,8480,1
1892446,8486,1
1892453,8477,1
1892459,8476,1
1892464,8478,1
1892473,8480,1
1892475,8476,1
1892478,8476,1
1892481,8554,1
1892483,19691,1
1892486,8486,1
1892490,8486,1
1892493,12183,1
1892520,19696,1
1892537,12182,1
1892548,12183,1
1892550,8484,1
1892551,19696,1
1892556,8484,1
1892558,8486,1
1892560,21682,1
1892562,19695,1
1892565,19695,1
1892568,8548,1
1892570,8484,1
1892573,8484,1
1892576,8554,1
1892580,8545,1
1892582,8486,1
1892585,8539,1
1892589,8554,1
1892592,8548,1
1892594,8484,1
1892597,8545,1
1892600,21681,1
1892601,8480,1
1892604,8480,1
1892607,8477,1
1892610,8545,1
1892613,8539,1
1892616,19691,1
1892620,8554,1
1892622,12182,1
1892624,8486,1
1892625,8545,1
1892632,8486,1
1892635,8554,1
1892638,12184,1
1892640,19695,1
1892643,8486,1
1892645,19691,1
1892651,8543,1
1892652,8543,1
1892654,21681,1
1892657,12183,1
1892659,8555,1
1892664,12184,1
1892668,8545,1
1892670,8480,1
1892672,21681,1
1892676,8480,1
1892678,19691,1
1892680,21681,1
1892684,8554,1
1892686,19696,1
1892688,8484,1
1892689,8545,1
1893266,21682,1
1895070,12213,20
1895070,17518,19
1895070,19229,12
1895070,21185,18
1895070,21252,21
1895070,22756,7
1895070,22758,17
1895070,22769,10
1895070,22798,3
1895070,24695,1
1895070,24700,11
1895070,24702,14
1895070,24703,16
1895070,25733,2
1895070,25734,4
1895070,25735,5
1895070,25736,6
1895070,25738,8
1895070,25740,9
1895070,25741,13
1895070,25742,15
1895083,24700,1
1895095,19229,7
1895095,21185,10
1895095,21252,11
1895095,22756,4
1895095,24695,2
1895095,24702,1
1895095,24703,9
1895095,25736,3
1895095,25738,5
1895095,25739,6
1895095,25742,8
1895108,21186,1
1895117,12199,8
1895117,17444,12
1895117,21252,9
1895117,22753,7
1895117,24695,2
1895117,24701,1
1895117,24703,6
1895117,24704,11
1895117,25735,3
1895117,25736,4
1895117,25738,5
1895117,25746,10
1901270,8496,4
1901270,12203,3
1901270,15881,1
1901270,21171,5
1901270,21252,7
1901270,22754,6
1901270,22839,2
1901270,24824,8
1901277,12200,4
1901277,17446,6
1901277,19233,2
1901277,21252,9
1901277,22756,3
1901277,22828,5
1901277,24695,7
1901277,24696,8
1901277,24703,1
1901294,22798,1
1901313,21175,3
1901313,21176,4
1901313,21183,7
1901313,21185,9
1901313,21186,10
1901313,22758,6
1901313,22828,2
1901313,22831,1
1901313,22832,8
1901313,24874,5
1901326,19224,1
1901330,19224,4
1901330,19229,5
1901330,19230,3
1901330,19233,2
1901330,22830,1
1901337,21174,1
1901337,22769,2
1901354,12213,1
1901361,12213,1
1901369,19230,1
1901369,22798,2
1901369,22832,3
1901375,15869,10
1901375,19221,7
1901375,19229,14
1901375,19230,16
1901375,21174,6
1901375,21175,13
1901375,21183,20
1901375,21185,1
1901375,21186,3
1901375,22756,4
1901375,22757,5
1901375,22798,11
1901375,22828,8
1901375,22829,2
1901375,22830,15
1901375,22831,21
1901375,24695,12
1901375,24702,17
1901375,24703,19
1901375,24823,9
1901375,24825,22
1901375,24874,18
1901402,21183,3
1901402,21186,4
1901402,22756,2
1901402,22839,1
1901424,15869,4
1901424,21175,5
1901424,21176,1
1901424,22757,2
1901424,24703,6
1901424,24823,3
1901432,12203,5
1901432,21175,2
1901432,22757,1
1901432,22798,6
1901432,22832,4
1901432,24823,3
1901438,8500,11
1901438,12213,4
1901438,15881,12
1901438,17518,1
1901438,19221,14
1901438,21172,3
1901438,21183,16
1901438,21185,6
1901438,21186,17
1901438,21252,10
1901438,22754,9
1901438,22756,5
1901438,22757,13
1901438,22839,2
1901438,24695,7
1901438,24703,8
1901438,24874,15
1901458,8496,3
1901458,8500,8
1901458,12203,1
1901458,12213,7
1901458,15881,10
1901458,17518,4
1901458,21171,5
1901458,21172,9
1901458,22754,6
1901458,22839,2
1901463,15869,9
1901463,19221,3
1901463,19224,16
1901463,19229,19
1901463,19230,21
1901463,19233,28
1901463,21175,12
1901463,21176,14
1901463,21183,1
1901463,21185,27
1901463,21186,2
1901463,21252,6
1901463,22756,13
1901463,22757,4
1901463,22758,23
1901463,22798,10
1901463,22828,7
1901463,22829,18
1901463,22830,20
1901463,22831,24
1901463,22832,26
1901463,22839,29
1901463,24695,11
1901463,24699,15
1901463,24700,17
1901463,24701,5
1901463,24703,22
1901463,24823,8
1901463,24824,30
1901463,24825,25
1901470,8500,3
1901470,15869,1
1901470,19221,4
1901470,21174,2
1901479,22828,1
1901482,19221,6
1901482,19224,11
1901482,21171,17
1901482,21175,10
1901482,21176,3
1901482,21183,2
1901482,21185,1
1901482,21186,16
1901482,22756,4
1901482,22757,5
1901482,22798,8
1901482,22828,7
1901482,22830,12
1901482,22831,14
1901482,22832,15
1901482,24695,9
1901482,24874,13
1901488,12203,1
1901526,22754,1
1901526,24823,2
1901539,12213,1
1901561,8496,4
1901561,8500,6
1901561,8518,5
1901561,15881,2
1901561,21171,1
1901561,21172,8
1901561,22753,3
1901561,24705,9
1901561,24824,7
1901574,8500,9
1901574,12203,4
1901574,12213,7
1901574,15881,3
1901574,17518,5
1901574,21171,6
1901574,21172,11
1901574,21252,8
1901574,22754,1
1901574,22839,2
1901574,24824,10
1901587,12203,1
1901600,12213,1
1901600,17518,2
1901600,22839,3
1901600,24695,4
1901634,19220,1
1901643,8500,1
1903001,19695,1
1903068,21682,1
1903133,8484,1
1903197,8484,1
1903262,8484,1
1903325,8484,1
1903329,8500,6
1903329,12203,25
1903329,15869,11
1903329,17518,27
1903329,19221,2
1903329,19229,3
1903329,19230,17
1903329,19233,24
1903329,21171,4
1903329,21174,8
1903329,21175,13
1903329,21183,19
1903329,21185,23
1903329,21186,1
1903329,22754,5
1903329,22756,14
1903329,22757,7
1903329,22828,9
1903329,22830,16
1903329,22831,20
1903329,22832,22
1903329,22839,26
1903329,24695,12
1903329,24701,15
1903329,24823,10
1903329,24825,21
1903329,24874,18
1903330,19230,2
1903330,22830,1
1903838,12182,1
1903916,8545,1
1903992,8545,1
1904074,8545,1
1904144,19691,1
1904221,8554,1
1904296,8555,1
1915897,17444,5
1915897,17446,1
1915897,17522,4
1915897,24694,3
1915897,24697,2
1915945,17444,1
1915992,8496,1
1916043,8500,5
1916043,19226,1
1916043,22754,3
1916043,24704,2
1916043,24824,6
1916043,25745,4
1916087,19226,1
1916087,24702,3
1916087,24704,2
1916138,21186,1
1916179,22756,2
1916179,22839,1
1916228,17522,1
1916277,17444,2
1916277,22753,1
1916326,8486,1
1916373,8484,1
1916418,19230,4
1916418,22839,5
1916418,24695,3
1916418,24699,1
1916418,24705,2
1916466,12213,18
1916466,17518,17
1916466,19224,7
1916466,21185,9
1916466,22756,3
1916466,22757,11
1916466,22829,5
1916466,22839,16
1916466,24695,13
1916466,25741,1
1916466,25744,15
1916513,17444,1
1916560,24824,1
1916598,12203,1
1917654,24698,1
1917767,8477,1
1917889,8496,11
1917889,8500,3
1917889,12199,12
1917889,12203,9
1917889,12213,14
1917889,17444,20
1917889,17518,13
1917889,19220,7
1917889,19226,1
1917889,21172,17
1917889,21252,15
1917889,22753,6
1917889,22754,2
1917889,22769,28
1917889,22798,21
1917889,22839,10
1917889,24694,22
1917889,24695,23
1917889,24703,29
1917889,24704,5
1917889,24824,4
1917889,24825,19
1917889,25735,24
1917889,25736,25
1917889,25739,26
1917889,25740,27
1917889,25744,8
1917889,25745,16
1917889,25746,18
1918009,8548,1
1918129,22758,1
1918248,24695,3
1918248,24698,1
1918248,24700,2
1918370,17522,1
1918370,22757,2
1923226,8554,1
1923593,22753,1
1923966,12203,1
1927185,12200,2
1927185,17444,3
1927185,19226,1
1927185,24704,5
1927185,25746,4
1927467,12203,1
1927756,12203,1
1928045,21682,1
1931265,12213,1
