people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1262,"William Barclay",William,A.,Barclay,,,2,R,1,Rep,HD-120,13009403,44325,,William_Barclay,212472,0
1265,"Michael Benedetto",Michael,R.,Benedetto,,,1,D,1,Rep,HD-082,13009292,55244,,Michael_Benedetto,226883,0
1272,"Alec Brook-Krasny",Alec,,Brook-Krasny,,,1,D,1,Rep,HD-046,6437794,55215,,Alec_Brook-Krasny,250927,0
1283,"William Colton",William,,Colton,,,1,D,1,Rep,HD-047,5597234,15171,,William_Colton,197697,0
1285,"Vivian Cook",Vivian,E.,Cook,,,1,D,1,Rep,HD-032,4889803,4294,,Vivian_Cook,197683,0
1294,"Jeffrey Dinowitz",Jeffrey,,Dinowitz,,,1,D,1,Rep,HD-081,6437070,4305,,Jeffrey_Dinowitz,197734,0
1302,"Michael Fitzpatrick",Michael,J.,Fitzpatrick,,,2,R,1,Rep,HD-008,6608010,44259,,Michael_Fitzpatrick_(New_York),673074,0
1306,"Michael Gianaris",Michael,N.,Gianaris,,,1,D,2,Sen,SD-012,6512510,55455,,Michael_Gianaris,208434,0
1309,"Deborah Glick",Deborah,J.,Glick,,,1,D,1,Rep,HD-066,2049486,4319,,Deborah_Glick,197719,0
1313,"Stephen Hawley",Stephen,M.,Hawley,,,2,R,1,Rep,HD-139,4679525,59388,,Stephen_Hawley,243140,0
1315,"Carl Heastie",Carl,E.,Heastie,,,1,D,1,Rep,HD-083,5623760,55228,,Carl_Heastie,208438,0
1316,"Andrew Hevesi",Andrew,D.,Hevesi,,,1,D,1,Rep,HD-028,6471175,57048,,Andrew_Hevesi,216118,0
1326,"Brian Kavanagh",Brian,P.,Kavanagh,,,1,D,2,Sen,SD-027,13009276,66879,,Brian_Kavanagh,250933,0
1332,"Charles Lavine",Charles,D.,Lavine,,,1,D,1,Rep,HD-013,13009161,44694,,Charles_Lavine,226855,0
1337,"Donna Lupardo",Donna,A.,Lupardo,,,1,D,1,Rep,HD-123,13009408,44184,,Donna_Lupardo,226906,0
1339,"William Magnarelli",William,B.,Magnarelli,,,1,D,1,Rep,HD-129,5573324,23183,,William_Magnarelli,197772,0
1343,"David McDonough",David,G.,McDonough,,,2,R,1,Rep,HD-014,13009180,44667,,David_McDonough,210036,0
1354,"Thomas O'Mara",Thomas,F.,O'Mara,,,2,R,2,Sen,SD-058,5320262,44804,,Thomas_O%27Mara,226912,0
1358,"Amy Paulin",Amy,R.,Paulin,,,1,D,1,Rep,HD-088,4607228,55220,,Amy_Paulin,209167,0
1359,"Crystal Peoples-Stokes",Crystal,D.,Peoples-Stokes,,,1,D,1,Rep,HD-141,5088504,23174,,Crystal_Peoples-Stokes,126640,0
1364,"Gary Pretlow",James,Gary,Pretlow,,Gary,1,D,1,Rep,HD-089,6437563,4381,,J._Gary_Pretlow,197737,0
1368,"Philip Ramos",Philip,R.,Ramos,,Phil,1,D,1,Rep,HD-006,13009151,44588,,Philip_Ramos,212473,0
1375,"Linda Rosenthal",Linda,B.,Rosenthal,,,1,D,1,Rep,HD-067,6471193,58067,,Linda_Rosenthal,215418,0
