bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1897823,1565431,2025-05-05,Senate,"Senate Codes Committee Vote",12,1,0,0,13
1897825,1503961,2025-02-04,Senate,"Senate Cultural Affairs, Tourism, Parks And Recreation Committee Vote",6,0,0,1,7
1897825,1503962,2025-03-03,Senate,"Senate Floor Vote - Final Passage",44,17,0,2,63
1897825,1540501,2025-04-08,Senate,"Senate Floor Vote - Final Passage",45,17,0,1,63
1897829,1590770,2025-06-13,Assembly,"Assembly Rules Committee: Favorable",29,0,0,2,31
1897829,1590771,2025-06-13,Assembly,"Assembly Ways And Means Committee: Favorable refer to committee Rules",32,0,0,3,35
1897832,1570903,2025-02-04,Senate,"Senate Crime Victims, Crime And Correction Committee Vote",7,0,0,0,7
1897832,1570904,2025-05-13,Senate,"Senate Floor Vote - Final Passage",57,0,0,5,62
1897835,1479860,2025-02-04,Senate,"Senate Social Services Committee Vote",7,0,0,0,7
1897846,1472623,2025-01-21,Senate,"Senate Floor Vote - Final Passage",39,20,0,4,63
1897846,1472624,2025-01-21,Senate,"Senate Health Committee Vote",9,5,0,1,15
1897846,1472903,2025-01-21,Senate,"Senate Rules Committee Vote",13,6,0,2,21
1897849,1581694,2025-02-03,Senate,"Senate Insurance Committee Vote",11,0,0,0,11
1897849,1581695,2025-05-29,Senate,"Senate Floor Vote - Final Passage",55,1,0,7,63
1897861,1571612,2025-01-27,Senate,"Senate Codes Committee Vote",12,0,0,1,13
1897861,1571613,2025-05-14,Senate,"Senate Floor Vote - Final Passage",57,0,0,5,62
1897864,1580576,2025-01-27,Senate,"Senate Housing, Construction And Community Development Committee Vote",8,3,0,0,11
1897864,1580577,2025-05-28,Senate,"Senate Floor Vote - Final Passage",40,21,0,2,63
1897870,1506222,2025-02-11,Senate,"Senate Environmental Conservation Committee Vote",11,0,0,0,11
1897870,1506223,2025-03-05,Senate,"Senate Floor Vote - Final Passage",61,0,0,2,63
1897870,1588011,2025-06-10,Senate,"Senate Floor Vote - Final Passage",58,0,0,5,63
1897875,1503881,2025-02-24,Senate,"Senate Codes Committee Vote",13,0,0,0,13
1897875,1503882,2025-03-03,Senate,"Senate Floor Vote - Final Passage",59,2,0,2,63
1897881,1585250,2025-05-27,Senate,"Senate New York City Education Committee Vote",6,0,0,0,6
1897881,1585251,2025-06-04,Senate,"Senate Floor Vote - Final Passage",58,0,0,5,63
1897886,1586211,2025-03-04,Senate,"Senate Finance Committee Vote",21,0,0,1,22
1897886,1586212,2025-06-06,Senate,"Senate Floor Vote - Final Passage",52,1,0,10,63
1897903,1473210,2025-01-22,Senate,"Senate Social Services Committee Vote",7,0,0,0,7
1897916,1525026,2025-02-25,Senate,"Senate Banks Committee Vote",5,2,0,0,7
1897916,1525027,2025-03-24,Senate,"Senate Floor Vote - Final Passage",37,22,0,4,63
1897932,1579460,2025-04-29,Senate,"Senate Investigations And Government Operations Committee Vote",7,0,0,0,7
1897932,1588922,2025-05-27,Senate,"Senate Floor Vote - Final Passage",51,8,0,4,63
1897932,1589824,2025-06-11,Assembly,"Assembly Floor Vote - Final Passage",119,27,0,4,150
1897933,1475636,2025-01-28,Senate,"Senate Cities 1 Committee Vote",7,0,0,0,7
1897943,1486415,2025-02-03,Senate,"Senate Higher Education Committee Vote",11,0,0,0,11
1897943,1486416,2025-02-11,Senate,"Senate Floor Vote - Final Passage",61,0,0,2,63
1897949,1580439,2025-01-21,Senate,"Senate Energy And Telecommunications Committee Vote",8,1,0,0,9
1897949,1580440,2025-05-28,Senate,"Senate Floor Vote - Final Passage",60,1,0,2,63
