bill_id,people_id,position
1897823,2377,4
1897823,11331,3
1897823,14578,6
1897823,16117,1
1897823,21405,2
1897823,21914,5
1897824,20156,1
1897825,19643,2
1897825,20155,5
1897825,20165,3
1897825,20169,4
1897825,20264,7
1897825,23020,1
1897825,23785,8
1897825,23903,6
1897827,18775,1
1897828,1326,1
1897828,1424,2
1897829,22135,1
1897831,20165,3
1897831,23020,1
1897831,23903,4
1897831,25838,2
1897832,2377,3
1897832,20165,2
1897832,20264,1
1897832,23785,6
1897832,23902,4
1897832,23903,5
1897832,23905,7
1897833,20637,1
1897835,17552,1
1897836,11331,1
1897836,21405,2
1897837,1294,6
1897837,1491,7
1897837,17439,3
1897837,18778,1
1897837,19506,10
1897837,20256,9
1897837,20257,5
1897837,20634,12
1897837,21691,8
1897837,22134,13
1897837,22365,4
1897837,23123,2
1897837,25822,14
1897837,25831,11
1897839,11312,2
1897839,20680,3
1897839,24505,1
1897840,14578,1
1897842,14220,6
1897842,19643,3
1897842,20165,7
1897842,20167,1
1897842,20263,5
1897842,20264,8
1897842,23020,2
1897842,23530,4
1897843,1354,8
1897843,1389,13
1897843,1417,3
1897843,1426,4
1897843,2377,6
1897843,11331,1
1897843,14578,12
1897843,16117,10
1897843,16693,9
1897843,21405,2
1897843,21914,7
1897843,22278,5
1897843,22279,14
1897843,23902,11
1897845,11331,1
1897846,19643,2
1897846,20165,4
1897846,20167,5
1897846,20263,3
1897846,23020,1
1897848,11331,1
1897848,18241,3
1897848,21405,2
1897848,21914,4
1897848,23902,5
1897849,1442,9
1897849,14669,11
1897849,16117,8
1897849,16653,1
1897849,17552,10
1897849,18950,2
1897849,19643,4
1897849,20155,7
1897849,20165,5
1897849,20167,6
1897849,23020,3
1897849,23785,12
1897850,20165,1
1897851,23020,1
1897853,16117,1
1897853,21405,2
1897853,21914,3
1897854,22135,1
1897855,16117,1
1897855,22279,2
1897857,1326,10
1897857,1442,14
1897857,1450,21
1897857,11116,17
1897857,13334,1
1897857,13939,12
1897857,14205,6
1897857,14215,20
1897857,14216,22
1897857,14220,8
1897857,16653,5
1897857,17552,15
1897857,18950,2
1897857,20155,13
1897857,20156,16
1897857,20165,9
1897857,20169,11
1897857,20263,7
1897857,20264,19
1897857,22258,3
1897857,23020,4
1897857,25840,18
1897858,16653,1
1897858,20263,2
1897859,2377,4
1897859,11331,1
1897859,16117,6
1897859,21405,2
1897859,21914,5
1897859,22278,3
1897859,22279,9
1897859,23902,7
1897859,23905,8
1897861,1424,7
1897861,2377,10
1897861,16117,12
1897861,18241,5
1897861,19643,4
1897861,20155,11
1897861,20165,6
1897861,20168,8
1897861,20264,14
1897861,21405,2
1897861,22278,9
1897861,23020,1
1897861,23900,3
1897861,23903,13
1897861,23905,15
1897863,1354,7
1897863,1389,1
1897863,11331,3
1897863,14578,11
1897863,16117,9
1897863,16693,8
1897863,18241,4
1897863,20264,10
1897863,21405,2
1897863,21914,6
1897863,22278,5
1897863,22279,12
1897864,14215,3
1897864,20165,2
1897864,23020,1
1897866,11331,1
1897866,21405,2
1897866,21914,3
1897867,1424,6
1897867,1450,10
1897867,16653,3
1897867,20155,8
1897867,20165,5
1897867,20169,7
1897867,20264,9
1897867,21405,2
1897867,23020,1
1897867,23530,4
1897869,16653,2
1897869,20156,1
1897869,20165,3
1897870,20165,3
1897870,20169,4
1897870,22258,2
1897870,23020,1
1897870,23785,7
1897870,23902,5
1897870,23903,6
1897870,23905,8
1897871,1306,11
1897871,1326,16
1897871,1442,20
1897871,1450,27
1897871,11116,23
1897871,14205,9
1897871,14215,26
1897871,14220,15
1897871,14669,25
1897871,16653,7
1897871,17552,21
1897871,18950,2
1897871,19643,10
1897871,20155,19
