bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1939605,2190,HB1,1,Introduced,2025-01-23,"Enact Ohio Property Protection Act","To amend sections 319.202, 5301.256, and 5323.02 of the Revised Code to modify the law that prohibits certain governments, businesses, and individuals from acquiring certain real property and to name this act the Ohio Property Protection Act.",5076,"House Public Safety",2025-01-28,"Referred to committee: Public Safety",https://legiscan.com/OH/bill/HB1/2025,https://www.legislature.ohio.gov/legislation/136/hb1
1939815,2190,HB2,1,Introduced,2025-01-23,"Establish the Child Care Cred Program","To enact section 5104.54 of the Revised Code to establish the Child Care Cred Program and to make an appropriation.",110,"House Rules and Reference",2025-05-21,"Reported - Re-referred to Finance: Rules and Reference",https://legiscan.com/OH/bill/HB2/2025,https://www.legislature.ohio.gov/legislation/136/hb2
1939681,2190,HB3,2,Engrossed,2025-06-11,"Enact the School Bus Safety Act","To amend sections 4503.03, 4510.036, 4511.75, 4511.751, and 4511.76 and to enact sections 5.501, 3327.18, and 3327.19 of the Revised Code to address school bus safety, to designate this act as the School Bus Safety Act, and to make an appropriation.",0,,2025-06-12,Introduced,https://legiscan.com/OH/bill/HB3/2025,https://www.legislature.ohio.gov/legislation/136/hb3
1939777,2190,HB4,4,Passed,2025-08-27,"Designate Ohio Stillbirth Prevention Day","To enact section 5.2471 of the Revised Code to designate September 19 as ""Ohio Stillbirth Prevention Day.""",0,,2025-08-27,"Effective ",https://legiscan.com/OH/bill/HB4/2025,https://www.legislature.ohio.gov/legislation/136/hb4
1939833,2190,HB5,2,Engrossed,2025-05-21,"Enact the Repeat Offender Act","To amend sections 109.11, 109.57, 109.572, 109.578, 109.579, 2151.357, 2746.02, 2901.08, 2923.125, 2923.13, 2923.14, 2929.01, 2929.13, 2929.14, 2929.34, 2930.171, 2941.141, 2941.144, 2941.145, 2941.146, 2951.041, 2953.25, 2953.26, 2953.31, 2953.32, 2953.34, 2953.39, 2953.61, 4723.28, 4729.16, 4729.56, 4729.57, 4729.96, 4752.09, and 5120.035 and to enact sections 2941.1427, 2941.1428, 2941.1429, 2953.311, 2953.321, 2953.322, and 2953.323 of the Revised Code to enact the Repeat Offender Act to create a repeat offender classification, to create and modify certain firearm specifications, to increase the penalties for certain firearm offenses and specifications, to broaden the scope of relief from firearms disability, and to modify the Sealing and Expungement Law.",2659,"Senate Judiciary",2025-05-28,"Referred to committee: Judiciary",https://legiscan.com/OH/bill/HB5/2025,https://www.legislature.ohio.gov/legislation/136/hb5
1939587,2190,HB6,1,Introduced,2025-01-23,"Enact Advance Ohio Higher Education Act","To amend sections 3335.02, 3335.09, 3337.01, 3339.01, 3341.02, 3343.02, 3344.01, 3345.45, 3350.10, 3352.01, 3356.01, 3359.01, 3361.01, 3362.01, 3364.01, 4117.14, and 4117.15; to enact new section 3333.045 and sections 3345.029, 3345.0216, 3345.0217, 3345.0218, 3345.0219, 3345.382, 3345.451, 3345.452, 3345.453, 3345.454, 3345.455, 3345.456, 3345.591, 3345.80, and 3345.88; and to repeal section 3333.045 of the Revised Code to enact the Advance Ohio Higher Education Act regarding the operation of state institutions of higher education.",5077,"House Workforce and Higher Education",2025-01-28,"Referred to committee: Workforce and Higher Education",https://legiscan.com/OH/bill/HB6/2025,https://www.legislature.ohio.gov/legislation/136/hb6
1939661,2190,HB7,1,Introduced,2025-01-23,"Make certain caregivers eligible for publicly funded child care","To amend section 5104.30 and to enact section 5104.302 of the Revised Code to make foster caregivers and kinship caregivers eligible for publicly funded child care.",5072,"House Children and Human Services",2025-01-28,"Referred to committee: Children and Human Services",https://legiscan.com/OH/bill/HB7/2025,https://www.legislature.ohio.gov/legislation/136/hb7
1939697,2190,HB8,1,Introduced,2025-01-23,"Require health plan and Medicaid coverage of biomarker testing","To enact sections 3902.65 and 5164.13 of the Revised Code to require health benefit plan and Medicaid program coverage of biomarker testing.",102,"House Health",2025-01-28,"Referred to committee: Health",https://legiscan.com/OH/bill/HB8/2025,https://www.legislature.ohio.gov/legislation/136/hb8
1939795,2190,HB9,1,Introduced,2025-01-23,"Replace interstate construction requirement with a traffic study","To repeal section 5501.60 of the Revised Code to replace the requirement that the Department of Transportation construct certain interstate interchanges with a traffic congestion study.",4827,"House Transportation",2025-01-28,"Referred to committee: Transportation",https://legiscan.com/OH/bill/HB9/2025,https://www.legislature.ohio.gov/legislation/136/hb9
1939871,2190,HB10,2,Engrossed,2025-06-11,"Regulate imitation meat and egg products","To amend sections 3314.03, 3326.11, 3328.24, 3701.132, and 3715.60 and to enact sections 3313.8110, 3345.88, 3715.601, 3715.602, 3715.603, 3715.604, 3715.605, and 5101.548 of the Revised Code to regulate imitation meat and egg products.",4034,"Senate Agriculture and Natural Resources",2025-06-18,"Referred to committee: Agriculture and Natural Resources",https://legiscan.com/OH/bill/HB10/2025,https://www.legislature.ohio.gov/legislation/136/hb10
