bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1939605,3080698,text,101010,application/pdf,Introduced,https://legiscan.com/OH/text/HB1/id/3080698,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb1/00_IN/pdf/
1939815,3079104,text,68746,application/pdf,Introduced,https://legiscan.com/OH/text/HB2/id/3079104,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb2/00_IN/pdf/
1939815,3237124,text,95739,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/3237124,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb2/01_RH/pdf/
1939815,3241989,text,95945,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/3241989,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb2/02_RCH/pdf/
1939681,3079121,text,123276,application/pdf,Introduced,https://legiscan.com/OH/text/HB3/id/3079121,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb3/00_IN/pdf/
1939681,3225361,text,247471,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/3225361,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb3/01_RH/pdf/
1939681,3231557,text,247873,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/3231557,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb3/02_RCH/pdf/
1939681,3246190,text,247035,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/3246190,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb3/03_RH/pdf/
1939681,3254694,text,131004,application/pdf,Engrossed,https://legiscan.com/OH/text/HB3/id/3254694,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb3/04_PH/pdf/
1939777,3080498,text,55772,application/pdf,Introduced,https://legiscan.com/OH/text/HB4/id/3080498,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/00_IN/pdf/
1939777,3116286,text,60014,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/3116286,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/01_RH/pdf/
1939777,3199207,text,61527,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/3199207,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/03_RS/pdf/
1939777,3116287,text,61272,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/3116287,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/02_PH/pdf/
1939777,3231479,text,61769,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/3231479,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/04_PS/pdf/
1939777,3232360,text,67870,application/pdf,Enrolled,https://legiscan.com/OH/text/HB4/id/3232360,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb4/05_EN/pdf/
1939833,3079173,text,488779,application/pdf,Introduced,https://legiscan.com/OH/text/HB5/id/3079173,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb5/00_IN/pdf/
1939833,3241948,text,1379494,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB5/id/3241948,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb5/01_RH/pdf/
1939833,3241949,text,1370023,application/pdf,Engrossed,https://legiscan.com/OH/text/HB5/id/3241949,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb5/02_PH/pdf/
1939587,3079247,text,208170,application/pdf,Introduced,https://legiscan.com/OH/text/HB6/id/3079247,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb6/00_IN/pdf/
1939661,3080434,text,71064,application/pdf,Introduced,https://legiscan.com/OH/text/HB7/id/3080434,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb7/00_IN/pdf/
1939697,3079994,text,70432,application/pdf,Introduced,https://legiscan.com/OH/text/HB8/id/3079994,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb8/00_IN/pdf/
1939795,3080704,text,60142,application/pdf,Introduced,https://legiscan.com/OH/text/HB9/id/3080704,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb9/00_IN/pdf/
1939871,3079103,text,114224,application/pdf,Introduced,https://legiscan.com/OH/text/HB10/id/3079103,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb10/00_IN/pdf/
1939871,3254699,text,120100,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB10/id/3254699,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb10/01_RH/pdf/
1939871,3254700,text,119878,application/pdf,Engrossed,https://legiscan.com/OH/text/HB10/id/3254700,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb10/02_PH/pdf/
1939735,3080684,text,139099,application/pdf,Introduced,https://legiscan.com/OH/text/HB11/id/3080684,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb11/00_IN/pdf/
1939756,3079114,text,80338,application/pdf,Introduced,https://legiscan.com/OH/text/HB12/id/3079114,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb12/00_IN/pdf/
1939853,3079118,text,55524,application/pdf,Introduced,https://legiscan.com/OH/text/HB13/id/3079118,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb13/00_IN/pdf/
1939853,3143633,text,59725,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB13/id/3143633,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb13/01_RH/pdf/
1939853,3155049,text,61207,application/pdf,Engrossed,https://legiscan.com/OH/text/HB13/id/3155049,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb13/02_PH/pdf/
1939887,3080707,text,62455,application/pdf,Introduced,https://legiscan.com/OH/text/HB14/id/3080707,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/00_IN/pdf/
1939887,3102675,text,72316,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB14/id/3102675,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/01_RH/pdf/
1939887,3128002,text,73748,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB14/id/3128002,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/03_RS/pdf/
1939887,3102676,text,73323,application/pdf,Engrossed,https://legiscan.com/OH/text/HB14/id/3102676,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/02_PH/pdf/
1939887,3130347,text,73795,application/pdf,Engrossed,https://legiscan.com/OH/text/HB14/id/3130347,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/04_PS/pdf/
1939887,3131567,text,78590,application/pdf,Enrolled,https://legiscan.com/OH/text/HB14/id/3131567,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb14/05_EN/pdf/
1939624,3079907,text,262140,application/pdf,Introduced,https://legiscan.com/OH/text/HB15/id/3079907,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/00_IN/pdf/
1939624,3190334,text,1161146,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB15/id/3190334,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/01_RH/pdf/
1939624,3226448,text,1079172,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB15/id/3226448,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/03_RS/pdf/
1939624,3192431,text,1159068,application/pdf,Engrossed,https://legiscan.com/OH/text/HB15/id/3192431,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/02_PH/pdf/
1939624,3225509,text,1074486,application/pdf,Engrossed,https://legiscan.com/OH/text/HB15/id/3225509,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/04_PS/pdf/
1939624,3229229,text,984863,application/pdf,Enrolled,https://legiscan.com/OH/text/HB15/id/3229229,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb15/05_EN/pdf/
1939574,3080655,text,65238,application/pdf,Introduced,https://legiscan.com/OH/text/HB16/id/3080655,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb16/00_IN/pdf/
1939644,3080705,text,62905,application/pdf,Introduced,https://legiscan.com/OH/text/HB17/id/3080705,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb17/00_IN/pdf/
1939718,3079059,text,114694,application/pdf,Introduced,https://legiscan.com/OH/text/HB18/id/3079059,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb18/00_IN/pdf/
1942477,3083555,text,68594,application/pdf,Introduced,https://legiscan.com/OH/text/HB19/id/3083555,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb19/00_IN/pdf/
1942789,3083840,text,66139,application/pdf,Introduced,https://legiscan.com/OH/text/HB20/id/3083840,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb20/00_IN/pdf/
1942789,3256931,text,68093,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB20/id/3256931,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb20/01_RH/pdf/
1942789,3256932,text,69108,application/pdf,Engrossed,https://legiscan.com/OH/text/HB20/id/3256932,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb20/02_PH/pdf/
1942857,3083907,text,161000,application/pdf,Introduced,https://legiscan.com/OH/text/HB21/id/3083907,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb21/00_IN/pdf/
1942400,3083484,text,127945,application/pdf,Introduced,https://legiscan.com/OH/text/HB22/id/3083484,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb22/00_IN/pdf/
1942711,3083770,text,60497,application/pdf,Introduced,https://legiscan.com/OH/text/HB23/id/3083770,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb23/00_IN/pdf/
1942711,3256925,text,60975,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB23/id/3256925,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb23/01_RH/pdf/
1942711,3256926,text,61829,application/pdf,Engrossed,https://legiscan.com/OH/text/HB23/id/3256926,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb23/02_PH/pdf/
1942631,3083697,text,76196,application/pdf,Introduced,https://legiscan.com/OH/text/HB24/id/3083697,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb24/00_IN/pdf/
1942556,3083626,text,83341,application/pdf,Introduced,https://legiscan.com/OH/text/HB25/id/3083626,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb25/00_IN/pdf/
1943844,3085511,text,146606,application/pdf,Introduced,https://legiscan.com/OH/text/HB26/id/3085511,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb26/00_IN/pdf/
1943986,3085655,text,57056,application/pdf,Introduced,https://legiscan.com/OH/text/HB27/id/3085655,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb27/00_IN/pdf/
1943986,3169450,text,61822,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB27/id/3169450,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb27/01_RH/pdf/
1943986,3192467,text,63889,application/pdf,Engrossed,https://legiscan.com/OH/text/HB27/id/3192467,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/legislation/hb27/02_PH/pdf/
