bill_id,date,chamber,sequence,action
1902943,2025-01-06,House,1,Adopted
1902988,2025-01-06,House,1,Adopted
1903017,2025-01-06,House,1,Adopted
1903017,2025-01-08,Senate,2,Adopted
1903039,2025-01-06,House,1,Adopted
1903064,2025-01-06,House,1,Adopted
1903064,2025-01-08,Senate,2,Adopted
1903091,2025-01-06,House,1,Adopted
1903171,2025-01-06,House,1,Adopted
1903194,2025-01-06,House,1,Adopted
1903224,2025-01-06,House,1,Adopted
1903247,2025-01-06,Senate,1,Offered
1903247,2025-01-06,Senate,2,Adopted
1903274,2025-01-06,Senate,1,Adopted
1903274,2025-01-06,Senate,2,Offered
1903300,2025-01-06,House,1,Adopted
1907228,2025-01-08,Senate,1,Adopted
1915263,2025-01-13,Senate,1,Adopted
1915418,2025-01-13,Senate,1,Adopted
1915576,2025-01-13,Senate,1,Adopted
1915736,2025-01-13,Senate,1,Adopted
1935455,2025-01-22,House,1,Adopted
1935455,2025-01-29,Senate,2,Adopted
1935483,2025-01-22,House,1,"Resolution Adopted"
1935728,2025-01-22,Senate,1,Adopted
1935790,2025-01-22,Senate,1,Adopted
1936828,2025-01-22,Senate,1,Introduced
1936828,2025-01-29,Senate,2,"Referred to committee: Energy"
1936828,2025-03-18,Senate,3,"Reported - Substitute: Energy"
1936828,2025-03-19,Senate,4,Passed
1936828,2025-03-24,House,5,Introduced
1936828,2025-03-26,House,6,"Referred to committee: Energy"
1936832,2025-01-22,Senate,1,Introduced
1936832,2025-01-29,Senate,2,"Referred to committee: Finance"
1936842,2025-01-22,Senate,1,Introduced
1936842,2025-01-29,Senate,2,"Referred to committee: Armed Services, Veterans Affairs and Public Safety"
1936851,2025-01-22,Senate,1,Introduced
1936851,2025-01-29,Senate,2,"Referred to committee: Health"
1936851,2025-05-28,Senate,3,"Reported: Health"
1936851,2025-05-28,Senate,4,Passed
1936851,2025-06-03,House,5,Introduced
1936851,2025-06-04,House,6,"Referred to committee: Health"
1936858,2025-01-22,Senate,1,Introduced
1936858,2025-01-29,Senate,2,"Referred to committee: Transportation"
1936871,2025-01-22,Senate,1,Introduced
1936871,2025-01-29,Senate,2,"Referred to committee: Government Oversight and Reform"
1936871,2025-02-12,Senate,3,"Reported: Government Oversight and Reform"
1936871,2025-02-19,Senate,4,Passed
1936871,2025-02-24,House,5,Introduced
1936871,2025-02-26,House,6,"Referred to committee: Development"
1936871,2025-06-04,House,7,"Reported: Development"
1936871,2025-06-11,House,8,Passed
1936871,2025-06-24,Senate,9,"Sent to Governor"
1936871,2025-06-24,,10,"Sent To The Governor"
1936871,2025-07-01,,11,"Signed By The Governor"
1936871,2025-09-30,,12,"Effective "
1936878,2025-01-22,Senate,1,Introduced
1936878,2025-01-29,Senate,2,"Referred to committee: Health"
1936878,2025-02-19,Senate,3,"Reported: Health"
1936878,2025-03-05,Senate,4,Passed
1936878,2025-03-06,House,5,Introduced
1936878,2025-03-19,House,6,"Referred to committee: Health"
1936878,2025-05-21,House,7,"Reported: Health"
1936878,2025-06-04,House,8,Passed
1936878,2025-06-24,Senate,9,"Sent to Governor"
1936878,2025-06-24,,10,"Sent To The Governor"
1936878,2025-07-01,,11,"Signed By The Governor"
1936878,2025-09-30,,12,"Effective "
1936893,2025-01-22,Senate,1,Introduced
1936893,2025-01-29,Senate,2,"Referred to committee: Education"
1936893,2025-04-09,Senate,3,"Reported - Substitute: Education"
1936893,2025-04-09,Senate,4,Passed
1936893,2025-04-15,House,5,Introduced
1936893,2025-04-30,House,6,"Referred to committee: Education"
1936898,2025-01-22,Senate,1,Introduced
1936898,2025-01-29,Senate,2,"Referred to committee: Finance"
1936911,2025-01-22,Senate,1,Introduced
1936911,2025-01-29,Senate,2,"Referred to committee: Housing"
1936923,2025-01-22,Senate,1,Introduced
1936923,2025-01-29,Senate,2,"Referred to committee: Armed Services, Veterans Affairs and Public Safety"
1936923,2025-02-25,Senate,3,"Reported - Amended: Armed Services, Veterans Affairs and Public Safety"
1936923,2025-02-26,Senate,4,Passed
1936923,2025-03-03,House,5,Introduced
1936923,2025-03-05,House,6,"Referred to committee: General Government"
1936930,2025-01-22,Senate,1,Introduced
1936930,2025-01-29,Senate,2,"Referred to committee: Health"
1936930,2025-02-19,Senate,3,"Reported: Health"
1936930,2025-02-26,Senate,4,Passed
1936930,2025-03-03,House,5,Introduced
1936930,2025-03-05,House,6,"Referred to committee: Health"
1936930,2025-05-07,House,7,"Reported: Health"
1936930,2025-05-07,House,8,Passed
1936930,2025-05-16,,9,"Sent To The Governor"
1936930,2025-05-20,Senate,10,"Sent to Governor"
1936930,2025-05-28,,11,"Signed By The Governor"
1936930,2025-08-27,,12,"Effective "
1936938,2025-01-22,Senate,1,Introduced
1936938,2025-01-29,Senate,2,"Referred to committee: Government Oversight and Reform"
1936951,2025-01-22,Senate,1,Introduced
1936951,2025-01-29,Senate,2,"Referred to committee: Finance"
1936962,2025-01-22,Senate,1,Offered
1936962,2025-01-29,Senate,2,"Referred to committee: Armed Services, Veterans Affairs and Public Safety"
1936962,2025-02-25,Senate,3,"Reported: Armed Services, Veterans Affairs and Public Safety"
1936962,2025-02-26,Senate,4,Adopted
1936962,2025-03-03,House,5,Offered
1936962,2025-03-05,House,6,"Introduced and Referred to Committee: Community Revitalization"
1936973,2025-01-22,Senate,1,Introduced
1936973,2025-01-29,Senate,2,"Referred to committee: Ways and Means"
1936973,2025-02-11,Senate,3,"Reported - Amended: Ways and Means"
1936973,2025-02-12,Senate,4,Passed
1936973,2025-02-18,House,5,Introduced
1936973,2025-02-26,House,6,"Referred to committee: Ways and Means"
1936978,2025-01-22,Senate,1,Introduced
1936978,2025-01-29,Senate,2,"Referred to committee: Finance"
1936996,2025-01-22,Senate,1,Introduced
1936996,2025-01-29,Senate,2,"Referred to committee: Government Oversight and Reform"
1936996,2025-02-12,Senate,3,"Reported: Government Oversight and Reform"
1936996,2025-02-19,Senate,4,Passed
1936996,2025-02-24,House,5,Introduced
1936996,2025-02-26,House,6,"Referred to committee: General Government"
1936996,2025-05-14,House,7,"Reported: General Government"
1936996,2025-05-21,House,8,Passed
1936996,2025-05-29,,9,"Sent To The Governor"
1936996,2025-06-03,Senate,10,"Sent to Governor"
1936996,2025-06-05,,11,"Signed By The Governor"
1936996,2025-09-04,,12,"Effective "
1937005,2025-01-22,Senate,1,Introduced
1937005,2025-01-29,Senate,2,"Referred to committee: Finance"
1937012,2025-01-22,Senate,1,Introduced
1937012,2025-01-29,Senate,2,"Referred to committee: Government Oversight and Reform"
1937012,2025-02-12,Senate,3,"Reported: Government Oversight and Reform"
1937012,2025-02-12,Senate,4,Passed
1937012,2025-02-18,House,5,Introduced
1937012,2025-02-26,House,6,"Referred to committee: Transportation"
1937012,2025-03-12,House,7,"Reported: Transportation"
1937012,2025-03-19,House,8,Passed
1937012,2025-03-25,Senate,9,"Sent to Governor"
1937012,2025-03-25,,10,"Sent To The Governor"
1937012,2025-04-02,,11,"Signed By The Governor"
1937012,2025-07-02,,12,"Effective "
1937028,2025-01-22,Senate,1,Introduced
1937028,2025-01-29,Senate,2,"Referred to committee: Government Oversight and Reform"
1937028,2025-02-12,Senate,3,"Reported: Government Oversight and Reform"
1937028,2025-02-19,Senate,4,Passed
1937028,2025-02-24,House,5,Introduced
1937028,2025-02-26,House,6,"Referred to committee: General Government"
1937028,2025-04-09,House,7,"Reported: General Government"
1937028,2025-04-30,House,8,Passed
1937028,2025-05-07,Senate,9,"Sent to Governor"
1937028,2025-05-07,,10,"Sent To The Governor"
1937028,2025-05-19,,11,"Signed By The Governor"
1937028,2025-08-18,,12,"Effective "
1937037,2025-01-22,Senate,1,Introduced
1937037,2025-01-29,Senate,2,"Referred to committee: Judiciary"
1937045,2025-01-22,Senate,1,Introduced
1937045,2025-01-29,Senate,2,"Referred to committee: Health"
1937056,2025-01-22,Senate,1,Introduced
1937056,2025-01-29,Senate,2,"Referred to committee: Small Business and Economic Opportunity"
1937068,2025-01-22,Senate,1,Introduced
1937068,2025-01-29,Senate,2,"Referred to committee: Ways and Means"
1937072,2025-01-22,Senate,1,Introduced
1937072,2025-01-29,Senate,2,"Referred to committee: Local Government"
1937085,2025-01-22,Senate,1,Introduced
1937085,2025-01-29,Senate,2,"Referred to committee: General Government"
1937085,2025-06-18,Senate,3,"Reported - Amended: General Government"
