bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1902943,1471212,2025-01-06,House,"House Adopted",96,0,0,0,96
1902988,1471219,2025-01-06,House,"House Adopted",86,4,0,0,90
1903017,1471215,2025-01-06,House,"House Adopted",96,0,0,0,96
1903039,1471214,2025-01-06,House,"House Adopted",96,0,0,0,96
1903064,1471213,2025-01-06,House,"House Adopted",96,0,0,0,96
1903091,1471203,2025-01-06,House,"House Adopted",95,0,0,0,95
1903171,1471211,2025-01-06,House,"House Adopted",96,0,0,0,96
1903194,1471210,2025-01-06,House,"House Adopted",95,0,0,0,95
1903224,1471216,2025-01-06,House,"House Adopted",96,0,0,0,96
1903247,1471131,2025-01-06,Senate,"Senate Adopted",32,0,0,0,32
1903274,1471132,2025-01-06,Senate,"Senate Adopted",32,0,0,0,32
1903300,1471204,2025-01-06,House,"House Adopted",96,0,0,0,96
1935455,1473187,2025-01-22,House,"House Adopted",95,1,0,0,96
1935483,1473188,2025-01-22,House,"House Adopted",61,34,0,0,95
1936828,1520104,2025-03-18,Senate,"Senate Favorable Passage",11,0,0,0,11
1936828,1521661,2025-03-19,Senate,"Senate Passed",32,0,0,0,32
1936851,1580135,2025-05-28,Senate,"Senate Favorable Passage",7,0,0,0,7
1936851,1580136,2025-05-28,Senate,"Senate Passed",33,0,0,0,33
1936871,1487887,2025-02-12,Senate,"Senate Favorable Passage",7,0,0,0,7
1936871,1493207,2025-02-19,Senate,"Senate Passed",32,0,0,0,32
1936871,1584643,2025-06-04,House,"House Favorable Passage",12,0,0,0,12
1936871,1588918,2025-06-11,House,"House Passed",92,0,0,0,92
1936878,1493827,2025-02-19,Senate,"Senate Favorable Passage",6,0,0,0,6
1936878,1506071,2025-03-05,Senate,"Senate Passed",32,0,0,0,32
1936878,1575047,2025-05-21,House,"House Favorable Passage",12,0,0,0,12
1936878,1584781,2025-06-04,House,"House Passed",92,0,0,0,92
1936893,1542051,2025-04-09,Senate,"Senate Favorable Passage",7,0,0,0,7
1936893,1542052,2025-04-09,Senate,"Senate Passed",33,0,0,0,33
1936923,1499035,2025-02-25,Senate,"Senate Favorable Passage",6,0,0,0,6
1936923,1499915,2025-02-26,Senate,"Senate Passed",32,0,0,0,32
1936930,1493820,2025-02-19,Senate,"Senate Favorable Passage",6,0,0,0,6
1936930,1499937,2025-02-26,Senate,"Senate Passed",32,0,0,0,32
1936930,1567771,2025-05-07,House,"House Favorable Passage",12,0,0,0,12
1936930,1567772,2025-05-07,House,"House Passed",95,0,0,0,95
1936962,1499093,2025-02-25,Senate,"Senate Favorable Passage",6,0,0,0,6
1936962,1499987,2025-02-26,Senate,"Senate Adopted",32,0,0,0,32
1936973,1487973,2025-02-12,Senate,"Senate Passed",31,0,0,0,31
1936973,1489949,2025-02-11,Senate,"Senate Favorable Passage",7,0,0,0,7
1936996,1487865,2025-02-12,Senate,"Senate Favorable Passage",7,0,0,0,7
1936996,1493211,2025-02-19,Senate,"Senate Passed",32,0,0,0,32
1936996,1571265,2025-05-14,House,"House Favorable Passage",12,0,0,0,12
1936996,1575154,2025-05-21,House,"House Passed",95,0,0,0,95
1937012,1487927,2025-02-12,Senate,"Senate Favorable Passage",7,0,0,0,7
