bill_id,people_id,position
1902943,12036,1
1902988,12036,1
1903017,12036,1
1903039,12036,1
1903064,562,1
1903064,20307,2
1903091,12036,1
1903171,12036,1
1903194,12036,1
1903224,12036,1
1903247,10994,3
1903247,11547,7
1903247,11943,2
1903247,16967,1
1903247,19076,6
1903247,19140,9
1903247,19413,8
1903247,22630,4
1903247,24480,5
1903274,11943,2
1903274,16967,1
1903274,19076,6
1903274,19140,8
1903274,20312,7
1903274,22630,4
1903274,22788,3
1903274,24480,5
1903300,12036,1
1907228,10994,1
1915263,581,23
1915263,634,28
1915263,10994,6
1915263,11003,26
1915263,11547,15
1915263,11943,3
1915263,11949,17
1915263,14653,5
1915263,14663,27
1915263,16967,24
1915263,16972,1
1915263,16977,29
1915263,16978,16
1915263,16982,21
1915263,16984,2
1915263,16989,13
1915263,17973,11
1915263,19076,14
1915263,19140,32
1915263,19413,18
1915263,19660,31
1915263,20308,19
1915263,20312,30
1915263,20325,12
1915263,20332,20
1915263,21650,9
1915263,22630,8
1915263,22760,22
1915263,22788,4
1915263,24479,25
1915263,24480,10
1915263,24993,7
1915418,581,23
1915418,634,28
1915418,10994,5
1915418,11003,26
1915418,11547,15
1915418,11943,2
1915418,11949,17
1915418,14653,4
1915418,14663,27
1915418,16967,24
1915418,16972,8
1915418,16977,29
1915418,16978,16
1915418,16982,21
1915418,16984,1
1915418,16989,13
1915418,17973,11
1915418,19076,14
1915418,19140,32
1915418,19413,18
1915418,19660,31
1915418,20308,19
1915418,20312,30
1915418,20325,12
1915418,20332,20
1915418,21650,9
1915418,22630,7
1915418,22760,22
1915418,22788,3
1915418,24479,25
1915418,24480,10
1915418,24993,6
1915576,16982,1
1915736,16982,1
1935455,562,1
1935455,16984,2
1935483,12036,1
1935728,16967,1
1935790,11949,1
1936828,581,16
1936828,634,19
1936828,10994,4
1936828,11547,12
1936828,11943,3
1936828,11949,14
1936828,14663,18
1936828,16967,1
1936828,16972,7
1936828,16977,20
1936828,16978,13
1936828,16982,15
1936828,17973,10
1936828,19660,2
1936828,20312,22
1936828,20325,11
1936828,21650,8
1936828,22630,6
1936828,24479,17
1936828,24480,9
1936828,24993,5
1936828,26397,21
1936832,19140,1
1936832,22630,2
1936842,11547,1
1936851,581,15
1936851,634,19
1936851,10994,5
1936851,11003,17
1936851,11547,12
1936851,11943,3
1936851,11949,13
1936851,14663,18
1936851,16967,16
1936851,16972,2
1936851,16977,20
1936851,16989,10
1936851,17973,8
1936851,19076,11
1936851,19140,24
1936851,19660,23
1936851,20308,14
1936851,20312,22
1936851,20325,9
1936851,22630,6
1936851,22788,4
