bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1892290,2165,HB1001,4,Passed,2025-05-05,"Crimes and punishments; Lauria and Ashley's Law; minimum prison sentences; effective date.","Crimes and punishments; Lauria and Ashley's Law; minimum prison sentences; effective date.",0,,2025-05-05,"Approved by Governor 05/05/2025",https://legiscan.com/OK/bill/HB1001/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1001&Session=2500
1893053,2165,HB1002,1,Introduced,2025-02-03,"Stalking; directing law enforcement agencies to provide certain notification to victims of stalking; effective date.","Stalking; directing law enforcement agencies to provide certain notification to victims of stalking; effective date.",0,,2025-03-10,"CR; Do Pass, amended by committee substitute Judiciary and Public Safety Oversight Committee",https://legiscan.com/OK/bill/HB1002/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1002&Session=2500
1893342,2165,HB1003,4,Passed,2025-05-27,"Crimes and punishments; modifying age limitations for certain prohibited acts.","Crimes and punishments; modifying age limitations for certain prohibited acts.",0,,2025-05-27,"Becomes law without Governor's signature 05/25/2025",https://legiscan.com/OK/bill/HB1003/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1003&Session=2500
1893343,2165,HB1004,1,Introduced,2025-02-03,"Constitutional carry; expanding scope of persons authorized to transport firearms in vehicles; emergency.","Constitutional carry; expanding scope of persons authorized to transport firearms in vehicles; emergency.",5112,"House Criminal Judiciary",2025-02-04,"Referred to Criminal Judiciary",https://legiscan.com/OK/bill/HB1004/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1004&Session=2500
1893338,2165,HB1005,2,Engrossed,2025-03-31,"Elections; registration card; photo identification; effective date.","Elections; registration card; photo identification; effective date.",1221,"Senate Appropriations",2025-04-15,"Referred to Appropriations",https://legiscan.com/OK/bill/HB1005/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1005&Session=2500
1893340,2165,HB1006,1,Introduced,2025-02-03,"Schools; Ten Commandments; display; procedures; effective date; emergency.","Schools; Ten Commandments; display; procedures; effective date; emergency.",3271,"House Appropriations and Budget Education Subcommittee",2025-02-04,"Referred to Appropriations and Budget Education Subcommittee",https://legiscan.com/OK/bill/HB1006/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1006&Session=2500
1893339,2165,HB1007,1,Introduced,2025-02-03,"Elections; proof of identity; educational institutions; registration; voting; effective date.","Elections; proof of identity; educational institutions; registration; voting; effective date.",0,,2025-03-05,"Authored by Senator Prieto (principal Senate author)",https://legiscan.com/OK/bill/HB1007/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1007&Session=2500
1893341,2165,HB1008,1,Introduced,2025-02-03,"Abortion; prohibition of abortion; definitions; prescribing standard based upon preservation of the life of a pregnant woman; emergency.","Abortion; prohibition of abortion; definitions; prescribing standard based upon preservation of the life of a pregnant woman; emergency.",0,,2025-02-26,"CR; Do Pass Health and Human Services Oversight Committee",https://legiscan.com/OK/bill/HB1008/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1008&Session=2500
1895118,2165,HB1009,1,Introduced,2025-02-03,"Revenue and taxation; income tax; rates; effective date.","Revenue and taxation; income tax; rates; effective date.",3647,"House Appropriations and Budget Finance Subcommittee",2025-02-04,"Referred to Appropriations and Budget Finance Subcommittee",https://legiscan.com/OK/bill/HB1009/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1009&Session=2500
1895762,2165,HB1010,1,Introduced,2025-02-03,"Elections; Presidential Preference Primary Modernization Act of 2025; State Election Board; costs; political party; appeal; effective date.","Elections; Presidential Preference Primary Modernization Act of 2025; State Election Board; costs; political party; appeal; effective date.",0,,2025-02-11,"Policy recommendation to the Government Oversight committee; Do Pass, amended by committee substitute Elections and Ethics",https://legiscan.com/OK/bill/HB1010/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1010&Session=2500
1896447,2165,HB1011,1,Introduced,2025-02-03,"School employees; Education Employee Assistant Program; Department of Mental Health and Substance Abuse Services; effective date; emergency.","School employees; Education Employee Assistant Program; Department of Mental Health and Substance Abuse Services; effective date; emergency.",1216,"House Rules",2025-02-04,"Second Reading referred to Rules",https://legiscan.com/OK/bill/HB1011/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1011&Session=2500
1896759,2165,HB1012,1,Introduced,2025-02-03,"Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.","Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.",0,,2025-02-06,"Authored by Senator Howard (principal Senate author)",https://legiscan.com/OK/bill/HB1012/2025,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1012&Session=2500
