bill_id,date,chamber,sequence,action
1892290,2025-02-03,House,1,"First Reading"
1892290,2025-02-03,House,2,"Authored by Representative Bashore"
1892290,2025-02-04,House,3,"Second Reading referred to Judiciary and Public Safety Oversight"
1892290,2025-02-04,House,4,"Referred to Civil Judiciary"
1892290,2025-02-06,House,5,"Policy recommendation to the Judiciary and Public Safety Oversight committee; Do Pass Civil Judiciary"
1892290,2025-02-06,House,6,"Coauthored by Representative(s) Archer, Moore"
1892290,2025-02-06,House,7,"Authored by Senator Thompson (principal Senate author)"
1892290,2025-02-27,House,8,"CR; Do Pass Judiciary and Public Safety Oversight Committee"
1892290,2025-02-27,House,9,"Coauthored by Representative(s) West (Josh)"
1892290,2025-02-27,House,10,"Coauthored by Senator(s) Murdock"
1892290,2025-03-12,House,11,"General Order"
1892290,2025-03-12,House,12,"Third Reading, Measure passed: Ayes: 76 Nays: 11"
1892290,2025-03-12,House,13,"Referred for engrossment"
1892290,2025-03-13,House,14,"Engrossed, signed, to Senate"
1892290,2025-03-13,Senate,15,"First Reading"
1892290,2025-03-13,Senate,16,"Coauthored by Representative Roberts"
1892290,2025-04-01,Senate,17,"Second Reading referred to Judiciary Committee then to Appropriations Committee"
1892290,2025-04-08,Senate,18,"Reported Do Pass Judiciary committee; CR filed"
1892290,2025-04-08,Senate,19,"Referred to Appropriations"
1892290,2025-04-23,Senate,20,"Reported Do Pass as amended Appropriations committee; CR filed"
1892290,2025-04-23,Senate,21,"Title stricken"
1892290,2025-04-28,Senate,22,"Placed on General Order"
1892290,2025-04-29,Senate,23,"Coauthored by Senator Hamilton"
1892290,2025-04-30,Senate,24,"General Order, Amended"
1892290,2025-04-30,Senate,25,"Title restored"
1892290,2025-04-30,Senate,26,"Amendment restored bill to engrossed version"
1892290,2025-04-30,Senate,27,"Measure passed: Ayes: 38 Nays: 5"
1892290,2025-04-30,Senate,28,"Engrossed measure signed, returned to House"
1892290,2025-04-30,House,29,"Referred for enrollment"
1892290,2025-04-30,House,30,"Enrolled, signed, to Senate"
1892290,2025-04-30,Senate,31,"Enrolled measure signed, returned to House"
1892290,2025-04-30,House,32,"Sent to Governor"
1892290,2025-05-05,House,33,"Approved by Governor 05/05/2025"
1892291,2025-02-03,Senate,1,"First Reading"
1892291,2025-02-03,Senate,2,"Authored by Senator Bergstrom"
1892291,2025-02-04,Senate,3,"Second Reading referred to Revenue and Taxation Committee then to Appropriations Committee"
1892291,2025-02-26,Senate,4,"Coauthored by Representative Lepak (principal House author)"
1892292,2025-02-03,Senate,1,"First Reading"
1892292,2025-02-03,Senate,2,"Authored by Senator Green"
1892292,2025-02-03,Senate,3,"Coauthored by Representative George (principal House author)"
1892292,2025-02-04,Senate,4,"Second Reading referred to Energy"
1892292,2025-02-13,Senate,5,"Coauthored by Senator Hamilton"
1892292,2025-03-06,Senate,6,"Reported Do Pass, amended by committee substitute Energy committee; CR filed"
1892292,2025-03-06,Senate,7,"Title stricken"
1892292,2025-03-11,Senate,8,"Placed on General Order"
1892292,2025-03-26,Senate,9,"General Order, Considered"
1892292,2025-03-26,Senate,10,"Measure and Emergency passed: Ayes: 42 Nays: 4"
1892292,2025-03-26,Senate,11,"Referred for engrossment"
1892292,2025-03-27,Senate,12,"Engrossed to House"
1892292,2025-03-27,House,13,"First Reading"
1892292,2025-04-01,House,14,"Second Reading referred to Energy and Natural Resources Oversight"
1892292,2025-04-01,House,15,"Referred to Agriculture"
1892293,2025-02-03,Senate,1,"First Reading"
1892293,2025-02-03,Senate,2,"Authored by Senator Green"
1892293,2025-02-03,Senate,3,"Coauthored by Senator Thompson"
1892293,2025-02-03,Senate,4,"Coauthored by Senator Seifried"
1892293,2025-02-03,Senate,5,"Coauthored by Representative Pfeiffer (principal House author)"
1892293,2025-02-04,Senate,6,"Second Reading referred to Energy"
1892293,2025-02-13,Senate,7,"Reported Do Pass Energy committee; CR filed"
1892293,2025-02-19,Senate,8,"Placed on General Order"
1892293,2025-03-27,Senate,9,"General Order, Amended by Floor Substitute"
1892293,2025-03-27,Senate,10,"Emergency removed"
1892293,2025-03-27,Senate,11,"Measure passed: Ayes: 28 Nays: 19"
1892293,2025-03-27,Senate,12,"Referred for engrossment"
1892293,2025-03-31,Senate,13,"Engrossed to House"
1892293,2025-03-31,House,14,"First Reading"
1892293,2025-04-01,House,15,"Second Reading referred to Energy and Natural Resources Oversight"
1892293,2025-04-01,House,16,"Referred to Energy"
1892293,2025-04-09,House,17,"Policy recommendation to the Energy and Natural Resources Oversight committee; Do Pass Energy"
1892293,2025-04-23,House,18,"CR; Do Pass, as amended, Energy and Natural Resources Oversight Committee"
1892293,2025-04-23,House,19,"Title stricken"
1892293,2025-05-01,House,20,"Remove Representative Pfeiffer as principal House author and substitute with Representative Caldwell (Trey)"
1892293,2025-05-06,House,21,"General Order"
1892293,2025-05-06,House,22,"Amended by floor substitute"
1892293,2025-05-06,House,23,"Title restored"
1892293,2025-05-06,House,24,"Third Reading, Measure failed: Ayes: 44 Nays: 49"
