bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1892290,1483197,2025-02-06,House,"House: Civil Judiciary Committee: DO PASS",6,1,0,0,7
1892290,1501127,2025-02-27,House,"House: Judiciary and Public Safety Oversight Committee: DO PASS",11,2,0,0,13
1892290,1515807,2025-03-12,House,"House: THIRD READING",76,11,0,12,99
1892290,1539676,2025-04-08,Senate,"Senate: Judiciary Committee: DO PASS",7,1,0,0,8
1892290,1561666,2025-04-30,Senate,"Senate: THIRD READING",38,5,0,4,47
1892292,1507080,2025-03-06,Senate,"Senate: Energy Committee: DO PASS AMENDED CS",10,0,0,0,10
1892292,1527258,2025-03-26,Senate,"Senate: THIRD READING",42,4,0,1,47
1892293,1489059,2025-02-13,Senate,"Senate: Energy Committee: DO PASS",6,5,0,0,11
1892293,1528771,2025-03-27,Senate,"Senate: THIRD READING",28,19,0,0,47
1892293,1542163,2025-04-09,House,"House: Energy Committee: DO PASS",8,4,0,0,12
1892293,1555087,2025-04-23,House,"House: Energy and Natural Resources Oversight Committee: DO PASS AS AMENDED, STRIKE THE TITLE",9,6,0,0,15
1892293,1566146,2025-05-06,House,"House: THIRD READING",44,49,0,5,98
1892293,1567150,2025-05-07,House,"House: RECONSIDER MEASURE",61,29,0,8,98
1892293,1567151,2025-05-07,House,"House: APPEAL OF THE DECISION OF THE CHAIR",76,16,0,6,98
1892691,1503106,2025-03-03,Senate,"Senate: Agriculture & Wildlife Committee: DO PASS AMENDED CS",10,1,1,0,12
1893053,1494161,2025-02-19,House,"House: Criminal Judiciary Committee: DO PASS AS AMENDED BY CS",4,1,0,0,5
1893053,1507640,2025-03-06,House,"House: Judiciary and Public Safety Oversight Committee: DO PASS AS AMENDED BY CS",11,0,0,0,11
1893338,1491228,2025-02-17,House,"House: Appropriations and Budget General Government Subcommittee: DO PASS",5,0,0,0,5
1893338,1500879,2025-02-26,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED, STRIKE THE TITLE",25,6,0,0,31
1893338,1529290,2025-03-27,House,"House: THIRD READING",75,18,0,6,99
1893338,1548565,2025-04-15,Senate,"Senate: Judiciary Committee: DO PASS AMENDED",5,2,0,0,7
1893339,1485630,2025-02-10,House,"House: Elections and Ethics Committee: DO PASS",5,1,0,0,6
1893339,1504787,2025-03-04,House,"House: Government Oversight Committee: DO PASS",13,3,0,0,16
1893341,1497649,2025-02-24,House,"House: Public Health Committee: DO PASS",5,1,0,0,6
1893341,1500604,2025-02-26,House,"House: Health and Human Services Oversight Committee: DO PASS",9,3,0,0,12
1893342,1494081,2025-02-19,House,"House: Criminal Judiciary Committee: DO PASS",4,1,0,0,5
1893342,1501156,2025-02-27,House,"House: Judiciary and Public Safety Oversight Committee: DO PASS",7,6,0,0,13
1893342,1528867,2025-03-26,House,"House: TABLE AMENDMENT",26,65,0,8,99
1893342,1528868,2025-03-26,House,"House: ADOPT AMENDMENT",47,39,0,13,99
1893342,1528869,2025-03-26,House,"House: THIRD READING",89,0,0,10,99
