bill_id,people_id,position
1892290,17281,7
1892290,18988,3
1892290,21885,8
1892290,22549,5
1892290,22633,1
1892290,22855,4
1892290,23557,2
1892290,23723,6
1892291,17462,2
1892291,18901,1
1892292,21885,3
1892292,23727,2
1892292,24706,1
1892293,17282,5
1892293,20886,2
1892293,23557,4
1892293,23878,3
1892293,24706,1
1892691,18991,2
1892691,21885,4
1892691,22855,3
1892691,23557,1
1892691,23878,5
1892691,25470,6
1893053,18901,2
1893053,19492,1
1893245,18901,1
1893245,22506,2
1893338,19705,2
1893338,19924,1
1893338,20741,3
1893338,22854,4
1893339,19924,1
1893339,23531,2
1893340,19924,1
1893341,19705,2
1893341,19924,1
1893342,3681,4
1893342,19924,1
1893342,21885,2
1893342,25463,5
1893342,25467,3
1893343,19924,1
1893343,23724,2
1894746,19705,5
1894746,23557,6
1894746,23724,2
1894746,23729,3
1894746,23878,1
1894746,25458,4
1894746,25470,7
1894783,23878,1
1894825,18903,2
1894825,19964,1
1894833,18903,2
1894833,19964,1
1894841,18903,3
1894841,19964,1
1894841,20832,2
1894851,18903,2
1894851,19964,1
1894860,18903,3
1894860,19964,1
1894860,20890,2
1894869,18903,2
1894869,19964,1
1894881,19705,1
1894881,25453,2
1894993,18901,1
1895091,18901,1
1895091,18989,2
1895091,19705,3
1895118,20895,1
1895118,23724,2
1895708,18902,1
1895733,18902,1
1895762,25460,1
1895762,25469,3
1895762,25480,2
1896026,18901,2
1896026,21885,1
1896397,3681,44
1896397,17281,27
1896397,18901,26
1896397,18903,38
1896397,18987,3
1896397,18989,4
1896397,19617,20
1896397,19705,45
1896397,19924,6
1896397,20007,46
1896397,20612,9
1896397,20740,7
1896397,20741,5
1896397,20893,8
1896397,20895,10
1896397,21885,29
1896397,22633,11
1896397,22854,28
1896397,23531,31
1896397,23724,19
1896397,23736,18
1896397,24164,30
1896397,24707,42
1896397,24708,43
1896397,25063,41
1896397,25169,17
1896397,25453,24
1896397,25454,23
1896397,25455,16
1896397,25456,14
1896397,25459,13
1896397,25460,25
1896397,25462,22
1896397,25465,12
1896397,25467,15
1896397,25468,2
1896397,25469,21
1896397,25471,32
1896397,25472,39
1896397,25473,34
1896397,25474,40
1896397,25476,35
1896397,25478,37
1896397,25479,1
1896397,25480,36
1896397,25481,33
1896422,17282,4
1896422,18911,29
1896422,18988,48
1896422,18989,8
1896422,18990,3
1896422,18991,13
1896422,19007,59
1896422,19028,1
1896422,19042,22
1896422,19043,31
1896422,19243,15
1896422,19493,55
1896422,19617,26
1896422,20170,49
1896422,20564,11
1896422,20612,39
1896422,20692,46
1896422,20740,51
1896422,20741,30
1896422,20757,18
1896422,20758,38
1896422,20811,40
1896422,20814,33
1896422,20829,12
1896422,20832,21
1896422,20833,6
1896422,20879,52
1896422,20880,32
1896422,20886,37
1896422,20887,9
1896422,20890,28
1896422,20891,25
1896422,20895,16
1896422,22506,41
1896422,22548,27
1896422,22549,54
1896422,22558,24
1896422,22576,56
1896422,22578,53
1896422,22633,7
1896422,22765,20
1896422,22855,43
1896422,23559,50
1896422,23724,14
1896422,23725,10
1896422,23726,60
1896422,23727,23
1896422,23728,44
1896422,23729,17
1896422,23732,42
1896422,23736,61
1896422,23878,45
1896422,24706,2
1896422,25169,47
1896422,25453,35
1896422,25456,58
1896422,25459,5
1896422,25460,57
1896422,25461,34
1896422,25467,19
1896422,25468,36
1896447,20881,1
1896686,20564,2
1896686,24706,1
1896743,21885,1
1896743,25467,2
1896747,3693,2
1896747,20007,1
1896759,18988,1
1896759,19961,2
1896759,23723,3
1896771,24708,1
1896782,20879,2
1896782,20894,1
1896853,20881,1
1896857,19705,1
1896857,22578,2
1896862,20881,1
1896868,20881,1
1896889,20813,1
1896905,25463,1
1896921,20813,1
1896935,21885,1
1896951,19705,1
1896951,20893,2
1896962,21885,1
1896980,20813,2
1896980,25463,1
1896994,18909,2
1896994,18948,5
1896994,19617,3
1896994,22855,1
1896994,23731,4
1897007,25463,1
1897024,20170,2
1897024,20741,3
1897024,20894,1
1897038,25463,1
1897051,20170,4
1897051,20564,3
1897051,20813,1
1897051,20880,2
1897051,20894,5
1897051,24164,6
1897066,3681,7
1897066,17281,4
1897066,18901,3
1897066,18903,16
1897066,19705,1
1897066,21885,6
1897066,22854,5
1897066,23531,10
1897066,23729,2
1897066,24164,8
1897066,24707,9
1897066,25063,11
1897066,25470,12
1897066,25472,15
1897066,25476,17
1897066,25479,13
1897066,25481,14
1897101,20813,1
1897144,20813,1
1897159,18901,1
1897159,18988,2
1897234,17282,2
1897234,20007,1
1897252,23559,1
1897269,20895,2
1897269,25472,4
1897269,25474,3
1897269,25476,1
1897284,18902,1
1897284,20880,2
1897301,18990,2
1897301,22854,1
1897315,19964,1
1897315,22855,2
1897323,25477,1
1897325,20813,1
1897328,18909,1
1897328,19043,2
1897331,18902,1
1897335,18909,1
1897335,22549,2
1897342,17276,2
1897342,18909,1
1897346,21886,1
1897350,19011,4
1897350,19041,3
1897350,19492,5
1897350,20835,6
1897350,21886,1
1897350,23723,2
1897350,23733,7
1897350,25464,9
1897350,25466,8
1897354,19964,1
1897361,18909,1
1897361,18991,2
1897366,20813,1
1897369,18909,1
1897369,19243,2
1897373,19964,1
1897373,20740,2
1897379,19964,1
1897379,20741,3
1897379,23727,2
1897382,20170,2
1897382,23559,1
1897385,17823,9
1897385,18948,5
1897385,19007,3
1897385,19965,7
1897385,20813,6
1897385,22577,2
1897385,23559,1
1897385,23733,4
1897385,25475,8
1897385,25477,10
1897393,18909,1
1897393,23729,2
1897397,17823,1
1897397,20691,2
1897397,20831,3
1897405,18901,1
1897405,23732,2
1897411,23559,1
1897420,18909,1
1897420,19492,3
1897420,21326,4
1897420,23722,7
1897420,23731,5
1897420,23733,6
1897420,23735,2
1897427,3693,3
1897427,17318,1
1897427,19705,7
1897427,19965,9
1897427,20691,2
1897427,20829,4
1897427,23729,6
1897427,24706,8
1897427,25465,5
1897495,19964,1
1897495,25467,2
1897542,19705,1
1897542,23729,2
1897556,17840,2
1897556,19965,1
1897568,24706,1
1897568,25465,2
1897582,3693,1
1897582,18903,2
1897591,22633,2
1897591,24706,1
1897600,3693,1
1897600,18903,2
1897600,18989,3
