roll_call_id,people_id,vote,vote_desc
1483197,17176,1,Yea
1483197,18991,1,Yea
1483197,19007,1,Yea
1483197,20893,1,Yea
1483197,22765,1,Yea
1483197,23731,2,Nay
1483197,23735,1,Yea
1501127,17176,1,Yea
1501127,18911,1,Yea
1501127,19045,2,Nay
1501127,19492,2,Nay
1501127,19493,1,Yea
1501127,20612,1,Yea
1501127,20741,1,Yea
1501127,20832,1,Yea
1501127,22765,1,Yea
1501127,23726,1,Yea
1501127,23728,1,Yea
1501127,23735,1,Yea
1501127,25169,1,Yea
1515807,3693,1,Yea
1515807,17176,1,Yea
1515807,17276,1,Yea
1515807,17282,1,Yea
1515807,17462,1,Yea
1515807,17840,2,Nay
1515807,18911,1,Yea
1515807,18986,2,Nay
1515807,18987,1,Yea
1515807,18988,1,Yea
1515807,18989,1,Yea
1515807,18990,1,Yea
1515807,18991,1,Yea
1515807,19006,1,Yea
1515807,19007,1,Yea
1515807,19011,4,Absent
1515807,19013,1,Yea
1515807,19028,1,Yea
1515807,19041,4,Absent
1515807,19042,1,Yea
1515807,19043,1,Yea
1515807,19045,4,Absent
1515807,19243,1,Yea
1515807,19492,2,Nay
1515807,19493,1,Yea
1515807,19617,1,Yea
1515807,19924,1,Yea
1515807,20170,4,Absent
1515807,20564,1,Yea
1515807,20612,1,Yea
1515807,20691,1,Yea
1515807,20692,1,Yea
1515807,20740,4,Absent
1515807,20741,1,Yea
1515807,20757,4,Absent
1515807,20758,1,Yea
1515807,20811,1,Yea
1515807,20814,1,Yea
1515807,20829,1,Yea
1515807,20831,1,Yea
1515807,20832,1,Yea
1515807,20833,1,Yea
1515807,20835,2,Nay
1515807,20877,2,Nay
1515807,20878,2,Nay
1515807,20879,1,Yea
1515807,20880,1,Yea
1515807,20886,1,Yea
1515807,20887,1,Yea
1515807,20889,1,Yea
1515807,20890,1,Yea
1515807,20891,1,Yea
1515807,20893,4,Absent
1515807,20895,4,Absent
1515807,21326,2,Nay
1515807,22506,1,Yea
1515807,22515,1,Yea
1515807,22548,1,Yea
1515807,22549,1,Yea
1515807,22558,1,Yea
1515807,22576,1,Yea
1515807,22577,1,Yea
1515807,22578,1,Yea
1515807,22633,1,Yea
1515807,22765,1,Yea
1515807,22855,1,Yea
1515807,23722,2,Nay
1515807,23723,1,Yea
1515807,23724,1,Yea
1515807,23725,1,Yea
1515807,23726,1,Yea
1515807,23727,1,Yea
1515807,23728,1,Yea
1515807,23729,1,Yea
1515807,23730,1,Yea
1515807,23731,2,Nay
1515807,23732,1,Yea
1515807,23733,4,Absent
1515807,23734,4,Absent
1515807,23735,1,Yea
1515807,23736,1,Yea
1515807,25169,1,Yea
1515807,25453,1,Yea
1515807,25454,1,Yea
1515807,25455,1,Yea
1515807,25456,1,Yea
1515807,25457,1,Yea
1515807,25458,1,Yea
1515807,25459,1,Yea
1515807,25460,1,Yea
1515807,25461,4,Absent
1515807,25462,1,Yea
1515807,25463,2,Nay
1515807,25464,2,Nay
1515807,25465,1,Yea
1515807,25466,4,Absent
1515807,25467,1,Yea
1515807,25468,1,Yea
1515807,25469,1,Yea
1539676,3681,1,Yea
1539676,17318,1,Yea
1539676,18902,1,Yea
1539676,19636,2,Nay
1539676,19961,1,Yea
1539676,20038,1,Yea
1539676,23559,1,Yea
1539676,25480,1,Yea
1561666,3681,4,Absent
1561666,17281,1,Yea
1561666,17318,1,Yea
1561666,17823,2,Nay
1561666,18901,1,Yea
1561666,18902,1,Yea
1561666,18903,1,Yea
1561666,18908,1,Yea
1561666,18909,1,Yea
1561666,18948,1,Yea
1561666,19014,1,Yea
1561666,19437,1,Yea
1561666,19636,4,Absent
1561666,19705,1,Yea
1561666,19961,1,Yea
1561666,19964,1,Yea
1561666,19965,2,Nay
1561666,20007,1,Yea
1561666,20038,4,Absent
1561666,20812,1,Yea
1561666,20813,2,Nay
1561666,20894,1,Yea
1561666,21238,1,Yea
1561666,21885,4,Absent
1561666,21886,1,Yea
1561666,22854,1,Yea
1561666,23531,1,Yea
1561666,23557,1,Yea
1561666,23559,1,Yea
1561666,23878,1,Yea
1561666,24164,1,Yea
1561666,24706,1,Yea
1561666,24707,1,Yea
1561666,24708,1,Yea
1561666,25063,1,Yea
1561666,25470,1,Yea
1561666,25471,1,Yea
1561666,25472,1,Yea
1561666,25473,1,Yea
1561666,25474,1,Yea
1561666,25475,2,Nay
1561666,25476,1,Yea
