bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2042950,3266798,text,197426,application/pdf,Introduced,https://legiscan.com/OR/text/HB3991/id/3266798,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/HB3991/Introduced
2042950,3266842,text,27418,application/pdf,Introduced,https://legiscan.com/OR/text/HB3991/id/3266842,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/HB3991/House%20Amendments%20to%20Introduced
2042950,3266843,text,200484,application/pdf,Engrossed,https://legiscan.com/OR/text/HB3991/id/3266843,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/HB3991/A-Engrossed
2042926,3266774,text,29786,application/pdf,Introduced,https://legiscan.com/OR/text/HB3992/id/3266774,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/HB3992/Introduced
2042939,3266787,text,24516,application/pdf,Introduced,https://legiscan.com/OR/text/HCR51/id/3266787,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/HCR51/Introduced
2042979,3266891,text,181431,application/pdf,Introduced,https://legiscan.com/OR/text/SB1221/id/3266891,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/MeasureDocument/SB1221/Introduced
2042950,263601,amendment,212867,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-3",https://legiscan.com/OR/amendment/HB3991/id/263601,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29818
2042950,263602,amendment,43051,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-6",https://legiscan.com/OR/amendment/HB3991/id/263602,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29819
2042950,263603,amendment,19839,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-5",https://legiscan.com/OR/amendment/HB3991/id/263603,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29820
2042950,263604,amendment,304722,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-4",https://legiscan.com/OR/amendment/HB3991/id/263604,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29821
2042950,263605,amendment,23987,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-2",https://legiscan.com/OR/amendment/HB3991/id/263605,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29822
2042950,263606,amendment,22952,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-8",https://legiscan.com/OR/amendment/HB3991/id/263606,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29823
2042950,263607,amendment,20781,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-10",https://legiscan.com/OR/amendment/HB3991/id/263607,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29824
2042950,263608,amendment,78226,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-9",https://legiscan.com/OR/amendment/HB3991/id/263608,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29825
2042950,263609,amendment,24440,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-12",https://legiscan.com/OR/amendment/HB3991/id/263609,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29826
2042950,263610,amendment,43336,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-13",https://legiscan.com/OR/amendment/HB3991/id/263610,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29827
2042950,263611,amendment,18426,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-14",https://legiscan.com/OR/amendment/HB3991/id/263611,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29828
2042950,263612,amendment,17444,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-17",https://legiscan.com/OR/amendment/HB3991/id/263612,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29829
2042950,263613,amendment,26511,application/pdf,"Joint Special Session Committee On Transportation Funding Amendment #-18",https://legiscan.com/OR/amendment/HB3991/id/263613,https://olis.oregonlegislature.gov/liz/2025S1/Downloads/ProposedAmendment/29830
