people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6241,"Gregory Smith",Gregory,V.,Smith,,,2,R,1,Rep,HD-057,13005467,46752,,Greg_Smith_(Oregon),205700,0
6267,"Nancy Nathanson",Nancy,,Nathanson,,,1,D,1,Rep,HD-013,6469164,58128,,Nancy_Nathanson,249739,0
6284,"Bruce Starr",Bruce,,Starr,,,2,R,2,Sen,SD-012,5128710,23802,,Bruce_Starr,198116,0
14772,"David Gomberg",David,,Gomberg,,,1,D,1,Rep,HD-010,6514531,135192,,David_Gomberg,390756,0
15769,"John Lively",John,D.,Lively,,,1,D,1,Rep,HD-007,10238475,136777,,John_Lively,395942,0
16808,"Paul Evans",Paul,,Evans,,,1,D,1,Rep,HD-020,935961,57891,,Paul_Evans_(Oregon),478101,0
16809,"Ken Helm",Ken,,Helm,,,1,D,1,Rep,HD-027,22206757,150835,,Ken_Helm,490809,0
16810,"Susan McLain",Susan,,McLain,,,1,D,1,Rep,HD-029,5181165,151034,,Susan_McLain,490807,0
16811,"Robert Nosse",Robert,A.,Nosse,Jr.,Rob,1,D,1,Rep,HD-042,14974670,150910,,Rob_Nosse,489955,0
18583,"Julianne Fahey",Julianne,,Fahey,,,1,D,1,Rep,HD-014,39434464,168037,,Julie_Fahey,556739,0
18585,"Pam Marsh",Pam,J.,Marsh,,,1,D,1,Rep,HD-005,5008202,168022,,Pam_Marsh,565345,0
18588,"Tawna Sanchez",Tawna,,Sanchez,,,1,D,1,Rep,HD-043,39434517,168092,,Tawna_Sanchez,560919,0
18600,"Werner Reschke",Eric,Werner,Reschke,,Werner,2,R,1,Rep,HD-055,39434538,168110,,E._Werner_Reschke,573686,0
19312,"Rick Lewis",Rick,,Lewis,,,2,R,1,Rep,HD-018,44284204,176436,,Rick_Lewis_(Oregon),617669,0
19542,"Jeff Helfrich",Jeff,,Helfrich,,,2,R,1,Rep,HD-052,44284203,178200,,Jeffrey_Helfrich,646682,0
19543,"Daniel Bonham",Daniel,,Bonham,,,2,R,1,Rep,SD-026,44284202,178197,,Daniel_Bonham,646024,0
19566,"Rob Wagner",Rob,,Wagner,,,1,D,2,Sen,SD-019,16155295,178216,,Rob_Wagner,643184,0
20424,"Christine Drazan",Christine,,Drazan,,,2,R,1,Rep,HD-051,44426842,179911,,Christine_Drazan,656780,0
20616,"Kimberly Wallan",Kimberly,D.,Wallan,,Kim,2,R,1,Rep,HD-006,40321730,179875,,Kim_Wallan,643271,0
20618,"Shelly Boshart Davis",Shelly,,"Boshart Davis",,,2,R,1,Rep,HD-015,44581553,179882,,Shelly_Boshart_Davis,657588,0
21434,"Vikki Breese-Iverson",Vikki,,Breese-Iverson,,,2,R,1,Rep,HD-059,48691439,187078,,Vikki_Breese-Iverson,715128,0
21542,"Mark Owens",Mark,,Owens,,,2,R,1,Rep,HD-060,48691442,189513,,Mark_Owens_(Oregon),722582,0
22311,"Wlnsvey Campos",Wlnsvey,E.,Campos,,,1,D,1,Rep,SD-018,49394709,190833,,Wlnsvey_Campos,722564,0
22312,"Jami Cate",Jami,J.,Cate,,,2,R,1,Rep,HD-011,49394682,190814,,Jami_Cate,722558,0
22313,"Dacia Grayber",Dacia,,Grayber,,,1,D,1,Rep,HD-028,42160921,190850,,Dacia_Grayber,731564,0
22314,"Zach Hudson",Zachary,T.,Hudson,,Zach,1,D,1,Rep,HD-049,49394745,190877,,Zach_Hudson,722581,0
22315,"Jason Kropf",Jason,S.,Kropf,,,1,D,1,Rep,HD-054,49394753,190883,,Jason_Kropf,735117,0
22316,"Bobby Levy",Barbara,L.,Levy,,Bobby,2,R,1,Rep,HD-058,14011343,190888,,Bobby_Levy,731588,0
22320,"Ricki Ruiz",Ricardo,,Ruiz,,Ricki,1,D,1,Rep,HD-050,49394747,190879,,Ricardo_Ruiz_(Oregon),731582,0
22322,"Boomer Wright",Gerald,D.,Wright,,Boomer,2,R,1,Rep,HD-009,49394667,190805,,Boomer_Wright,731548,0
22909,"Andrea Valderrama",Andrea,,Valderrama,,,1,D,1,Rep,HD-047,54284056,195918,,Andrea_Valderrama,771845,0
22950,"Anna Scharf",Anna,,Scharf,,,2,R,1,Rep,HD-023,54453477,197557,,Anna_Scharf,780737,0
23063,"Travis Nelson",Travis,,Nelson,,,1,D,1,Rep,HD-044,0,201609,,Travis_Nelson_(Oregon),796974,0
23064,"Nathan Sosa",Nathan,,Sosa,,,1,D,1,Rep,HD-030,55358267,201864,,Nathan_Sosa,624780,0
23847,"Ben Bowman",Benjamin,W.,Bowman,,Ben,1,D,1,Rep,HD-025,55358257,0,,Ben_Bowman,0,0
23848,"Ed  Diehl",Edwin,L.,Diehl,III,Ed,2,R,1,Rep,HD-017,55358238,202904,,Ed_Diehl,0,0
23849,"Mark Gamba",Mark,F.,Gamba,,,1,D,1,Rep,HD-041,55358292,189869,,Mark_Gamba,0,0
23850,"Annessa Hartman",Annessa,D.,Hartman,,,1,D,1,Rep,HD-040,55358288,0,,Annessa_Hartman,0,0
23851,"Cyrus Javadi",Cyrus,,Javadi,,,2,R,1,Rep,HD-032,55358271,0,,,0,0
23852,"Emerson Levy",Emerson,,Levy,,,1,D,1,Rep,HD-053,49394751,0,,Emerson_Levy,0,0
23853,"Kevin Mannix",Kevin,L.,Mannix,,,2,R,1,Rep,HD-021,5050418,0,,Kevin_Mannix,0,0
23854,"Virgle Osborne",Virgle,,Osborne,,,2,R,1,Rep,HD-002,55358218,202857,,Virgle_Osborne,0,0
23855,"Hai Pham",Hai,T.,Pham,,,1,D,1,Rep,HD-036,55358280,0,,Hai_Pham,0,0
23856,"Jules Walters",Julianna,A.,Walters,,Jules,1,D,1,Rep,HD-037,55358282,0,,Jules_Walters,0,0
23867,"Emily McIntire",Emily,G.,McIntire,,,2,R,1,Rep,HD-056,55358315,202867,,Emily_McIntire,0,0
23910,"Lucetta Elmer",Lucetta,,Elmer,,,2,R,1,Rep,HD-024,55358255,202901,,Lucetta_Elmer,0,0
23912,"Thuy Tran",Thuy,C.,Tran,,,1,D,1,Rep,HD-045,55358300,135208,,Thuy_Tran,0,0
23913,"Hoa Nguyen",Hoa,H.,Nguyen,,,1,D,1,Rep,HD-048,55358304,0,,Hoa_Nguyen,0,0
23914,"Farrah Chaichi",Farrah,,Chaichi,,,1,D,1,Rep,HD-035,55358277,0,,Farrah_Chaichi,0,0
24261,"Tom Andersen",Thomas,,Andersen,,Tom,1,D,1,Rep,HD-019,55358241,0,,Tom_Andersen,0,0
24263,"Daniel Nguyen",Daniel,,Nguyen,,,1,D,1,Rep,HD-038,44972957,0,,Daniel_Nguyen,0,0
24887,"Court Boice",Court,,Boice,,,2,R,1,Rep,HD-001,44426782,0,,Court_Boice,0,0
25131,"Dwayne Yunker",Dwayne,,Yunker,,,2,R,1,Rep,HD-003,0,214543,,Dwayne_Yunker,0,0
25435,"Shannon Isadore",Shannon,Jones,Isadore,,,1,D,1,Rep,HD-033,59829637,215506,,Shannon_Isadore,0,0
