roll_call_id,people_id,vote,vote_desc
1600784,6284,2,Nay
1600784,16810,1,Yea
1600784,18583,1,Yea
1600784,18588,1,Yea
1600784,19543,2,Nay
1600784,19566,1,Yea
1600784,20424,2,Nay
1600784,20618,2,Nay
1600784,21434,2,Nay
1600784,22311,1,Yea
1600784,23847,1,Yea
1600784,23855,1,Yea
1600788,6241,4,Absent
1600788,6267,1,Yea
1600788,14772,1,Yea
1600788,15769,1,Yea
1600788,16808,1,Yea
1600788,16809,1,Yea
1600788,16810,1,Yea
1600788,16811,1,Yea
1600788,18583,1,Yea
1600788,18585,1,Yea
1600788,18588,1,Yea
1600788,18600,4,Absent
1600788,19312,4,Absent
1600788,19542,4,Absent
1600788,20424,2,Nay
1600788,20616,4,Absent
1600788,20618,4,Absent
1600788,21434,2,Nay
1600788,21542,2,Nay
1600788,22312,4,Absent
1600788,22313,1,Yea
1600788,22314,1,Yea
1600788,22315,1,Yea
1600788,22316,4,Absent
1600788,22320,1,Yea
1600788,22322,4,Absent
1600788,22909,1,Yea
1600788,22950,4,Absent
1600788,23063,1,Yea
1600788,23064,1,Yea
1600788,23847,1,Yea
1600788,23848,2,Nay
1600788,23849,1,Yea
1600788,23850,2,Nay
1600788,23851,1,Yea
1600788,23852,1,Yea
1600788,23853,2,Nay
1600788,23854,4,Absent
1600788,23855,1,Yea
1600788,23856,1,Yea
1600788,23867,2,Nay
1600788,23910,4,Absent
1600788,23912,1,Yea
1600788,23913,4,Absent
1600788,23914,1,Yea
1600788,24261,1,Yea
1600788,24263,1,Yea
1600788,24887,4,Absent
1600788,25131,2,Nay
1600788,25435,1,Yea
1600788,26274,1,Yea
1600788,26275,4,Absent
1600788,26276,1,Yea
1600788,26277,4,Absent
1600788,26278,1,Yea
1600788,26279,1,Yea
1600788,26282,1,Yea
1600788,26283,4,Absent
1600788,26384,1,Yea
1600788,26475,1,Yea
1600785,6284,1,Yea
1600785,16810,1,Yea
1600785,18583,1,Yea
1600785,18588,1,Yea
1600785,19543,1,Yea
1600785,19566,1,Yea
1600785,20424,1,Yea
1600785,20618,1,Yea
1600785,21434,1,Yea
1600785,22311,1,Yea
1600785,23847,1,Yea
1600785,23855,1,Yea
1600786,6241,4,Absent
1600786,6267,1,Yea
1600786,14772,1,Yea
1600786,15769,1,Yea
1600786,16808,1,Yea
1600786,16809,1,Yea
1600786,16810,1,Yea
1600786,16811,1,Yea
1600786,18583,1,Yea
1600786,18585,1,Yea
1600786,18588,1,Yea
1600786,18600,1,Yea
1600786,19312,1,Yea
1600786,19542,4,Absent
1600786,20424,1,Yea
1600786,20616,4,Absent
1600786,20618,4,Absent
1600786,21434,1,Yea
1600786,21542,1,Yea
1600786,22312,4,Absent
1600786,22313,1,Yea
1600786,22314,1,Yea
1600786,22315,1,Yea
1600786,22316,4,Absent
1600786,22320,1,Yea
1600786,22322,4,Absent
1600786,22909,1,Yea
1600786,22950,4,Absent
1600786,23063,1,Yea
1600786,23064,1,Yea
1600786,23847,1,Yea
1600786,23848,1,Yea
1600786,23849,1,Yea
1600786,23850,1,Yea
1600786,23851,1,Yea
1600786,23852,1,Yea
1600786,23853,1,Yea
1600786,23854,4,Absent
1600786,23855,1,Yea
1600786,23856,1,Yea
1600786,23867,1,Yea
1600786,23910,4,Absent
1600786,23912,1,Yea
1600786,23913,1,Yea
1600786,23914,1,Yea
1600786,24261,1,Yea
1600786,24263,1,Yea
1600786,24887,1,Yea
1600786,25131,1,Yea
1600786,25435,1,Yea
1600786,26274,1,Yea
1600786,26275,1,Yea
1600786,26276,1,Yea
1600786,26277,4,Absent
1600786,26278,1,Yea
1600786,26279,1,Yea
1600786,26282,1,Yea
1600786,26283,4,Absent
1600786,26384,1,Yea
1600786,26475,1,Yea
1600783,6284,2,Nay
1600783,16810,1,Yea
1600783,18583,1,Yea
1600783,18588,1,Yea
1600783,19543,2,Nay
1600783,19566,1,Yea
1600783,20424,2,Nay
1600783,20618,2,Nay
1600783,21434,2,Nay
1600783,22311,1,Yea
1600783,23847,1,Yea
1600783,23855,1,Yea
1600787,6241,4,Absent
1600787,6267,1,Yea
1600787,14772,1,Yea
1600787,15769,1,Yea
1600787,16808,1,Yea
1600787,16809,1,Yea
1600787,16810,1,Yea
1600787,16811,1,Yea
1600787,18583,1,Yea
1600787,18585,1,Yea
1600787,18588,1,Yea
1600787,18600,2,Nay
1600787,19312,2,Nay
1600787,19542,4,Absent
1600787,20424,2,Nay
1600787,20616,4,Absent
1600787,20618,4,Absent
1600787,21434,2,Nay
1600787,21542,2,Nay
1600787,22312,4,Absent
1600787,22313,1,Yea
1600787,22314,1,Yea
1600787,22315,1,Yea
1600787,22316,4,Absent
1600787,22320,1,Yea
1600787,22322,4,Absent
1600787,22909,1,Yea
1600787,22950,4,Absent
1600787,23063,1,Yea
1600787,23064,1,Yea
1600787,23847,1,Yea
1600787,23848,2,Nay
1600787,23849,1,Yea
1600787,23850,2,Nay
1600787,23851,1,Yea
1600787,23852,1,Yea
1600787,23853,2,Nay
1600787,23854,4,Absent
1600787,23855,1,Yea
1600787,23856,1,Yea
1600787,23867,2,Nay
1600787,23910,4,Absent
1600787,23912,1,Yea
1600787,23913,1,Yea
1600787,23914,1,Yea
1600787,24261,1,Yea
1600787,24263,1,Yea
1600787,24887,2,Nay
1600787,25131,2,Nay
1600787,25435,1,Yea
1600787,26274,1,Yea
1600787,26275,2,Nay
1600787,26276,1,Yea
1600787,26277,4,Absent
1600787,26278,1,Yea
1600787,26279,1,Yea
1600787,26282,1,Yea
1600787,26283,4,Absent
1600787,26384,1,Yea
1600787,26475,1,Yea
