bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1905489,2192,HB17,2,Engrossed,2025-06-24,"In terms and courses of study, further providing for subjects of instruction and flag code.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, further providing for subjects of instruction and flag code.",66,"Senate Appropriations",2025-07-17,"Re-referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB17/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=17
1905317,2192,HB18,2,Engrossed,2025-07-01,"In incapacitated persons, further providing for review hearing.","An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in incapacitated persons, further providing for review hearing.",66,"Senate Appropriations",2025-09-10,"Re-referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB18/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=18
2039287,2192,HB20,1,Introduced,2025-07-14,"Providing for adult use of cannabis; regulating the personal use and possession of cannabis; establishing the Keystone Cannabis Authority; providing for powers and duties of the Keystone Cannabis Authority; establishing the Community Opportunity Fund; providing for social and economic equity, for regulation of cannabis business establishments, for enforcement and immunities, for laboratory testing, for advertising, marketing, packaging and labeling and for preparation, destruction and regulation of cannabis and cannabis-infused edible and nonedible products; imposing a sales tax and excise tax on cannabis and cannabis-infused edible and nonedible products; establishing the Cannabis Regulation Fund; providing for cannabis clean slate and for miscellaneous provisions; imposing penalties; consolidating provisions relating to the medical use of cannabis; transferring certain powers and duties of the Department of Health to the Keystone Cannabis Authority; and making repeals.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for adult use of cannabis; regulating the personal use and possession of cannabis; establishing the Keystone Cannabis Authority; providing for powers and duties of the Keystone Cannabis Authority; establishing the Community Opportunity Fund; providing for social and economic equity, for regulation of cannabis business establishments, for enforcement and immunities, for laboratory testing, for advertising, marketing, packaging and labeling and for preparation, destruction and regulation of cannabis and cannabis-infused edible and nonedible products; imposing a sales tax and excise tax on cannabis and cannabis-infused edible and nonedible products; establishing the Cannabis Regulation Fund; providing for cannabis clean slate and for miscellaneous provisions; imposing penalties; consolidating provisions relating to the medical use of cannabis; transferring certain powers and duties of the Department of Health to the Keystone Cannabis Authority; and making repeals.",1809,"House Health",2025-07-14,"Referred to HEALTH",https://legiscan.com/PA/bill/HB20/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=20
1905663,2192,HB22,1,Introduced,2025-01-08,"In personal income tax, further providing for definitions and for classes of income.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in personal income tax, further providing for definitions and for classes of income.",47,"House Finance",2025-01-08,"Referred to FINANCE",https://legiscan.com/PA/bill/HB22/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=22
1905404,2192,HB24,1,Introduced,2025-01-08,"Providing for off-campus student housing rights.","An Act providing for off-campus student housing rights.",4868,"House Housing and Community Development",2025-01-08,"Referred to HOUSING AND COMMUNITY DEVELOPMENT",https://legiscan.com/PA/bill/HB24/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=24
1905751,2192,HB25,1,Introduced,2025-01-08,"In school finances, further providing for fiscal year and for tax levy and limitations.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school finances, further providing for fiscal year and for tax levy and limitations.",44,"House Education",2025-01-08,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB25/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=25
1905925,2192,HB26,1,Introduced,2025-01-08,"In provisions relating to abortion, repealing provisions relating to short title of chapter and to legislative intent, further providing for definitions, repealing provisions relating to medical consultation and judgment, to informed consent, to parental consent, to abortion facilities, to printed information, to Commonwealth interference prohibited, to spousal notice, to determination of gestational age, to abortion on unborn child of 24 or more weeks gestational age, to infanticide, to prohibited acts and to reporting, further providing for publicly owned facilities, public officials and public funds and for fetal experimentation and repealing provisions relating to civil penalties, to criminal penalties, to State Board of Medicine and State Board of Osteopathic Medicine and to construction; providing for reproductive rights; repealing provisions relating to compliance with Federal health care legislation as to regulation of insurers and related persons generally; and imposing penalties.","An Act amending Titles 18 (Crimes and Offenses), 35 (Health and Safety) and 40 (Insurance) of the Pennsylvania Consolidated Statutes, in provisions relating to abortion, repealing provisions relating to short title of chapter and to legislative intent, further providing for definitions, repealing provisions relating to medical consultation and judgment, to informed consent, to parental consent, to abortion facilities, to printed information, to Commonwealth interference prohibited, to spousal notice, to determination of gestational age, to abortion on unborn child of 24 or more weeks gestational age, to infanticide, to prohibited acts and to reporting, further providing for publicly owned facilities, public officials and public funds and for fetal experimentation and repealing provisions relating to civil penalties, to criminal penalties, to State Board of Medicine and State Board of Osteopathic Medicine and to construction; providing for reproductive rights; repealing provisions relating to compliance with Federal health care legislation as to regulation of insurers and related persons generally; and imposing penalties.",1809,"House Health",2025-01-08,"Referred to HEALTH",https://legiscan.com/PA/bill/HB26/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=26
1905838,2192,HB27,2,Engrossed,2025-02-04,"In licensing of health care facilities, providing for surgical smoke evacuation systems.","An Act amending the act of July 19, 1979 (P.L.130, No.48), known as the Health Care Facilities Act, in licensing of health care facilities, providing for surgical smoke evacuation systems.",66,"Senate Appropriations",2025-06-25,"Re-referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB27/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=27
1907340,2192,HB28,1,Introduced,2025-01-10,"In practitioners, further providing for practitioner registration.","An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in practitioners, further providing for practitioner registration.",1809,"House Health",2025-01-10,"Referred to HEALTH",https://legiscan.com/PA/bill/HB28/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=28
1907455,2192,HB29,1,Introduced,2025-01-10,"In diverse and disadvantaged businesses, further providing for definitions and for woman-owned business, minority-owned business or veteran-owned business and establishing the HUB Zone Business Procurement Program.","An Act amending Title 62 (Procurement) of the Pennsylvania Consolidated Statutes, in diverse and disadvantaged businesses, further providing for definitions and for woman-owned business, minority-owned business or veteran-owned business and establishing the HUB Zone Business Procurement Program.",41,"House Commerce",2025-01-10,"Referred to COMMERCE",https://legiscan.com/PA/bill/HB29/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=29
1907356,2192,HB30,2,Engrossed,2025-06-09,"Further providing for application and qualifications.","An Act amending the act of July 10, 1990 (P.L.404, No.98), known as the Real Estate Appraisers Certification Act, further providing for application and qualifications.",71,"Senate Consumer Protection & Professional Licensure",2025-06-18,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB30/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=30
2024005,2192,HB31,1,Introduced,2025-04-15,"A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.","A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.",59,"House State Government",2025-04-15,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB31/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=31
2015344,2192,HB32,1,Introduced,2025-03-31,"In senior citizens property tax and rent rebate assistance, further providing for definitions.","An Act amending the act of June 27, 2006 (1st Sp.Sess., P.L.1873, No.1), known as the Taxpayer Relief Act, in senior citizens property tax and rent rebate assistance, further providing for definitions.",0,,2025-04-09,"Laid on the table",https://legiscan.com/PA/bill/HB32/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=32
1907244,2192,HB33,2,Engrossed,2025-03-17,"In preliminary provisions, further providing for definitions; in practitioners, further providing for practitioner registration; in medical marijuana controls, further providing for electronic tracking and for laboratory; and, in Medical Marijuana Advisory Board, further providing for advisory board.","An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in preliminary provisions, further providing for definitions; in practitioners, further providing for practitioner registration; in medical marijuana controls, further providing for electronic tracking and for laboratory; and, in Medical Marijuana Advisory Board, further providing for advisory board.",79,"Senate Law & Justice",2025-03-17,"Referred to LAW AND JUSTICE",https://legiscan.com/PA/bill/HB33/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=33
1907443,2192,HB34,1,Introduced,2025-01-10,"In tax credit and tax benefit administration, further providing for definitions; and providing for a disaster lodging tax credit.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in tax credit and tax benefit administration, further providing for definitions; and providing for a disaster lodging tax credit.",47,"House Finance",2025-01-10,"Referred to FINANCE",https://legiscan.com/PA/bill/HB34/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=34
1907468,2192,HB35,1,Introduced,2025-01-10,"In school safety and security, providing for school safety blueprint requirement.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school safety and security, providing for school safety blueprint requirement.",63,"House Veterans Affairs & Emergency Preparedness",2025-01-10,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS",https://legiscan.com/PA/bill/HB35/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=35
1907382,2192,HB36,2,Engrossed,2025-03-18,"In Office of State Inspector General, further providing for definitions and for powers, purpose and duties.","An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in Office of State Inspector General, further providing for definitions and for powers, purpose and duties.",84,"Senate State Government",2025-03-19,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB36/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=36
1907311,2192,HB37,1,Introduced,2025-01-10,"In voting by qualified absentee electors, further providing for canvassing of official absentee ballots and mail-in ballots; and, in Election Integrity Grant Program, further providing for funding for elections.","An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in voting by qualified absentee electors, further providing for canvassing of official absentee ballots and mail-in ballots; and, in Election Integrity Grant Program, further providing for funding for elections.",59,"House State Government",2025-01-10,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB37/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=37
1907398,2192,HB38,1,Introduced,2025-01-10,"In preliminary provisions, further providing for definitions; in vehicles, further providing for grounds for disciplinary proceedings and repealing provisions relating to recreational vehicle shows, recreational vehicle off-premise sales, recreational vehicle exhibitions and recreational vehicle rallies and to off-premise sales, shows, exhibitions or rallies on Sundays; and, in recreational vehicles, further providing for definitions and for warranty obligations and providing for recreational vehicle events and for recreational vehicle events on Sundays.","An Act amending the act of December 22, 1983 (P.L.306, No.84), known as the Board of Vehicles Act, in preliminary provisions, further providing for definitions; in vehicles, further providing for grounds for disciplinary proceedings and repealing provisions relating to recreational vehicle shows, recreational vehicle off-premise sales, recreational vehicle exhibitions and recreational vehicle rallies and to off-premise sales, shows, exhibitions or rallies on Sundays; and, in recreational vehicles, further providing for definitions and for warranty obligations and providing for recreational vehicle events and for recreational vehicle events on Sundays.",57,"House Professional Licensure",2025-02-03,"Re-referred to PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB38/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=38
1907324,2192,HB39,1,Introduced,2025-01-10,"In special powers and duties of counties, providing for other powers and duties of county humane officers.","An Act amending Title 16 (Counties) of the Pennsylvania Consolidated Statutes, in special powers and duties of counties, providing for other powers and duties of county humane officers.",38,"House Agriculture & Rural Affairs",2025-01-10,"Referred to AGRICULTURE AND RURAL AFFAIRS",https://legiscan.com/PA/bill/HB39/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=39
1907371,2192,HB40,1,Introduced,2025-01-10,"In protection from abuse, further providing for relief.","An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in protection from abuse, further providing for relief.",53,"House Judiciary",2025-01-10,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB40/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=40
1907484,2192,HB41,1,Introduced,2025-01-10,"In interscholastic athletics accountability, providing for playoffs and championships.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in interscholastic athletics accountability, providing for playoffs and championships.",0,,2025-05-12,"Laid on the table",https://legiscan.com/PA/bill/HB41/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=41
1907298,2192,HB42,1,Introduced,2025-01-10,"Providing for the establishment of response teams relating to certain well operations and for powers and duties of the Secretary of Labor and Industry.","An Act providing for the establishment of response teams relating to certain well operations and for powers and duties of the Secretary of Labor and Industry.",4991,"House Environmental and Natural Resource Protection",2025-01-10,"Referred to ENVIRONMENTAL AND NATURAL RESOURCE PROTECTION",https://legiscan.com/PA/bill/HB42/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=42
1907282,2192,HB43,1,Introduced,2025-01-10,"In development, further providing for well permits.","An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for well permits.",4991,"House Environmental and Natural Resource Protection",2025-01-10,"Referred to ENVIRONMENTAL AND NATURAL RESOURCE PROTECTION",https://legiscan.com/PA/bill/HB43/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=43
1907425,2192,HB44,1,Introduced,2025-01-10,"In tavern gaming, further providing for definitions.","An Act amending the act of December 19, 1988 (P.L.1262, No.156), known as the Local Option Small Games of Chance Act, in tavern gaming, further providing for definitions.",49,"House Gaming Oversight",2025-01-10,"Referred to GAMING OVERSIGHT",https://legiscan.com/PA/bill/HB44/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=44
1907523,2192,HB45,1,Introduced,2025-01-10,"Providing for automatic renewal provisions in certain contracts for goods and services.","An Act providing for automatic renewal provisions in certain contracts for goods and services.",41,"House Commerce",2025-01-10,"Referred to COMMERCE",https://legiscan.com/PA/bill/HB45/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=45
1907496,2192,HB46,1,Introduced,2025-01-10,"In duties and powers of boards of school directors, further providing for kindergartens and providing for pre-kindergarten programs; and, in pupils and attendance, further providing for age limits and temporary residence and for definitions.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in duties and powers of boards of school directors, further providing for kindergartens and providing for pre-kindergarten programs; and, in pupils and attendance, further providing for age limits and temporary residence and for definitions.",44,"House Education",2025-01-10,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB46/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=46
1907255,2192,HB47,1,Introduced,2025-01-10,"In sales and use tax, further providing for exclusions from tax.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in sales and use tax, further providing for exclusions from tax.",47,"House Finance",2025-01-10,"Referred to FINANCE",https://legiscan.com/PA/bill/HB47/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=47
1907509,2192,HB48,1,Introduced,2025-01-10,"In registration of vehicles, providing for arts registration plate; in fees, further providing for payments to special funds; and establishing the Arts Promotion Fund.","An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in registration of vehicles, providing for arts registration plate; in fees, further providing for payments to special funds; and establishing the Arts Promotion Fund.",61,"House Transportation",2025-01-10,"Referred to TRANSPORTATION",https://legiscan.com/PA/bill/HB48/2025,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2025&sind=0&body=H&type=B&bn=48
