bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1905489,3045358,text,64817,application/pdf,Introduced,https://legiscan.com/PA/text/HB17/id/3045358,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0017&pn=0002
1905317,3046381,text,64246,application/pdf,Introduced,https://legiscan.com/PA/text/HB18/id/3046381,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0018&pn=0003
1905317,3257912,text,73668,application/pdf,Amended,https://legiscan.com/PA/text/HB18/id/3257912,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0018&pn=1974
2039287,3261681,text,480240,application/pdf,Introduced,https://legiscan.com/PA/text/HB20/id/3261681,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0020&pn=2119
1905663,3044966,text,69429,application/pdf,Introduced,https://legiscan.com/PA/text/HB22/id/3044966,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0022&pn=0004
1905404,3045039,text,66749,application/pdf,Introduced,https://legiscan.com/PA/text/HB24/id/3045039,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0024&pn=0005
1905751,3045011,text,65086,application/pdf,Introduced,https://legiscan.com/PA/text/HB25/id/3045011,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0025&pn=0006
1905925,3046466,text,211294,application/pdf,Introduced,https://legiscan.com/PA/text/HB26/id/3046466,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0026&pn=0007
1905838,3045033,text,64617,application/pdf,Introduced,https://legiscan.com/PA/text/HB27/id/3045033,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=0008
1907340,3049379,text,65439,application/pdf,Introduced,https://legiscan.com/PA/text/HB28/id/3049379,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0028&pn=0009
1907455,3049301,text,73498,application/pdf,Introduced,https://legiscan.com/PA/text/HB29/id/3049301,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0029&pn=0010
1907356,3048594,text,63968,application/pdf,Introduced,https://legiscan.com/PA/text/HB30/id/3048594,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0030&pn=0011
2024005,3212186,text,123704,application/pdf,Introduced,https://legiscan.com/PA/text/HB31/id/3212186,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2025&sessInd=0&billBody=H&billTyp=B&billNbr=0031&pn=1378
