bill_id,date,chamber,sequence,action
1904300,2025-01-07,House,1,Introduced
1904300,2025-01-07,House,2,"Adopted (196-6)"
1904376,2025-01-07,Senate,1,"Introduced and adopted"
1904442,2025-01-07,Senate,1,"Introduced and adopted (46-2)"
1904517,2025-01-07,Senate,1,Introduced
1904517,2025-01-07,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1904585,2025-01-07,Senate,1,Introduced
1904585,2025-01-07,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1904656,2025-01-07,Senate,1,Introduced
1904656,2025-01-07,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1904723,2025-01-07,Senate,1,"Introduced and adopted (46-2)"
1904788,2025-01-07,Senate,1,"Introduced and adopted"
1904788,2025-01-07,Senate,2,"Vote by which this resolution was adopted, reconsidered"
1904788,2025-01-07,Senate,3,"Adopted (46-2)"
1905317,2025-01-08,House,1,"Referred to JUDICIARY"
1905317,2025-06-23,House,2,"Reported as amended"
1905317,2025-06-23,House,3,"First consideration"
1905317,2025-06-23,House,4,"Re-committed to RULES"
1905317,2025-06-30,House,5,"Re-reported as committed"
1905317,2025-06-30,House,6,"Second consideration"
1905317,2025-06-30,House,7,"Re-committed to APPROPRIATIONS"
1905317,2025-07-01,House,8,"Re-reported as committed"
1905317,2025-07-01,House,9,"Third consideration and final passage (202-0)"
1905317,2025-07-01,Senate,10,"In the Senate"
1905317,2025-07-08,Senate,11,"Referred to JUDICIARY"
1905317,2025-09-09,Senate,12,"Reported as committed"
1905317,2025-09-09,Senate,13,"First consideration"
1905317,2025-09-10,Senate,14,"Second consideration"
1905317,2025-09-10,Senate,15,"Re-referred to APPROPRIATIONS"
1905404,2025-01-08,House,1,"Referred to HOUSING AND COMMUNITY DEVELOPMENT"
1905489,2025-01-08,House,1,"Referred to EDUCATION"
1905489,2025-05-07,House,2,"Reported as committed"
1905489,2025-05-07,House,3,"First consideration"
1905489,2025-05-07,House,4,"Laid on the table"
1905489,2025-06-18,House,5,"Removed from table"
1905489,2025-06-23,House,6,"Second consideration"
1905489,2025-06-23,House,7,"Re-committed to APPROPRIATIONS"
1905489,2025-06-24,House,8,"Re-reported as committed"
1905489,2025-06-24,House,9,"Third consideration and final passage (195-8)"
1905489,2025-06-24,Senate,10,"In the Senate"
1905489,2025-06-25,Senate,11,"Referred to EDUCATION"
1905489,2025-07-16,Senate,12,"Reported as committed"
1905489,2025-07-16,Senate,13,"First consideration"
1905489,2025-07-17,Senate,14,"Second consideration"
1905489,2025-07-17,Senate,15,"Re-referred to APPROPRIATIONS"
1905578,2025-01-10,House,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1905578,2025-01-28,House,2,"Reported as committed"
1905578,2025-03-26,House,3,"Adopted (201-0)"
1905663,2025-01-08,House,1,"Referred to FINANCE"
1905751,2025-01-08,House,1,"Referred to EDUCATION"
1905838,2025-01-08,House,1,"Referred to HEALTH"
1905838,2025-01-29,House,2,"Reported as committed"
1905838,2025-01-29,House,3,"First consideration"
1905838,2025-01-29,House,4,"Laid on the table"
1905838,2025-01-29,House,5,"Removed from table"
1905838,2025-02-03,House,6,"Second consideration"
1905838,2025-02-03,House,7,"Re-committed to APPROPRIATIONS"
1905838,2025-02-04,House,8,"Re-reported as committed"
1905838,2025-02-04,House,9,"Third consideration and final passage (171-31)"
1905838,2025-02-04,Senate,10,"In the Senate"
1905838,2025-02-13,Senate,11,"Referred to HEALTH AND HUMAN SERVICES"
1905838,2025-06-11,Senate,12,"Reported as committed"
1905838,2025-06-11,Senate,13,"First consideration"
1905838,2025-06-25,Senate,14,"Second consideration"
1905838,2025-06-25,Senate,15,"Re-referred to APPROPRIATIONS"
1905925,2025-01-08,House,1,"Referred to HEALTH"
1907236,2025-01-10,House,1,"Referred to INTERGOVERNMENTAL AFFAIRS AND OPERATIONS"
1907244,2025-01-10,House,1,"Referred to HEALTH"
1907244,2025-01-29,House,2,"Reported as amended"
1907244,2025-01-29,House,3,"First consideration"
1907244,2025-01-29,House,4,"Laid on the table"
1907244,2025-02-03,House,5,"Corrective Reprint, Printer's No. 441"
1907244,2025-02-04,House,6,"Removed from table"
1907244,2025-02-05,House,7,"Second consideration"
1907244,2025-02-05,House,8,"Re-committed to APPROPRIATIONS"
1907244,2025-03-17,House,9,"Re-reported as committed"
1907244,2025-03-17,House,10,"Third consideration and final passage (194-8)"
1907244,2025-03-17,Senate,11,"In the Senate"
1907244,2025-03-17,Senate,12,"Referred to LAW AND JUSTICE"
1907255,2025-01-10,House,1,"Referred to FINANCE"
1907270,2025-01-10,House,1,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1907270,2025-06-16,House,2,"Reported as committed"
1907270,2025-06-30,House,3,"Adopted (200-3)"
1907282,2025-01-10,House,1,"Referred to ENVIRONMENTAL AND NATURAL RESOURCE PROTECTION"
1907298,2025-01-10,House,1,"Referred to ENVIRONMENTAL AND NATURAL RESOURCE PROTECTION"
1907311,2025-01-10,House,1,"Referred to STATE GOVERNMENT"
1907324,2025-01-10,House,1,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1907340,2025-01-10,House,1,"Referred to HEALTH"
1907356,2025-01-10,House,1,"Referred to PROFESSIONAL LICENSURE"
1907356,2025-05-06,House,2,"Reported as committed"
1907356,2025-05-06,House,3,"First consideration"
1907356,2025-05-06,House,4,"Laid on the table"
1907356,2025-06-03,House,5,"Removed from table"
1907356,2025-06-04,House,6,"Second consideration"
1907356,2025-06-04,House,7,"Re-committed to APPROPRIATIONS"
1907356,2025-06-09,House,8,"Re-reported as committed"
1907356,2025-06-09,House,9,"Third consideration and final passage (202-0)"
1907356,2025-06-09,Senate,10,"In the Senate"
1907356,2025-06-18,Senate,11,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1907371,2025-01-10,House,1,"Referred to JUDICIARY"
1907382,2025-01-10,House,1,"Referred to JUDICIARY"
1907382,2025-02-04,House,2,"Reported as committed"
1907382,2025-02-04,House,3,"First consideration"
1907382,2025-02-04,House,4,"Laid on the table"
1907382,2025-02-05,House,5,"Removed from table"
1907382,2025-03-17,House,6,"Second consideration"
1907382,2025-03-17,House,7,"Re-committed to APPROPRIATIONS"
1907382,2025-03-18,House,8,"Re-reported as committed"
1907382,2025-03-18,House,9,"Third consideration and final passage (173-29)"
1907382,2025-03-18,Senate,10,"In the Senate"
1907382,2025-03-19,Senate,11,"Referred to STATE GOVERNMENT"
1907398,2025-01-10,House,1,"Referred to TRANSPORTATION"
1907398,2025-02-03,House,2,"Reported with request to re-refer to PROFESSIONAL LICENSURE"
1907398,2025-02-03,House,3,"Re-referred to PROFESSIONAL LICENSURE"
1907411,2025-01-10,House,1,"Referred to HEALTH"
1907425,2025-01-10,House,1,"Referred to GAMING OVERSIGHT"
1907443,2025-01-10,House,1,"Referred to FINANCE"
1907455,2025-01-10,House,1,"Referred to COMMERCE"
1907468,2025-01-10,House,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1907484,2025-01-10,House,1,"Referred to INTERGOVERNMENTAL AFFAIRS AND OPERATIONS"
1907484,2025-05-12,House,2,"Reported as committed"
1907484,2025-05-12,House,3,"First consideration"
1907484,2025-05-12,House,4,"Laid on the table"
1907496,2025-01-10,House,1,"Referred to EDUCATION"
1907509,2025-01-10,House,1,"Referred to TRANSPORTATION"
1907523,2025-01-10,House,1,"Referred to COMMERCE"
1907542,2025-01-14,House,1,"Referred to LOCAL GOVERNMENT"
1907637,2025-01-14,House,1,"Referred to JUDICIARY"
1907730,2025-01-14,House,1,"Referred to COMMUNICATIONS AND TECHNOLOGY"
1907827,2025-01-14,House,1,"Referred to ENVIRONMENTAL AND NATURAL RESOURCE PROTECTION"
1907923,2025-01-14,House,1,"Referred to EDUCATION"
1908277,2025-01-14,House,1,"Referred to COMMUNICATIONS AND TECHNOLOGY"
1908323,2025-01-14,House,1,"Referred to INTERGOVERNMENTAL AFFAIRS AND OPERATIONS"
1908367,2025-01-14,House,1,"Referred to PROFESSIONAL LICENSURE"
1908413,2025-01-10,House,1,"Referred to HEALTH"
1908413,2025-02-05,House,2,"Reported as amended"
1908413,2025-02-05,House,3,"First consideration"
1908413,2025-02-05,House,4,"Laid on the table"
1908413,2025-03-17,House,5,"Removed from table"
1908413,2025-03-18,House,6,"Second consideration"
1908413,2025-03-18,House,7,"Re-committed to APPROPRIATIONS"
1908413,2025-03-19,House,8,"Re-reported as committed"
1908413,2025-03-19,House,9,"Third consideration and final passage (202-0)"
1908413,2025-03-19,Senate,10,"In the Senate"
1908413,2025-03-26,Senate,11,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1908461,2025-01-14,House,1,"Referred to HEALTH"
1908503,2025-01-14,House,1,"Referred to PROFESSIONAL LICENSURE"
1908544,2025-01-14,House,1,"Referred to PROFESSIONAL LICENSURE"
1908588,2025-01-14,House,1,"Referred to LABOR AND INDUSTRY"
1908627,2025-01-14,House,1,"Referred to JUDICIARY"
1908674,2025-01-14,House,1,"Referred to JUDICIARY"
1908716,2025-01-14,House,1,"Referred to EDUCATION"
1908729,2025-01-14,House,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1908762,2025-01-14,House,1,"Referred to HOUSING AND COMMUNITY DEVELOPMENT"
1908762,2025-01-28,House,2,"Reported as committed"
1908762,2025-01-28,House,3,"First consideration"
1908762,2025-01-28,House,4,"Laid on the table"
1908762,2025-05-07,House,5,"Removed from table"
1908762,2025-05-12,House,6,"Second consideration"
1908762,2025-05-12,House,7,"Re-committed to APPROPRIATIONS"
1908762,2025-05-13,House,8,"Re-reported as committed"
1908762,2025-05-13,House,9,"Third consideration and final passage (128-75)"
1908762,2025-05-13,Senate,10,"In the Senate"
1908762,2025-05-22,Senate,11,"Referred to URBAN AFFAIRS AND HOUSING"
1908798,2025-01-10,House,1,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES"
1908798,2025-03-18,House,2,"Reported as committed"
1908798,2025-03-18,House,3,"First consideration"
1908798,2025-03-18,House,4,"Laid on the table"
1908798,2025-04-24,House,5,"Removed from table"
1908798,2025-05-05,House,6,"Second consideration"
1908798,2025-05-05,House,7,"Re-committed to APPROPRIATIONS"
1908798,2025-05-06,House,8,"Re-reported as committed"
1908798,2025-05-06,House,9,"Third consideration and final passage (123-80)"
1908798,2025-05-06,Senate,10,"In the Senate"
1908798,2025-05-12,Senate,11,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1908834,2025-01-14,House,1,"Referred to JUDICIARY"
1908872,2025-01-14,House,1,"Referred to HUMAN SERVICES"
1908910,2025-01-14,House,1,"Referred to COMMERCE"
1908910,2025-03-18,House,2,"Reported as amended"
1908910,2025-03-18,House,3,"First consideration"
1908910,2025-03-18,House,4,"Laid on the table"
1908910,2025-04-22,House,5,"Removed from table"
1908910,2025-04-23,House,6,"Second consideration, with amendments"
1908910,2025-04-23,House,7,"Re-committed to APPROPRIATIONS"
1908950,2025-01-14,House,1,"Referred to HUMAN SERVICES"
1908988,2025-01-14,House,1,"Referred to PROFESSIONAL LICENSURE"
1909024,2025-01-10,House,1,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1909024,2025-01-28,House,2,"Reported as committed"
1909024,2025-01-28,House,3,"First consideration"
1909024,2025-01-28,House,4,"Laid on the table"
1909024,2025-02-03,House,5,"Removed from table"
1909024,2025-02-04,House,6,"Second consideration"
1909024,2025-02-04,House,7,"Re-committed to APPROPRIATIONS"
1909024,2025-02-05,House,8,"Re-reported as committed"
1909024,2025-02-05,House,9,"Third consideration and final passage (150-52)"
1909024,2025-02-05,Senate,10,"In the Senate"
1909024,2025-02-20,Senate,11,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1909063,2025-01-14,House,1,"Referred to TRANSPORTATION"
1909063,2025-06-09,House,2,"Reported as committed"
1909063,2025-06-09,House,3,"First consideration"
1909063,2025-06-09,House,4,"Re-committed to RULES"
1909063,2025-09-10,House,5,"Re-reported as committed"
1909063,2025-09-10,House,6,"Laid on the table"
1909104,2025-01-14,House,1,"Referred to EDUCATION"
1909142,2025-01-10,House,1,"Referred to HEALTH"
1909142,2025-04-09,House,2,"Reported as amended"
1909142,2025-04-09,House,3,"First consideration"
1909142,2025-04-09,House,4,"Laid on the table"
1909142,2025-05-07,House,5,"Removed from table"
1909142,2025-05-12,House,6,"Second consideration"
1909142,2025-05-12,House,7,"Re-committed to APPROPRIATIONS"
1909142,2025-05-13,House,8,"Re-reported as committed"
1909142,2025-05-13,House,9,"Third consideration and final passage (187-16)"
1909142,2025-05-13,Senate,10,"In the Senate"
1909142,2025-05-22,Senate,11,"Referred to HEALTH AND HUMAN SERVICES"
1909180,2025-01-14,House,1,"Referred to PROFESSIONAL LICENSURE"
1909220,2025-01-14,House,1,"Referred to LABOR AND INDUSTRY"
1909258,2025-01-14,House,1,"Referred to GAME AND FISHERIES"
1909297,2025-01-14,House,1,"Referred to AGING AND OLDER ADULT SERVICES"
1909297,2025-05-12,House,2,"Reported as committed"
1909297,2025-06-24,House,3,"Laid on the table (Pursuant to House Rule 71)"
1909333,2025-01-10,House,1,"Referred to HEALTH"
1909373,2025-01-10,House,1,"Referred to PROFESSIONAL LICENSURE"
1909373,2025-06-17,House,2,"Reported as amended"
1909373,2025-06-17,House,3,"First consideration"
1909373,2025-06-17,House,4,"Re-committed to RULES"
1909373,2025-07-01,House,5,"Re-reported as committed"
1909373,2025-07-01,House,6,"Second consideration"
1909373,2025-07-01,House,7,"Re-committed to APPROPRIATIONS"
1909373,2025-07-07,House,8,"Re-reported as committed"
