bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1904300,1471130,2025-01-07,House,"House Floor: HR 1 PN 1",196,6,0,1,203
1904442,1471123,2025-01-07,Senate,"Senate Floor: SR 3",46,2,1,0,49
1904517,1471124,2025-01-07,Senate,"Senate Floor: SR 6, Recommit to the Committee on Rules",27,21,1,0,49
1904585,1471125,2025-01-07,Senate,"Senate Floor: SR 5, Recommit to the Committee on Rules",27,21,1,0,49
1904656,1471126,2025-01-07,Senate,"Senate Floor: SR 4, Recommit to the Committee on Rules",27,21,1,0,49
1904723,1471127,2025-01-07,Senate,"Senate Floor: SR 2",46,2,1,0,49
1904788,1471128,2025-01-07,Senate,"Senate Floor: SR 1, Reconsidered",46,2,1,0,49
1905317,1593863,2025-06-23,House,"House Judiciary: Report Bill As Amended",26,0,0,0,26
1905317,1593864,2025-06-23,House,"House Judiciary: Adopt Amendment A00770",26,0,0,0,26
1905317,1596338,2025-06-30,House,"House Rules: Re-report Bill As Committed",33,0,0,0,33
1905317,1597003,2025-07-01,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1905317,1597086,2025-07-01,House,"House Floor: HB 18 PN 1974, FINAL PASSAGE",202,0,0,1,203
1905317,1601436,2025-09-09,Senate,"Senate Judiciary: Reported as Committed",13,0,1,0,14
1905489,1567305,2025-05-07,House,"House Education: Report Bill As Committed",26,0,0,0,26
1905489,1594124,2025-06-24,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1905489,1594322,2025-06-24,House,"House Floor: HB 17 PN 2, FINAL PASSAGE",195,8,0,0,203
1905489,1598786,2025-07-16,Senate,"Senate Education: Reported as Committed",9,2,0,0,11
1905578,1475257,2025-01-28,House,"House Veterans Affairs And Emergency Preparedness: Report Bill As Committed",26,0,0,0,26
1905578,1527546,2025-03-26,House,"House Floor: HR 2 PN 33",201,0,0,1,202
1905838,1476206,2025-01-29,House,"House Health: Report Bill As Amended",25,1,0,0,26
1905838,1479539,2025-02-04,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1905838,1479959,2025-02-04,House,"House Floor: HB 27 PN 8, FINAL PASSAGE",171,31,0,0,202
1905838,1588443,2025-06-11,Senate,"Senate Health And Human Services: Reported as Committed",12,0,1,0,13
1907244,1476115,2025-01-29,House,"House Health: Report Bill As Amended",25,1,0,0,26
1907244,1476116,2025-01-29,House,"House Health: Adopt Amendment A00007",26,0,0,0,26
1907244,1476117,2025-01-29,House,"House Health: Adopt Amendment A00013",25,1,0,0,26
1907244,1518476,2025-03-17,House,"House Floor: HB 33 PN 441, FINAL PASSAGE",194,8,0,0,202
1907244,1518477,2025-03-17,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1907270,1590973,2025-06-16,House,"House Agriculture And Rural Affairs: Report Bill As Committed",26,0,0,0,26
1907270,1596533,2025-06-30,House,"House Floor: HR 5 PN 35",200,3,0,0,203
1907356,1565480,2025-05-06,House,"House Professional Licensure: Report Bill As Committed",26,0,0,0,26
1907356,1586586,2025-06-09,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1907356,1586812,2025-06-09,House,"House Floor: HB 30 PN 11, FINAL PASSAGE",202,0,0,1,203
1907382,1478769,2025-02-03,House,"House Judiciary: Report Bill As Committed",25,1,0,0,26
1907382,1519616,2025-03-18,House,"House Floor: HB 36 PN 15, FINAL PASSAGE",173,29,0,0,202
1907382,1519617,2025-03-18,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1907398,1478648,2025-02-03,House,"House Transportation: Re-refer Bill To Another Committee",26,0,0,0,26
1907484,1569357,2025-05-12,House,"House Intergovernmental Affairs And Operations: Report Bill As Committed",20,6,0,0,26
1908413,1480607,2025-02-05,House,"House Health: Report Bill As Amended A00005",26,0,0,0,26
1908413,1480608,2025-02-05,House,"House Health: Adopt Amendment A00005",26,0,0,0,26
1908413,1520765,2025-03-19,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1908413,1521193,2025-03-19,House,"House Floor: HB 60 PN 474, FINAL PASSAGE",202,0,0,0,202
1908762,1475913,2025-01-28,House,"House Housing And Community Development: Report Bill As Committed",14,12,0,0,26
1908762,1570280,2025-05-13,House,"House Floor: HB 67 PN 55, FINAL PASSAGE",128,75,0,0,203
1908762,1570281,2025-05-13,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1908798,1519380,2025-03-17,House,"House Consumer Protection, Technology And Utilities: Report Bill As Committed",24,2,0,0,26
1908798,1565682,2025-05-06,House,"House Floor: HB 81 PN 32, FINAL PASSAGE",123,80,0,0,203
1908798,1565683,2025-05-06,House,"House Appropriations: Re-report Bill As Committed",36,1,0,0,37
1908910,1519360,2025-03-18,House,"House Commerce: Adopt Amendment A00126",26,0,0,0,26
1908910,1519361,2025-03-18,House,"House Commerce: Report Bill As Amended",26,0,0,0,26
1908910,1555075,2025-04-23,House,"House Floor: HB 78 PN 1024, 2025 A174",203,0,0,0,203
1909024,1475301,2025-01-28,House,"House Agriculture And Rural Affairs: Report Bill As Committed",20,6,0,0,26
1909024,1480808,2025-02-05,House,"House Floor: HB 77 PN 29, FINAL PASSAGE",150,52,0,0,202
1909024,1480809,2025-02-05,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1909063,1586631,2025-06-09,House,"House Transportation: Report Bill As Committed",26,0,0,0,26
1909142,1541426,2025-04-09,House,"House Health: Report Bill As Amended A00328",26,0,0,0,26
1909142,1541427,2025-04-09,House,"House Health: Adopt Amendment A00328",26,0,0,0,26
1909142,1570179,2025-05-13,House,"House Floor: HB 79 PN 1326, FINAL PASSAGE",187,16,0,0,203
1909142,1570180,2025-05-13,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1909297,1569353,2025-05-12,House,"House Aging And Older Adult Services: Report Bill As Committed",26,0,0,0,26
1909373,1591388,2025-06-17,House,"House Professional Licensure: Report Bill As Amended",26,0,0,0,26
1909373,1591389,2025-06-17,House,"House Professional Licensure: Adopt Amendment A01065",26,0,0,0,26
1909373,1597000,2025-07-01,House,"House Rules: Re-report Bill As Committed",33,0,0,0,33
1909373,1597636,2025-07-07,House,"House Floor: HB 80 PN 1941, FINAL PASSAGE",203,0,0,0,203
1909373,1597637,2025-07-07,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1909406,1541363,2025-04-09,House,"House Health: Report Bill As Amended A00299",26,0,0,0,26
1909406,1541364,2025-04-09,House,"House Health: Adopt Amendment A00299",26,0,0,0,26
1911584,1539289,2025-04-08,House,"House Commerce: Report Bill As Committed",26,0,0,0,26
1911584,1565588,2025-05-06,House,"House Floor: HB 96 PN 79, 2025 A439",203,0,0,0,203
1911584,1567264,2025-05-07,House,"House Floor: HB 96 PN 1627, FINAL PASSAGE",201,2,0,0,203
1911584,1567265,2025-05-07,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1911584,1588611,2025-06-11,Senate,"Senate Urban Affairs And Housing: Reported as Committed",11,0,0,0,11
1911674,1476522,2025-01-29,House,"House Health: Report Bill As Committed",26,0,0,0,26
1911849,1565508,2025-05-06,House,"House Professional Licensure: Report Bill As Amended",26,0,0,0,26
1911849,1565509,2025-05-06,House,"House Professional Licensure: Adopt Amendment A00455",26,0,0,0,26
1911908,1524698,2025-03-24,House,"House Game And Fisheries: Bring Up The Bill For Consideration",25,0,1,0,26
1911908,1524699,2025-03-24,House,"House Game And Fisheries: Adopt Amendment",25,0,1,0,26
1911908,1567196,2025-05-07,House,"House Floor: HB 103 PN 1113, FINAL PASSAGE",148,55,0,0,203
1911908,1567197,2025-05-07,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1911908,1594168,2025-06-24,Senate,"Senate Game And Fisheries: Reported as Amended",11,0,0,0,11
1911908,1594169,2025-06-24,Senate,"Senate Game And Fisheries: Adopt Amendment A01289",11,0,0,0,11
1911908,1594860,2025-06-25,Senate,"Senate Appropriations: Re-Reported as Committed",22,0,0,0,22
1911908,1595450,2025-06-26,Senate,"Senate Floor: HB 103 PN 1999, Final Passage",50,0,0,0,50
1911908,1596434,2025-06-30,House,"House Rules: Re-report Bill As Committed",33,0,0,0,33
1911908,1596525,2025-06-30,House,"House Floor: HB 103 PN 1999, CONCURRENCE",201,2,0,0,203
1912162,1591458,2025-06-17,House,"House Judiciary: Report Bill As Committed",15,11,0,0,26
1912162,1598191,2025-07-14,House,"House Rules: Re-report Bill As Committed",18,15,0,0,33
1912225,1591466,2025-06-17,House,"House Judiciary: Report Bill As Amended",25,1,0,0,26
1912225,1591467,2025-06-17,House,"House Judiciary: Adopt Amendment A01141",25,1,0,0,26
1914873,1538069,2025-04-07,House,"House Environmental And Natural Resource Protection: Adopt Amendment A00274",14,12,0,0,26
1914873,1538070,2025-04-07,House,"House Environmental And Natural Resource Protection: Report Bill As Amended",14,12,0,0,26
1914921,1474681,2025-01-27,House,"House Education: Report Bill As Committed",26,0,0,0,26
1914921,1476881,2025-01-29,House,"House Floor: HR 9 PN 98",199,3,0,0,202
1915019,1475450,2025-01-28,House,"House Insurance: Report Bill As Committed",26,0,0,0,26
1915019,1518370,2025-03-17,House,"House Floor: HB 111 PN 89, FINAL PASSAGE",153,49,0,0,202
1915019,1518371,2025-03-17,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1915770,1480505,2025-02-05,House,"House Labor And Industry: Adopt Amendment A00036",12,14,0,0,26
1915770,1480506,2025-02-05,House,"House Labor And Industry: Report Bill As Committed",15,11,0,0,26
1915770,1520842,2025-03-19,House,"House Floor: HB 118 PN 100, 2025 A143",101,101,0,0,202
1915770,1524694,2025-03-24,House,"House Floor: HB 118 PN 100, FINAL PASSAGE",117,85,0,0,202
1915770,1524695,2025-03-24,House,"House Appropriations: Re-report Bill As Committed",22,15,0,0,37
1915812,1587644,2025-06-10,House,"House Communications And Technology: Report Bill As Amended",26,0,0,0,26
1915812,1587645,2025-06-10,House,"House Communications And Technology: Adopt Amendment A00934",26,0,0,0,26
1915812,1596458,2025-06-30,House,"House Rules: Re-report Bill As Committed",33,0,0,0,33
1915812,1596563,2025-06-30,House,"House Floor: HB 129 PN 1875, 2025 A1080",96,107,0,0,203
1915812,1596564,2025-06-30,House,"House Floor: HB 129 PN 1875, 2025 A1335",203,0,0,0,203
1915812,1597043,2025-07-01,House,"House Floor: HB 129 PN 2061, FINAL PASSAGE",159,43,0,1,203
1915812,1597044,2025-07-01,House,"House Appropriations: Re-report Bill As Committed",36,1,0,0,37
1916135,1520900,2025-03-19,House,"House Children And Youth: Adopt Amendment A00112",26,0,0,0,26
1916135,1520901,2025-03-19,House,"House Children And Youth: Report Bill As Amended A00112",26,0,0,0,26
1916135,1539494,2025-04-08,House,"House Floor: HB 156 PN 1047, 2025 A303",202,1,0,0,203
1916135,1541801,2025-04-09,House,"House Floor: HB 156 PN 1302, FINAL PASSAGE",176,27,0,0,203
1916135,1541802,2025-04-09,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1917015,1525115,2025-03-24,House,"House Game And Fisheries: Bring Up The Bill For Consideration",25,0,1,0,26
1917292,1526220,2025-03-25,House,"House Judiciary: Bring Up The Bill For Consideration",26,0,0,0,26
1917355,1480628,2025-02-05,House,"House Health: Report Bill As Amended A00009",26,0,0,0,26
1917355,1480629,2025-02-05,House,"House Health: Adopt Amendment A00009",26,0,0,0,26
1917355,1520736,2025-03-19,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1917355,1521051,2025-03-19,House,"House Floor: HB 157 PN 475, FINAL PASSAGE",194,8,0,0,202
1917413,1480641,2025-02-05,House,"House Local Government: Adopt Amendment A00040",25,1,0,0,26
1917413,1480642,2025-02-05,House,"House Local Government: Report Bill As Amended",25,1,0,0,26
1917583,1478718,2025-02-03,House,"House Judiciary: Report Bill As Committed",25,1,0,0,26
1918483,1480706,2025-02-05,House,"House Labor And Industry: Adopt Amendment A00037",14,12,0,0,26
1918483,1480707,2025-02-05,House,"House Labor And Industry: Report Bill As Amended",14,12,0,0,26
1918483,1538108,2025-04-07,House,"House Appropriations: Re-report Bill As Committed",23,14,0,0,37
