bill_id,people_id,position
1904300,17712,1
1904376,470,8
1904376,503,6
1904376,931,13
1904376,13010,5
1904376,16869,12
1904376,16870,7
1904376,16957,9
1904376,18220,3
1904376,18516,1
1904376,20815,4
1904376,22078,10
1904376,22079,2
1904376,22081,11
1904442,21371,1
1904517,20816,1
1904585,20817,1
1904656,20817,1
1904723,21371,1
1904788,21371,1
1905317,402,2
1905317,21383,3
1905317,24839,4
1905317,25203,1
1905317,25711,5
1905404,311,7
1905404,312,9
1905404,14169,6
1905404,19066,5
1905404,19969,1
1905404,19972,14
1905404,19978,8
1905404,19983,10
1905404,19991,13
1905404,19995,3
1905404,21622,16
1905404,24728,15
1905404,24731,12
1905404,24733,2
1905404,24835,11
1905404,24841,4
1905489,293,4
1905489,312,9
1905489,342,8
1905489,408,7
1905489,11531,14
1905489,11814,16
1905489,11817,15
1905489,13962,6
1905489,14154,11
1905489,16773,13
1905489,17262,17
1905489,21383,12
1905489,22030,5
1905489,22036,2
1905489,22045,10
1905489,24729,3
1905489,24748,1
1905489,24851,18
1905489,24896,19
1905578,287,2
1905578,312,12
1905578,342,5
1905578,402,3
1905578,11531,18
1905578,13962,9
1905578,14154,8
1905578,19970,11
1905578,21383,13
1905578,22030,6
1905578,24729,15
1905578,24733,16
1905578,24746,21
1905578,24747,7
1905578,24748,1
1905578,24842,10
1905578,24847,4
1905578,25706,17
1905578,25708,14
1905578,25711,20
1905578,25712,19
1905663,19969,6
1905663,21383,8
1905663,22030,4
1905663,24734,9
1905663,24736,2
1905663,24748,1
1905663,24846,7
1905663,24847,5
1905663,25203,3
1905663,25706,10
1905751,312,12
1905751,330,13
1905751,11531,20
1905751,14169,11
1905751,18236,14
1905751,19066,7
1905751,19969,1
1905751,19970,15
1905751,19983,16
1905751,19990,22
1905751,19995,3
1905751,21622,19
1905751,22028,8
1905751,22990,21
1905751,24728,18
1905751,24730,10
1905751,24733,2
1905751,24739,6
1905751,24747,4
1905751,24832,5
1905751,24835,17
1905751,24842,9
1905838,14142,16
1905838,16773,11
1905838,16773,11
1905838,19066,10
1905838,19976,6
1905838,19983,12
1905838,19985,8
1905838,19995,5
1905838,20002,14
1905838,21622,13
1905838,21625,2
1905838,22028,3
1905838,22990,18
1905838,24733,1
1905838,24739,7
1905838,24835,4
1905838,24838,17
1905838,24842,9
1905838,24848,15
1905925,311,22
1905925,907,29
1905925,11812,33
1905925,14142,24
1905925,14169,18
1905925,19066,21
1905925,19969,16
1905925,19970,17
1905925,19972,9
1905925,19976,3
1905925,19978,15
1905925,19979,1
1905925,19985,20
1905925,19990,30
1905925,19991,28
1905925,19995,4
1905925,19996,25
1905925,19999,19
1905925,20005,12
1905925,21622,31
1905925,22028,8
1905925,22033,11
1905925,24728,26
1905925,24730,23
1905925,24733,10
1905925,24739,5
1905925,24747,7
1905925,24832,13
1905925,24835,14
1905925,24841,6
1905925,24849,2
1905925,24896,34
1905925,24957,27
1905925,25703,32
1907236,287,1
1907236,330,7
1907236,413,10
1907236,19066,5
1907236,19969,6
1907236,19970,8
1907236,19995,2
1907236,21622,9
1907236,24839,3
1907236,25203,4
1907244,311,1
1907244,408,16
1907244,11812,12
1907244,19066,5
1907244,19969,8
1907244,19976,17
1907244,19979,6
1907244,19995,7
1907244,20003,11
1907244,21622,10
1907244,22045,9
1907244,24733,4
1907244,24739,2
1907244,24838,13
1907244,24841,3
1907244,24848,14
1907244,25220,15
1907255,330,8
1907255,11531,13
1907255,13962,4
1907255,14169,7
1907255,19066,6
1907255,19969,1
1907255,19991,10
1907255,19995,3
1907255,21622,12
1907255,24728,11
1907255,24733,2
1907255,24835,9
1907255,24841,5
1907270,287,1
1907270,312,14
1907270,330,12
1907270,392,13
1907270,402,10
1907270,13962,3
1907270,14162,8
1907270,14169,9
1907270,19066,6
1907270,19969,7
1907270,19978,11
1907270,19995,4
1907270,21622,15
1907270,24733,2
1907270,24739,5
1907270,25711,16
1907282,287,1
1907282,14169,5
1907282,18231,3
1907282,19066,4
1907282,21622,7
1907282,24733,6
1907282,24841,2
1907298,287,1
1907298,330,5
1907298,19066,4
1907298,21622,6
1907298,24733,2
1907298,24739,3
1907311,287,1
1907311,311,12
1907311,312,17
1907311,330,15
1907311,14169,11
1907311,18231,3
1907311,18236,18
1907311,19066,8
1907311,19969,9
1907311,19972,14
1907311,19976,7
1907311,19995,4
1907311,19999,16
1907311,21622,20
1907311,22033,5
1907311,24733,13
1907311,24739,6
1907311,24747,2
1907311,24838,19
1907311,24842,10
1907324,287,1
1907324,312,8
1907324,330,7
1907324,14142,10
1907324,14169,6
1907324,19066,4
1907324,19969,5
1907324,19995,3
1907324,21622,9
1907324,24733,2
1907340,13962,4
1907340,14154,3
1907340,16773,7
1907340,19974,6
1907340,22045,1
1907340,24734,8
1907340,24745,2
1907340,24831,5
1907356,14142,9
1907356,18228,13
1907356,19983,7
1907356,19985,6
1907356,19995,5
1907356,19999,2
1907356,20002,14
1907356,21622,10
1907356,22028,4
1907356,22029,1
1907356,24728,12
1907356,24730,8
1907356,24835,11
1907356,24841,3
1907371,287,1
1907371,330,6
1907371,19066,3
1907371,19969,4
1907371,21622,7
1907371,22028,5
1907371,24841,2
1907382,287,1
1907382,330,5
1907382,907,10
1907382,19066,3
1907382,19970,7
1907382,24727,4
1907382,24733,9
1907382,24735,6
1907382,24739,2
1907382,25220,8
1907398,287,1
1907398,19066,3
1907398,19995,2
1907398,21622,4
1907411,287,12
1907411,312,14
1907411,13962,7
1907411,14142,2
1907411,19066,8
1907411,19978,5
1907411,19979,1
1907411,19985,13
1907411,19990,16
1907411,19995,4
1907411,19999,11
1907411,21622,18
1907411,22990,19
1907411,24728,17
1907411,24733,3
1907411,24835,10
1907411,24841,6
1907411,24842,9
1907411,24957,20
1907411,25708,15
1907425,287,1
1907425,330,5
1907425,19066,4
1907425,19995,2
1907425,21622,6
1907425,22044,7
1907425,24739,3
1907443,287,1
1907443,330,5
1907443,19066,4
1907443,19995,2
1907443,21622,7
1907443,24838,6
1907443,24841,3
1907455,19066,4
1907455,19983,10
1907455,19995,7
1907455,21622,9
1907455,22029,1
1907455,22039,8
1907455,24733,6
1907455,24739,5
1907455,24835,2
1907455,24841,3
1907468,287,1
1907468,330,7
1907468,19066,4
1907468,19969,5
1907468,19976,2
1907468,19978,6
1907468,21622,9
1907468,24749,10
1907468,24841,3
1907468,25704,8
1907484,287,1
1907484,330,5
1907484,413,9
1907484,17571,4
1907484,19066,3
1907484,19989,7
1907484,19995,2
1907484,21622,6
1907484,24748,8
1907496,13962,6
1907496,18236,9
1907496,19066,14
1907496,19478,3
