bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1910413,2193,H5017,4,Passed,2025-06-26,"Requires manufacturers of assisting technology devices to make available to independent repair providers/the owner of the device, any documentation/parts, software/other items intended for use with the equipment/parts, including updates to software.","COMMERCIAL LAW -- GENERAL REGULATORY PROVISIONS -- RIGHT TO CONSUMER ACCESS TO POWERED WHEELCHAIR REPAIRS - Requires manufacturers of assisting technology devices to make available to independent repair providers/the owner of the device, any documentation/parts, software/other items intended for use with the equipment/parts, including updates to software.",0,,2025-06-26,"Signed by Governor",https://legiscan.com/RI/bill/H5017/2025,https://status.rilegislature.gov/
1910355,2193,H5018,1,Introduced,2025-01-10,"Provides that effective July 1, 2025, the profit margin of any electric distribution company gas distribution company, would not exceed four percent (4%), in any given calendar year.","PUBLIC UTILITIES AND CARRIERS -- PUBLIC UTILITIES COMMISSION - Provides that effective July 1, 2025, the profit margin of any electric distribution company gas distribution company, would not exceed four percent (4%), in any given calendar year.",1120,"House Corporations",2025-03-20,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5018/2025,https://status.rilegislature.gov/
1910520,2193,H5019,4,Passed,2025-06-10,"Prohibits a manufacturer from manufacturing, knowingly selling, offering for sale, distributing for sale or distributing for use in the state any firefighting personal protective equipment containing intentionally-added PFAS as of January 1, 2027.","HEALTH AND SAFETY -- CONSUMER PFAS BAN ACT OF 2024 - Prohibits a manufacturer from manufacturing, knowingly selling, offering for sale, distributing for sale or distributing for use in the state any firefighting personal protective equipment containing intentionally-added PFAS as of January 1, 2027.",0,,2025-06-10,"Signed by Governor",https://legiscan.com/RI/bill/H5019/2025,https://status.rilegislature.gov/
1910325,2193,H5020,1,Introduced,2025-01-10,"Provides for paid leave for a state employee who donates an organ. The duration of the leave is dependent on the type of donation and notice should be provided to the employer at least thirty (30) days prior to the leave.","PUBLIC OFFICERS AND EMPLOYEES -- ORGAN-DONATION LEAVE ACT - Provides for paid leave for a state employee who donates an organ. The duration of the leave is dependent on the type of donation and notice should be provided to the employer at least thirty (30) days prior to the leave.",1119,"House Finance",2025-04-22,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5020/2025,https://status.rilegislature.gov/
1910652,2193,H5021,1,Introduced,2025-01-10,"Adds administrator of community confinement and the home confinement coordinator to the state retirement system.","PUBLIC OFFICERS AND EMPLOYEES -- RETIREMENT SYSTEM -- CONTRIBUTIONS AND BENEFITS - Adds administrator of community confinement and the home confinement coordinator to the state retirement system.",1119,"House Finance",2025-04-22,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5021/2025,https://status.rilegislature.gov/
1910595,2193,H5022,1,Introduced,2025-01-10,"Increases the maximum state and municipal small purchase limits from $10,000 to $25,000 for construction projects and from $5,000 to $10,000 for all other state and municipal purchases.","TOWNS AND CITIES -- AWARD OF MUNICIPAL CONTRACTS - Increases the maximum state and municipal small purchase limits from $10,000 to $25,000 for construction projects and from $5,000 to $10,000 for all other state and municipal purchases.",1119,"House Finance",2025-03-06,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5022/2025,https://status.rilegislature.gov/
1910566,2193,H5023,4,Passed,2025-06-27,"Establishes a rare disease advisory council within the department of health and provides guidance and recommendations to educate health care providers and the citizens of the state.","HEALTH AND SAFETY -- RARE DISEASE ADVISORY COUNCIL - Establishes a rare disease advisory council within the department of health and provides guidance and recommendations to educate health care providers and the citizens of the state.",0,,2025-06-27,"Signed by Governor",https://legiscan.com/RI/bill/H5023/2025,https://status.rilegislature.gov/
1910610,2193,H5024,1,Introduced,2025-01-10,"Prohibits health benefit plans reviewing prescriptions for opioid addiction treatment.","INSURANCE -- BENEFIT DETERMINATION AND UTILIZATION REVIEW ACT - Prohibits health benefit plans reviewing prescriptions for opioid addiction treatment.",4420,"House Health & Human Services",2025-04-01,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5024/2025,https://status.rilegislature.gov/
1910269,2193,H5025,4,Passed,2025-07-05,"Provides that the trapping and subsequent release of any unowned feral or free roaming cat for the purpose of spaying or neutering of the cat would not be considered abandonment.","ANIMALS AND ANIMAL HUSBANDRY -- CRUELTY TO ANIMALS - Provides that the trapping and subsequent release of any unowned feral or free roaming cat for the purpose of spaying or neutering of the cat would not be considered abandonment.",0,,2025-07-05,"Effective without Governor's signature",https://legiscan.com/RI/bill/H5025/2025,https://status.rilegislature.gov/
1910538,2193,H5026,1,Introduced,2025-01-10,"Caps amount payable for 30 day supply of equipment/supplies for insulin administration/glucose monitoring at $25 or equipment designed to last more than 30 days with no deductible commencing January 1, 2026.","INSURANCE -- ACCIDENT AND SICKNESS INSURANCE POLICIES - Caps amount payable for 30 day supply of equipment/supplies for insulin administration/glucose monitoring at $25 or equipment designed to last more than 30 days with no deductible commencing January 1, 2026.",4420,"House Health & Human Services",2025-03-06,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5026/2025,https://status.rilegislature.gov/
1910296,2193,H5027,1,Introduced,2025-01-10,"Provides that any law or regulation which prohibits or protects a person from exposure to second-hand smoke would include second-hand marijuana smoke or vapor.","HEALTH AND SAFETY -- PUBLIC HEALTH AND WORKPLACE SAFETY ACT - Provides that any law or regulation which prohibits or protects a person from exposure to second-hand smoke would include second-hand marijuana smoke or vapor.",4420,"House Health & Human Services",2025-02-06,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5027/2025,https://status.rilegislature.gov/
1910462,2193,H5028,1,Introduced,2025-01-10,"Amends the definition of public works so that it would include any public works projects performed for any city or town or quasi-municipal entity and the state and any quasi-state entity.","PUBLIC PROPERTY AND WORKS -- LABOR AND PAYMENT OF DEBTS BY CONTRACTORS - Amends the definition of public works so that it would include any public works projects performed for any city or town or quasi-municipal entity and the state and any quasi-state entity.",1123,"House Labor",2025-02-12,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5028/2025,https://status.rilegislature.gov/
1910368,2193,H5029,4,Passed,2025-06-24,"Sets the minimum wage for 2026 at sixteen dollars ($16) per hour, 2027 at seventeen dollars ($17) per hour.","LABOR AND LABOR RELATIONS -- MINIMUM WAGES - Sets the minimum wage for 2026 at sixteen dollars ($16) per hour, 2027 at seventeen dollars ($17) per hour.",0,,2025-06-24,"Signed by Governor",https://legiscan.com/RI/bill/H5029/2025,https://status.rilegislature.gov/
1910551,2193,H5030,4,Passed,2025-04-18,"Grants the town council of the town of South Kingstown the authority to enact a homestead exemption ordinance.","TAXATION -- LEVY AND ASSESSMENT OF LOCAL TAXES - Grants the town council of the town of South Kingstown the authority to enact a homestead exemption ordinance.",0,,2025-04-18,"Effective without Governor's signature",https://legiscan.com/RI/bill/H5030/2025,https://status.rilegislature.gov/
1910253,2193,H5031,4,Passed,2025-07-05,"Allows for the issuance of Class BV liquor licenses for the properties located at 94 Carpenter Street and 1023 Broad Street, both in the city of Providence.","ALCOHOLIC BEVERAGES -- RETAIL LICENSES - Allows for the issuance of Class BV liquor licenses for the properties located at 94 Carpenter Street and 1023 Broad Street, both in the city of Providence.",0,,2025-07-05,"Effective without Governor's signature",https://legiscan.com/RI/bill/H5031/2025,https://status.rilegislature.gov/
1910443,2193,H5032,4,Passed,2025-06-13,"Allows for the issuance of a Class T liquor license by the town of Jamestown.","ALCOHOLIC BEVERAGES -- RETAIL LICENSES - Allows for the issuance of a Class T liquor license by the town of Jamestown.",0,,2025-06-13,"Signed by Governor",https://legiscan.com/RI/bill/H5032/2025,https://status.rilegislature.gov/
1910475,2193,H5033,1,Introduced,2025-01-10,"Removes nuclear plant projects from seeking the approval from the general assembly for the construction of said nuclear plant.","STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND COMMERCE CORPORATION - Removes nuclear plant projects from seeking the approval from the general assembly for the construction of said nuclear plant.",4422,"House State Government & Elections",2025-04-08,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5033/2025,https://status.rilegislature.gov/
1910402,2193,H5034,2,Engrossed,2025-03-27,"Allows school committees to add item(s) not appearing in published notice to their agendas for purposes of discussion only if the revised agenda is filed with the secretary of state and posted on district website at least 48 hrs in advance of the meeting.","STATE AFFAIRS AND GOVERNMENT -- OPEN MEETINGS - Allows school committees to add item(s) not appearing in published notice to their agendas for purposes of discussion only if the revised agenda is filed with the secretary of state and posted on district website at least 48 hrs in advance of the meeting.",1140,"Senate Judiciary",2025-06-02,"Referred to Senate Judiciary",https://legiscan.com/RI/bill/H5034/2025,https://status.rilegislature.gov/
1910664,2193,H5035,4,Passed,2025-03-05,"Allows Ryan Kenny and Brenna Sorkin to join Simran Bhajan Nebhnani and Louis Charles Miyara in marriage on April 26, 2025, within the City of Newport, Rhode Island.","SOLEMNIZATION OF MARRIAGES - Allows Ryan Kenny and Brenna Sorkin to join Simran Bhajan Nebhnani and Louis Charles Miyara in marriage on April 26, 2025, within the City of Newport, Rhode Island.",0,,2025-03-05,"Signed by Governor",https://legiscan.com/RI/bill/H5035/2025,https://status.rilegislature.gov/
1919378,2193,H5042,4,Passed,2025-07-01,"Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders.""","FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES - Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders.""",0,,2025-07-01,"Signed by Governor",https://legiscan.com/RI/bill/H5042/2025,https://status.rilegislature.gov/
1919632,2193,H5043,4,Passed,2025-06-30,"Provides protection from and prevent the unethical, improper conduct and the collection of fees by, anyone advising or assisting a veteran filing a claim for disability benefits with the Department of Veterans Affairs except as authorized by federal law.","COMMERCIAL LAW -- GENERAL REGULATORY PROVISIONS -- DECEPTIVE TRADE PRACTICES - Provides protection from and prevent the unethical, improper conduct and the collection of fees by, anyone advising or assisting a veteran filing a claim for disability benefits with the Department of Veterans Affairs except as authorized by federal law.",0,,2025-06-30,"Signed by Governor",https://legiscan.com/RI/bill/H5043/2025,https://status.rilegislature.gov/
1919847,2193,H5044,1,Introduced,2025-01-15,"Provides that parents and guardians of children with disabilities in private school have the same rights and remedies as parents/guardians of children in public school.","EDUCATION -- CHILDREN WITH DISABILITIES - Provides that parents and guardians of children with disabilities in private school have the same rights and remedies as parents/guardians of children in public school.",4419,"House Education",2025-02-12,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5044/2025,https://status.rilegislature.gov/
1919548,2193,H5046,4,Passed,2025-07-02,"Criminalizes the unauthorized dissemination of sexually explicit images of another person that are created by digital devices or created without the consent of the person depicted.","CRIMINAL OFFENSES -- ELECTRONIC IMAGING DEVICES - Criminalizes the unauthorized dissemination of sexually explicit images of another person that are created by digital devices or created without the consent of the person depicted.",0,,2025-07-02,"Signed by Governor",https://legiscan.com/RI/bill/H5046/2025,https://status.rilegislature.gov/
1919761,2193,H5047,1,Introduced,2025-01-15,"Requires employers to provide each employee of a warehouse distribution center, upon hire, with written description of quotas applicable to the employee within defined time periods and adverse employment action for failure to meet the quota.","LABOR AND LABOR RELATIONS -- WAREHOUSE WORKER PROTECTION ACT - Requires employers to provide each employee of a warehouse distribution center, upon hire, with written description of quotas applicable to the employee within defined time periods and adverse employment action for failure to meet the quota.",1123,"House Labor",2025-02-12,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5047/2025,https://status.rilegislature.gov/
1919928,2193,H5048,1,Introduced,2025-01-15,"Creates special motor vehicle registration plates for vehicles based on the not-for-profit entity Rhode Island Fire Chiefs Honor Flight Hub.","MOTOR AND OTHER VEHICLES -- REGISTRATION OF VEHICLES - Creates special motor vehicle registration plates for vehicles based on the not-for-profit entity Rhode Island Fire Chiefs Honor Flight Hub.",3935,"House Special Legislation",2025-02-06,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5048/2025,https://status.rilegislature.gov/
1919461,2193,H5049,4,Passed,2025-06-13,"Removes the requirement that the applicant for a Bronze Star Medal license plate pay a registration fee or transfer charge.","MOTOR AND OTHER VEHICLES -- REGISTRATION OF VEHICLES - Removes the requirement that the applicant for a Bronze Star Medal license plate pay a registration fee or transfer charge.",0,,2025-06-13,"Signed by Governor",https://legiscan.com/RI/bill/H5049/2025,https://status.rilegislature.gov/
1919417,2193,H5050,4,Passed,2025-06-26,"Creates a special license plate for the Blackstone Valley Tourism Council, Inc. that would support the Blackstone River Valley Environmental Clean-up and Education Fund.","MOTOR AND OTHER VEHICLES -- REGISTRATION OF VEHICLES - Creates a special license plate for the Blackstone Valley Tourism Council, Inc. that would support the Blackstone River Valley Environmental Clean-up and Education Fund.",0,,2025-06-26,"Signed by Governor",https://legiscan.com/RI/bill/H5050/2025,https://status.rilegislature.gov/
1919887,2193,H5051,4,Passed,2025-05-06,"Names the new Sakonnet River Bridge as the “Staff Sergeant Christopher Potts Sakonnet River Bridge.” This act would take effect upon passage.","RENAMING THE NEW SAKONNET RIVER BRIDGE, AQUIDNECK ISLAND - Names the new Sakonnet River Bridge as the “Staff Sergeant Christopher Potts Sakonnet River Bridge.” This act would take effect upon passage.",0,,2025-05-06,"Signed by Governor",https://legiscan.com/RI/bill/H5051/2025,https://status.rilegislature.gov/
1919591,2193,H5052,2,Engrossed,2025-03-27,"Changes the service requirement for admissions to RI Veterans' Home from 90 days to 2 years, and gives priority to veterans defined as war veterans.","MILITARY AFFAIRS AND DEFENSE -- RHODE ISLAND VETERANS' HOME - Changes the service requirement for admissions to RI Veterans' Home from 90 days to 2 years, and gives priority to veterans defined as war veterans.",2586,"Senate Special Legislation and Veterans Affairs",2025-06-02,"Referred to Senate Special Legislation and Veterans Affairs",https://legiscan.com/RI/bill/H5052/2025,https://status.rilegislature.gov/
1919673,2193,H5053,1,Introduced,2025-01-15,"Raises the amount of life insurance the state provides at no charge to Rhode Island National Guard members called up for federal duty to five hundred thousand dollars ($500,000).","MILITARY AFFAIRS AND DEFENSE -- NATIONAL GUARD - Raises the amount of life insurance the state provides at no charge to Rhode Island National Guard members called up for federal duty to five hundred thousand dollars ($500,000).",1119,"House Finance",2025-04-09,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5053/2025,https://status.rilegislature.gov/
1919716,2193,H5054,1,Introduced,2025-01-15,"Requires that the state and all municipalities that construct buildings after January 1, 2026, budget for maintenance on a yearly basis, at least five-tenths percent (0.5%) of the total construction cost.","PUBLIC PROPERTY AND WORKS -- MAINTENANCE OF PUBLIC BUILDINGS - Requires that the state and all municipalities that construct buildings after January 1, 2026, budget for maintenance on a yearly basis, at least five-tenths percent (0.5%) of the total construction cost.",1119,"House Finance",2025-03-06,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H5054/2025,https://status.rilegislature.gov/
1923910,2193,H5066,1,Introduced,2025-01-16,"Prohibits certain claim practices of health insurers and medical providers. The act would further require fulfillment of medical record requests within fourteen (14) days.","BUSINESSES AND PROFESSIONS -- BOARD OF MEDICAL LICENSURE AND DISCIPLINE -- PROMPT PROCESSING OF INSURANCE CLAIMS - Prohibits certain claim practices of health insurers and medical providers. The act would further require fulfillment of medical record requests within fourteen (14) days.",0,,2025-01-29,"Withdrawn at sponsor's request",https://legiscan.com/RI/bill/H5066/2025,https://status.rilegislature.gov/
